Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x78,,x80,x79
99,0.0188465,0,0,0,0,0.0260282,0,0,0,0,0,0,0.0288579,0.0338723,0.0276276,0.0139545,0,0,0.0159031,0,0.0337307,0.00324887,0.0428549,0.0273927,0.00840931,0.00713822,0.0128414,0.0403995,0.0162125,0.013541,0.0132071,0.00672362,0.0111737,0.0119978,0.0177118,0.0316688,0.0254324,0.0365986,0.00928188,0.00934202,0.0317235,0.014423,0.013149,0.014195,0,0,0.00519556,0,0.0347299,0.0039005,0.0381194,0.0176029,0.0160656,0.0220736,0.0110942,0.0203848,0.0100364,0.014409,0.0104545,0.0122131,0.0156291,0.0301612,0.0122691,0.0153704,0.00375638,0.01098,0.00953824,0.0121526,0.0235544,0.0139214,0,0,0,0,0,0,0,0
100,0.0182212,0,0,0,0,0.0266394,0,0,0,0,0,0,0.0286568,0.0346182,0.0274398,0.0138834,0,0,0.0156444,0,0.033646,0.00362911,0.0430015,0.0273952,0.00866922,0.00699187,0.0127418,0.0410964,0.0161427,0.0134453,0.0130531,0.00666538,0.0110652,0.011989,0.0176538,0.0314044,0.0257487,0.0361034,0.0108152,0.00930519,0.031847,0.0143076,0.0133207,0.0140483,0,0,0.00554489,0,0.0347698,0.00402086,0.0381161,0.0174279,0.0160529,0.0220872,0.0110313,0.0203736,0.0100345,0.0143861,0.0103606,0.0122605,0.0155328,0.030105,0.0121406,0.0152833,0.00369104,0.0113668,0.00942368,0.0117419,0.0244509,0.0134309,0,0,0,0,0,0,0,0
101,0.0177267,0,0,0,0,0.0270845,0,0,0,0,0,0,0.0284065,0.0354035,0.0272167,0.0138663,0,0,0.0154235,0,0.0336393,0.00425215,0.0432248,0.0274919,0.00902664,0.00684103,0.0125195,0.0417554,0.016049,0.0133041,0.0128408,0.00657245,0.010924,0.0119356,0.0175249,0.0310794,0.0260446,0.0357896,0.0124237,0.00929634,0.0319344,0.014224,0.0135451,0.0140263,0,0,0.00617551,0,0.0347466,0.00418759,0.0380891,0.0173005,0.0160549,0.0220808,0.0108653,0.0202445,0.0100582,0.0144041,0.0103473,0.0123723,0.0154349,0.0300255,0.0120077,0.0152161,0.00360932,0.0117335,0.0093401,0.0113536,0.0251724,0.0130851,0,0,0,0,0,0,0,0
102,0.0192842,0,0,0,0,0.0253238,0,0,0,0,0,0,0.0285079,0.0363091,0.0271842,0.0137131,0,0,0.0152955,0,0.0337326,0.00483441,0.0433108,0.027235,0.00842319,0.00677563,0.0126995,0.0422466,0.0161431,0.0133822,0.0128496,0.00662593,0.0109487,0.011879,0.0176047,0.0310839,0.0263011,0.0358114,0.0139304,0.00951947,0.0320395,0.014449,0.0128743,0.0143093,0,0,0.00642535,0,0.0349559,0.00403967,0.0379296,0.0175761,0.016058,0.0219036,0.0106041,0.0182114,0.0100607,0.0144463,0.0104477,0.0121605,0.0156615,0.0303923,0.0121843,0.0154694,0.00385997,0.0102729,0.00929109,0.0106354,0.0234752,0.0146833,0,0,0,0,0,0,0,0
103,0.0184515,0,0,0,0,0.0259847,0,0,0,0,0,0,0.0284822,0.037277,0.0270669,0.0137,0,0,0.0149094,0,0.0337199,0.00540997,0.0434921,0.0272143,0.00877028,0.00677,0.0123587,0.042751,0.0160423,0.013218,0.0127492,0.00648508,0.0106881,0.0117812,0.0174029,0.0309012,0.0266057,0.0357873,0.0151879,0.00936272,0.0321466,0.0143712,0.0129229,0.014007,0,0,0.0070919,0,0.0350478,0.00428095,0.0378679,0.0175024,0.0160781,0.0218545,0.0103078,0.0181427,0.0100823,0.0144414,0.0104131,0.0122227,0.0155988,0.0302946,0.0121883,0.0154951,0.0037309,0.0108733,0.00917862,0.0103425,0.0244514,0.0141025,0,0,0,0,0,0,0,0
104,0.0176942,0,0,0,0,0.0266186,0,0,0,0,0,0,0.027936,0.0382025,0.0267361,0.0137624,0,0,0.014743,0,0.0336499,0.00592806,0.043712,0.0274577,0.0091667,0.00657796,0.0120349,0.0431929,0.0157527,0.0128349,0.012431,0.00632476,0.0103612,0.0116899,0.0172564,0.030398,0.0267275,0.0357175,0.0165917,0.00924639,0.0323213,0.014223,0.0130341,0.0138938,0,0,0.00825484,0,0.0351003,0.00490011,0.0378115,0.017337,0.0161443,0.0219907,0.00997931,0.0182046,0.0100824,0.0144494,0.0103499,0.0123142,0.0155558,0.0301414,0.0121148,0.0154956,0.0036313,0.0117019,0.00907951,0.00998718,0.0254347,0.0136385,0,0,0,0,0,0,0,0
105,0.0171878,0,0,0,0,0.0269762,0,0,0,0,0,0,0.0273939,0.0390865,0.0263681,0.0136199,0,0,0.0145963,0,0.0336795,0.00642683,0.043956,0.0274245,0.0096095,0.00642531,0.0118039,0.0436127,0.0154228,0.0124325,0.0120962,0.00620844,0.0100869,0.0116175,0.0170617,0.0298624,0.0270136,0.0355912,0.0180867,0.00913816,0.0325151,0.0140527,0.0132107,0.0139219,0,0,0.00955731,0,0.0351779,0.00567282,0.0377473,0.0171036,0.0163482,0.0221466,0.00964612,0.0181301,0.0100964,0.0144571,0.0103556,0.0124429,0.0155045,0.0300026,0.0119939,0.0154601,0.00354002,0.0124732,0.00913315,0.00963249,0.0261086,0.0134618,0,0,0,0,0,0,0,0
106,0.0176612,0,0,0,0,0.0262974,0,0,0,0,0,0,0.0275388,0.0400178,0.026395,0.0134581,0,0,0.0146067,0,0.0338274,0.00688642,0.0439512,0.0272756,0.00911545,0.00646961,0.012845,0.0440557,0.0155095,0.0126025,0.0122494,0.00623545,0.0102175,0.0116376,0.0171465,0.0299033,0.0274246,0.0354472,0.0193051,0.00937889,0.0327816,0.014331,0.0128084,0.0136359,0,0,0.0100677,0,0.0354519,0.00598874,0.0375873,0.0173711,0.0164305,0.0219372,0.0103506,0.0168136,0.0100756,0.0144397,0.0104241,0.0123207,0.0157022,0.0303601,0.0121624,0.0156678,0.0036966,0.0121303,0.00928607,0.00894662,0.0257353,0.0139668,0,0,0,0,0,0,0,0
107,0.0173156,0,0,0,0,0.0267821,0,0,0,0,0,0,0.0276632,0.0409039,0.0264046,0.0133138,0,0,0.0146049,0,0.0340806,0.00752008,0.0440132,0.0268338,0.00917616,0.00659832,0.0125879,0.0444468,0.0155387,0.012702,0.0123279,0.00614739,0.0101831,0.0116782,0.0169923,0.0298878,0.0278652,0.0350794,0.0203939,0.00936392,0.0330149,0.0143961,0.0128632,0.0137647,0,0,0.0105439,0,0.0356203,0.00641635,0.0376128,0.0173743,0.0164316,0.0219246,0.0101257,0.0172158,0.0101171,0.0144625,0.0104331,0.0123648,0.0156375,0.030177,0.0121724,0.0156365,0.00361684,0.0125805,0.00921053,0.00822678,0.0261871,0.0135937,0,0,0,0,0,0,0,0
108,0.0171273,0,0,0,0,0.0272728,0,0,0,0,0,0,0.0273849,0.041745,0.0262537,0.0132535,0,0,0.0146949,0,0.0344533,0.00816893,0.0440458,0.0265698,0.00931158,0.00657972,0.0122933,0.0449462,0.0154721,0.012579,0.012187,0.00605165,0.0100395,0.0117141,0.0168855,0.0296264,0.0282448,0.0345408,0.0215641,0.00934473,0.0332314,0.0144728,0.0129657,0.0139998,0,0,0.0111754,0,0.0357445,0.00676497,0.0376309,0.0173879,0.0164873,0.022055,0.00986582,0.0176426,0.0101945,0.0145179,0.0104758,0.0124614,0.0156198,0.0299583,0.0122176,0.0156612,0.00370552,0.0130281,0.00885357,0.0073334,0.0266052,0.0133528,0,0,0,0,0,0,0,0
