Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,LWRA
77,0.00622419,0,0,0,0,0.0136751,0,0,0,0,0,0,0.0193908,0.0286644,0.0193089,0.01283,0,0,0.0253345,0,0.0340931,0.0202428,0.0438231,0.0249602,0.0134848,0.0112811,0.0265392,0.0194009,0.00707641,0.0131606,0.00902146,0.0125146,0.0139576,0.0141768,0.0157776,0.0221323,0.0169302,0.0233168,0.00465848,0.0322313,0.0115828,0.01836,0.0094823,0,0,0.031584,0,0.0331491,0.0183409,0.0347662,0.016011,0.0142897,0.018148,0.0259368,0.0247401,0.0067443,0.0144498,0.00778685,0.00983985,0.0118242,0.031111,0.0104346,0.0103127,0.00772718,0.0193757,0.017296,0.0130731,0.00996123,0.00706688,0,0,0.0311173
78,0.00642707,0,0,0,0,0.0135911,0,0,0,0,0,0,0.0199167,0.0286784,0.0196275,0.0125856,0,0,0.0255256,0,0.0337348,0.0201351,0.0437158,0.0256796,0.0132647,0.011198,0.0259978,0.0194882,0.00704704,0.0130901,0.0089309,0.0124537,0.013772,0.0140733,0.0158112,0.0228257,0.0171118,0.0229622,0.00458725,0.0323009,0.0118251,0.0182676,0.00962706,0,0,0.0318187,0,0.0332606,0.0183476,0.0348059,0.0164505,0.0143165,0.0178866,0.0254943,0.0246604,0.00671531,0.0147015,0.00771344,0.00979126,0.0116662,0.0311518,0.0103968,0.0102943,0.00842976,0.0192938,0.0183678,0.0129247,0.00961006,0.0071383,0,0,0.0305473
79,0.00672529,0,0,0,0,0.0136096,0,0,0,0,0,0,0.0205479,0.0287005,0.0198331,0.0124302,0,0,0.025977,0,0.0333307,0.0201674,0.0436803,0.0261945,0.0131035,0.0111135,0.0255056,0.0196177,0.0070709,0.0127752,0.00880092,0.0124441,0.0138288,0.0140296,0.0158616,0.02354,0.01739,0.0225149,0.00448489,0.0324915,0.0119893,0.0182358,0.0098386,0,0,0.032435,0,0.0335241,0.0185561,0.034793,0.0167481,0.0143982,0.0176745,0.0250561,0.0246858,0.00655165,0.0146857,0.00773139,0.00979908,0.0115446,0.0311063,0.0103624,0.0103024,0.0090146,0.0194562,0.0191157,0.0126018,0.0093282,0.00720826,0,0,0.0300648
80,0.00700946,0,0,0,0,0.0136269,0,0,0,0,0,0,0.0212214,0.0289336,0.0200593,0.0123276,0,0,0.0267946,0,0.0329511,0.0205503,0.0436693,0.0258822,0.0130892,0.0110988,0.0251172,0.0198067,0.00727995,0.0124281,0.00872166,0.0125988,0.0141671,0.0140993,0.0158816,0.0242988,0.0179003,0.022455,0.00447074,0.0326896,0.0120819,0.018226,0.0100915,0,0,0.0331915,0,0.0337639,0.0188319,0.0347817,0.0169676,0.0145685,0.0174869,0.0246252,0.0247751,0.00642829,0.0146525,0.0077318,0.00978844,0.0114078,0.0310649,0.0102952,0.0103088,0.00959834,0.0196753,0.01974,0.0121893,0.00911698,0.00746621,0,0,0.0299248
81,0.00726676,0,0,0,0,0.0136194,0,0,0,0,0,0,0.0218256,0.0292601,0.0202851,0.0122844,0,0,0.0277695,0,0.0328173,0.0212027,0.0436555,0.0249665,0.0131121,0.0111013,0.0248035,0.0199933,0.00769063,0.0122273,0.00873234,0.0128284,0.0145192,0.0143094,0.0158522,0.0248897,0.0185494,0.0226484,0.00449405,0.0329204,0.0121879,0.0181915,0.0103448,0,0,0.033923,0,0.0340308,0.019084,0.0348157,0.0171876,0.014814,0.0173049,0.0241873,0.024853,0.00656673,0.0146582,0.00771541,0.00984216,0.0112237,0.0311402,0.0102059,0.0102484,0.0102562,0.0199446,0.0202898,0.012024,0.00900417,0.00786138,0,0,0.0301794
82,0.00752019,0,0,0,0,0.0136484,0,0,0,0,0,0,0.0225046,0.0294781,0.020504,0.0122362,0,0,0.0285406,0,0.032872,0.0218007,0.0436243,0.0234388,0.0131242,0.0111367,0.0245896,0.020124,0.00823265,0.0122103,0.00883399,0.0130211,0.0149123,0.0145266,0.0158454,0.0254526,0.0190825,0.0228203,0.00448931,0.0331999,0.0123706,0.0181423,0.0106046,0,0,0.0345587,0,0.0343278,0.0193315,0.0348036,0.0175055,0.0150019,0.0171454,0.0237695,0.0248894,0.00658087,0.0147271,0.00770317,0.00986767,0.0111455,0.0312823,0.0102073,0.0102878,0.0107792,0.0202,0.0205772,0.0119839,0.00895946,0.00817136,0,0,0.0305636
83,0.00782011,0,0,0,0,0.0136548,0,0,0,0,0,0,0.0231609,0.029626,0.0208478,0.0122114,0,0,0.0289591,0,0.032869,0.0220978,0.0434768,0.0218116,0.0132172,0.0112969,0.0245572,0.0202581,0.00892221,0.0124664,0.00911859,0.0131303,0.0153249,0.0146341,0.0159184,0.026414,0.0193592,0.0229353,0.004522,0.033551,0.0125187,0.0179865,0.0109333,0,0,0.0352742,0,0.0346137,0.0196312,0.0348336,0.0177236,0.0148434,0.016945,0.0236143,0.0250055,0.00624406,0.0146967,0.00758839,0.00964878,0.0111542,0.031178,0.0102638,0.0103804,0.0109369,0.0202751,0.0205456,0.0117919,0.00886767,0.00846226,0,0,0.0307949
84,0.00808621,0,0,0,0,0.0136656,0,0,0,0,0,0,0.0231958,0.0297308,0.0210309,0.0121731,0,0,0.0292857,0,0.0328214,0.0222903,0.043379,0.021257,0.0133315,0.0116404,0.0245075,0.0202769,0.00952993,0.0129126,0.0095471,0.0133031,0.0157088,0.014656,0.016148,0.027081,0.0196036,0.0232047,0.00451648,0.033973,0.0126302,0.0177884,0.0112197,0,0,0.0356908,0,0.0349364,0.0198864,0.0348476,0.0178599,0.0147034,0.0167079,0.0234861,0.0250684,0.00594051,0.0146329,0.00745619,0.00938958,0.0111316,0.0311135,0.0103174,0.0104271,0.0110153,0.0204256,0.020048,0.0114699,0.00879741,0.00871728,0,0,0.0308741
85,0.00833669,0,0,0,0,0.0136766,0,0,0,0,0,0,0.0231106,0.0298088,0.0208797,0.0122349,0,0,0.0296126,0,0.0328313,0.0224534,0.0433303,0.0210859,0.0134623,0.0121678,0.0244934,0.0201917,0.0100841,0.0134703,0.0100978,0.0135793,0.0158686,0.014664,0.0164231,0.026746,0.0198429,0.0234379,0.00447098,0.0343549,0.0127043,0.0176513,0.0114684,0,0,0.0356717,0,0.0351765,0.0200118,0.0348505,0.0179704,0.0146336,0.0164192,0.023392,0.0251196,0.00597648,0.0145543,0.00731892,0.00915391,0.0110122,0.0310866,0.0103038,0.0104086,0.0112662,0.0206855,0.0192629,0.0110515,0.00879005,0.0089679,0,0,0.0309444
86,0.00861467,0,0,0,0,0.013669,0,0,0,0,0,0,0.0234828,0.0299662,0.0207082,0.0124412,0,0,0.0299198,0,0.0328616,0.0226369,0.0432848,0.0209939,0.013565,0.0125575,0.0244857,0.0200932,0.0105652,0.0140001,0.0105122,0.0137673,0.0159853,0.014629,0.0167095,0.0263998,0.0201493,0.0236406,0.0043602,0.0347006,0.0127437,0.0176426,0.0117062,0,0,0.0356772,0,0.0353568,0.02007,0.0348254,0.0180066,0.0145378,0.0161532,0.0232857,0.0251826,0.00588266,0.0144855,0.00722089,0.00892612,0.0109398,0.0310968,0.010274,0.0104277,0.0115225,0.0209129,0.0183485,0.0104683,0.00881932,0.00917351,0,0,0.0310558
