Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,,x79
213,0.0100941,0,0,0,0,0.0044459,0,0,0,0,0,0.0130598,0.0395183,0.01184,0.0379415,0,0,0.0132998,0,0.0398801,0.0211122,0.0542004,0.0168603,0.0154194,0.0148278,0.0385309,0.0136095,0.0258953,0.0257817,0.021022,0.0155337,0.016299,0.0120619,0.012438,0.0076134,0.013415,0,0.0174899,0.0135477,0.0433175,0.0159444,0.0549776,0.00948236,0,0,0.0049871,0,0.0467865,0.00970053,0.0511754,0.0171635,0.0351245,0.0295469,0.0345974,0.023821,0.0117908,0.00793903,0.016041,0.0246006,0.0183802,0.0328516,0.00918566,0.0184786,0.0184215,0.0111533,0.0293558,0.0154274,0.00833268,0.0100889,0,0,0,0,0,0,0
214,0.00972587,0,0,0,0,0.00443086,0,0,0,0,0,0.012072,0.0395708,0.0136083,0.0375631,0,0,0.0133131,0,0.0398688,0.0212118,0.0552936,0.0200631,0.0159081,0.0193107,0.0385017,0.0136257,0.0278654,0.029953,0.0229271,0.0179647,0.0188622,0.0132089,0.0115328,0.00768377,0.0135805,0,0.0176804,0.0136185,0.0432729,0.0159805,0.054433,0.00905192,0,0,0.00504796,0,0.0466532,0.0098169,0.0507823,0.0168959,0.0357967,0.0298169,0.0344332,0.0240293,0.0117727,0.00766928,0.0164731,0.0248228,0.0184461,0.0331047,0.00872896,0.0183918,0.0179568,0.0116435,0.0294469,0.0156267,0.00821871,0.00952146,0,0,0,0,0,0,0
215,0.00937215,0,0,0,0,0.00458439,0,0,0,0,0,0.0121715,0.0395654,0.0140312,0.036948,0,0,0.0132001,0,0.0398184,0.0210827,0.0552648,0.0206134,0.0158626,0.0195792,0.0382772,0.0137116,0.0281527,0.0307219,0.0227763,0.0178702,0.0187638,0.0131433,0.0115872,0.00760076,0.0134512,0,0.0176793,0.0144621,0.0432419,0.0165795,0.0537856,0.00868322,0,0,0.00507733,0,0.0465413,0.00990825,0.0505836,0.0170833,0.0357879,0.0313669,0.0338816,0.0243142,0.0120942,0.0070062,0,0.0256681,0.019217,0.0336315,0.00906847,0.0189774,0.0183178,0.0121549,0.0294937,0.0158376,0.00796001,0.00915789,0,0,0,0,0,0,0
216,0.00900746,0,0,0,0,0.00457299,0,0,0,0,0,0.0113449,0.0394909,0.014745,0.0363216,0,0,0.0132657,0,0.0397273,0.0210238,0.055805,0.0215925,0.0161067,0.0211973,0.038313,0.0136733,0.0292789,0.0328061,0.0233556,0.0188511,0.0197931,0.0136993,0.0111961,0.00782399,0.0135149,0,0.0176257,0.0147058,0.0432665,0.0166679,0.0532534,0.00829521,0,0,0.00531907,0,0.0465119,0.0100193,0.0503528,0.0169815,0.0362584,0.0315077,0.0338718,0.0245994,0.0119942,0.00692719,0,0.0257871,0.0192024,0.0341103,0.00916051,0.0188975,0.0186264,0.0126251,0.0295861,0.0160143,0.00777752,0.00874175,0,0,0,0,0,0,0
217,0.00864664,0,0,0,0,0.00426822,0,0,0,0,0,0.0105821,0.039484,0.0150351,0.0359988,0,0,0.0135978,0,0.0397261,0.0211747,0.0565021,0.0215147,0.0163768,0.0214407,0.0386098,0.0135306,0.0296098,0.0336543,0.0230625,0.0192345,0.0204648,0.0141463,0.0110021,0.00821335,0.0138713,0,0.0177491,0.0139159,0.0432451,0.0159332,0.0529292,0.00778361,0,0,0.00555681,0,0.0464399,0.0102037,0.0501035,0.0162099,0.0372277,0.0299668,0.0343857,0.024643,0.0114742,0.00754485,0.0170205,0.0250413,0.0182103,0.0338934,0.00873885,0.0178525,0.018173,0.0128807,0.0296181,0.0162081,0.00764371,0.00802631,0,0,0,0,0,0,0
218,0.00838974,0,0,0,0,0.00410807,0,0,0,0,0,0.00966657,0.0395686,0.0151691,0.0358381,0,0,0.013802,0,0.039802,0.0213058,0.0568634,0.0215838,0.0165458,0.0214229,0.0386319,0.0135415,0.0298662,0.0341619,0.0226817,0.0194383,0.0209325,0.0144918,0.0108737,0.00856505,0.0140799,0,0.0179753,0.0137592,0.0431584,0.0156769,0.0524949,0.00747371,0,0,0.00581066,0,0.0462904,0.0103691,0.0498358,0.0160078,0.0377404,0.0297024,0.0343773,0.0247017,0.0114747,0.00749702,0.0169844,0.0249855,0.0180378,0.0340258,0.00868217,0.0175049,0.017927,0.0131637,0.0296065,0.0163757,0.00758956,0.00762497,0,0,0,0,0,0,0
219,0.00808111,0,0,0,0,0.00408133,0,0,0,0,0,0.00791419,0.0396182,0.015198,0.0356886,0,0,0.0140063,0,0.0398304,0.0214698,0.0572187,0.0216047,0.0165944,0.0211267,0.0387044,0.0135839,0.0299617,0.0342215,0.0221318,0.019435,0.0211732,0.0147555,0.0106305,0.00907394,0.0141453,0,0.0181314,0.0132428,0.0431762,0.0153663,0.0521618,0.00713729,0,0,0.0059049,0,0.046276,0.0104814,0.0496445,0.0154875,0.0382336,0.0291965,0.034428,0.0247474,0.0114685,0.00736304,0.0166988,0.0248461,0.0177794,0.0344259,0.00856149,0.0171538,0.0176141,0.0135241,0.0296289,0.0165076,0.00760485,0.00731663,0,0,0,0,0,0,0
220,0.00772827,0,0,0,0,0.00403308,0,0,0,0,0,0.00600545,0.0395981,0.015203,0.0352275,0,0,0.0141727,0,0.0397973,0.02157,0.0576014,0.021728,0.0166521,0.0206778,0.038965,0.0135388,0.0295761,0.0339436,0.02144,0.0193038,0.0212504,0.0149067,0.0104966,0.0102279,0.0142277,0,0.0181905,0.0123257,0.0431592,0.0149134,0.0519439,0.00677995,0,0,0.00600526,0,0.0462383,0.010574,0.0495753,0.0147879,0.0386958,0.0282032,0.0346928,0.0246946,0.0115473,0.0073763,0.0160785,0.0245923,0.0171961,0.0349469,0.0082252,0.0165309,0.0171386,0.0137243,0.0296794,0.016615,0.00770138,0.00676388,0,0,0,0,0,0,0
221,0.00740114,0,0,0,0,0.00404461,0,0,0,0,0,0.00490881,0.0395572,0.0150456,0.0347918,0,0,0.0143167,0,0.03974,0.0215876,0.0579192,0.0218948,0.0165965,0.0202611,0.0390989,0.0136086,0.028921,0.0333813,0.0207497,0.0193286,0.0213738,0.0150603,0.0106362,0.0124755,0.0143415,0,0.018179,0.0122722,0.043104,0.0149498,0.0516092,0.00648993,0,0,0.00632174,0,0.0461588,0.0106826,0.0495852,0.0146654,0.0389419,0.0282274,0.0348526,0.0246668,0.0115951,0.00747803,0.0159927,0.0245991,0.0171701,0.0351368,0.00804224,0.0165149,0.0168941,0.0139758,0.0295896,0.0167626,0.00778664,0.00642122,0,0,0,0,0,0,0
222,0.00717252,0,0,0,0,0.00430582,0,0,0,0,0,0.00479739,0.0396152,0.0150037,0.0342257,0,0,0.0142272,0,0.0397633,0.0215064,0.0577805,0.0217468,0.0163668,0.0199079,0.0387287,0.0138698,0.0280385,0.0326093,0.0201269,0.0194562,0.0214545,0.0149128,0.0109418,0.0156508,0.0143316,0,0.0181532,0.0138109,0.0431237,0.0155786,0.0509787,0.00645423,0,0,0.00647798,0,0.0461743,0.0107229,0.0495811,0.0152948,0.0385339,0.0298866,0.0343281,0.0248313,0.012123,0.00710087,0,0.025334,0.0177202,0.0352057,0.0080896,0.0168914,0.0176441,0.0142662,0.0295833,0.016928,0.0077927,0.00647859,0,0,0,0,0,0,0
223,0.00689609,0,0,0,0,0.00402003,0,0,0,0,0,0.00658702,0.0396806,0.0150875,0.0340459,0,0,0.0146451,0,0.0398256,0.0217664,0.0581852,0.0216178,0.0163195,0.0192127,0.0392727,0.0137864,0.0267652,0.0312336,0.019072,0.0192951,0.0214689,0.014747,0.0110985,0.0194364,0.0148598,0,0.0183011,0.0133091,0.043105,0.0152683,0.0508692,0.00596232,0,0,0.00685879,0,0.0461617,0.0108583,0.049582,0.0150298,0.0391851,0.0291246,0.0351709,0.0247264,0.0116534,0.00762784,0.0160894,0.0246567,0.0172158,0.0348684,0.00800971,0.0165323,0.0172343,0.0143879,0.0297845,0.0171248,0.00788516,0.00616758,0,0,0,0,0,0,0
224,0.00674955,0,0,0,0,0.00383369,0,0,0,0,0,0.00887891,0.0397092,0.0149788,0.0338404,0,0,0.0144454,0,0.0398545,0.0216442,0.0579942,0.021612,0.0161332,0.0187579,0.0394018,0.0137276,0.025332,0.0299942,0.0181361,0.0187739,0.021316,0.0143395,0.0114552,0.0229827,0.0147293,0,0.0182654,0.0135506,0.0430989,0.0153047,0.050539,0.00575717,0,0,0.00712418,0,0.0461288,0.0109666,0.0496312,0.015106,0.0389384,0.0295586,0.035102,0.024805,0.0121986,0.00710035,0,0.0251428,0.0173457,0.0352086,0.00805051,0.0163971,0.0172065,0.0145952,0.0298931,0.0171916,0.00791166,0.00580541,0,0,0,0,0,0,0
225,0.00658264,0,0,0,0,0.00361408,0,0,0,0,0,0.0116234,0.0397069,0.0149431,0.0337385,0,0,0.0147686,0,0.0398708,0.0218172,0.0582617,0.021606,0.0160225,0.0178963,0.0400371,0.0137581,0.0236421,0.0284469,0.0168806,0.018156,0.0210372,0.0139025,0.0117782,0.0258705,0.014974,0,0.0183338,0.0130009,0.0430604,0.0150192,0.0504837,0.00530688,0,0,0.00729286,0,0.0460769,0.0112466,0.0496148,0.0149046,0.0396229,0.028745,0.0360361,0.0247519,0.0117459,0.00749143,0.0155739,0.0245483,0.017161,0.0349261,0.00823164,0.0162693,0.0167706,0.014795,0.0299862,0.0173603,0.00804365,0.00564112,0,0,0,0,0,0,0
226,0.0064904,0,0,0,0,0.00363475,0,0,0,0,0,0.0141784,0.0397294,0.0147309,0.0334663,0,0,0.0145799,0,0.0399069,0.0216523,0.057894,0.0210563,0.0156995,0.0171233,0.0400181,0.0140025,0.0218952,0.0270631,0.0158154,0.0173324,0.0205001,0.0131308,0.0123805,0.0279499,0.0147415,0,0.0181754,0.0142806,0.0430087,0.0156455,0.0500971,0.00528231,0,0,0.00766685,0,0.0460041,0.0114054,0.0496064,0.015848,0.0391853,0.0300992,0.0358659,0.0248823,0.0122877,0.00708064,0,0.0253056,0.0178729,0.0349458,0.00863641,0.0168505,0.0175085,0.0151101,0.0300194,0.0174778,0.00802637,0.00594926,0,0,0,0,0,0,0
227,0.00641893,0,0,0,0,0.00362235,0,0,0,0,0,0.0158757,0.0397154,0.0146123,0.0334445,0,0,0.0150119,0,0.0399137,0.02184,0.0582172,0.0200678,0.0155019,0.0158377,0.0408662,0.0141892,0.0199694,0.0252349,0.0143307,0.0163557,0.0196459,0.0124623,0.0129224,0.0292167,0.0150937,0,0.0181874,0.0129644,0.0429602,0.0151886,0.0502397,0.00491165,0,0,0.00800654,0,0.0459478,0.0116696,0.0495397,0.0153559,0.0398827,0.0288679,0.0370923,0.0247262,0.0119319,0.00759672,0.0155213,0.0247024,0.0174568,0.0347794,0.00871162,0.0165669,0.0166654,0.0152949,0.0301584,0.0175687,0.00826795,0.00607373,0,0,0,0,0,0,0
