Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,x73,x77,x76,x78,x68
1556,0,0.0393398,0,0,0,0,0.0215383,0,0,0,0.00973567,0.0282605,0.0134419,0,0,0,0.020006,0,0.0259731,0.0180124,0.0435858,0,0.0115062,0.0109924,0.0135962,0.0191484,0.00603673,0.0110737,0,0.141326,0.0120667,0.110323,0.0181607,0.0136141,0.0212422,0,0.0319652,0,0,0,0,0.0530419,0,0,0.0458391,0,0.0109458,0.0266991,0.0343294,0,0.0163244,0.0430795,0.0138755,0.0514755,0,0,0,0.0303961,0.0216328,0.0223947,0,0.0216849,0,0.0480591,0.0195361,0.0221448,0.0265186,0.0370962,0,0,0,0,0,0,0,0,0
1557,0,0.0388716,0,0,0,0,0.0213926,0,0,0,0.00962466,0.0282805,0.0135176,0,0,0,0.0196335,0,0.0259288,0.0176747,0.0425794,0,0.0116634,0.0109581,0.0133529,0.01897,0.00581635,0.0112007,0,0.141661,0.0119354,0.110585,0.0183778,0.0133748,0.021067,0,0.0316413,0.0274455,0,0,0,0.0525328,0,0,0.0454458,0,0.0110704,0.0267096,0.0346793,0,0.0143174,0.0217395,0.0142381,0.0508757,0,0.0198269,0,0.0144127,0.0055633,0.0272361,0,0.00650541,0,0.047777,0.0194923,0.0222634,0.0264112,0.0366742,0,0,0,0,0,0,0,0,0
1558,0,0.0387082,0,0,0,0,0.0211565,0,0,0,0.0093212,0.0281875,0.0134366,0,0,0,0.0196715,0,0.0258454,0.0177601,0.0423752,0,0.0116775,0.0108218,0.0131442,0.0189097,0.00563476,0.0112528,0,0.141699,0.0117169,0.110566,0.0182677,0.0131442,0.0212064,0,0.0316702,0.0201384,0,0.0186048,0,0.0521449,0,0,0.0447457,0,0.0111181,0.0262653,0.0349317,0.0197196,0.0142106,0.021841,0.013987,0.0503803,0,0.0199018,0,0.0142806,0.00481741,0.0266708,0,0.00626338,0,0.0472992,0.0195135,0.022252,0.0261615,0.0364597,0,0,0,0,0,0,0,0,0
1559,0,0.0386919,0,0,0,0,0.0208156,0,0,0,0.00892869,0.0281308,0.0130892,0,0,0,0.0200234,0,0.0258538,0.0181698,0.0429314,0,0.011511,0.0109381,0.0131033,0.0190102,0.005864,0.0113487,0,0.141402,0.0115831,0.110286,0.0178908,0.012812,0.0215228,0,0.0318518,0.0229986,0,0.036473,0,0.0516731,0,0,0.0440078,0,0.0111211,0.0256265,0.0342157,0,0.0160245,0.0372849,0.0136543,0.049775,0,0,0,0.0264067,0.0162783,0.0216551,0,0.0137154,0,0.0467957,0.0195782,0.0222941,0.0257377,0.0362104,0,0,0,0,0,0,0,0,0
1560,0,0.0386958,0,0,0,0,0.0206614,0,0,0,0.0101064,0.0282354,0.0143118,0,0,0,0.0196523,0,0.0259026,0.0180254,0.0416096,0,0.0123888,0.00936217,0.0122895,0.0193725,0.00442766,0.0103063,0,0.143084,0.0102839,0.111122,0.0190008,0.0137438,0.0211576,0,0.0319152,0.0187988,0,0.0779337,0,0.0519748,0,0,0.0432203,0,0.0111529,0.0250085,0.0357777,0,0.0116578,0.0137084,0.010999,0.0498,0,0.0137762,0,0.00713048,0.0077356,0,0,0.0103637,0.01625,0.0465523,0.0195464,0.0224691,0.0250074,0.0369824,0,0,0,0,0,0,0,0,0
1561,0,0.0385572,0,0,0,0,0.0211387,0,0,0,0.00905362,0.0282145,0.0138302,0,0,0,0.0202916,0,0.025961,0.0186486,0.0419142,0,0.011937,0.0110192,0.0125455,0.0192013,0.00566469,0.0115184,0,0.141894,0.0112882,0.110555,0.0182101,0.0130998,0.0215554,0,0.0321921,0.0104087,0,0,0,0.0512057,0,0,0.0429481,0,0.0112732,0.0249154,0.0351683,0,0.0143835,0.0181563,0.0126927,0.048969,0,0.0165511,0,0.0131504,0.00810779,0.0245774,0,0.0114296,0.00723748,0.046225,0.0194589,0.0225972,0.025159,0.0361684,0,0,0,0,0,0,0,0,0
1562,0,0.0383083,0,0,0,0,0.021128,0,0,0,0.00916949,0.0281241,0.0141311,0,0,0,0.0198603,0,0.0258988,0.0183731,0.042052,0,0.0119332,0.011287,0.0127793,0.018936,0.00551101,0.0118435,0,0.141985,0.0122277,0.110661,0.0182295,0.013632,0.0212209,0,0.0321133,0.0130126,0,0.0994089,0,0.0508596,0,0,0.0424471,0,0.0113753,0.0245624,0.0354643,0,0.0142083,0.0243041,0.0134563,0.0485103,0,0.0187945,0,0.0152544,0.0101907,0.0242946,0,0.0126081,0.00901619,0.0459019,0.0195603,0.0225808,0.0249059,0.0359959,0,0,0,0,0,0,0,0,0
1563,0,0.0383741,0,0,0,0,0.0204427,0,0,0,0.0102461,0.0280251,0.0156823,0,0,0,0.0195868,0,0.0258441,0.0182444,0.0411988,0,0.0124924,0.0106867,0.0119569,0.0189368,0.00469566,0.0112981,0,0.143112,0.0122325,0.111445,0.0191981,0.0148101,0.0210186,0,0.0320924,0.0206699,0,0,0,0.0509791,0,0,0.0415364,0,0.0113849,0.0238971,0.0357256,0,0.0119159,0.0110412,0.0111033,0.0484049,0,0.0114378,0,0.00814966,0.0113389,0,0,0.0143602,0,0.0455196,0.0196073,0.0226706,0.0243531,0.0365645,0,0,0,0,0,0,0,0,0
1564,0,0.0384773,0,0,0,0,0.0200748,0,0,0,0.00920262,0.0280326,0.015363,0,0,0,0.0205006,0,0.0259086,0.0192293,0.0421026,0,0.0119093,0.0125936,0.0122773,0.0187666,0.00633604,0.0124261,0,0.141591,0.0133779,0.110857,0.0182016,0.0137631,0.0218434,0,0.0323957,0.02109,0,0,0,0.0502287,0,0,0.0409396,0,0.0113709,0.023549,0.0348202,0.0237691,0.0162825,0.0308825,0.0124484,0.047556,0,0,0,0.0209901,0.0167782,0.0224043,0,0.0184971,0.0203024,0.0450256,0.0195802,0.0227942,0.0243642,0.0357809,0,0,0,0,0,0,0,0,0
1565,0,0.0383094,0,0,0,0,0.0196401,0,0,0,0.0103206,0.0281202,0.0164793,0,0,0,0.0197803,0,0.0258883,0.0187768,0.0410286,0,0.0124224,0.0116719,0.0118274,0.0189689,0.00539755,0.0119331,0,0.143039,0.0132704,0.111718,0.0191767,0.0146828,0.0214874,0,0.0322466,0.0292902,0,0,0,0.0504798,0,0,0.040264,0,0.0113924,0.0230271,0.0343434,0.0330453,0.0128194,0.0277146,0.0112258,0.0475592,0,0,0,0.0179403,0.0209276,0,0,0.0244743,0.0297913,0.0449024,0.0195984,0.0229967,0.0238214,0.0363034,0,0,0,0,0,0,0,0,0
