Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,RTHI,,LWRA
92,0.0154702,0,0,0,0,0.0155298,0,0,0,0,0,0,0.0401238,0.0257962,0.0368393,0.0137691,0,0,0.00521456,0,0.0323509,0.00254604,0.0382662,0.0374023,0.0124681,0.0200749,0.0345438,0.032603,0.0210743,0.0226112,0.0212976,0.00991531,0.0144363,0.0116649,0.0176212,0.041886,0.0174376,0.00702992,0.0179804,0.0306016,0.0194387,0.0157255,0.0178803,0,0,0.0192002,0,0.0304089,0.0333598,0.0387777,0.0260074,0.0178198,0.042346,0.0309236,0.0356187,0,0.0252299,0.0187088,0.0305616,0.0323551,0.0184616,0.0277995,0.013047,0.0133821,0.0371116,0.0512455,0.0159698,0.00755688,0,0,0.0975359,0,0.0292762
93,0.0141191,0,0,0,0,0.0145054,0,0,0,0,0,0,0.0402059,0.0247742,0.0367996,0.0136691,0,0,0.00627179,0,0.0317169,0.00348316,0.0382087,0.0375061,0.0125146,0.0201514,0.0346526,0.033249,0.0211993,0.0227117,0.0213886,0.010005,0.0145234,0.0116744,0.0176192,0.0419059,0.0191753,0.00570691,0.0182985,0.0305793,0.0197049,0.0157118,0.0167199,0,0,0.0185592,0,0.0304214,0.0324037,0.0386934,0.0263435,0.0177778,0.0422793,0.0310259,0.0357841,0,0.0252626,0.0187502,0.0304812,0.0321074,0.0182518,0.0277803,0.0131299,0.0135542,0.0357155,0.0505648,0.015123,0.00646978,0,0,0.0977296,0,0.0260897
94,0.0127285,0,0,0,0,0.013256,0,0,0,0,0,0,0.040026,0.0239849,0.0367299,0.0136496,0,0,0.00885262,0,0.0309868,0.00540005,0.0382198,0.0376294,0.0125216,0.0201475,0.0345396,0.0337637,0.0212223,0.0227447,0.0214108,0.0100563,0.0145778,0.0117209,0.0175994,0.0418794,0.02071,0.00476239,0.0186262,0.0307405,0.0199921,0.0156382,0.0155228,0,0,0.0186399,0,0.0302572,0.0314436,0.0386212,0.0266866,0.0177917,0.0422897,0.0308243,0.0358775,0,0.0253365,0.0188324,0.0304297,0.0320214,0.0180722,0.0277271,0.0132875,0.0140766,0,0.0498642,0.0140518,0.00551676,0,0,0.0976803,0,0.0228692
95,0.0113001,0,0,0,0,0.012173,0,0,0,0,0,0,0.0400592,0.0234291,0.0367018,0.0139049,0,0,0.0111729,0,0.0301744,0.00699407,0.0382388,0.0373781,0.0127151,0.0202256,0.0348287,0.0344168,0.0212192,0.0228261,0.0214772,0.0101037,0.0146107,0.0117774,0.0175416,0.0419064,0.0220858,0.00380408,0.0188583,0.0306966,0.0201643,0.0157622,0.0140079,0,0,0.017637,0,0.0304218,0.0287537,0.0385912,0.0268601,0.0178698,0.0424236,0.0309714,0.0354323,0,0.0255794,0.018974,0.0304587,0.0321245,0.0179914,0.0276556,0.0134369,0.0147185,0.0303553,0.0471967,0.0131468,0.0045336,0,0,0.0977164,0,0.019873
96,0.00990506,0,0,0,0,0.0110478,0,0,0,0,0,0,0.0401352,0.0231229,0.0366032,0.0139779,0,0,0.0134606,0,0.0301011,0.00858016,0.038274,0.0371854,0.012803,0.0202695,0.0349399,0.0351732,0.0211822,0.0228492,0.0214561,0.0101292,0.0146276,0.0117993,0.0174915,0.041853,0.0235522,0.003469,0.0191656,0.0305823,0.0203493,0.0159494,0.0124735,0,0,0.0177705,0,0.0303439,0.0261802,0.0385881,0.0270642,0.0179666,0.0425313,0.0309173,0.0348844,0,0.0258205,0.0190758,0.0305378,0.0321594,0.0179229,0.027601,0.0136545,0.0155323,0.0263063,0.0447123,0.0121385,0.0037944,0,0,0.0978091,0,0.0175148
97,0.00869359,0,0,0,0,0.010098,0,0,0,0,0,0,0.0399982,0.0227601,0.0365215,0.0135754,0,0,0.0151223,0,0.0300696,0.00983815,0.0383155,0.0371104,0.0128642,0.0202713,0.0350899,0.0358267,0.0211531,0.0229078,0.0213661,0.0101687,0.0146622,0.0118471,0.0174357,0.041804,0.0245485,0.00350081,0.019414,0.030462,0.0205143,0.0164083,0.0109687,0,0,0.0183641,0,0.030283,0.0234903,0.0386233,0.027193,0.0180754,0.0425936,0.0309191,0.0341891,0,0.0260046,0.0191837,0.0305387,0.032111,0.0178279,0.0275158,0.0139135,0.0163873,0.0219463,0.0414038,0.0112619,0.00342698,0,0,0.0978839,0,0.0157412
98,0.00771367,0,0,0,0,0.0094284,0,0,0,0,0,0,0.0399792,0.0225386,0.0364359,0.0127081,0,0,0.0164431,0,0.0302186,0.0109337,0.0382652,0.0370203,0.0129378,0.0202876,0.0353731,0.0362737,0.0211525,0.0229999,0.0213124,0.0102586,0.0147458,0.0118797,0.0173953,0.0417806,0.0252094,0.00370757,0.0195972,0.0303172,0.0206696,0.0171072,0.00947935,0,0,0.019371,0,0.0301452,0.0208505,0.0387082,0.0272948,0.0179773,0.0426034,0.0311349,0.0332953,0,0.0261269,0.0192327,0.0304908,0.0320001,0.0177404,0.0274489,0.0141347,0.0172346,0.0171796,0.0378141,0.0106438,0.00360515,0,0,0.0978804,0,0.0145728
99,0.00710952,0,0,0,0,0.00902544,0,0,0,0,0,0,0.0401854,0.022405,0.0363992,0.012628,0,0,0.0176159,0,0.0303332,0.0119651,0.0381828,0.036759,0.0130874,0.0203956,0.0356602,0.0369784,0.0211605,0.023109,0.0213626,0.0103941,0.0148185,0.0118959,0.0173763,0.0418263,0.0257879,0.00398187,0.0196619,0.0302619,0.0207262,0.0180461,0.0082009,0,0,0.0207705,0,0.0300502,0.0184051,0.0387475,0.0273345,0.0178434,0.0425582,0.0313467,0.0321695,0,0.0262391,0.0192516,0.0304325,0.0318908,0.0177127,0.0274325,0.0141293,0.0179978,0.0115954,0.0342236,0.0101665,0.0044423,0,0,0.097942,0,0.0137363
100,0.00721935,0,0,0,0,0.00913895,0,0,0,0,0,0,0.0402232,0.0223585,0.0364865,0.0127876,0,0,0.0187405,0,0.0304254,0.0129315,0.0382231,0.0363676,0.0132055,0.0205496,0.0360699,0.0378468,0.0212257,0.0232341,0.0214935,0.0105116,0.0148527,0.0119086,0.0173591,0.0419014,0.0261567,0.00423513,0.0196272,0.0303101,0.020721,0.018219,0.00751734,0,0,0.0225231,0,0.0300054,0.0166353,0.0388315,0.0272968,0.0177445,0.0424717,0.0317196,0.0308426,0,0.0262751,0.0192334,0.0303864,0.0317732,0.0177081,0.027412,0.0140552,0.0183884,0.00575904,0.0306786,0.00999215,0.00583524,0,0,0.0982946,0,0.0131951
101,0.0127704,0,0,0,0,0.0147031,0,0,0,0,0,0,0.0403875,0.0222206,0.0366129,0.0128047,0,0,0.0203021,0,0.0303766,0.0140267,0.0382028,0.0362855,0.0131096,0.0207548,0.0362314,0.0392257,0.0213157,0.0234106,0.0216898,0.0105982,0.0149885,0.0118876,0.0173819,0.0420596,0.027169,0.00466971,0.019513,0.0301719,0.0206682,0.0175059,0.0139867,0,0,0.0239302,0,0.0296663,0.0165982,0.0389567,0.027174,0.0176776,0.0424501,0.0318112,0.0166833,0,0.0262703,0.0191633,0.0304732,0.0319631,0.0177737,0.0274341,0.0139766,0.0102169,0.00168243,0.0283931,0.0131867,0.0133656,0,0,0.0983513,0,0.0128944
102,0.0127728,0,0,0,0,0.0142188,0,0,0,0,0,0,0.0401946,0.0223318,0.0365981,0.0128783,0,0,0.0200686,0,0.0300973,0.0140915,0.0382978,0.0362852,0.0130846,0.0207033,0.0362715,0.03893,0.0212134,0.0233498,0.0216375,0.0105494,0.0149661,0.0119109,0.0173524,0.0420673,0.0266429,0.00472944,0.0193827,0.0301803,0.0205352,0.0172533,0.0134117,0,0,0.0255561,0,0.0296888,0.01704,0.0390212,0.0269956,0.0176712,0.0424122,0.031905,0.0187963,0,0.0261841,0.0190778,0.0304641,0.0319643,0.0177249,0.0273537,0.0139251,0.0123695,0.00618719,0.0261276,0.0128142,0.0134254,0,0,0.0980199,0,0.0126367
