Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73
27,0.0114935,0,0,0,0,0.00614629,0,0,0,0,0,0,0.0260741,0.0341943,0.0239497,0.0189119,0,0,0.0325086,0,0.0314854,0.0398046,0.0396834,0.0279741,0.00286408,0.0145386,0.0283221,0.00927422,0.0163262,0.0203252,0.01474,0.0114822,0.0140085,0.0123672,0.0122453,0.0283734,0.0224626,0,0.0396419,0.010527,0.0395203,0.0103754,0.0148781,0.012968,0,0,0.0452066,0,0.037678,0.0345174,0.0375137,0.00802308,0.0141452,0.00996177,0.0281471,0.0173324,0.00971284,0.0133654,0.00801917,0.00943858,0.00655644,0.0285328,0.00837278,0.00738162,0.012467,0.0165339,0.0285929,0.0286914,0.00342505,0.0111518,0,0,0
28,0.0115071,0,0,0,0,0.00608999,0,0,0,0,0,0,0.0261072,0.0341191,0.023834,0.0186217,0,0,0.0324391,0,0.0313901,0.0397209,0.0395229,0.0287781,0.00287484,0.0155915,0.0281509,0.00939618,0.0165953,0.0207696,0.0153579,0.0121119,0.0146025,0.0123339,0.0122,0.0287622,0.0223818,0,0.0396007,0.00993038,0.039504,0.0102636,0.015004,0.0129362,0,0,0.0452249,0,0.0377275,0.0348092,0.0373433,0.00840081,0.0141679,0.0101942,0.0281028,0.0172672,0.00950588,0.0135639,0.00790394,0.00929062,0.00650183,0.0285631,0.00837843,0.00710613,0.0121205,0.0165767,0.0273368,0.0286605,0.00323421,0.011142,0,0,0
29,0.0114794,0,0,0,0,0.00599098,0,0,0,0,0,0,0.025957,0.0340709,0.0235674,0.018179,0,0,0.0323065,0,0.0313269,0.0395787,0.0392696,0.0296371,0.00293136,0.016644,0.0279841,0.00950885,0.016937,0.0213303,0.016042,0.012745,0.0153853,0.0123691,0.0121752,0.0288424,0.0221303,0,0.0395666,0.00934176,0.039479,0.0101334,0.0150848,0.0127861,0,0,0.0453646,0,0.0377412,0.0350551,0.0371536,0.00871139,0.0142261,0.0104512,0.0279477,0.0171375,0.00943767,0.0137994,0.00775642,0.00915155,0.00651595,0.0285745,0.00841394,0.00692057,0.0118104,0.0166339,0.0267011,0.0286622,0.00298687,0.0111194,0,0,0
30,0.0114621,0,0,0,0,0.00586234,0,0,0,0,0,0,0.0255776,0.0340413,0.0232533,0.017782,0,0,0.0322075,0,0.0312896,0.0394293,0.0391178,0.0302819,0.0029615,0.0174817,0.0278743,0.00959922,0.0174128,0.0218903,0.0167458,0.0133818,0.0162461,0.012506,0.0121678,0.0285673,0.0219518,0,0.0394904,0.00881224,0.0394979,0.00995409,0.0151541,0.0126157,0,0,0.0454748,0,0.0377532,0.0351728,0.0369964,0.00893891,0.0142525,0.0107114,0.0278375,0.0170096,0.00939398,0.0140293,0.00765617,0.0090233,0.00652954,0.0285659,0.00842371,0.00681903,0.011584,0.0167759,0.0266639,0.0286645,0.0027111,0.0110822,0,0,0
31,0.0114332,0,0,0,0,0.00576164,0,0,0,0,0,0,0.0253641,0.0340323,0.0230779,0.0175131,0,0,0.0321079,0,0.0312772,0.0393007,0.0389825,0.0308116,0.00294423,0.0178748,0.0277662,0.00969254,0.0179523,0.0223629,0.0173972,0.0137842,0.0168042,0.0125095,0.0122302,0.0280734,0.0220562,0,0.0393951,0.00842024,0.039534,0.00974568,0.0150593,0.0124934,0,0,0.0455647,0,0.0377761,0.0352739,0.0368953,0.00895974,0.014245,0.0109729,0.0278411,0.0168391,0.00941463,0.0142145,0.00763476,0.00892256,0.00654927,0.0285264,0.00839568,0.00678572,0.0114396,0.0170352,0.026794,0.0286731,0.00242726,0.0110134,0,0,0
32,0.0114054,0,0,0,0,0.00570467,0,0,0,0,0,0,0.0254907,0.0340705,0.0231047,0.017346,0,0,0.0320618,0,0.0313181,0.0392212,0.0388423,0.031306,0.0028918,0.0177039,0.0277414,0.00980611,0.018374,0.0227039,0.0178772,0.0138063,0.0168428,0.0123769,0.0123698,0.0276376,0.0220908,0,0.039364,0.00813562,0.039553,0.00952215,0.0148748,0.0124456,0,0,0.0456434,0,0.0377871,0.0353253,0.0368189,0.0088166,0.0142013,0.0112337,0.0279177,0.0165673,0.00948372,0.0143686,0.00770646,0.00885268,0.00660162,0.0284119,0.00838706,0.00676702,0.0113308,0.0173519,0.0268662,0.0286731,0.0021858,0.0109387,0,0,0
33,0.0113338,0,0,0,0,0.00567612,0,0,0,0,0,0,0.025723,0.0340539,0.0233159,0.0173469,0,0,0.03203,0,0.0313042,0.039063,0.0387486,0.0319966,0.00281932,0.0174176,0.0278678,0.00987681,0.0185908,0.0228046,0.0180802,0.0135378,0.0164885,0.0122351,0.012573,0.0274765,0.0219632,0,0.0392921,0.00797614,0.0395178,0.00933864,0.0149883,0.0124057,0,0,0.0456261,0,0.0377444,0.0353142,0.0368003,0.00859716,0.0141253,0.0115032,0.0280316,0.0162842,0.00954537,0.0145142,0.00776793,0.00883268,0.00665363,0.0283312,0.00840307,0.00676486,0.011256,0.0175731,0.026866,0.028654,0.00201048,0.0108298,0,0,0
34,0.0111988,0,0,0,0,0.00564306,0,0,0,0,0,0,0.026078,0.0339649,0.0237071,0.0175687,0,0,0.0319184,0,0.0312208,0.0387748,0.0387156,0.0326252,0.00274687,0.0170412,0.0280502,0.0098738,0.0186096,0.022573,0.0180004,0.0130904,0.015933,0.0120934,0.012805,0.0276552,0.0217148,0,0.0390934,0.00785225,0.0395191,0.00914347,0.0150227,0.0123648,0,0,0.0456254,0,0.0377435,0.0353896,0.03685,0.00835359,0.0140497,0.0117514,0.0282278,0.0161093,0.00955933,0.0146446,0.00777712,0.00886281,0.0067051,0.0283367,0.00843354,0.00679544,0.0111786,0.0176692,0.0268686,0.0286538,0.00189214,0.0106677,0,0,0
35,0.0110962,0,0,0,0,0.00562401,0,0,0,0,0,0,0.0270668,0.0338868,0.0244727,0.0179769,0,0,0.0316485,0,0.0311437,0.0385029,0.0388248,0.0322522,0.0026818,0.016518,0.0283453,0.0098626,0.0185701,0.022341,0.0177852,0.0125977,0.0153029,0.0118646,0.0130376,0.0282683,0.0214804,0,0.0389662,0.00780666,0.0395817,0.00897768,0.0149582,0.0122475,0,0,0.0457377,0,0.0378257,0.0355335,0.036873,0.00804676,0.014036,0.0119359,0.028434,0.0159047,0.00955414,0.0147519,0.00777517,0.00890372,0.00684583,0.0283925,0.00849159,0.00690784,0.0110963,0.0176761,0.0268758,0.0286667,0.00179827,0.0105145,0,0,0
36,0.0110489,0,0,0,0,0.00561515,0,0,0,0,0,0,0.0277889,0.0337925,0.025476,0.0183725,0,0,0.0313426,0,0.0310401,0.0383177,0.039048,0.031106,0.00263371,0.0158821,0.0286047,0.009947,0.0185374,0.0221654,0.017525,0.0121702,0.0147842,0.0116738,0.0132865,0.0291323,0.0212521,0,0.0389143,0.0076922,0.0396283,0.0087168,0.0149868,0.0120924,0,0,0.0457835,0,0.0378929,0.0356242,0.0369575,0.00765766,0.014035,0.0120017,0.028632,0.0156806,0.00951747,0.0147763,0.00777946,0.00893127,0.00700861,0.0283035,0.00847546,0.00701621,0.0108276,0.0177025,0.0269105,0.0286355,0.00173668,0.0104158,0,0,0
