Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x75,x76,RTHI
86,0.00861273,0,0,0,0,0.0156945,0,0,0,0.0335188,0.0247772,0.0281259,0.0209616,0,0,0.0256114,0,0.0318872,0.0137782,0.0396713,0.0259005,0.005846,0.0118819,0.0326088,0.0444809,0.0173443,0.0159564,0.014275,0.00784136,0.0130002,0.0122243,0.0165486,0.0363945,0.0378542,0.0129491,0.00598425,0.012748,0.0034682,0.00996126,0.0175963,0.010488,0,0,0.0117337,0,0,0.0127615,0.038025,0.00749589,0.0146058,0.0134103,0.0301933,0.0174535,0.0149417,0.00818141,0.0125964,0.00731458,0.0304978,0.00850334,0.00758642,0.0130954,0.0162883,0,0.0152103,0.0153884,0.00458439,0,0,0,0,0,0.0122911
87,0.00841664,0,0,0,0,0.0152272,0,0,0,0.0335395,0.0247006,0.0281383,0.0210714,0,0,0.0255392,0,0.0319079,0.0136179,0.0397249,0.025881,0.00590764,0.0118645,0.0328473,0.0442295,0.0173231,0.0159585,0.0142661,0.00781898,0.0130061,0.0122275,0.0165436,0.0364567,0.0376673,0.0129681,0.00604461,0.0127557,0.00339991,0.00997003,0.0177209,0.0104058,0,0,0.0116267,0,0,0.0125868,0.0380254,0.00757896,0.0145541,0.0134488,0.0304604,0.0177011,0.0149502,0.00800807,0.0125989,0.00741504,0.0306369,0.00853014,0.00771595,0.0130828,0.0165709,0,0.0150309,0.014973,0.00463723,0,0,0,0,0,0.0123445
88,0.00827841,0,0,0,0,0.0148209,0,0,0,0.0333803,0.0247469,0.0280407,0.0211803,0,0,0.0256013,0,0.0319699,0.0133274,0.0397596,0.026364,0.00595377,0.0117981,0.0330613,0.0440906,0.0173025,0.0157933,0.0142022,0.00781134,0.0130215,0.012162,0.0165513,0.0364825,0.0376369,0.0128853,0.00618146,0.01267,0.00342127,0.00995265,0.0178275,0.0103788,0,0,0.011409,0,0,0.0125767,0.0380362,0.00785841,0.0144839,0.013432,0.0307025,0.0179943,0.0148883,0.00791661,0.01257,0.00751732,0.0305797,0.00851211,0.00786851,0.0129289,0.0167258,0,0.0150266,0.0145795,0.00472103,0,0,0,0,0,0.012345
89,0.0081534,0,0,0,0,0.0144226,0,0,0,0.0332987,0.0247716,0.0279533,0.0212544,0,0,0.0256744,0,0.0320537,0.0129243,0.0397607,0.0267922,0.00599836,0.011736,0.0332715,0.0440711,0.0172846,0.015622,0.0141425,0.00780282,0.0130324,0.012148,0.0165815,0.0365036,0.0376647,0.0127572,0.00633786,0.0126609,0.00347554,0.00987229,0.0178882,0.0103529,0,0,0.0111403,0,0,0.0126129,0.0380334,0.00767109,0.0144047,0.0134783,0.0309513,0.0182124,0.0149175,0.00807353,0.0125847,0.00750222,0.0305444,0.00850814,0.00775009,0.0130079,0.016852,0,0.0152022,0.0142293,0.00478591,0,0,0,0,0,0.0123419
90,0.00802181,0,0,0,0,0.014052,0,0,0,0.0334297,0.0246662,0.0278884,0.0213311,0,0,0.0256413,0,0.032152,0.0124116,0.0397572,0.0270872,0.00604205,0.0116535,0.033467,0.0439918,0.0172552,0.0156185,0.0140932,0.00780031,0.013048,0.0121457,0.0166179,0.036489,0.0373675,0.012883,0.0064337,0.0126969,0.00346484,0.00983657,0.0179704,0.0102549,0,0,0.0108666,0,0,0.0124916,0.0380103,0.00745236,0.0143654,0.0135839,0.031155,0.0184348,0.0149837,0.00847876,0.0126411,0.00751133,0.0307195,0.00854161,0.00780526,0.0131043,0.0169169,0,0.01509,0.0139198,0.00482017,0,0,0,0,0,0.0123481
91,0.00787528,0,0,0,0,0.0137617,0,0,0,0.0337887,0.024456,0.0279051,0.0214403,0,0,0.0256022,0,0.0322102,0.0119731,0.0397602,0.02672,0.00609597,0.0116289,0.033654,0.0439835,0.0172588,0.0155576,0.0140929,0.00778163,0.0130478,0.0121654,0.0166239,0.0365167,0.0372021,0.0130043,0.00652961,0.012659,0.00342092,0.00976443,0.0180644,0.0101664,0,0,0.0106851,0,0,0.0122687,0.037993,0.0073687,0.0143253,0.013661,0.0313635,0.0186045,0.0150218,0.00864312,0.0126923,0.00752532,0.0308373,0.00853801,0.00784197,0.013088,0.0169036,0,0.0149141,0.0136959,0.00477888,0,0,0,0,0,0.0124258
92,0.00775852,0,0,0,0,0.0134925,0,0,0,0.0339713,0.024272,0.027891,0.0215641,0,0,0.0256384,0,0.0320999,0.0118274,0.0397737,0.0264341,0.00615202,0.0116533,0.0338336,0.0441032,0.0172948,0.0153976,0.014112,0.00775616,0.0130571,0.012152,0.0166236,0.0365749,0.0376259,0.0129862,0.00684319,0.0125663,0.00343705,0.00965911,0.0181271,0.0100828,0,0,0.0104745,0,0,0.0121998,0.0380127,0.00721421,0.0142809,0.0137401,0.0315835,0.0187534,0.0150456,0.00867595,0.0127295,0.00755284,0.0308609,0.00852679,0.0078287,0.0130027,0.0168591,0,0.0148953,0.013492,0.00469708,0,0,0,0,0,0.0125037
93,0.00761881,0,0,0,0,0.0132652,0,0,0,0.0340385,0.0240116,0.0278985,0.0215971,0,0,0.0254031,0,0.0319938,0.0117449,0.0397831,0.0264103,0.0061781,0.0116746,0.033998,0.0442059,0.0173188,0.0155133,0.0141477,0.00774982,0.0130937,0.0121389,0.0166373,0.0366743,0.0378991,0.0128953,0.00709087,0.0125737,0.00348897,0.00968988,0.0181595,0.0100361,0,0,0.0101913,0,0,0.0122136,0.0380271,0.00725816,0.0142058,0.0137427,0.0317595,0.0189365,0.015019,0.00860659,0.0126845,0.00762251,0.0307786,0.00857433,0.00788984,0.0129469,0.0167825,0,0.0149137,0.0133539,0.00480625,0,0,0,0,0,0.0124493
94,0.00747931,0,0,0,0,0.0130732,0,0,0,0.034067,0.0239811,0.0278989,0.0215993,0,0,0.0250403,0,0.0318232,0.0117237,0.0398015,0.0263799,0.00620659,0.0116397,0.0341203,0.0441106,0.0172813,0.0159382,0.0141251,0.00775462,0.0131187,0.0121587,0.0166437,0.0367282,0.0376861,0.0126901,0.0073992,0.0125252,0.00349372,0.0097124,0.01822,0.00991949,0,0,0.0100128,0,0,0.0122122,0.0380065,0.00742007,0.0141582,0.0137608,0.0318823,0.0190829,0.0150025,0.00854452,0.0126354,0.00772249,0.0307392,0.00862565,0.00804158,0.0128394,0.0166921,0,0.014849,0.0132351,0.00478973,0,0,0,0,0,0.0122412
95,0.00734572,0,0,0,0,0.0129368,0,0,0,0.0341625,0.0237097,0.0278932,0.0216468,0,0,0.0247463,0,0.0319852,0.0115755,0.0398301,0.0263711,0.0062559,0.0116607,0.0342627,0.044002,0.0172726,0.0160466,0.0141373,0.00780259,0.0131577,0.0121609,0.0166488,0.0368344,0.0373935,0.0129197,0.00726325,0.0124565,0.00347971,0.00976035,0.0182929,0.00984837,0,0,0.0098503,0,0,0.0121546,0.0379847,0.00766894,0.0141204,0.013768,0.0320294,0.0192771,0.0149788,0.00852191,0.0126278,0.00782193,0.0307767,0.0086514,0.00819372,0.012698,0.0166132,0,0.0147673,0.0131572,0.00478654,0,0,0,0,0,0.0120048
