Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LWRA
108,0.0173386,0,0,0,0,0.0461496,0,0,0,0,0,0,0.0197538,0.0287858,0.0184356,0.028594,0,0,0.024664,0,0.025802,0.0344897,0.0405024,0.0137511,0.00222983,0.00822981,0.0356182,0.0361768,0.0131098,0.00958412,0.00681575,0.0119272,0.0151567,0.0140614,0.0179589,0.0263822,0.0217979,0.0413684,0.00359641,0.03897,0.00290171,0.0187058,0.0442921,0,0,0.0141274,0,0.0375355,0.0233109,0.0405358,0.00656449,0.011854,0.0222232,0.0347583,0.0621645,0.0129181,0.0130799,0.00942926,0.0135665,0.0133745,0.021129,0.00956969,0.0100062,0.00339493,0.0281209,0.0261707,0.0316427,0.0486506,0.0191068,0,0,0,0
109,0.0177966,0,0,0,0,0.0469062,0,0,0,0,0,0,0.0197878,0.0288574,0.0183307,0.0289983,0,0,0.0245239,0,0.0258355,0.0344165,0.04049,0.0141091,0.00215189,0.00834774,0.035961,0.0365505,0.0128132,0.00964047,0.00675581,0.0119046,0.0151318,0.0140928,0.0179355,0.0264027,0.0216382,0.0413298,0.00401483,0.0389239,0.00311839,0.0188082,0.0450816,0,0,0.0141801,0,0.0375342,0.0233912,0.0406045,0.00717931,0.0117776,0.0218834,0.0348499,0.063048,0.0119595,0.0129014,0.00949659,0.0135057,0.0133602,0.0207761,0.00972855,0.0100074,0.00389335,0.0284442,0.0261832,0.0318161,0.0494058,0.0193926,0,0,0,0
110,0.0182766,0,0,0,0,0.0477034,0,0,0,0,0,0,0.0195738,0.0288998,0.0182332,0.029336,0,0,0.0243932,0,0.0258472,0.0342684,0.040595,0.0143809,0.00212495,0.00853125,0.0362393,0.0368795,0.0126981,0.00975114,0.00673814,0.0119072,0.0151341,0.0140813,0.0179002,0.0262753,0.0215132,0.0411737,0.00444493,0.0388696,0.00330114,0.0189039,0.0458832,0,0,0.0141913,0,0.0375472,0.0233533,0.0406073,0.00775658,0.0117843,0.0215706,0.0349512,0.0640101,0.0116068,0.0127516,0.00963461,0.0135481,0.0136988,0.0206183,0.0100238,0.0101386,0.00448609,0.0288805,0.0260245,0.031862,0.0502569,0.0196452,0,0,0,0
111,0.0187726,0,0,0,0,0.0484952,0,0,0,0,0,0,0.0193146,0.0289221,0.0180993,0.0294969,0,0,0.0241782,0,0.0258537,0.0340577,0.0407247,0.0146345,0.00212687,0.00868467,0.036454,0.0370949,0.0126044,0.00991953,0.00679424,0.0119624,0.0151866,0.0140687,0.0178593,0.0260847,0.0213813,0.0409542,0.00496474,0.0388247,0.00361727,0.0189889,0.0466519,0,0,0.0142159,0,0.0375634,0.0232636,0.0405561,0.00824099,0.0117866,0.0214078,0.035036,0.0649344,0.0116334,0.0126612,0.00982321,0.0135982,0.0141482,0.0203843,0.0102306,0.0103343,0.0052317,0.0293012,0.0257698,0.0318143,0.0511248,0.0198853,0,0,0,0
112,0.0192944,0,0,0,0,0.0493632,0,0,0,0,0,0,0.0189688,0.0289694,0.0180216,0.0296784,0,0,0.0240031,0,0.0258891,0.0338685,0.0408363,0.0148502,0.00216849,0.00885017,0.0365295,0.0372942,0.0124758,0.0100588,0.00690935,0.0120732,0.0152808,0.0140498,0.0178334,0.0257792,0.0213608,0.0407828,0.00524165,0.0387689,0.00392782,0.0190048,0.0475189,0,0,0.0142257,0,0.0375778,0.0231897,0.0405483,0.00863568,0.011808,0.021326,0.0350316,0.0659752,0.0116361,0.0126126,0.00997625,0.0135519,0.0145708,0.0200619,0.0102879,0.0104953,0.00603585,0.0300327,0.0254633,0.0317182,0.0520616,0.0201719,0,0,0,0
113,0.0197723,0,0,0,0,0.0503087,0,0,0,0,0,0,0.0187116,0.0289821,0.0179898,0.029836,0,0,0.0238348,0,0.025903,0.0336841,0.0409084,0.0150199,0.00222652,0.0090198,0.0364191,0.0374731,0.0123439,0.0101283,0.00702334,0.0121402,0.0153489,0.0140382,0.0178121,0.0254703,0.0213517,0.0406554,0.00522519,0.0387137,0.00415665,0.0189379,0.0484659,0,0,0.0141876,0,0.0375573,0.0232995,0.0406126,0.00897162,0.0118199,0.0213232,0.0349477,0.0671181,0.0115461,0.0126016,0.0100683,0.0135285,0.0146797,0.0197597,0.0101034,0.0105391,0.00670093,0.0307101,0.0251839,0.0316589,0.0530587,0.0204231,0,0,0,0
114,0.0202766,0,0,0,0,0.0512864,0,0,0,0,0,0,0.0184959,0.0290182,0.0180186,0.0299067,0,0,0.0237196,0,0.0259284,0.0335747,0.0409452,0.0151358,0.00224602,0.00916813,0.0360981,0.037598,0.0121203,0.0101019,0.00709337,0.0121642,0.015399,0.0141113,0.0177799,0.0252421,0.0212744,0.0405369,0.00478454,0.0386523,0.00413791,0.0188378,0.0494413,0,0,0.0143019,0,0.0375477,0.0232413,0.0407742,0.0091947,0.0118857,0.0212673,0.0347191,0.0683284,0.0113764,0.0126832,0.0100924,0.0135712,0.0146273,0.0197755,0.00990661,0.0104766,0.00696395,0.0313726,0.0250653,0.0318396,0.0540815,0.0206846,0,0,0,0
115,0.0198638,0,0,0,0,0.0508218,0,0,0,0,0,0,0.0184018,0.0291087,0.0180649,0.0299841,0,0,0.0237772,0,0.0259674,0.033789,0.0409697,0.0151595,0.0021786,0.00933237,0.0360946,0.0375768,0.0120319,0.0100585,0.00711458,0.0122044,0.0153901,0.0141366,0.0177284,0.0251528,0.021246,0.0405211,0.00428521,0.0386201,0.00405489,0.0187771,0.0488765,0,0,0.0138595,0,0.037582,0.0229964,0.0409891,0.00939125,0.0119657,0.0212015,0.0345901,0.067435,0.0113639,0.0127817,0.010123,0.0136722,0.0145373,0.020002,0.00980269,0.0104808,0.00691879,0.0308179,0.025178,0.0320013,0.0537428,0.0205233,0,0,0,0
116,0.0194195,0,0,0,0,0.0501765,0,0,0,0,0,0,0.0183275,0.0292166,0.0181677,0.0300294,0,0,0.0238044,0,0.0260271,0.0339453,0.0409666,0.015134,0.00213838,0.00951163,0.0362936,0.0374175,0.0119717,0.0100284,0.00713106,0.0122182,0.0153471,0.0141207,0.0176921,0.0251135,0.0212686,0.0403901,0.00386339,0.0385966,0.00397126,0.0188247,0.0481483,0,0,0.0134093,0,0.0375343,0.0228565,0.0412338,0.00957409,0.0120331,0.0212651,0.0344797,0.0663722,0.0113811,0.012912,0.0101033,0.0137284,0.0144538,0.0202778,0.00974274,0.0106048,0.00648344,0.0301046,0.0254571,0.0322115,0.0532094,0.0202758,0,0,0,0
117,0.0189888,0,0,0,0,0.0494511,0,0,0,0,0,0,0.0182667,0.0291743,0.0183306,0.030044,0,0,0.0235234,0,0.0260057,0.0337419,0.0409835,0.0151025,0.0021324,0.00968981,0.0363519,0.0371592,0.0118743,0.0100408,0.00719207,0.0122445,0.0153161,0.014095,0.0177008,0.0251276,0.021126,0.0399195,0.00376931,0.0385805,0.00403876,0.0189378,0.0473254,0,0,0.0130134,0,0.0374263,0.0228186,0.041404,0.00974032,0.0120045,0.0215673,0.0345233,0.0652265,0.011416,0.0130152,0.0100599,0.0136894,0.0143798,0.0204089,0.00952694,0.0106073,0.00583456,0.0293342,0.0258102,0.0324552,0.0525464,0.0199968,0,0,0,0
