Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x76,,x75,LTHIP
23,0.0258932,0,0,0,0,0.0146728,0,0,0,0,0,0,0.0249425,0.0286077,0.0132038,0.0177634,0,0,0.0178544,0,0.0277254,0.0130655,0.0428096,0.00876251,0.008864,0.00329336,0.0311033,0.0423221,0.00832349,0.00707043,0.00354066,0.0104164,0.0150289,0.00909591,0.0273857,0.0353991,0.0195956,0.0123034,0.0107024,0.0125096,0.0268215,0.0155205,0.0175342,0.0290495,0,0,0.0161457,0,0.0326821,0.0271838,0.0376558,0.018548,0.0140698,0.0187172,0.0294654,0.0298573,0.00910971,0.0137729,0.00782565,0.0107541,0.0133242,0.0350394,0.0120856,0.0123952,0.00861008,0.0265674,0.0369148,0.0153682,0.0145769,0.0251299,0,0,0,0,0,0,0,0
24,0.0255572,0,0,0,0,0.0147173,0,0,0,0,0,0,0.0243618,0.0284076,0.0130797,0.017708,0,0,0.0184031,0,0.0276932,0.01314,0.0425432,0.00889643,0.00870461,0.0033893,0.031035,0.0418612,0.008143,0.00692265,0.00326869,0.0104186,0.0148379,0.0091731,0.0275187,0.0348481,0.0194657,0.0122929,0.0111711,0.0123093,0.0268519,0.0153194,0.0175405,0.0286335,0,0,0.0161487,0,0.0327329,0.0268729,0.0376096,0.0183523,0.0140451,0.0186705,0.0293577,0.029423,0.00912354,0.0137371,0.00804683,0.0107356,0.0133243,0.0348774,0.0119957,0.0123558,0.00826525,0.0260428,0.0368172,0.015164,0.0144991,0.0248248,0,0,0,0,0,0,0,0
25,0.0252227,0,0,0,0,0.0146945,0,0,0,0,0,0,0.0237124,0.0283603,0.0129661,0.0176652,0,0,0.0189366,0,0.0276471,0.0132329,0.0422228,0.00912041,0.00862997,0.00349563,0.0309823,0.0417104,0.00798255,0.00670254,0.00296881,0.010465,0.01463,0.00926641,0.0276476,0.0341631,0.0195691,0.0122007,0.0115443,0.0120369,0.026849,0.0150936,0.0175974,0.0283383,0,0,0.0161319,0,0.0327261,0.0265514,0.0375438,0.018139,0.0140576,0.018618,0.0292145,0.0289416,0.0091186,0.0137088,0.0081206,0.0106998,0.0133046,0.0347849,0.0118845,0.0123004,0.00787794,0.0254768,0.0365326,0.0150504,0.0144984,0.0245472,0,0,0,0,0,0,0,0
26,0.0249003,0,0,0,0,0.014647,0,0,0,0,0,0,0.0232062,0.0283813,0.0128515,0.0176355,0,0,0.0194614,0,0.0276456,0.0133262,0.0419273,0.00933044,0.00861147,0.0036767,0.030886,0.041645,0.00785712,0.00639133,0.00268215,0.0104518,0.0144141,0.00933449,0.0277512,0.0334572,0.019705,0.0121328,0.011894,0.0120584,0.0268208,0.0151839,0.0176518,0.0280873,0,0,0.0160634,0,0.0326473,0.0261019,0.0374614,0.0183054,0.0141053,0.0186613,0.0290537,0.0283527,0.00916273,0.0137667,0.00815117,0.0107175,0.0133535,0.0347165,0.0119629,0.0123357,0.00785201,0.0248909,0.035952,0.0150449,0.0144976,0.024283,0,0,0,0,0,0,0,0
27,0.0245675,0,0,0,0,0.0146251,0,0,0,0,0,0,0.022763,0.0283576,0.0127672,0.0176119,0,0,0.0199771,0,0.0276624,0.0134079,0.0417711,0.00946789,0.00862637,0.00391842,0.0308517,0.0415663,0.00772016,0.00630722,0.00242275,0.0104782,0.0142489,0.00937537,0.0278336,0.0329815,0.0197704,0.0121221,0.0122386,0.0120907,0.0267971,0.0152577,0.0177128,0.0277684,0,0,0.0159976,0,0.0326309,0.0257023,0.0374123,0.0184169,0.0141142,0.0186809,0.0289596,0.0277713,0.00915785,0.013814,0.00815928,0.0107198,0.0133613,0.0347088,0.0120101,0.0123686,0.00785229,0.024335,0.0355859,0.0150522,0.0145385,0.024013,0,0,0,0,0,0,0,0
28,0.0242436,0,0,0,0,0.0146358,0,0,0,0,0,0,0.0224383,0.0282916,0.0127381,0.0175553,0,0,0.0205133,0,0.0276883,0.01352,0.0417339,0.00952191,0.00863592,0.0040545,0.0308722,0.0414585,0.00760118,0.00642216,0.002251,0.0105218,0.0141662,0.00941683,0.0278987,0.0327898,0.0198478,0.0121333,0.0125982,0.0121007,0.0267697,0.0152769,0.017738,0.0274644,0,0,0.0160235,0,0.0326382,0.025434,0.037399,0.0184351,0.014149,0.0186823,0.0289064,0.0272684,0.00911035,0.0138501,0.0081792,0.010705,0.0133537,0.0347242,0.0120067,0.0123698,0.00779804,0.023822,0.0354497,0.0150772,0.0146377,0.0237507,0,0,0,0,0,0,0,0
29,0.0239056,0,0,0,0,0.0146444,0,0,0,0,0,0,0.022273,0.0282286,0.0127271,0.0174609,0,0,0.0210498,0,0.0276653,0.0136543,0.0417185,0.00962383,0.00861992,0.00418982,0.0308952,0.0413294,0.00751428,0.00637584,0.00210475,0.0105967,0.0141119,0.00946498,0.0279432,0.0325945,0.0199619,0.0120611,0.0129353,0.0120935,0.0267434,0.0152616,0.0177315,0.027141,0,0,0.0160702,0,0.0326485,0.025227,0.0374267,0.0184447,0.0142213,0.0186766,0.0288979,0.0268201,0.00906475,0.0138485,0.00822596,0.0106845,0.0133411,0.0347314,0.012005,0.0123622,0.00776132,0.0233277,0.0353905,0.0151078,0.0147254,0.0234569,0,0,0,0,0,0,0,0
30,0.0235933,0,0,0,0,0.0146637,0,0,0,0,0,0,0.0222631,0.0281623,0.012698,0.017335,0,0,0.0215501,0,0.0276091,0.0138597,0.0416782,0.00972397,0.00862389,0.00430912,0.030952,0.0412281,0.00746702,0.00620856,0.00200036,0.0106106,0.014065,0.00949583,0.0279575,0.032418,0.0201015,0.011952,0.0132809,0.0121169,0.0267055,0.0152709,0.0177463,0.0268159,0,0,0.0161361,0,0.0326405,0.0250816,0.037434,0.0185249,0.0142775,0.0186621,0.0289276,0.026437,0.00902498,0.0138281,0.00824911,0.0106643,0.0133357,0.0346864,0.0120091,0.0123649,0.00776631,0.0229157,0.0353835,0.0151691,0.014814,0.0231593,0,0,0,0,0,0,0,0
31,0.0232698,0,0,0,0,0.0147089,0,0,0,0,0,0,0.0221646,0.0281649,0.012716,0.0172002,0,0,0.0219894,0,0.0276495,0.0140622,0.0416392,0.0098343,0.00864588,0.0044168,0.0310189,0.0411261,0.00743007,0.00609608,0.00192322,0.0105936,0.0140358,0.00952514,0.0279699,0.0323329,0.0201498,0.0119318,0.0136607,0.0121571,0.0266771,0.0153063,0.0177756,0.0264956,0,0,0.0161604,0,0.0326407,0.0249454,0.037429,0.0186306,0.0143124,0.0186481,0.0289708,0.0260553,0.00900196,0.0138093,0.00810358,0.0106506,0.0133205,0.0346258,0.0120102,0.0123753,0.00780791,0.0225486,0.0353392,0.015255,0.0149512,0.0228508,0,0,0,0,0,0,0,0
32,0.0229507,0,0,0,0,0.0147801,0,0,0,0,0,0,0.0220058,0.0281729,0.0127717,0.0170563,0,0,0.0223385,0,0.0276933,0.0142307,0.0416132,0.00990192,0.00866214,0.00449768,0.0310514,0.041014,0.00740129,0.00603124,0.00187029,0.0106107,0.0140016,0.00953914,0.027971,0.0322536,0.0201624,0.0119102,0.0140156,0.0121729,0.0266469,0.0153236,0.0178195,0.0262019,0,0,0.0161667,0,0.0326359,0.0248183,0.0374278,0.0186736,0.0143405,0.0186362,0.0290389,0.0256972,0.00898843,0.0138154,0.00779475,0.0106361,0.0133059,0.0345407,0.0120199,0.0123722,0.00782164,0.022303,0.0353022,0.0153465,0.015103,0.0225688,0,0,0,0,0,0,0,0
