Timestep,C7,CBL,CBR,CFL,CFR,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,RFHD,RFIN,RGTR,RHEE,RILC,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RWRA,RWRB,STRN,T10,x71,x72,x73,RKNE,RTHI,RUPA,,RTIBI,RFRM,REAR,CLAV,LTHIA,RTHIA,RTHII,LASI,RASI
275,0.0339641,0,0,0,0,0,0,0,0,0,0,0.0200274,0.0369012,0.0213337,0,0,0.0290775,0,0.0358894,0.0126142,0.0454913,0.028596,0.00725499,0.0068446,0.0109074,0.0113974,0.00599954,0.00802067,0.00873964,0.0101785,0.013806,0.0144979,0.0224061,0.0258851,0.0407588,0.010922,0.00732682,0.0350978,0.0179973,0.0374037,0,0,0.0345653,0.0375127,0.0235829,0.0202134,0.0114352,0,0.0105921,0.011969,0.0319676,0.0149473,0.013818,0.00963974,0.0209135,0.0141431,0.0319899,0,0,0,0.0105152,0.00797253,0.0246975,0,0.0114462,0.0235596,0,0.0138729,0.0070295,0.0103819,0.0053682,0.00669653,0.0169174
276,0.0340529,0,0,0,0,0,0,0,0,0,0,0.0195554,0.0365453,0.0208385,0,0,0.0288757,0,0.0361386,0.0125483,0.0458805,0.0282741,0.00710484,0.00733129,0.011056,0.0113005,0.00571337,0.00813911,0.0092888,0.0105213,0.013967,0.0141964,0.0213913,0.0257283,0.0406263,0.0111427,0.00743282,0.035149,0.017902,0.0372565,0,0,0.034612,0.0375401,0.0235532,0.0203479,0.0115197,0,0.0100812,0.0115001,0.0323127,0.0144113,0.014234,0.00987801,0.0208891,0.01415,0.0321013,0,0,0,0.0101397,0.00768486,0.0247575,0,0.0112711,0.0238634,0,0.0140075,0.00743125,0.0103296,0.00513321,0.00673209,0.0168361
277,0.0341043,0,0,0,0,0,0,0,0,0,0,0.0189531,0.0362118,0.0203337,0,0,0.0286769,0,0.0364039,0.012474,0.0462295,0.0277555,0.00704176,0.00785125,0.0112517,0.0112258,0.00564185,0.008314,0.00991882,0.0109485,0.0141836,0.0139102,0.0205165,0.0255932,0.0405038,0.0113596,0.00746432,0.0351867,0.0180558,0.0372105,0,0,0.0346593,0.0375574,0.0238103,0.0205402,0.0116333,0,0.00979702,0.0113447,0.0326847,0.0142576,0.0146468,0.0101495,0.0208516,0.0141847,0.0322024,0,0,0,0.00996589,0.00756605,0.0247294,0,0.0113105,0.0240999,0,0.0141415,0.00784021,0.0103761,0.00504735,0.00685344,0.0167501
278,0.0341041,0,0,0,0,0,0,0,0,0,0,0.0184548,0.035802,0.0198609,0,0,0.0284098,0,0.0367114,0.0123948,0.046456,0.02738,0.00695558,0.00826938,0.0114447,0.0111502,0.00571931,0.00852997,0.0105438,0.0113783,0.0143542,0.0136762,0.0199961,0.0255117,0.0402942,0.0115223,0.00745257,0.0352108,0.0183812,0.0372469,0,0,0.0346908,0.0375821,0.0243083,0.0206157,0.0117653,0,0.00967249,0.0114329,0.0328211,0.0144179,0.0148756,0.0102948,0.0208518,0.0142019,0.0322576,0,0,0,0.0100197,0.00752352,0.0247192,0,0.0114916,0.0242872,0,0.0143205,0.00807015,0.0104699,0.00504324,0.00708528,0.0166278
279,0.034132,0,0,0,0,0,0,0,0,0,0,0.0183815,0.0355306,0.0195518,0,0,0.0281869,0,0.0368441,0.0123394,0.0464922,0.0273118,0.00682625,0.00851069,0.0115697,0.0111421,0.00572023,0.00868149,0.0110503,0.0116665,0.014398,0.0136058,0.0199138,0.025421,0.040076,0.0115002,0.00742205,0.0352385,0.0186736,0.0373397,0,0,0.0347039,0.0375896,0.0248099,0.0206931,0.0118727,0,0.00954993,0.0115657,0.0328703,0.0145824,0.0150737,0.0103348,0.0208667,0.0142143,0.0323301,0,0,0,0.0101464,0.00750216,0.0246098,0,0.0116251,0.0244341,0,0.0144487,0.00804368,0.0105558,0.00505435,0.00695341,0.0165586
280,0.0342196,0,0,0,0,0,0,0,0,0,0,0.018443,0.0354326,0.019526,0,0,0.0280125,0,0.0368387,0.0122525,0.0464192,0.0273897,0.00667816,0.00856938,0.0115781,0.0111729,0.00562584,0.00869755,0.0111351,0.0118092,0.0143393,0.0136089,0.0201146,0.0253643,0.0398931,0.0113829,0.0074733,0.0352851,0.0188968,0.0374667,0,0,0.0346935,0.0375772,0.0252001,0.0208023,0.0119059,0,0.00945609,0.0116456,0.0329604,0.0146663,0.015283,0.0103411,0.0207924,0.0142381,0.0324184,0,0,0,0.0102155,0.00748809,0.0243803,0,0.0116616,0.0245316,0,0.0145681,0.00788566,0.0106528,0.00511502,0.00694579,0.0165478
281,0.034298,0,0,0,0,0,0,0,0,0,0,0.0187138,0.0353682,0.0197274,0,0,0.027893,0,0.0367702,0.0121008,0.046333,0.0277651,0.00663247,0.00850955,0.0115287,0.011252,0.00547077,0.0085516,0.0110579,0.0118681,0.0142819,0.0134919,0.0205135,0.0251819,0.0396762,0.0112039,0.00756145,0.035326,0.0190584,0.0376045,0,0,0.0346807,0.0375702,0.0254504,0.0208963,0.0118259,0,0.00932431,0.0117022,0.0330841,0.0147478,0.0154184,0.0103675,0.0206932,0.0142301,0.0324906,0,0,0,0.0103048,0.00744655,0.0242796,0,0.0116964,0.0245368,0,0.0146149,0.00766278,0.0107798,0.00520189,0.0070624,0.0166088
282,0.0343589,0,0,0,0,0,0,0,0,0,0,0.0192503,0.0352127,0.0199961,0,0,0.0277606,0,0.0367572,0.0119841,0.0462645,0.0283981,0.00670509,0.00842476,0.0115258,0.0113196,0.00540692,0.00839047,0.0109537,0.011913,0.0143505,0.0133777,0.020838,0.0251139,0.0394064,0.0111471,0.0076759,0.0353509,0.0191612,0.0377548,0,0,0.034678,0.0375954,0.0255896,0.0209359,0.0116914,0,0.0091691,0.0117552,0.0331908,0.0148189,0.015476,0.0103867,0.0207081,0.0142082,0.0325273,0,0,0,0.0104432,0.00734656,0.0241372,0,0.0117731,0.0244847,0,0.0146286,0.00748051,0.0109224,0.00527685,0.00712902,0.0166981
283,0.034402,0,0,0,0,0,0,0,0,0,0,0.019641,0.0350375,0.0203924,0,0,0.0275696,0,0.036784,0.0119343,0.0462628,0.0291122,0.0067548,0.00833584,0.0114722,0.011424,0.00543786,0.0083883,0.0108939,0.0119737,0.0144279,0.0133232,0.0210028,0.0251368,0.0391915,0.0111636,0.00760303,0.0353521,0.019181,0.0379092,0,0,0.0346701,0.0376974,0.0256349,0.0209641,0.0114674,0,0.00903427,0.0118433,0.0332919,0.0148934,0.0154127,0.0104814,0.0207427,0.014153,0.0325582,0,0,0,0.0106773,0.00722195,0.0239432,0,0.011886,0.0243836,0,0.0146231,0.00744537,0.0110055,0.00526729,0.00703482,0.0165809
284,0.0344434,0,0,0,0,0,0,0,0,0,0,0.0199205,0.0349221,0.0209035,0,0,0.0274053,0,0.0368601,0.011932,0.0463453,0.0299891,0.00683132,0.00830962,0.0113597,0.0115898,0.00547426,0.00852798,0.0108105,0.0119454,0.014421,0.0133693,0.0213084,0.0251396,0.0390683,0.0112148,0.00751913,0.0353301,0.0191202,0.0380254,0,0,0.0346387,0.0378468,0.0255235,0.0209301,0.0111929,0,0.00893781,0.0119113,0.0333997,0.0148954,0.0153223,0.0106011,0.0207554,0.0140662,0.0326223,0,0,0,0.010898,0.00710308,0.0237673,0,0.0119684,0.0241956,0,0.0145629,0.00758077,0.0110492,0.00528134,0.00698483,0.0164865
