Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,,x81,x79
655,0.00793407,0,0,0,0,0.0106928,0,0,0,0,0,0,0.00397161,0.036832,0.00678116,0.0149461,0,0,0.0232292,0,0.0469439,0.019581,0.0420136,0.0100077,0.0248961,0.00614355,0.0178364,0.0284302,0.00299994,0.00438004,0.00346912,0.00776133,0.00768506,0.00807124,0.0296779,0.00591835,0.0137494,0.0527573,0.0186072,0.00608674,0.0454232,0.0111405,0.0156376,0.0117128,0,0,0.058425,0,0.0396422,0.0561083,0.0386366,0.0174158,0.0133384,0.00602584,0.0189379,0.0059498,0.00462975,0.0135432,0.00442081,0.00505467,0.0115786,0.0365154,0.00970341,0.0123348,0.00320552,0.0303768,0,0.0690606,0.0119278,0.00922225,0,0,0,0,0,0,0,0,0
656,0.012299,0,0,0,0,0.0148903,0,0,0,0,0,0,0.00397994,0.0340556,0.00697022,0.0146465,0,0,0.0189799,0,0.0458991,0.0183246,0.0419251,0.0101372,0.0246635,0.00610498,0.0176357,0.0348486,0.00300543,0.00438455,0.00335866,0.00786003,0.00778564,0.00816484,0.0297846,0.00602948,0.0174636,0.0502549,0.0181954,0.00619174,0,0.0109715,0.0157457,0.0131003,0,0,0.0479425,0,0.011115,0.0468764,0.0386688,0.0171212,0.0134152,0.00610962,0.0184455,0.0143911,0.00469294,0.0136138,0.00446727,0.00513015,0.0113655,0.0364335,0.00957166,0.0121736,0.00338498,0.0221377,0,0.0497221,0.0140468,0.0108726,0,0,0,0,0,0,0,0,0
657,0.0193292,0,0,0,0,0.0202593,0,0,0,0,0,0,0.00392062,0.0311883,0.00711578,0.0136452,0,0,0.0209732,0,0.0442671,0.0192413,0.041985,0.00891304,0.0240942,0.0061519,0.0157087,0.0407596,0.00286945,0.00455083,0.00340187,0.00789928,0.00786817,0.00820782,0.0298623,0.00562906,0.0243616,0.0468109,0.0179643,0.00653642,0,0.0107589,0.0154139,0.0193157,0,0,0.0459151,0,0.0106311,0.0442878,0.0387769,0.0166958,0.0136333,0.00610133,0.0161576,0.0184858,0.0046915,0.0136612,0.00445105,0.00515018,0.0111818,0.0363423,0.0093922,0.0118496,0.00377474,0.0221258,0,0.0483858,0.0178901,0.0160287,0,0,0,0,0,0,0,0,0
658,0.0254051,0,0,0,0,0.0243624,0,0,0,0,0,0,0.00367527,0.028536,0.00728457,0.0124869,0,0,0.0263394,0,0.0427348,0.0208743,0.0420463,0.00859438,0.0236177,0.00596784,0.0136468,0.0458913,0.0028468,0.00467865,0.00325594,0.00800306,0.00804905,0.00830394,0.0299773,0.00519708,0.0312475,0.0425714,0.0175355,0.00664241,0,0.0105225,0.0145556,0.0243168,0,0,0.0436952,0,0.0100148,0.0418328,0.0389372,0.0162272,0.0139014,0.00568622,0.0138357,0.0220229,0.00462863,0.0136264,0.00445368,0.00511437,0.0109769,0.0364945,0.00918675,0.0114399,0.0041507,0.0219152,0,0.0482135,0.0207126,0.0207824,0,0,0,0,0,0,0,0,0
659,0.0255143,0,0,0,0,0.0257331,0,0,0,0,0,0,0.00381644,0.0262872,0.00732453,0.0133604,0,0,0.0274087,0,0.0413044,0.019392,0.0419545,0.00864341,0.0242347,0.00596031,0,0.0487095,0.00285874,0.00468228,0.00316909,0.00812768,0.00814782,0.00837464,0.030061,0.00549357,0.0335146,0.0385353,0.0153252,0.00675136,0,0.0104298,0.0139514,0.0247852,0,0,0.0417507,0,0.00895702,0.0396192,0.0390158,0.0161761,0.0142871,0.00590514,0.0153434,0.0234505,0.00471154,0.0136686,0.00451761,0.00512833,0.0109674,0.0363491,0.00912386,0.0113813,0.00431098,0.0214104,0,0.0475224,0.0219081,0.0204498,0,0,0,0,0,0,0,0,0
660,0.0258648,0,0,0,0,0.0262527,0,0,0,0,0,0,0.00371838,0.0243174,0.00733545,0.0136974,0,0,0.0285711,0,0.0400664,0.0184438,0.0418992,0.0090631,0.0243551,0.00589386,0,0.0494126,0.0029652,0.00461116,0.003102,0.00814413,0.00821534,0.00839775,0.0300727,0.00585423,0.0350118,0.0339018,0.0133223,0.00662775,0,0.0104336,0.0136257,0.0254161,0,0,0.0390095,0,0.00823836,0.0373509,0.0390468,0.0162571,0.0143546,0.00603907,0.0160209,0.0228027,0.00476106,0.0136734,0.00454757,0.00504324,0.0109769,0.0362691,0.00921884,0.0114515,0.00427101,0.0200338,0,0.0466021,0.0223148,0.0203743,0,0,0,0,0,0,0,0,0
661,0.0230256,0,0,0,0,0.0251356,0,0,0,0,0,0,0.00387761,0.023227,0.00731757,0.0129311,0,0,0.026876,0,0.0386968,0.0165196,0.0420593,0.00979604,0.023781,0.00607927,0.0144719,0.0453463,0.00293171,0.0047425,0.00319743,0.00815089,0.00820654,0.00838141,0.030075,0.00594196,0.0328365,0.0297326,0.0109648,0.00678207,0.0326942,0.0106139,0.0130807,0.0237757,0,0,0.0337773,0,0.0340791,0.0317921,0.0389943,0.0164213,0.0139865,0.00598002,0.0146357,0.0166986,0.00463784,0.0136134,0.00442972,0.00488578,0.0111534,0.0363769,0.00933019,0.0115711,0.00436674,0.0197807,0,0.0638546,0.0223659,0.0180748,0,0,0,0,0,0,0,0,0
662,0.0210793,0,0,0,0,0.0239523,0,0,0,0,0,0,0.00401247,0.0224511,0.00733292,0.0135783,0,0,0.0259101,0,0.0377654,0.015903,0.0420283,0.00918411,0.0240409,0.0062695,0.0159879,0.045106,0.00298825,0.00467669,0.00336198,0.00818987,0.00822685,0.00840339,0.0300684,0.00678912,0.032127,0.0262525,0.00953252,0.00654806,0.0314262,0.010767,0.0136358,0.0224223,0,0,0.029454,0,0.0326879,0.0290085,0.0388305,0.0167792,0.0138381,0.00637623,0.0163303,0.0142735,0.004727,0.013683,0.00444769,0.00494056,0.0113938,0.036243,0.00924648,0.0117632,0.00427916,0.0171778,0,0.0634209,0.021595,0.0166814,0,0,0,0,0,0,0,0,0
663,0.0201987,0,0,0,0,0.0233135,0,0,0,0,0,0,0.00422285,0.0217441,0.00751744,0.0142034,0,0,0.0267584,0,0.0376262,0.0167975,0.0416832,0.00891591,0.0244399,0.0061162,0.0177726,0.0485546,0.00320803,0.00450115,0.00322718,0.00829609,0.00844176,0.00856803,0.030188,0.00765313,0.033786,0.023547,0.00930289,0.00631142,0,0.0108725,0.0144349,0.0210711,0,0,0.0274253,0,0.00503597,0.0304815,0.0387503,0.0169123,0.0136637,0.00620213,0.0184581,0.0171429,0.00465371,0.0136166,0.00439261,0.00498911,0.011584,0.0363998,0.00935317,0.0119814,0.00398004,0.0126816,0,0.0449472,0.0206043,0.0159796,0,0,0,0,0,0,0,0,0
664,0.0165577,0,0,0,0,0.0204818,0,0,0,0,0,0,0.00425886,0.0218788,0.00741874,0.0141671,0,0,0.0225781,0,0.0369587,0.0146255,0.0415743,0.00878928,0.0245467,0.0061948,0.0173629,0.0432312,0.00312801,0.00453872,0.00330338,0.00822282,0.00838157,0.00848866,0.0301281,0.00786978,0.0288273,0.0211255,0.00780179,0.00646241,0.0310357,0.0108866,0.0152034,0.0187351,0,0,0.0213546,0,0.0320854,0.0246966,0.0386317,0.0169314,0.0134852,0.00617459,0.018238,0.00801669,0.004536,0.0136513,0.00439095,0.00489958,0.0116084,0.0364613,0.00939457,0.0119827,0.00418817,0.0121893,0,0.0621121,0.0192332,0.0143969,0,0,0,0,0,0,0,0,0
