Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,
958,0.0141916,0,0,0,0,0.0102725,0,0,0,0,0,0,0.00219755,0.0280055,0.00879987,0.011054,0,0,0.032339,0,0.0248359,0.0297094,0.0497195,0.0178121,0.0147498,0.0154826,0.00410248,0.0239236,0.00615045,0.00811257,0.0114016,0.00968369,0.00719469,0.00885997,0.0195079,0.00687853,0.0176815,0.0219829,0.0225902,0.0652325,0.0417424,0.0297942,0.0175946,0.0127737,0,0,0.0064217,0,0.0458687,0.00866652,0.0353957,0.0322234,0.0126854,0.0116586,0.0036845,0.00853333,0.00401622,0.0148122,0.0124548,0.00418235,0.0205713,0.0138171,0.0210167,0.0221571,0.0570517,0.00152913,0.0172049,0.0190941,0.0112495,0.0150428,0,0,0,0,0,0,0
959,0.013751,0,0,0,0,0.0102031,0,0,0,0,0,0,0.00312639,0.0279674,0.00813146,0.0111076,0,0,0.0325719,0,0.024985,0.0298488,0.0494351,0.016397,0.015108,0.0139421,0.0040989,0.0243191,0.00579956,0.00766619,0.0102979,0.00862927,0.00633626,0.00805794,0.0197959,0.00572149,0.0179919,0.0219502,0.0229025,0.0646858,0.0417536,0.0298109,0.0176729,0.0128129,0,0,0.00562043,0,0.0459464,0.00823348,0.0352458,0.0325459,0.0126791,0.0117243,0.00383692,0.00844439,0.00401945,0.0148839,0.0125586,0.00434701,0.0207363,0.0136822,0.0212002,0.022328,0.0574197,0.00210405,0.0171323,0.0191269,0.0111471,0.0151698,0,0,0,0,0,0,0
960,0.0131847,0,0,0,0,0.0101335,0,0,0,0,0,0,0.00415973,0.0279378,0.00654492,0.0109866,0,0,0.0327236,0,0.0250838,0.0299068,0.0491424,0.0138042,0.0155813,0.0115995,0.00433424,0.0247099,0.00540344,0.00762448,0.00835313,0.0070184,0.00532035,0.00676532,0.0201633,0.00412332,0.0182688,0.0218462,0.0231682,0.0640924,0.0417658,0.0297642,0.0177245,0.0128608,0,0,0.00500089,0,0.0459745,0.00790296,0.035347,0.0327472,0.0126547,0.0118555,0.00412329,0.00838429,0.00389355,0.0149158,0.0126072,0.00446388,0.0208434,0.0135979,0.02138,0.0224918,0.0578438,0.00296719,0.0170964,0.0191417,0.0109868,0.0143475,0,0,0,0,0,0,0
961,0.0126653,0,0,0,0,0.0100263,0,0,0,0,0,0,0.00818208,0.0279147,0.00337292,0.0103748,0,0,0.0327843,0,0.0251494,0.0299184,0.0489399,0.00819922,0.0166173,0.00731297,0.00486123,0.0249881,0.00589617,0.0104904,0.0043289,0.00540704,0.00617567,0.00446654,0.0215563,0.00131613,0.0186063,0.0217252,0.0234371,0.0634437,0.0417765,0.0297714,0.0176821,0.012708,0,0,0.00452892,0,0.0459323,0.0074906,0.035743,0.0328846,0.0126597,0.0118934,0.00468064,0.00852265,0.00393954,0.0149907,0.0126779,0.00457219,0.0210505,0.0135004,0.0215985,0.0227393,0.0588062,0.00352971,0.0170153,0.0189916,0.0107537,0.0132939,0,0,0,0,0,0,0
962,0.0124814,0,0,0,0,0.00998497,0,0,0,0,0,0,0.00945728,0.0279357,0.00253729,0.0100315,0,0,0.032619,0,0.0251565,0.0297249,0.0488378,0.00632175,0.0170579,0.00633175,0.00515184,0.0251451,0.00633165,0.011197,0.00335847,0.00551273,0.00719968,0.00380595,0.0221979,0.00256462,0.0186186,0.0215855,0.0236288,0.0628935,0.0418148,0.0298342,0.0176336,0.0124598,0,0,0.00499936,0,0.0458921,0.00725596,0.0359572,0.0328393,0.0126471,0.0119474,0.00486153,0.0085523,0.0040349,0.0148897,0.0125806,0.00462197,0.0212806,0.0133894,0.021812,0.0229608,0.0600614,0.00391408,0.0169806,0.0188572,0.0107084,0.0132097,0,0,0,0,0,0,0
963,0.012276,0,0,0,0,0.010031,0,0,0,0,0,0,0.00976335,0.0279264,0.00251476,0.0100008,0,0,0.0323637,0,0.0251555,0.0293916,0.0487672,0.0057235,0.0172289,0.00614997,0.0055954,0.0252381,0.00653199,0.0115721,0.00321168,0.00573241,0.0077289,0.00365777,0.0224731,0.00288339,0.0184432,0.0214557,0.0237235,0.0624217,0.0418039,0.0299064,0.0176687,0.0124237,0,0,0.00532547,0,0.0458943,0.00724613,0.0360966,0.0327961,0.0126969,0.0120116,0.0049209,0.00848366,0.00406844,0.0147402,0.0124881,0.00474608,0.0214518,0.0131571,0.0219083,0.0231026,0.0612364,0.00432295,0.0168391,0.0187543,0.0107495,0.0135257,0,0,0,0,0,0,0
964,0.012156,0,0,0,0,0.0101472,0,0,0,0,0,0,0.00974651,0.0278947,0.00256215,0.00991845,0,0,0.0320622,0,0.0251706,0.0290564,0.0487762,0.00544221,0.0172675,0.00610152,0.00590077,0.0252044,0.00680367,0.0120494,0.00323598,0.00593438,0.00804419,0.00361309,0.0225967,0.00282155,0.0181681,0.0213819,0.0238248,0.0616419,0.0417283,0.0296627,0.0177236,0.0124601,0,0,0.00559542,0,0.0458454,0.00733496,0.0361923,0.03273,0.0126481,0.0120209,0.00504517,0.00826141,0.00418486,0.0145879,0.0124566,0.00486812,0.021359,0.0128369,0.0220221,0.0230826,0.0619876,0.00469405,0.016713,0.0186642,0.0108621,0.0142957,0,0,0,0,0,0,0
965,0.0120698,0,0,0,0,0.0103291,0,0,0,0,0,0,0.00961281,0.0278449,0.00258514,0.00991942,0,0,0.0317861,0,0.0251647,0.0287322,0.0487443,0.00525767,0.0172757,0.00608221,0.00602805,0.0251163,0.00696238,0.0124238,0.00328082,0.00606127,0.00823037,0.00356872,0.0226469,0.0025954,0.0179061,0.021297,0.0238831,0.0606668,0.0416796,0.029295,0.0178062,0.0126103,0,0,0.00589341,0,0.0458213,0.00753079,0.0363147,0.0325668,0.0125752,0.0119503,0.00519619,0.00803724,0.00414584,0.0144279,0.0124062,0.00492312,0.0211726,0.0124955,0.0221807,0.0230721,0.0622945,0.00499117,0.0167644,0.0186469,0.0110111,0.014225,0,0,0,0,0,0,0
966,0.0121172,0,0,0,0,0.0105572,0,0,0,0,0,0,0.00940397,0.0278375,0.00258888,0.00990127,0,0,0.0314665,0,0.0251765,0.0284086,0.0486314,0.00509537,0.0173081,0.00611,0.00596058,0.0249804,0.00705483,0.0126499,0.00330394,0.00613333,0.00835741,0.0035285,0.022666,0.00235185,0.0177039,0.0211903,0.0238817,0.0596632,0.0416507,0.029023,0.0178718,0.0128088,0,0,0.00609475,0,0.0458267,0.00782958,0.0364663,0.0323424,0.0125305,0.0118496,0.00527717,0.00786429,0.0040203,0.0142858,0.012269,0.00496337,0.0212915,0.012284,0.022213,0.0231168,0.0622876,0.00538207,0.0169869,0.0187326,0.0112044,0.0134325,0,0,0,0,0,0,0
967,0.0122694,0,0,0,0,0.0108214,0,0,0,0,0,0,0.00905844,0.02779,0.0025975,0.00995049,0,0,0.031192,0,0.0252864,0.0281161,0.0485229,0.00505157,0.0173445,0.00618635,0.00592553,0.0249339,0.0071127,0.0128203,0.00335477,0.00621218,0.00849373,0.00348994,0.0226519,0.00235025,0.0174571,0.0211024,0.0238859,0.058687,0.0415655,0.0288707,0.0179279,0.0131089,0,0,0.00611885,0,0.0458814,0.00819732,0.0366046,0.0322297,0.0125084,0.0117564,0.00536518,0.00777833,0.00418205,0.014176,0.0120532,0.00488323,0.0215521,0.0121643,0.0222892,0.0232154,0.0622041,0.00584511,0.0168246,0.0188496,0.0113658,0.0131272,0,0,0,0,0,0,0
