Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,RFIN
1172,0,0.0176104,0,0,0,0,0.0302531,0,0,0,0,0,0,0.0164488,0.0103011,0.00624854,0.0121124,0,0,0.0162716,0,0,0.0100455,0.0519949,0.0137374,0.0167774,0.00760426,0.00178519,0.0175685,0.00478062,0.00784929,0.00523598,0.00516122,0.00685168,0.00475299,0.0200148,0.0271255,0.0079216,0.0114684,0.0127218,0.0606586,0.040565,0.0435232,0.112392,0.0345871,0,0,0.0308133,0,0.0224988,0.0351361,0.0555354,0,0.0135351,0.00810098,0.0354843,0.00924736,0.0269583,0.0282787,0.0135356,0.0200939,0.0113355,0.0269723,0.0247611,0.0475993,0.0241049,0.004821,0.0164433,0.036934,0.0200741,0,0,0,0,0,0,0.0478072
1173,0,0.0174825,0,0,0,0,0.03027,0,0,0,0,0,0,0.0162809,0.0103111,0.00637668,0.012111,0,0,0.0161651,0,0,0.0100111,0.0519499,0.0134344,0.0166531,0.0075669,0.00181947,0.0176125,0.0047462,0.0075474,0.00531463,0.00486937,0.00647097,0.00460425,0.0200856,0.0264824,0.00787563,0.0114686,0.0127198,0.0630008,0.0406112,0.0432879,0.112015,0.0345929,0,0,0.0309545,0,0.0226365,0.0349271,0.0546477,0,0.0136524,0.00787437,0.0355607,0.00886336,0.0268417,0.0281998,0.0131497,0.0200037,0.0112057,0.0269,0.0237878,0.0503597,0.0242186,0.00490728,0.0164398,0.0369122,0.0198907,0,0,0,0,0,0,0.0478312
1174,0,0.0174343,0,0,0,0,0.0303154,0,0,0,0,0,0,0.0160632,0.0103078,0.00649636,0.0121221,0,0,0.0160418,0,0,0.00996576,0.0519025,0.0130605,0.0165278,0.00752474,0.00190196,0.0176663,0.00470835,0.00724179,0.00535946,0.00469396,0.00609188,0.00449587,0.020187,0.0258752,0.00782424,0.0114526,0.0126973,0.0646529,0.0406429,0.0431365,0.111593,0.0346926,0,0,0.0313436,0,0.0228067,0.0346103,0.0540563,0,0.0135774,0.0076928,0.0356855,0.00844089,0.0266628,0.0279839,0.0127468,0.0199914,0.0111759,0.026847,0.0232535,0.0521778,0.0243647,0.00495032,0.0163576,0.0369245,0.01956,0,0,0,0,0,0,0.0478434
1175,0,0.0174373,0,0,0,0,0.0304042,0,0,0,0,0,0,0.0159345,0.0102864,0.00665049,0.0121525,0,0,0.015968,0,0,0.00991937,0.0519218,0.0127603,0.0164242,0.00751241,0.00212869,0.0177054,0.00470562,0.00705429,0.00536706,0.0047528,0.00583416,0.00429127,0.0202727,0.0255293,0.00777132,0.0114362,0.0127204,0.0655199,0.0406229,0.0431096,0.111274,0.0347476,0,0,0.0317769,0,0.0230341,0.0342645,0.0538601,0,0.0134623,0.00760848,0.0358431,0.00783994,0.0263975,0.027684,0.0122987,0.0199745,0.0111498,0.0268266,0.0230613,0.0530745,0.0245464,0.00492125,0.0164119,0.0370099,0.0192124,0,0,0,0,0,0,0.0478168
1176,0,0.0173654,0,0,0,0,0.0304952,0,0,0,0,0,0,0.0158978,0.010306,0.00680795,0.0120219,0,0,0.0159334,0,0,0.00987796,0.0519602,0.0121383,0.0163803,0.00759592,0.00257385,0.0178551,0.00469456,0.00703667,0.0054159,0.00462845,0.00573257,0.00401924,0.0203047,0.0253931,0.00776624,0.0114527,0.0126817,0.0656278,0.0406364,0.042974,0.111069,0.0346681,0,0,0.0321556,0,0.0232518,0.0337673,0.0538355,0,0.0131121,0.00751794,0.0359176,0.00718655,0.026119,0.0273409,0.0118153,0.0199331,0.0112278,0.0267939,0.0232838,0.0533499,0.0247971,0.00490969,0.0164846,0.0371477,0.0192771,0,0,0,0,0,0,0.0478356
1177,0,0.017321,0,0,0,0,0.0306224,0,0,0,0,0,0,0.0158971,0.0103406,0.00695343,0.0120377,0,0,0.01593,0,0,0.00985898,0.0520178,0.0118605,0.0163461,0.00770184,0.00283562,0.0180563,0.00469684,0.00702099,0.00549347,0.00442815,0.00566442,0.00389939,0.0203315,0.0252173,0.00781126,0.0114798,0.0126379,0.0651655,0.04063,0.042753,0.110944,0.0345926,0,0,0.0325013,0,0.023467,0.0336467,0.0538016,0,0.0122844,0.0074472,0.0359563,0.00675141,0.0259313,0.02677,0.0112584,0.0201125,0.0113861,0.0269129,0.0240601,0.0535096,0.0250501,0.00496035,0.0165638,0.0373214,0.0193134,0,0,0,0,0,0,0.0478296
1178,0,0.0173541,0,0,0,0,0.0308302,0,0,0,0,0,0,0.0157319,0.0103558,0.0070825,0.0119821,0,0,0.0159926,0,0,0.0098653,0.0521142,0.0119306,0.01632,0.00773339,0.00285201,0.0182326,0.00471208,0.00696284,0.00554237,0.00434117,0.00553025,0.00385268,0.020362,0.024899,0.00788397,0.0115075,0.012689,0.0644707,0.0405417,0.0427802,0.110813,0.0346034,0,0,0.0329869,0,0.0237647,0.0338756,0.0540565,0,0.0109534,0.00752225,0.0359911,0.00622018,0.025573,0.0261012,0.0105301,0.0207182,0.0117141,0.0273265,0.0254354,0.0539033,0.0252645,0.0049566,0.0167425,0.0375511,0.0191657,0,0,0,0,0,0,0.0477329
1179,0,0.0174443,0,0,0,0,0.031068,0,0,0,0,0,0,0.0158175,0.0104026,0.00733736,0.011718,0,0,0.0160597,0,0,0.00987112,0.0523155,0.0113492,0.0163233,0.00780494,0.00285316,0.0184317,0.00470523,0.00688943,0.00550609,0.00437489,0.0054324,0.00375539,0.0203962,0.0246035,0.00796355,0.0115611,0.0127475,0.0636651,0.0405671,0.0431093,0.110604,0.0346605,0,0,0.0334193,0,0.024141,0.0342901,0.0549111,0,0.00908937,0.00764182,0.0360425,0.00537112,0.0250027,0.0252293,0.00964684,0.0216554,0.0124427,0.027923,0.0274585,0.0545696,0.025468,0.00501765,0.0168619,0.0378243,0.0188717,0,0,0,0,0,0,0.0477406
1180,0,0.0175416,0,0,0,0,0.0312947,0,0,0,0,0,0,0.01588,0.0104448,0.0076007,0.0115998,0,0,0.0161148,0,0,0.00987965,0.0525424,0.0108904,0.016311,0.00789068,0.0028524,0.0186282,0.004623,0.0068077,0.00546544,0.00437805,0.00538389,0.00368265,0.0204635,0.0243368,0.00804408,0.0116106,0.0127844,0.0614642,0.0406078,0.0429048,0.110346,0.0347528,0,0,0.0338313,0,0.0244821,0.0347224,0.0552022,0,0.00749867,0.00769877,0.0361262,0.00455718,0.0245083,0.0244065,0.00883008,0.0219256,0.0127582,0.0281141,0.0290377,0.0545704,0.0256964,0.00509221,0.01698,0.0380974,0.0185227,0,0,0,0,0,0,0.0477691
1181,0,0.0175915,0,0,0,0,0.0315008,0,0,0,0,0,0,0.0157011,0.0104789,0.00786993,0.0117155,0,0,0.0161855,0,0,0.00989647,0.0526051,0.0106924,0.0162647,0.00801015,0.00293699,0.0188765,0.004505,0.0068211,0.00548829,0.0044352,0.00535833,0.00360954,0.0205907,0.0239716,0.00814701,0.0116519,0.0127802,0.0580415,0.0406331,0.0418653,0.110217,0.0347768,0,0,0.0342324,0,0.0248154,0.0347789,0.0541431,0,0.00639189,0.00768934,0.0361608,0.00410746,0.0240923,0.0236999,0.007937,0.0218921,0.0126266,0.0277053,0.0297524,0.0544247,0.0259483,0.00515297,0.0171699,0.0384036,0.0183755,0,0,0,0,0,0,0.0477806
