Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,x73,,x77
1445,0.00857837,0,0,0,0,0.0154205,0,0,0,0.0120346,0,0.0175769,0.0100753,0,0,0.0448478,0,0.0224621,0.0266203,0.0490488,0.0257851,0.0120579,0.0112708,0.00467905,0.0183707,0.0134885,0.0178637,0.00686585,0.0151135,0.0158057,0.0148751,0.0176443,0.0054587,0.0327816,0.0219821,0.0145658,0.00531568,0.0433873,0.00747,0,0.00753551,0,0,0.0135142,0,0.0462761,0.0118856,0.0324887,0.00934683,0.0204318,0.00472243,0.00590695,0.0136442,0,0.0149547,0.0882664,0,0.00784685,0.0349712,0.00522808,0.00758785,0.00490304,0.0120794,0.00799492,0.0119636,0.0156342,0.00629728,0,0,0,0,0,0,0,0
1446,0.00805869,0,0,0,0,0.0154868,0,0,0,0.0182102,0,0.0146283,0.0116739,0,0,0.0451023,0,0.0225823,0.0266999,0.0496166,0,0.0117285,0.00602262,0.00527288,0.0186022,0.0120548,0.0122474,0.00518285,0.0122447,0.0131423,0.0128951,0.0190209,0.0141251,0.0331512,0.0219556,0.0146319,0.0106428,0.0433987,0.00718887,0,0.00587242,0,0,0.0129618,0,0.0463635,0.0113589,0.0337272,0.0130391,0.0201596,0.00284717,0.00639615,0.011446,0,0,0,0,0.00784062,0.0350147,0.00438679,0.00881015,0.0158123,0.0109067,0.00805835,0.0116079,0.0157647,0.0055033,0,0,0,0,0,0,0,0
1447,0.00782169,0,0,0,0,0.0153397,0,0,0,0.021339,0,0.0139144,0.0126269,0,0,0.0452435,0,0.0226913,0.0267411,0.0501419,0,0.0115558,0.00527118,0.00621581,0.0184403,0.0126538,0.0116235,0.00615272,0.0120589,0.0129864,0.012393,0.0194691,0.0181696,0.0334144,0.0219654,0.0144548,0.0104852,0.0434133,0.0073719,0,0.00516675,0,0,0.0126878,0,0.0463738,0.011024,0.0342776,0.011777,0.0205437,0.00322597,0.00746768,0.0106871,0,0,0,0,0.00745739,0.0351931,0.00438633,0.00778828,0.0142819,0.0103001,0.00789615,0.0116026,0.0155933,0.00514673,0,0,0,0,0,0,0,0
1448,0.00703893,0,0,0,0,0.0153917,0,0,0,0.0238498,0,0.0138019,0.0135394,0,0,0.0455824,0,0.0229635,0.0267936,0.051586,0,0.0110533,0.00592281,0.00843404,0.0177943,0.0139399,0.0125313,0.0076434,0.012498,0.0135705,0.0124123,0.019624,0.0211942,0.0342951,0.0221024,0.0138184,0.0108635,0.043358,0.00652849,0,0.00329562,0,0,0.0121436,0,0.0463212,0.0103982,0.0346083,0.00840014,0.0238961,0.00955157,0.0106935,0.00917847,0,0,0.0743669,0.00664049,0.00587921,0.0336514,0.00277899,0.00495281,0.0131766,0.00925646,0.00772463,0.0116178,0.015947,0.00348885,0,0,0,0,0,0,0,0
1449,0.00810171,0,0,0,0,0.0153241,0,0,0,0.0247082,0,0.0135594,0.0116644,0,0,0.0454577,0,0.0228722,0.026779,0.0504032,0,0.0122507,0.00548341,0.00548328,0.0186661,0.0132238,0.0127272,0.00778603,0.0119966,0.0131328,0.0117949,0.0199045,0.0222821,0.0336782,0.0220855,0.0136689,0.0080825,0.043348,0.00825809,0,0.0047133,0,0,0.0124644,0,0.0462386,0.0104875,0.0342392,0.0130231,0.0218238,0,0.00748903,0.0100762,0,0,0,0.00371461,0.00927894,0.0345315,0.00544726,0.00961064,0.0121716,0.00964419,0.00768635,0.0117262,0.0154607,0.00478887,0,0,0,0,0,0,0,0
1450,0.00902802,0,0,0,0,0.0147856,0,0,0,0.0259919,0,0.0133042,0.0115184,0,0,0.0454142,0,0.0227785,0.0268297,0.0493738,0,0.0126896,0.00516369,0.00507295,0.0191362,0.0126327,0.0118762,0.00784531,0.0116528,0.0131558,0.0114092,0.0201323,0.0240323,0.0333496,0.0220208,0.0137439,0.00556932,0.0433457,0.00927344,0,0.00577577,0,0,0.0126875,0,0.0462161,0.010594,0.0342919,0.0089425,0.0190818,0,0.00681209,0.0106727,0,0.0132591,0,0.0085473,0.00921382,0.0375425,0.00688622,0.00769085,0.00773256,0.00993364,0.00764111,0.0117779,0.0149137,0.00587655,0,0,0,0,0,0,0,0
1451,0.00916268,0,0,0,0,0.0141313,0,0,0,0.0265409,0,0.0131514,0.0112599,0,0,0.0454234,0,0.0228344,0.0268388,0.0492941,0,0.0128713,0.00526605,0.00480732,0.0191661,0.0126196,0.0114787,0.00798416,0.0115408,0.0131106,0.0111756,0.0202189,0.0246605,0.0333423,0.0220138,0.013628,0.00621305,0.0432355,0.00946371,0,0.00582504,0,0,0.0118067,0,0.0460057,0.0106975,0.0347082,0.00927442,0.0184713,0.00639398,0.00675917,0.0101761,0,0.012827,0,0.00896835,0.00956584,0.0381192,0.00743893,0.00781212,0.00862668,0.0095671,0,0.0125134,0.0147445,0.00610336,0,0,0,0,0,0,0,0
1452,0.00958518,0,0,0,0,0.0144428,0,0,0,0.0268032,0,0.0131077,0.0109953,0,0,0.0454709,0,0.0229091,0.0268519,0.0494892,0,0.0128666,0.00557399,0.00494298,0.0191654,0.0124397,0.0116179,0.00809394,0.0115088,0.0132273,0.0109767,0.0203157,0.0248475,0.0334256,0.022017,0.0135786,0.00368712,0.0431945,0.0101254,0,0.00592381,0,0,0.0124534,0,0.046147,0.0104478,0.0350689,0,0.0182373,0.00472934,0.00714607,0.0100281,0,0.012931,0,0.00802371,0.0107984,0.0387122,0.00947407,0.00981102,0.00927385,0.00947546,0.00784122,0.0116192,0.0144425,0.00630324,0,0,0,0,0,0,0,0
1453,0.00925352,0,0,0,0,0.0146746,0,0,0,0.0266042,0,0.0131916,0.0101432,0,0,0.0456045,0,0.0229333,0.0268539,0.0504499,0,0.0128736,0.00635988,0.00485705,0.0188542,0.0123404,0.0123159,0.0085598,0.0115083,0.0134118,0.0108608,0.0202649,0.0244403,0.0337785,0.0219364,0.0134842,0.00621449,0.0431185,0.0103409,0,0.0052659,0,0,0.0125047,0,0.0460856,0.0102228,0.0356895,0,0.0200429,0.00319629,0.0075849,0.00921226,0,0,0,0.0020523,0.0110418,0.036512,0.00874737,0.0115735,0.0141269,0.0091133,0.00787369,0.0113337,0.0143198,0.00581881,0,0,0,0,0,0,0,0
1454,0.00964615,0,0,0,0,0.0145542,0,0,0,0.0269439,0,0.0129814,0.0101204,0,0,0.0456021,0,0.0228212,0.0268458,0.0500886,0,0.0129836,0.0063528,0.00500876,0.0187817,0.0115781,0.0121297,0.0084612,0.0113034,0.0131132,0.0105643,0.0204334,0.0249446,0.0337388,0.0217975,0.0134385,0.00417129,0.0431585,0.00912421,0,0.00588192,0,0,0.0128594,0,0.0461089,0.010235,0.0355336,0,0.0186752,0.00875414,0.00749383,0.00939362,0,0.0122111,0,0.00956508,0.01016,0.0383091,0.00910506,0.00811926,0.0106285,0.00936915,0.00764095,0.0109888,0.0137349,0.00604986,0,0,0,0,0,0,0,0
1455,0.0107148,0,0,0,0,0.0143155,0,0,0,0.0267777,0,0.0124844,0.0108919,0,0,0.0454652,0,0.022774,0.0267704,0.049616,0,0.0129288,0.00563068,0.00522642,0.0190818,0.0106572,0.0112159,0.00786225,0.0108155,0.0124139,0.0100759,0.0207528,0.0252551,0.0333103,0.0217649,0.0134884,0.00881864,0.0431707,0.0172653,0,0.00710624,0,0,0.0130831,0,0.0460912,0.0101775,0.0372146,0,0.0157553,0,0.00744455,0.00982695,0,0.0173012,0,0.00441458,0.0169922,0.0403297,0.0139739,0.0179171,0.0110514,0.00957147,0.00772979,0.0107441,0.0127708,0.00720876,0,0,0,0,0,0,0,0
1456,0.0147821,0,0,0,0,0.0133855,0,0,0,0.0268458,0,0.01092,0.0167962,0,0,0.0443742,0,0.0223509,0.0263435,0.0475705,0,0.0119998,0.00344384,0.00720493,0.0209578,0.00818518,0.00847699,0.00487578,0.00981749,0.010964,0.0088624,0.0219748,0.0266241,0.0310532,0.0216556,0.0138568,0.0249357,0.0431946,0.0358757,0,0.0116078,0,0,0.013765,0,0.0460738,0.0108177,0.0445799,0,0.0043858,0,0.00799867,0.0122198,0,0.0556575,0,0.0262061,0.046086,0.0457561,0.0279605,0.0462434,0.0256477,0.0108634,0.00756035,0.0109688,0.00973486,0.0120034,0,0,0,0,0,0,0,0
1457,0.0100076,0,0,0,0,0.0135961,0,0,0,0.0287087,0,0.0121168,0.012346,0,0,0.0459557,0,0.023173,0.0268989,0.0505646,0,0.012424,0.00591228,0.00908823,0.0182099,0.0104651,0.011633,0.00746177,0.0109566,0.0129512,0.00963246,0.020992,0.0287118,0.0343671,0.0219541,0.0133152,0.00632534,0.0429184,0.0138744,0,0.00578862,0,0,0.012469,0,0.0460119,0.00954533,0.0394476,0,0.0177797,0,0.0108279,0.00812222,0,0,0.00426291,0.00485619,0.0134127,0.0393409,0.0119773,0.0136472,0.0102379,0.0083876,0.00719491,0.0103755,0.0129369,0.00538478,0,0,0,0,0,0,0,0
1458,0.0256325,0,0,0,0,0.0169457,0,0,0,0.0292239,0,0.00642523,0.0314008,0,0,0.0388259,0,0.021306,0.0233064,0.0466885,0,0.0124223,0.00673826,0.00828404,0.028579,0.00841787,0.00657161,0.00675757,0.00863625,0.00893077,0.00576324,0.0244628,0.0319487,0.0240121,0.0213222,0.0139434,0.0246956,0.0450747,0.0526199,0,0.0228607,0,0,0.0189643,0,0.0440244,0.0164865,0.0626887,0,0.0215145,0,0.00268169,0.0207395,0,0.151409,0.0572169,0.0483117,0.0701137,0.0662059,0.0524994,0.0699926,0,0.0181306,0.00817464,0.0153717,0.00902136,0.0240033,0,0,0,0,0,0,0,0
1459,0.0279029,0,0,0,0,0.0163914,0,0,0,0.0347464,0,0.00840187,0.037586,0,0,0.0426562,0,0.0214145,0.0250894,0.045779,0,0.00964207,0.00855512,0.0175979,0.028619,0.00737714,0.00627142,0.00654049,0.0103283,0.0113328,0.00651508,0.0244793,0.0378971,0.0265418,0.0209272,0.0143448,0.0353241,0.0449752,0.0553277,0,0.0245947,0,0,0.0176958,0,0.0440692,0.0152642,0.0705665,0,0.0256339,0,0.00773939,0.0213063,0,0.158626,0.0607237,0.0539777,0.0729389,0.0683984,0.0529954,0.073157,0.017556,0.0169752,0.00890404,0.0149842,0.00511793,0.0252837,0,0,0,0,0,0,0,0
1460,0.0267063,0,0,0,0,0.0145069,0,0,0,0.0363677,0,0.0101794,0.0384286,0,0,0.0434893,0,0.0213211,0.0261591,0.0448388,0,0.0083394,0.00917287,0.0204026,0.0270325,0.00632287,0.00531359,0.00675096,0.0109434,0.0116444,0.00674762,0.0253263,0.0384335,0.0273432,0.0210767,0.0147011,0.0430327,0.0432652,0.0622708,0,0.0234464,0,0,0.0163265,0,0.0458599,0.0128437,0.0717587,0,0.0247008,0,0.0112045,0.0197893,0,0.148713,0.0752904,0.0635204,0.0888893,0.0816858,0.0711785,0.0862837,0.0353436,0.0149967,0.0102312,0.0116076,0.00257476,0.0242993,0,0,0,0,0,0,0,0
1461,0.0267492,0,0,0,0,0.0146109,0,0,0,0.0370082,0,0.0115993,0.0381513,0,0,0.0442756,0,0.021315,0.026489,0.0447546,0,0.00882255,0.00933332,0.0210853,0.0267033,0.00587383,0.00417528,0.00703602,0.0109475,0.0113149,0.00664469,0.0256236,0.0376557,0.027949,0.0208867,0.0148245,0.0370048,0.0432576,0.060754,0,0.0233079,0,0,0.0158955,0,0.045721,0.0124542,0.0720201,0,0.0246818,0,0.0120381,0.0198861,0,0.147062,0.0747298,0.0635222,0.0880111,0.0809999,0.0695377,0.0853732,0.0303824,0.0143925,0.0116423,0.0112421,0.00234272,0.0239788,0,0,0,0,0,0,0,0
