Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x72,x73
9,0.0122357,0,0,0,0,0.0381502,0,0,0,0.0354922,0.0336164,0.0322267,0.0109984,0,0,0.0257064,0,0.0297953,0.0391782,0.0425601,0.0311613,0.0101396,0.0126708,0.0202852,0.0273844,0.00815378,0.00989426,0.0110894,0.0186952,0.0219847,0.0212127,0.0246078,0.0411514,0.0242329,0,0.0399938,0.00501974,0.0381282,0.0126653,0.0136071,0.0290349,0,0,0.0212589,0,0.0449416,0.00999259,0.0367696,0.016902,0.0137891,0.0159592,0.0172357,0.0498769,0.00923457,0.0139134,0.0076118,0.0103292,0.0137293,0.0342739,0.0124305,0.0124355,0.00794615,0.031175,0.0107983,0.00217493,0.0398887,0.00864781,0,0,0,0,0
10,0.0120159,0,0,0,0,0.0378792,0,0,0,0.0357693,0.0335655,0.03232,0.0110255,0,0,0.0260916,0,0.0297741,0.0396119,0.0424851,0.0311136,0.0101841,0.0126703,0.0206083,0.0270372,0.00809941,0.00990765,0.0110722,0.018718,0.0219962,0.0212279,0.0245965,0.0415254,0.0244274,0,0.0403228,0.00473249,0.0381402,0.0123558,0.0137258,0.0286932,0,0,0.0216999,0,0.044962,0.0105161,0.0367858,0.0167005,0.0138605,0.0162022,0.0174806,0.0498828,0.00932262,0.0139625,0.00784761,0.0104667,0.0137146,0.0340659,0.0123164,0.0123704,0.00781813,0.0313456,0.0109806,0.00198559,0.0395552,0.00842752,0,0,0,0,0
11,0.0118792,0,0,0,0,0.0378593,0,0,0,0.0359825,0.033568,0.0320178,0.0116591,0,0,0.0265588,0,0.0297596,0.0399692,0.0413853,0.0305804,0.0105885,0.0128685,0.0218361,0.0271104,0.00849356,0.0102531,0.0112356,0.0188328,0.022085,0.021207,0.0247323,0.0415278,0.0247279,0,0.0405094,0.00530121,0.0381579,0.0126387,0.0122938,0.0283264,0,0,0.0219753,0,0.0449706,0.0109059,0.0378017,0.0169972,0.0122451,0.0159908,0.0194,0.0498612,0.00894949,0.0133596,0.00718445,0.009754,0.0141808,0.0345551,0.0127129,0.0126744,0.0070224,0.0311658,0.0114503,0.00201182,0.0394648,0.00840495,0,0,0,0,0
12,0.0118166,0,0,0,0,0.0375207,0,0,0,0.03617,0.0335549,0.0320642,0.0113819,0,0,0.026947,0,0.0297513,0.0403048,0.0416933,0.0308176,0.0105281,0.0128157,0.0217621,0.0266094,0.00839306,0.0100905,0.0111699,0.018825,0.0220953,0.0212834,0.024778,0.0417854,0.0249663,0,0.0407438,0.00514228,0.0381791,0.0126614,0.0127662,0.0281387,0,0,0.0223363,0,0.0449554,0.0112678,0.0374718,0.0170055,0.0122879,0.0159303,0.0191753,0.0497818,0.00884816,0.013483,0.0072267,0.00981965,0.0141226,0.0347173,0.0126761,0.0126543,0.00694725,0.0308011,0.0111884,0.00206394,0.0389406,0.00838714,0,0,0,0,0
13,0.0117393,0,0,0,0,0.037213,0,0,0,0.0361268,0.0335399,0.0322263,0.0112221,0,0,0.0272305,0,0.0297612,0.0405642,0.0418431,0.0308683,0.0105329,0.0127858,0.0216551,0.0261643,0.00835441,0.0100366,0.0111499,0.0188455,0.0221321,0.0213494,0.0247693,0.0420493,0.0251989,0,0.0410374,0.00512927,0.0381991,0.0127461,0.0129788,0.0280194,0,0,0.0226545,0,0.0449418,0.0113935,0.0373547,0.0170028,0.0124922,0.0159417,0.0189577,0.049707,0.00887003,0.0135921,0.00737884,0.00991235,0.0140144,0.0349685,0.0126399,0.0125765,0.00725675,0.0304927,0.0109131,0.00209793,0.0384873,0.0083372,0,0,0,0,0
14,0.011675,0,0,0,0,0.0369477,0,0,0,0.0363096,0.0335355,0.0327399,0.0111084,0,0,0.0274898,0,0.0297834,0.0407903,0.0419856,0.0308967,0.0105581,0.0127357,0.0215511,0.0258526,0.00825268,0.00994056,0.0110877,0.0188089,0.022141,0.0213429,0.0247595,0.0423229,0.0254082,0,0.041349,0.00498724,0.0382296,0.0127001,0.0132435,0.027883,0,0,0.0229251,0,0.0449566,0.0113998,0.0372145,0.0170353,0.0127984,0.0159548,0.0187507,0.0496057,0.00892527,0.0137325,0.00753636,0.0100291,0.0139071,0.0349773,0.0125667,0.0124784,0.0074755,0.0304336,0.01094,0.00206737,0.0381128,0.00830144,0,0,0,0,0
15,0.0116172,0,0,0,0,0.0367203,0,0,0,0.0367577,0.033531,0.0329518,0.0110728,0,0,0.0277135,0,0.0298043,0.0410132,0.0421615,0.0309854,0.0105483,0.0127014,0.0214647,0.0256696,0.00816965,0.00981667,0.011053,0.0187905,0.0221632,0.0213302,0.0247467,0.0426603,0.0255308,0,0.041588,0.00470529,0.0382986,0.0124955,0.0135946,0.0276922,0,0,0.0232007,0,0.0450003,0.0114192,0.0370715,0.0171191,0.0130977,0.016017,0.0185598,0.0494244,0.00907414,0.0138921,0.00769994,0.0101932,0.013793,0.0347115,0.0124349,0.0123425,0.00794677,0.0302176,0.0108562,0.00202557,0.0379104,0.0082258,0,0,0,0,0
16,0.0115927,0,0,0,0,0.0365089,0,0,0,0.0374983,0.0335166,0.0330067,0.0111009,0,0,0.0278325,0,0.0298158,0.0411525,0.0423612,0.031011,0.0105366,0.0126588,0.02147,0.0255053,0.00810385,0.00974294,0.0110414,0.018768,0.0221763,0.0213912,0.0247123,0.0430798,0.0255695,0,0.0417029,0.00429329,0.0383467,0.0121656,0.0139722,0.0275018,0,0,0.02348,0,0.0450219,0.0114986,0.0369213,0.0169553,0.013348,0.0161578,0.0184115,0.0491519,0.00925201,0.0140106,0.0078245,0.0104059,0.0136926,0.0342048,0.012223,0.01219,0.0083551,0.0298899,0.0105911,0.00198548,0.0378448,0.00810416,0,0,0,0,0
17,0.0115722,0,0,0,0,0.0363367,0,0,0,0.0380807,0.0334903,0.0331142,0.0111992,0,0,0.0278597,0,0.0298138,0.0411495,0.042567,0.0309506,0.0105908,0.0126515,0.0215781,0.025265,0.0080551,0.00971966,0.0109835,0.0187668,0.0222014,0.0214613,0.0246651,0.043671,0.0255364,0,0.0417499,0.00396188,0.0383771,0.0118121,0.014283,0.0273259,0,0,0.0237208,0,0.0450326,0.0117046,0.036768,0.0166192,0.0136486,0.0164415,0.0184169,0.0488574,0.0093932,0.0141808,0.00807259,0.0106832,0.0136337,0.0338045,0.0120176,0.0120629,0.00843797,0.0295763,0.0105376,0.00197373,0.037843,0.00803719,0,0,0,0,0
18,0.0115492,0,0,0,0,0.0362011,0,0,0,0.0383887,0.0334643,0.0332749,0.0113693,0,0,0.0278685,0,0.0298074,0.041121,0.0426831,0.0307949,0.0106558,0.0126554,0.021846,0.0250054,0.00802287,0.00969929,0.0109576,0.0187903,0.0222189,0.0215032,0.0246036,0.0443477,0.025519,0,0.0418045,0.00379539,0.0384137,0.0114439,0.0146647,0.027131,0,0,0.0239468,0,0.0450603,0.0119757,0.0366286,0.0162767,0.0139323,0.0168212,0.0184988,0.0485877,0.00958107,0.0144874,0.00840711,0.0110016,0.0135951,0.0334596,0.0118108,0.0119739,0.00845677,0.0293719,0.0105406,0.00196382,0.0378478,0.00797094,0,0,0,0,0
