Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,LTHIP,x78,,x79,x80,x75
19,0.0148426,0,0,0,0,0.0202832,0,0,0,0,0,0,0.00189999,0.0212071,0.00644871,0.0110326,0,0,0.0144862,0,0.0366495,0.0107023,0.04124,0.00855625,0.0223266,0.0037655,0.0216269,0.0497619,0.009945,0.00868022,0.00608131,0.00809872,0.00787566,0.00793974,0.0301125,0.00468793,0.0242115,0.00719602,0.00619401,0.0270979,0.0230508,0.0227155,0.0149189,0.0140394,0,0,0.0168811,0,0.0379426,0.00721971,0.0382696,0.0186352,0.0138293,0.0193357,0.0244614,0.0271555,0.0125083,0.0151443,0.0174139,0.0173302,0.00954107,0.035541,0.0107228,0.0091321,0.0285793,0.00812819,0.0335514,0.0127214,0.0175576,0.0107869,0,0,0,0,0,0,0,0,0,0
20,0.0147144,0,0,0,0,0.0203229,0,0,0,0,0,0,0.00175356,0.0211636,0.00648798,0.0114383,0,0,0.0142892,0,0.036683,0.0104847,0.0412141,0.00867271,0.0224097,0.00380946,0.0219428,0.0498419,0.0100747,0.00867736,0.00591783,0.0081428,0.00794634,0.00798845,0.0301559,0.0050042,0.0240592,0.00722557,0.00604513,0.0257727,0.0231015,0.0206044,0.0148436,0.0139482,0,0,0.0165089,0,0.0379396,0.0073731,0.0381976,0.0159652,0.0136178,0.0182838,0.0248975,0.027296,0.0117717,0.0154653,0.0169996,0.0164198,0.00802561,0.035433,0.00926181,0.00765972,0.0271303,0.00832345,0.0336303,0.0126182,0.0175586,0.0106311,0,0,0,0,0,0,0,0,0,0
21,0.0146277,0,0,0,0,0.0203309,0,0,0,0,0,0,0.00173218,0.0212912,0.00655597,0.0117664,0,0,0.0141667,0,0.036825,0.0102453,0.0412021,0.00878236,0.0224959,0.00387705,0.0221794,0.0499966,0.0101082,0.00863791,0.00576007,0.00822908,0.00795077,0.00804301,0.0302037,0.00535252,0.0239323,0.00719729,0.00597389,0.0244318,0.023117,0.0186173,0.0147067,0.0139036,0,0,0.016114,0,0.0378655,0.00763737,0.0381193,0.0136538,0.0134219,0.0173258,0.0252439,0.0273402,0.0110258,0.0157425,0.016573,0.0155319,0.00672592,0.0353844,0.00788058,0.00671631,0.025678,0.0084052,0.0335363,0.0126309,0.0175652,0.0105209,0,0,0,0,0,0,0,0,0,0
22,0.0145439,0,0,0,0,0.0203552,0,0,0,0,0,0,0.00149515,0.0212679,0.00662777,0.0120407,0,0,0.0141091,0,0.0367965,0.0100689,0.0411785,0.00888497,0.0225807,0.00393853,0.0224423,0.0499893,0.0100308,0.00860383,0.00565119,0.00831916,0.00800451,0.00809673,0.0302634,0.0057494,0.0238679,0.0072356,0.00587139,0.0232351,0.0231749,0.0169516,0.0146966,0.013865,0,0,0.0156908,0,0.0378824,0.00803504,0.0380267,0.0119819,0.0132737,0.0165542,0.0256092,0.0274581,0.0104178,0.015987,0.0162015,0.0147615,0.0058508,0.0354145,0.00672033,0.00648855,0.024389,0.00851403,0.0336205,0.0125347,0.0175868,0.0104297,0,0,0,0,0,0,0,0,0,0
23,0.0143526,0,0,0,0,0.0203094,0,0,0,0,0,0,0.00117806,0.0210473,0.00669674,0.0122828,0,0,0.0139737,0,0.0366416,0.00985999,0.0411616,0.00897945,0.0226601,0.00396504,0.0227186,0.0499336,0.00987902,0.00859283,0.00559756,0.00839695,0.00810129,0.00812879,0.0303165,0.00616321,0.0237746,0.00734123,0.00567801,0.0220966,0.0231856,0.0155866,0.014662,0.0137444,0,0,0.015291,0,0.0378273,0.00830128,0.0379729,0.0108902,0.0131161,0.0158154,0.0259435,0.0275917,0.00989816,0.0161205,0.0157448,0.0140616,0.00530729,0.0355088,0.00583146,0.00661373,0.0232014,0.00887346,0.033541,0.0125582,0.0175792,0.0102976,0,0,0,0,0,0,0,0,0,0
24,0.0142551,0,0,0,0,0.0202597,0,0,0,0,0,0,0.000874802,0.0209924,0.00676711,0.0124238,0,0,0.0138487,0,0.0365993,0.00966605,0.041151,0.00906112,0.022729,0.00400873,0.0229914,0.0499167,0.00975905,0.00854658,0.00552499,0.00846478,0.00821696,0.00818174,0.0303657,0.00662563,0.0237116,0.00732301,0.00547028,0.0212013,0.0232717,0.0145516,0.0145852,0.0136925,0,0,0.014853,0,0.037938,0.00875715,0.0379413,0.0103607,0.0129687,0.0152621,0.0262108,0.0277615,0.00927914,0.0162423,0.0153666,0.013491,0.00511435,0.0356113,0.00514768,0.00700728,0.0222602,0.0094727,0.0337598,0.0123523,0.0175754,0.0102779,0,0,0,0,0,0,0,0,0,0
25,0.0142808,0,0,0,0,0.0202197,0,0,0,0,0,0,0.000755617,0.0211096,0.00682967,0.012544,0,0,0.0137863,0,0.0366083,0.00951342,0.041143,0.00916917,0.0228021,0.00402702,0.0232188,0.0498878,0.00963808,0.00844598,0.00543614,0.00851956,0.00826099,0.00822784,0.0303991,0.0070241,0.0236917,0.00720342,0.00526957,0.0201814,0.0233243,0.0135637,0.0144529,0.0137361,0,0,0.0144775,0,0.037986,0.00911494,0.0379027,0.00993379,0.012931,0.0145908,0.0264187,0.0279169,0.00870591,0.0162793,0.0149004,0.012926,0.00503476,0.0357537,0.00472323,0.0072966,0.0212332,0.00977398,0.0339641,0.0121909,0.0175495,0.0103562,0,0,0,0,0,0,0,0,0,0
26,0.0142916,0,0,0,0,0.0201193,0,0,0,0,0,0,0.000725442,0.0211488,0.00688662,0.0126072,0,0,0.0136858,0,0.036668,0.00933793,0.0411432,0.00925695,0.0228978,0.00404173,0.0234302,0.0498041,0.00943385,0.00823513,0.00532798,0.00858132,0.00829598,0.0082487,0.0304176,0.00735899,0.0236096,0.00722626,0.00514033,0.0190501,0.0233487,0.0126114,0.0143142,0.0137622,0,0,0.0141672,0,0.0379995,0.00938669,0.037858,0.00954229,0.0130362,0.0136832,0.0265753,0.0280461,0.0082185,0.0162225,0.0143213,0.0122936,0.00496726,0.0359297,0.00457473,0.00743983,0.0201637,0.0100034,0.0341595,0.0121537,0.0174923,0.0104194,0,0,0,0,0,0,0,0,0,0
27,0.0142796,0,0,0,0,0.0200564,0,0,0,0,0,0,0.000792747,0.0211611,0.00692743,0.0125636,0,0,0.0136248,0,0.0367215,0.00921126,0.0411204,0.00930512,0.0229273,0.00406615,0.0236226,0.0496351,0.00915899,0.00801672,0.00522279,0.00862527,0.00834214,0.00828202,0.0304526,0.00767112,0.0235075,0.00735547,0.00509932,0.0183606,0.0233689,0.0120077,0.0142824,0.0137879,0,0,0.0138638,0,0.0379602,0.00958736,0.0378197,0.00955482,0.013006,0.0132295,0.0266918,0.0281372,0.0079619,0.0163326,0.0141051,0.011963,0.00515561,0.0360733,0.00446044,0.00780608,0.0194997,0.0102356,0.0341597,0.0121011,0.0174557,0.0104948,0,0,0,0,0,0,0,0,0,0
28,0.0142553,0,0,0,0,0.0200272,0,0,0,0,0,0,0.000870946,0.0210243,0.00695296,0.0124115,0,0,0.0135276,0,0.0366211,0.0090753,0.0410799,0.00921649,0.0229216,0.00408851,0.0237524,0.0494298,0.00889254,0.00791548,0.00512261,0.00867601,0.00840328,0.00832853,0.0304777,0.00799637,0.0233497,0.00746063,0.00503684,0.0174881,0.0233867,0.0113762,0.0142944,0.0137651,0,0,0.0135911,0,0.0379035,0.00980204,0.0377917,0.00948714,0.012868,0.0125852,0.0267333,0.0282596,0.00772382,0.0163366,0.0136802,0.0115814,0.00529569,0.0362437,0.00452022,0.00804278,0.0187196,0.0105013,0.0340178,0.0120484,0.0174073,0.0105371,0,0,0,0,0,0,0,0,0,0
29,0.0142677,0,0,0,0,0.0200485,0,0,0,0,0,0,0.000971638,0.0209767,0.00701098,0.0122106,0,0,0.0134363,0,0.0365219,0.00908692,0.0410071,0.0090812,0.0228869,0.00410248,0.023849,0.0493177,0.00873457,0.00784905,0.00508887,0.00874165,0.00849285,0.00840481,0.0305115,0.00824054,0.0232473,0.00743739,0.00487647,0.017176,0.0234271,0.0111478,0.0142751,0.0137262,0,0,0.0133586,0,0.0378485,0.0100025,0.0377641,0.00979796,0.0126386,0.0125761,0.0267572,0.0284013,0.00759789,0.0165355,0.0137194,0.0115282,0.00564417,0.0363576,0.00439227,0.00858866,0.0183805,0.0107664,0.0339848,0.0119881,0.0174485,0.0105775,0,0,0,0,0,0,0,0,0,0
