Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x79,x80,x77,x78,
1089,0.015322,0,0,0,0,0.0366655,0,0,0,0,0,0,0.0203052,0,0.0106338,0.00550764,0,0,0.0331409,0,0.0240241,0.0296328,0.0468453,0.0154908,0.020753,0.0039443,0.00517679,0.0228343,0.0115076,0.0112495,0.00631093,0.00484311,0.00649121,0.00401228,0.0260187,0.0237546,0.0171083,0.0254258,0.0313789,0.0161876,0.0436269,0.0100049,0.0143977,0.0115735,0,0,0.0218538,0,0.0460596,0.011135,0.0355884,0.0188335,0.0135118,0.00963291,0.00233317,0.0091538,0.00564621,0.0116763,0.00387038,0.00651713,0.0137508,0.0207075,0.0126465,0.0148607,0.020046,0.0115109,0.00960343,0.0118035,0.0406335,0.0128838,0,0,0,0,0,0,0,0,0,0
1090,0.0159183,0,0,0,0,0.0371918,0,0,0,0,0,0,0.0158468,0,0.00898403,0.00539623,0,0,0.0329448,0,0.0245286,0.0295588,0.0468102,0.0131818,0.0206909,0.00285893,0.00501543,0.0243038,0.00995039,0.0100863,0.00487151,0.00422848,0.00566694,0.00369897,0.0258022,0.0195573,0.0169937,0.0256562,0.0311983,0.0170348,0.0436393,0.00967862,0.0142191,0.0115301,0,0,0.0218147,0,0.0459864,0.011169,0.0356006,0.0183945,0.0135661,0.00961155,0.00219837,0.00939901,0.00560591,0.0118518,0.00359841,0.00647759,0.0133611,0.0210894,0.0125132,0.0147386,0.0213521,0.0116732,0.00959617,0.0116387,0.0412504,0.013668,0,0,0,0,0,0,0,0,0,0
1091,0.016546,0,0,0,0,0.0375055,0,0,0,0,0,0,0.0107866,0,0.00746054,0.00516265,0,0,0.0327864,0,0.0249883,0.0294217,0.046892,0.010736,0.0206153,0.00221615,0.00491166,0.0256103,0.00822285,0.00896044,0.00340195,0.00375844,0.00503092,0.00351807,0.0256754,0.0153119,0.0169001,0.0258449,0.0309642,0.0176768,0.0436614,0.00936102,0.0141641,0.0114716,0,0,0.021818,0,0.045911,0.011119,0.0357799,0.0180059,0.0135096,0.0097566,0.00213327,0.00965878,0,0.0119082,0.00347616,0.00646963,0.0131444,0.0215465,0.0126261,0.0146195,0.0226211,0.0117494,0.00960111,0.0113942,0.0415793,0.0143311,0,0,0,0,0,0,0,0,0,0
1092,0.0130312,0,0,0,0,0.0330496,0,0,0,0,0,0,0.00570707,0,0.00604005,0.00497391,0,0,0.0345236,0,0.0260763,0.0301627,0.0470917,0.00834731,0.020281,0.00242825,0.00528443,0.0197151,0.0065508,0.00798388,0.0021288,0.00339587,0.00455827,0.00324986,0.0255247,0.0113431,0.0177099,0.0258639,0.0308131,0.018262,0.0438623,0.0094157,0.0141134,0.0121877,0,0,0.0219391,0,0.0459925,0.011786,0.0359874,0.0177789,0.0138192,0.00974197,0.00167211,0.0116605,0,0.0120091,0.00324025,0.00612207,0.0130704,0.0217892,0.0123718,0.0146616,0.0236677,0.011838,0.00997929,0.0115895,0.037164,0.0117588,0,0,0,0,0,0,0,0,0,0
1093,0.0137725,0,0,0,0,0.0330529,0,0,0,0,0,0,0,0,0.0043413,0.00466866,0,0,0.0330221,0,0.0265556,0.0289706,0.0471804,0.00634239,0.0204063,0.00313734,0.00475137,0.0215124,0.00523072,0.00747426,0.0013449,0.00329936,0.00437475,0.00299672,0.0257578,0.00826029,0.0173616,0.0261986,0.0294565,0.0187318,0.0439167,0.00922196,0.0140355,0.0119418,0,0,0.0216954,0,0.0458859,0.0115654,0.0360156,0.0171059,0.0137156,0.00971362,0.00197866,0.0121443,0,0.0120573,0.00310958,0.00579634,0.0127495,0.0221259,0.0119045,0.0144063,0.0243948,0.011924,0.0101141,0.0113943,0.0370679,0.0125499,0,0,0,0,0,0,0,0,0,0
1094,0.0142524,0,0,0,0,0.0332185,0,0,0,0,0,0,0,0,0.00319911,0.00441668,0,0,0.0318594,0,0.0270237,0.0281441,0.0472114,0.00479217,0.0205154,0.00398014,0.00427068,0.0232831,0.00423153,0.00745028,0.00155231,0.00308849,0.0045046,0.00255992,0.0257865,0.00766146,0.0170815,0.0264931,0.0285317,0.0190652,0.0439395,0.00901124,0.0140332,0.012002,0,0,0.0214593,0,0.0458187,0.0115221,0.0359251,0.0166852,0.0136023,0.00971768,0.00230174,0.0125784,0,0.0120742,0.00298926,0.00559733,0.0125331,0.0224458,0.0115612,0.0139968,0.0250475,0.0120525,0.0102691,0.0112399,0.0371567,0.0133184,0,0,0,0,0,0,0,0,0,0
1095,0.00748423,0,0,0,0,0.0236198,0,0,0,0,0,0,0,0,0.00241124,0.0046015,0,0,0.029526,0,0.0281078,0.0258418,0.0471576,0.00388901,0.0201788,0.00469424,0.00473736,0.011914,0.00367182,0.00784959,0.00229168,0.00291297,0.0047319,0.00188744,0.025509,0.00717237,0.0169913,0.0281502,0.0243079,0.0194736,0.0441974,0.00900486,0.0139842,0.011717,0,0,0.0208621,0,0.0458686,0.0118308,0.0358896,0.016834,0.0140283,0.00972857,0.00160965,0.0166856,0,0.0122153,0.00271327,0.00527896,0.0124622,0.0226092,0.0115143,0.013929,0.0258265,0.0128963,0.0103884,0.0113413,0.0268531,0.00779225,0,0,0,0,0,0,0,0,0,0
1096,0.00651205,0,0,0,0,0.0217899,0,0,0,0,0,0,0.0102255,0,0.00211781,0.00457149,0,0,0.0281739,0,0.0285357,0.0248937,0.0470059,0.00352973,0.0199482,0.00513242,0.00458636,0.0106812,0.00312108,0.00770042,0.00327732,0.00282208,0.00412859,0.0011361,0.0247571,0.00656215,0.0163914,0.0284875,0.0229529,0.0196547,0.0442592,0.00905384,0.0139947,0.0118472,0,0,0.0206254,0,0.0458816,0.0119392,0.035689,0.01691,0.0142037,0.0100274,0.00177105,0.0178999,0.0049314,0.0125167,0.00237207,0.00508688,0.0124874,0.0227191,0.011557,0.0141924,0.0262725,0.0133338,0.0102652,0.011315,0.024902,0.00707808,0,0,0,0,0,0,0,0,0,0
1097,0.00610023,0,0,0,0,0.0159746,0,0,0,0,0,0,0.0114481,0,0.00240913,0.00481356,0,0,0.0230283,0,0.0286234,0.0217279,0.0467044,0.00351449,0.0197827,0.00597779,0.00455681,0.00844422,0.00358872,0.00848365,0.00450023,0.00309767,0.00432875,0.000620074,0.0242345,0.00667445,0.0144079,0.0299824,0.0191194,0.0196987,0.0443516,0.00898261,0.0139349,0.0111475,0,0,0.0197322,0,0.0457572,0.0113504,0.0356679,0.0169014,0.0142415,0.0101438,0.00192593,0.0204272,0.00470982,0.0126383,0.00217903,0.00514575,0.0124389,0.0229227,0.0113865,0.014361,0.0265622,0.0139847,0.0103123,0.0109794,0.0177281,0.00568626,0,0,0,0,0,0,0,0,0,0
1098,0.00697618,0,0,0,0,0.0147866,0,0,0,0,0,0,0.0123291,0,0.00306491,0.00514983,0,0,0.0208787,0,0.0290367,0.0205551,0.0464048,0,0.0196486,0.00726562,0.00476175,0.00927788,0.00476976,0.0100798,0.0063493,0.00376418,0.00480584,0.000289461,0.0240145,0.00671378,0.0132684,0.0304134,0.0178367,0.0196211,0.0443593,0.00896689,0.0138905,0.0113643,0,0,0.0195273,0,0.0457343,0.011289,0.0356836,0.0168522,0.0142147,0.0101738,0.00193692,0.0211384,0.00469546,0.0126502,0.0020783,0.00522105,0.0123495,0.023173,0.0110937,0.0141418,0.026737,0.0142627,0.0104425,0.0107905,0.0160685,0.00614446,0,0,0,0,0,0,0,0,0,0
