Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,x78,,x79,x82,x77,IMUR_B
234,0.033266,0,0,0,0,0.0293239,0,0,0,0,0,0.00621546,0.0439484,0.0131611,0.0236012,0,0,0.0981683,0,0.0500741,0.053085,0.0340276,0.0224044,0.0162971,0.0119726,0.0199529,0.0331718,0.00624916,0.0113743,0.00762426,0.0161574,0.0155289,0.013623,0.0325172,0.0111441,0.0706546,0,0.033054,0.0283243,0.0451482,0.0139537,0.00531228,0.0190948,0,0,0.0249471,0,0.0512686,0.0171746,0.0461061,0.0155666,0.0117584,0.0171053,0.0169363,0.0314617,0.00900346,0.00985753,0.00605725,0.00895253,0.0101557,0.0268061,0.0140181,0.0064657,0.0390012,0.022456,0.0214042,0.00370671,0.0245535,0.0269531,0,0,0,0,0,0,0,0,0,0,0,0
235,0.0339062,0,0,0,0,0.0292523,0,0,0,0,0,0.00634871,0.0440022,0.0126197,0.0234483,0,0,0.0980298,0,0.050093,0.0530061,0.0336193,0.0221162,0.0164168,0.0117995,0.0200364,0.0334494,0.00713128,0.0119782,0.00758072,0.0160514,0.015862,0.0133886,0.0321754,0.0108581,0.0705443,0,0.0329295,0.0284921,0.0449255,0.0150166,0.00499105,0.0201354,0,0,0.0250055,0,0.0511819,0.0170891,0.0461955,0.016084,0.0113998,0.0168404,0.016849,0.0321395,0.00918493,0.00963713,0.00643059,0.00914038,0.0105335,0.0262502,0.0148739,0.00761761,0.0388057,0.022849,0.0215879,0.00364691,0.024381,0.0273675,0,0,0,0,0,0,0,0,0,0,0,0
236,0.0345444,0,0,0,0,0.0292508,0,0,0,0,0,0.00634071,0.0440424,0.0120558,0.0233416,0,0,0.0977915,0,0.0500872,0.0529167,0.0333141,0.0222105,0.0165189,0.0117676,0.0203921,0.0337582,0.00790931,0.0126307,0.00766629,0.0157219,0.0153788,0.012976,0.0317909,0.0105456,0.0704349,0,0.0327186,0.0287462,0.0447562,0.016247,0.00473943,0.0212893,0,0,0.0250309,0,0.0511686,0.0170475,0.0463078,0.0172116,0.0110746,0.0166476,0.0167445,0.032868,0.00930277,0.00943793,0.00660491,0.0092968,0.0111452,0.0255648,0.0157756,0.00904506,0.0385645,0.0232546,0.0218652,0.00369041,0.0243127,0.0278372,0,0,0,0,0,0,0,0,0,0,0,0
237,0.0344716,0,0,0,0,0.029375,0,0,0,0,0,0.00622174,0.0440564,0.0116877,0.0231638,0,0,0.097634,0,0.0500334,0.052805,0.0330168,0.0214744,0.0165205,0.0118531,0.0205367,0.0341744,0.00857174,0.013384,0.0078991,0.0152433,0.0146899,0.0124767,0.0313877,0.0101766,0.0704689,0,0.0324361,0.0290205,0.0446828,0.0176199,0.00454573,0.0213623,0,0,0.0248495,0,0.0512207,0.0169101,0.046384,0.0189696,0.0106337,0.0163668,0.0166131,0.032881,0.00935747,0.00936559,0.0069313,0.00940489,0.0120361,0.0247418,0.0166912,0.0106125,0.0384477,0.0232001,0.022015,0.00372374,0.0244421,0.0276229,0,0,0,0,0,0,0,0,0,0,0,0
238,0.0344324,0,0,0,0,0.0295522,0,0,0,0,0,0.00618563,0.0441027,0.0113324,0.0230077,0,0,0.0973985,0,0.0500329,0.052617,0.0326349,0.020584,0.0165125,0.0120096,0.0204932,0.034637,0.00914068,0.0139625,0.00828854,0.0148799,0.0140886,0.0120411,0.0308962,0.0100442,0.0704943,0,0.0321799,0.0296077,0.0445962,0.0191707,0.00449501,0.0214088,0,0,0.0246021,0,0.0512279,0.0168164,0.0463624,0.0210637,0.0102882,0.0160461,0.0165232,0.0328378,0.00929434,0.00932755,0.00666072,0.00946885,0.0130571,0.0237854,0.0176699,0.012269,0.0386748,0.0230109,0.0219422,0.00384387,0.0246165,0.0274463,0,0,0,0,0,0,0,0,0,0,0,0
239,0.0344363,0,0,0,0,0.0297914,0,0,0,0,0,0.00657026,0.0441792,0.0110161,0.0227518,0,0,0.0971735,0,0.05006,0.0524268,0.0321104,0.0200263,0.0164046,0.0119848,0.0202693,0.0350968,0.00960877,0.0142503,0.00850067,0.0145227,0.0136794,0.0116267,0.0303489,0.0105959,0.0704896,0,0.0319139,0.0308784,0.0444427,0.0208702,0.00461892,0.0215116,0,0,0.0243441,0,0.051135,0.0167682,0.0463664,0.0233526,0.0100076,0.0155646,0.0165014,0.0328689,0.0091782,0.00939372,0.00692811,0.00941984,0.0141517,0.0227481,0.0186561,0.0141018,0.0390433,0.0228011,0.0219017,0.0041364,0.0248006,0.0273561,0,0,0,0,0,0,0,0,0,0,0,0
240,0.034476,0,0,0,0,0.0300178,0,0,0,0,0,0.00735142,0.0442429,0.0107515,0.0223637,0,0,0.096893,0,0.0500592,0.0522153,0.0316271,0.0194023,0.0161824,0.0116185,0.0202039,0.0354944,0.00997338,0.0143413,0.0083452,0.0142049,0.0135527,0.0112458,0.0297695,0.0119357,0.0702334,0,0.0315882,0.032153,0.0443279,0.0226359,0.00484128,0.0216773,0,0,0.0241478,0,0.0510812,0.0166976,0.0464098,0.0259672,0.00983198,0.0149193,0.0165653,0.0329917,0.00907277,0.00954935,0.00725796,0.00929864,0.0153024,0.0216663,0.0196294,0.0159407,0.0394994,0.0228403,0.0220096,0.00427893,0.024957,0.0273995,0,0,0,0,0,0,0,0,0,0,0,0
241,0.0345597,0,0,0,0,0.0302219,0,0,0,0,0,0.00832725,0.0442748,0.0104801,0.0219686,0,0,0.096536,0,0.0500476,0.0519959,0.0313946,0.0186932,0.0159251,0.0111544,0.0201785,0.0358721,0.0102518,0.0144177,0.00804148,0.0141115,0.0139445,0.0109955,0.0292256,0.0136565,0.069924,0,0.0312919,0.0332882,0.0442874,0.0243729,0.00515761,0.0218559,0,0,0.0241724,0,0.0511257,0.0166517,0.0465202,0.0284849,0.0097628,0.0142549,0.0166975,0.033173,0.00895175,0.00964943,0.00768501,0.00913666,0.016472,0.0205839,0.020723,0.0173683,0.0401149,0.0230674,0.0220945,0.00436073,0.025122,0.0274967,0,0,0,0,0,0,0,0,0,0,0,0
242,0.0344399,0,0,0,0,0.0312205,0,0,0,0,0,0.00964973,0.0572272,0.0104753,0.0209779,0,0,0.0918033,0,0.0475696,0.0527706,0.0314184,0.0181418,0.0149777,0.010776,0.0181693,0.039459,0.0107739,0.0150871,0.00776398,0.0144159,0.0152893,0.0109925,0.0287998,0.0165171,0.06613,0.0494615,0.036755,0.0340485,0.0441555,0.0256764,0.00549081,0.0209572,0,0,0.024655,0,0.0510823,0.0168494,0.0466354,0.0303591,0.00852964,0.0131611,0.0171189,0.0325761,0.00892319,0.00964553,0.00810164,0.00876965,0.0170552,0.0199368,0.0217533,0.0180574,0.0410721,0.02319,0.0218421,0.00453373,0.0265883,0.0271342,0,0,0,0,0,0,0,0,0,0,0,0
243,0.0345008,0,0,0,0,0.0314148,0,0,0,0,0,0.0107899,0.0571825,0.0102065,0.020731,0,0,0.0917867,0,0.0475887,0.0527674,0.0317413,0.0177014,0.0148434,0.0110959,0.0181223,0.03972,0.011496,0.0159057,0.00816004,0.0148052,0.016544,0.0108522,0.028263,0.0184427,0.0661404,0.049512,0.0366315,0.0350507,0.0440203,0.0273892,0.00620191,0.02116,0,0,0.0249211,0,0.0510148,0.0170717,0.0466504,0.0326555,0.00866043,0.0120535,0.0172014,0.032914,0.00883581,0.00978297,0.00891304,0.00873335,0.0177094,0.0190742,0.0228662,0.0188892,0.0418691,0.023551,0.0217417,0.0046796,0.0267894,0.0272316,0,0,0,0,0,0,0,0,0,0,0,0
