Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72
46,0.0539505,0,0,0,0,0.0354548,0,0,0,0,0,0,0.0359218,0.0365968,0.0300049,0.0133791,0,0,0.0391696,0,0.0386037,0.0119065,0.0412897,0.0267222,0.00733976,0.0128978,0.0148723,0.0970217,0.0159922,0.0151731,0.0148217,0.0072996,0.0121776,0.0119556,0.016781,0.038488,0.0402852,0.0133124,0.0316252,0.0169201,0.0429335,0.0159521,0.0129998,0.0502646,0,0,0.0281695,0,0.0476125,0.0247568,0.0363063,0.0148765,0.0163261,0.0106017,0.0124462,0.0393495,0.0119904,0.0148348,0.00896955,0.0134737,0.00416995,0.0315488,0.00795871,0.00538316,0.0196884,0.0363403,0.0190906,0.016112,0.0430214,0.0547765,0,0
47,0.0540044,0,0,0,0,0.0352156,0,0,0,0,0,0,0.0358874,0.037084,0.030046,0.0136198,0,0,0.0402743,0,0.0388413,0.0115809,0.0410089,0.0267734,0.00728441,0.0129737,0.0149062,0.0979741,0.0161557,0.015249,0.0149746,0.0073127,0.012207,0.0119853,0.0168036,0.0386252,0.0413559,0.0130102,0.0322333,0.0169615,0.0429222,0.0160611,0.0129363,0.0504195,0,0,0.0280736,0,0.0476021,0.0246901,0.036272,0.0150834,0.0162635,0.010649,0.0125212,0.0393639,0.0119518,0.0148428,0.0101183,0.0134116,0.00422755,0.0315401,0.00793088,0.00549604,0.0199044,0.0363299,0.0190316,0.0160754,0.0426295,0.0549971,0,0
48,0.0539456,0,0,0,0,0.0349652,0,0,0,0,0,0,0.0359299,0.0375805,0.0300973,0.0135706,0,0,0.0411916,0,0.0389602,0.011289,0.0408034,0.0267773,0.00724917,0.012863,0.0148952,0.0988666,0.0158846,0.0153614,0.0150767,0.00740652,0.0122786,0.011976,0.0168313,0.0387965,0.0422645,0.0127788,0.0329062,0.0170096,0.0429152,0.0161507,0.0129935,0.0504803,0,0,0.0279569,0,0.0475943,0.024625,0.036231,0.0153013,0.016211,0.0106914,0.0125871,0.0394268,0.0118873,0.0148091,0.0126285,0.0133623,0.00431321,0.031547,0.00789023,0.00563718,0.0202017,0.036233,0.0189162,0.0160297,0.0422223,0.0551346,0,0
49,0.0537168,0,0,0,0,0.0346925,0,0,0,0,0,0,0.0362031,0.0380121,0.03012,0.0134888,0,0,0.0418206,0,0.0391021,0.0109542,0.0408092,0.0267075,0.00719382,0.0129819,0.0149156,0.0995928,0.016056,0.0154704,0.0149871,0.00766325,0.0124266,0.0119033,0.0168659,0.0390002,0.0429948,0.0125805,0.0336591,0.017084,0.0428786,0.0162521,0.013052,0.0503352,0,0,0.0278173,0,0.0475497,0.0244953,0.0362344,0.0155189,0.0161854,0.0107481,0.0126858,0.0394504,0.0118059,0.0147782,0.0128213,0.013329,0.00440553,0.0315629,0.00784941,0.00578572,0.0205233,0.0360029,0.0188493,0.0159572,0.0418193,0.0551249,0,0
50,0.0532937,0,0,0,0,0.0344169,0,0,0,0,0,0,0.0366075,0.0384723,0.0302784,0.0135218,0,0,0.0421636,0,0.0393948,0.0105902,0.0408142,0.0266799,0.00712213,0.0131395,0.0149989,0.1001,0.0163586,0.0155518,0.0149788,0.00779591,0.0125653,0.0118958,0.0169104,0.0391732,0.0435123,0.0123162,0.0344269,0.0172401,0.0428301,0.0164129,0.0129507,0.0500167,0,0,0.0276449,0,0.0474962,0.0242977,0.0362345,0.0157922,0.016167,0.0108298,0.0127721,0.0395112,0.0117287,0.0147783,0.0117644,0.0132875,0.00447646,0.0315927,0.00779873,0.00593569,0.0207498,0.0358981,0.0187979,0.0158388,0.0414389,0.0549708,0,0
51,0.0527106,0,0,0,0,0.0341517,0,0,0,0,0,0,0.0368212,0.0388748,0.0305908,0.0135579,0,0,0.0421745,0,0.0397165,0.0101627,0.0408345,0.0266624,0.00701576,0.0132534,0.0151003,0.100473,0.0165086,0.0156001,0.0150616,0.00779637,0.0126908,0.0122525,0.0169809,0.0393654,0.0437805,0.012082,0.0350798,0.0174046,0.0427768,0.0165941,0.0128351,0.049775,0,0,0.0274107,0,0.0474427,0.0240229,0.0362478,0.0160617,0.0161432,0.0109103,0.0128489,0.0395724,0.011656,0.0147637,0.0112044,0.013238,0.00452683,0.0315496,0.00776509,0.00607072,0.0209071,0.0358532,0.018719,0.0156594,0.0410655,0.0546791,0,0
52,0.052012,0,0,0,0,0.0338834,0,0,0,0,0,0,0.0370292,0.0391546,0.0306061,0.0135617,0,0,0.0418843,0,0.0400508,0.00969552,0.0409226,0.0268604,0.00685479,0.0133032,0.0152327,0.100741,0.016601,0.0156585,0.0151094,0.00785325,0.0128247,0.0122348,0.0170675,0.0396458,0.0437609,0.0118743,0.0356448,0.0176132,0.0427393,0.0167291,0.0127488,0.0494592,0,0,0.0271713,0,0.0474092,0.0237188,0.0362681,0.0162979,0.0161041,0.0109458,0.0129516,0.0396238,0.0115861,0.014726,0.0111927,0.013224,0.00455934,0.0314826,0.00772736,0.00617323,0.0211598,0.0357219,0.0186076,0.0154514,0.0406839,0.0542769,0,0
53,0.051173,0,0,0,0,0.0336224,0,0,0,0,0,0,0.0373285,0.0393755,0.0307392,0.0136536,0,0,0.041406,0,0.0403828,0.00909219,0.0408703,0.0272252,0.00670907,0.0133417,0.0153932,0.100838,0.0167572,0.0157569,0.0150678,0.0079307,0.0129261,0.0122314,0.0171911,0.0398789,0.0434789,0.0116577,0.0362382,0.0178091,0.0427065,0.0168888,0.0127564,0.0490285,0,0,0.0269359,0,0.0473787,0.0234326,0.0362362,0.0165373,0.0160686,0.0109814,0.0131604,0.0396476,0.0115702,0.014707,0.0112674,0.0132272,0.00461041,0.0314456,0.00769639,0.00627421,0.0213867,0.0355402,0.018469,0.0152374,0.0402419,0.0537561,0,0
54,0.0501957,0,0,0,0,0.0333586,0,0,0,0,0,0,0.0372648,0.0396099,0.030888,0.0138943,0,0,0.0407703,0,0.0406834,0.0085047,0.0407271,0.0273729,0.00659267,0.0135414,0.0155414,0.100695,0.0170204,0.0159922,0.0150718,0.00799454,0.0129723,0.0121795,0.0172739,0.0398968,0.0431987,0.0114622,0.0368091,0.0179573,0.0426708,0.0170732,0.0127888,0.0484648,0,0,0.0267502,0,0.0473459,0.0231257,0.0362093,0.016763,0.0160464,0.0110127,0.0134321,0.039682,0.0115629,0.0146757,0.0113695,0.0132265,0.00464168,0.0314153,0.00766644,0.00636259,0.0216526,0.0353349,0.0182935,0.0150092,0.0397732,0.0531509,0,0
55,0.0491006,0,0,0,0,0.0330189,0,0,0,0,0,0,0.037194,0.0398669,0.0306095,0.01399,0,0,0.0400039,0,0.0409417,0.00803048,0.0406202,0.0271569,0.00648238,0.0138002,0.0156469,0.100289,0.0172323,0.0162697,0.0153621,0.00812446,0.0131007,0.0120246,0.017247,0.0398927,0.0428255,0.0113564,0.0373062,0.018104,0.0426166,0.0172426,0.012757,0.0477843,0,0,0.0265617,0,0.0472914,0.0227581,0.0362162,0.0170097,0.016037,0.0110574,0.0136151,0.0397454,0.0115167,0.0146133,0.0118295,0.0131902,0.00470149,0.0313808,0.00764334,0.00646494,0.0218699,0.0351619,0.0180951,0.0147598,0.0392736,0.0525188,0,0
