Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
558,0.0085775,0.0067764,0,0,0,0,0,0,0.00972866,0.0169884,0.0169426,0.00599268,0,0,0.00279032,0,0.0171809,0.00171257,0.040072,0.0350102,0.011594,0.0281851,0.00818563,0.00455687,0.0206695,0.0328342,0.0213713,0.0196257,0.023218,0.0236917,0.0110434,0.028779,0.0147601,0.00399438,0.00635636,0.00280925,0.0134164,0.0189379,0.00924344,0.00344575,0.00454394,0,0,0.0207802,0,0.0148324,0.0078074,0.0424962,0.00772338,0.0158587,0.0121072,0.00914779,0.0144937,0.00644981,0.0296747,0.0080082,0.00615636,0.0108202,0.0357778,0.0107595,0.0110492,0.0148128,0.00284001,0.00314522,0.00311583,0.0105578,0.00780533,0,0,0,0,0,0,0,0
559,0.00866683,0.00676001,0,0,0,0,0,0,0.0098878,0.0170851,0.017003,0.0060331,0,0,0.0027957,0,0.0171217,0.00178144,0.0399993,0.0350865,0.0116656,0.0283964,0.00857927,0.00450004,0.0206281,0.0329086,0.0216118,0.019589,0.0232552,0.0236876,0.0109793,0.0287739,0.0146766,0.00393608,0.00625898,0.00283913,0.0130046,0.0189888,0.00918383,0.00341565,0.00456543,0,0,0.0210411,0,0.0147908,0.00790554,0.0423665,0.00766989,0.0156776,0.0121951,0.0094886,0.0147762,0.00641389,0.0297332,0.00818119,0.00625483,0.0108144,0.035795,0.010778,0.0110458,0.0142979,0.00313697,0.00298978,0.00314113,0.0105087,0.00790199,0,0,0,0,0,0,0,0
560,0.00869757,0.0069531,0,0,0,0,0,0,0.0098673,0.0170982,0.0170528,0.00607432,0,0,0.00267609,0,0.0171567,0.00186881,0.0398856,0.0351274,0.0117952,0.0284036,0.00870675,0.00429865,0.0204979,0.0328,0.0219444,0.0195203,0.0232309,0.0236106,0.010964,0.0287677,0.0144847,0.00388455,0.0062868,0.00280875,0.0127142,0.0189921,0.00915175,0.00328772,0.00452841,0,0,0.0212114,0,0.014849,0.0080117,0.0422809,0.00766279,0.0158517,0.012171,0.00958655,0.0150617,0.00634336,0.0297306,0.00863739,0.00625071,0.0108586,0.0358393,0.0107997,0.0111009,0.0139803,0.00337096,0.00286519,0.00310517,0.0107636,0.00811428,0,0,0,0,0,0,0,0
561,0.00875448,0.00714896,0,0,0,0,0,0,0.00967442,0.0170963,0.0171057,0.00610932,0,0,0.00257163,0,0.0171975,0.00191334,0.0398095,0.0351296,0.011926,0.0283884,0.00884265,0.00409214,0.0204291,0.0327288,0.022122,0.0194812,0.0231993,0.0235459,0.0109519,0.0287479,0.0142846,0.0039166,0.00631943,0.00280686,0.0124562,0.0189656,0.00911021,0.00318149,0.00451881,0,0,0.0214132,0,0.0149149,0.00809206,0.0422777,0.00768918,0.0160802,0.0122164,0.00975009,0.0153837,0.00630516,0.0297133,0.0088178,0.00621995,0.0109185,0.0358412,0.0108441,0.0111527,0.0137131,0.00342849,0.00274756,0.00304152,0.0110393,0.00827921,0,0,0,0,0,0,0,0
562,0.00881388,0.00738524,0,0,0,0,0,0,0.00942867,0.0170849,0.0171594,0.00614958,0,0,0.0025171,0,0.0171855,0.00191953,0.0398385,0.0351379,0.0120472,0.0283602,0.00903473,0.00386889,0.0204169,0.0326387,0.0221395,0.0194885,0.0231629,0.0234546,0.0109053,0.0287126,0.0140522,0.00382883,0.00633154,0.00279889,0.0122954,0.018931,0.0090798,0.00311876,0.00455846,0,0,0.0216558,0,0.0149544,0.00814496,0.0423194,0.00770835,0.0162501,0.0122976,0.00993134,0.0156988,0.00625146,0.0296939,0.00875481,0.00619869,0.0109483,0.0358183,0.0108618,0.0111453,0.0134931,0.00356296,0.0026469,0.0029725,0.0113261,0.00836795,0,0,0,0,0,0,0,0
563,0.00890675,0.00758042,0,0,0,0,0,0,0.00937615,0.0170781,0.0172347,0.00619223,0,0,0.00245433,0,0.0171175,0.00195179,0.0398407,0.0351539,0.0121311,0.0283644,0.00930074,0.00362852,0.0204464,0.032586,0.0222719,0.019497,0.0231162,0.0233445,0.0108415,0.0286829,0.0138735,0.00374608,0.00631838,0.00283102,0.0121552,0.0189461,0.00901302,0.00311433,0.00466041,0,0,0.0218799,0,0.0150136,0.00819653,0.0423898,0.00765782,0.016144,0.0124095,0.010171,0.0159981,0.00621375,0.0297136,0.00855922,0.00623227,0.0108755,0.0357562,0.0108192,0.0110407,0.0133263,0.0037175,0.00254598,0.00294035,0.011505,0.00849393,0,0,0,0,0,0,0,0
564,0.00897676,0.00778542,0,0,0,0,0,0,0.00920528,0.0170835,0.0172779,0.0062077,0,0,0.00243655,0,0.0171229,0.0019668,0.0397777,0.0351208,0.0121779,0.0283671,0.00948747,0.00339522,0.02051,0.0325813,0.022325,0.0195256,0.0231094,0.0232796,0.0108192,0.0286554,0.0137978,0.00366994,0.00634415,0.0028053,0.0121327,0.0189419,0.00891741,0.00313683,0.00476695,0,0,0.0220735,0,0.0151003,0.00824548,0.0424521,0.0075573,0.0160752,0.0124836,0.0103984,0.0162439,0.00622352,0.0297382,0.00835852,0.00630969,0.0107437,0.0358097,0.010714,0.0108798,0.0132957,0.00386848,0.00243939,0.00290611,0.0116947,0.00861016,0,0,0,0,0,0,0,0
565,0.00905353,0.0079305,0,0,0,0,0,0,0.00915685,0.0170903,0.0172965,0.00621504,0,0,0.00246428,0,0.0171007,0.00197652,0.0396982,0.0351049,0.0122071,0.0283795,0.0096677,0.00319838,0.0205464,0.0325967,0.022322,0.0195534,0.0231141,0.0231934,0.0108222,0.0286184,0.0137189,0.00365638,0.00635539,0.00276075,0.0121635,0.0189074,0.00879778,0.00319295,0.00487357,0,0,0.0222789,0,0.0151652,0.00834107,0.0424629,0.00744506,0.016069,0.0125517,0.0106623,0.0164242,0.00627953,0.0297945,0.00849712,0.00644086,0.0106323,0.0359741,0.010562,0.0107574,0.0133581,0.00398169,0.00236157,0.00286955,0.0118693,0.00864538,0,0,0,0,0,0,0,0
566,0.00909338,0.00820046,0,0,0,0,0,0,0.00902355,0.0171001,0.0173045,0.00619687,0,0,0.00265532,0,0.0170011,0.00190504,0.0396914,0.0350716,0.0122238,0.0282327,0.00967809,0.00303518,0.0204486,0.0325045,0.022154,0.0195606,0.023112,0.0230887,0.0108107,0.0285825,0.0134798,0.00383077,0.00632594,0.00274286,0.0122484,0.0188502,0.00871948,0.0032595,0.00500115,0,0,0.0223204,0,0.0152357,0.00839104,0.0424755,0.00732777,0.0160353,0.0125442,0.010721,0.0165609,0.00630047,0.0297958,0.00850693,0.00648627,0.0105634,0.0359976,0.0104823,0.0107072,0.0135156,0.00416287,0.00225502,0.00285149,0.0122122,0.00860102,0,0,0,0,0,0,0,0
567,0.00914236,0.00838587,0,0,0,0,0,0,0.00912452,0.0171704,0.0173036,0.00623087,0,0,0.00277715,0,0.0168698,0.0018798,0.0397158,0.0350297,0.0122472,0.0282085,0.00979269,0.00289989,0.0204313,0.0325183,0.0218567,0.0195386,0.0230878,0.0230137,0.0107964,0.0285813,0.0134028,0.00384702,0.00627141,0.00279043,0.0122817,0.0188116,0.00865849,0.00332793,0.00511484,0,0,0.022543,0,0.0152599,0.00846635,0.0425237,0.00720195,0.0160168,0.0126345,0.0108572,0.0167096,0.00634615,0.029776,0.00832582,0.00651452,0.010543,0.0358752,0.0104263,0.0107001,0.0135846,0.00414039,0.0021796,0.00285428,0.0124637,0.00867719,0,0,0,0,0,0,0,0
