Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73
19,0.00291432,0.00828682,0,0,0,0,0,0,0.0097678,0.0192455,0.0183256,0.00798181,0,0,0.0106726,0,0.016789,0.00827036,0.0412466,0.0345602,0.0132284,0.0263767,0.0126261,0.0256686,0.0215597,0.0331765,0.0207473,0.0179269,0.0228292,0.0232359,0.0111959,0.028891,0.0144503,0.017747,0.00768265,0.00671012,0.0100299,0.0226782,0.00835438,0.00538766,0.00778435,0,0,0.0365409,0,0.0219791,0.0109537,0.0418524,0.00760483,0.0167549,0.0101809,0.0146915,0.0153893,0.00527877,0.0279084,0.00412369,0.0055856,0.00937213,0.0325337,0.00888834,0.0103197,0.0107853,0.00364781,0.0124987,0.0112705,0.0108429,0.00435423,0,0,0,0,0,0,0
20,0.00294918,0.00822384,0,0,0,0,0,0,0.00974786,0.0192873,0.0183446,0.00797939,0,0,0.0106065,0,0.0168025,0.0082345,0.0412237,0.0345761,0.0131995,0.0263454,0.0125874,0.0254253,0.0215163,0.0331476,0.0207388,0.0179039,0.0228526,0.0232987,0.0112294,0.0289055,0.0145926,0.0175399,0.00767313,0.00664178,0.0101657,0.0226742,0.00831019,0.00537836,0.0077018,0,0,0.0365252,0,0.0219425,0.0109475,0.0418599,0.00765457,0.0164317,0.00981668,0.0146845,0.0154305,0.00525399,0.0278906,0,0.00560517,0.00907789,0.0324032,0.00870756,0.0100545,0.0108225,0.00359042,0.0123883,0.0112557,0.0108202,0.00450379,0,0,0,0,0,0,0
21,0.00294865,0.0082832,0,0,0,0,0,0,0.00975315,0.0192784,0.0183728,0.00799998,0,0,0.0105723,0,0.0168245,0.00822365,0.0412897,0.0346023,0.0131734,0.0263006,0.0124591,0.0253253,0.0215544,0.033163,0.0207261,0.0179195,0.02287,0.0234029,0.0112137,0.0288925,0.0146951,0.0173956,0.00766922,0.00658127,0.00989352,0.0226384,0.00821339,0.00534656,0.00770529,0,0,0.0364954,0,0.0218887,0.010936,0.0418095,0.00764482,0.0165654,0.00967338,0.0145136,0.0153949,0.00527238,0.0279395,0.004268,0.00562195,0.00884666,0.0321994,0.00851294,0.00983355,0.010448,0.00355387,0.0124105,0.0112342,0.0108793,0.00451793,0,0,0,0,0,0,0
22,0.00287792,0.00804359,0,0,0,0,0,0,0.00996211,0.0191528,0.018473,0.00796645,0,0,0.0109504,0,0.0168594,0.00829953,0.0413071,0.03471,0.0132087,0.0264092,0.0125675,0.0255323,0.0216292,0.0332951,0.0208175,0.0179456,0.0229571,0.0234827,0.0112342,0.0289224,0.014905,0.0175927,0.00765704,0.0065297,0.00972446,0.0227226,0.00808904,0.00528765,0.00748648,0,0,0.0360771,0,0.0217223,0.0110402,0.0417633,0.00744388,0.01661,0.00956927,0.0146393,0.0151067,0.00526332,0.0279594,0.00416498,0.00559885,0.00867391,0.0320644,0.00832856,0.00964846,0.0103203,0.00353258,0.0127637,0.0111996,0.0107018,0.00441423,0,0,0,0,0,0,0
23,0.00290606,0.00793733,0,0,0,0,0,0,0.00994068,0.0190659,0.0184853,0.00791838,0,0,0.0109587,0,0.0168785,0.00828322,0.0413382,0.0347555,0.0132016,0.0263422,0.0124624,0.025479,0.0216314,0.0332131,0.0208863,0.0179674,0.0230021,0.0235203,0.011295,0.0289604,0.0149055,0.017568,0.00766201,0.00652573,0.00971721,0.0227285,0.00800457,0.00530153,0.00738519,0,0,0.0363426,0,0.0217931,0.0111098,0.041753,0.00747745,0.0165228,0.00931848,0.0145646,0.0152858,0.00525648,0.0279912,0.00425782,0.0056126,0.00835075,0.0319876,0.00807743,0.0093098,0.0101971,0.00343054,0.0126223,0.0111583,0.0106523,0.00439177,0,0,0,0,0,0,0
24,0.00292134,0.00777027,0,0,0,0,0,0,0.00994666,0.0190372,0.0185077,0.00782816,0,0,0.0109494,0,0.0169031,0.00825394,0.041313,0.0347953,0.0131698,0.0262834,0.0123531,0.0253838,0.0216153,0.0331895,0.0207973,0.0179628,0.0230256,0.0235818,0.0113662,0.0290054,0.0149549,0.0176119,0.00767279,0.0065219,0.00959607,0.0227492,0.00789646,0.00531897,0.0072273,0,0,0.0365118,0,0.021792,0.01117,0.0416993,0.00746855,0.0163427,0.00911448,0.0144932,0.0154123,0.00525003,0.0280531,0.0045163,0.00564993,0.00804113,0.0318221,0.00785543,0.00902983,0.0100199,0.00343167,0.0125156,0.0110903,0.0105333,0.00437255,0,0,0,0,0,0,0
25,0.00293355,0.00762724,0,0,0,0,0,0,0.00997228,0.0190196,0.0185346,0.00772981,0,0,0.0109142,0,0.0169489,0.00825164,0.0412746,0.0348209,0.0131227,0.0262528,0.012238,0.0252609,0.0216451,0.03321,0.020742,0.0179781,0.0230267,0.0236388,0.0113967,0.0290567,0.0150406,0.0177032,0.00769484,0.00650553,0.0095134,0.0227596,0.00787144,0.00532858,0.00705804,0,0,0.0366465,0,0.0217483,0.0112052,0.0416295,0.00756824,0.0161714,0.00890208,0.0144101,0.0155192,0.00526996,0.0281245,0.0047533,0.00569308,0.00773004,0.0317453,0.00763989,0.00874033,0.00981844,0.00341861,0.0124004,0.0110171,0.0103852,0.00434914,0,0,0,0,0,0,0
26,0.00298076,0.00748884,0,0,0,0,0,0,0.0100027,0.0189925,0.0185641,0.00763224,0,0,0.0109019,0,0.0169864,0.00824286,0.0412951,0.0348369,0.0130417,0.0262539,0.0120964,0.0251629,0.0216197,0.0331738,0.0207487,0.0179831,0.0230038,0.02367,0.0114314,0.0290792,0.0151318,0.0177159,0.00772576,0.00649664,0.00946246,0.0227492,0.00787354,0.00535836,0.00689625,0,0,0.0367728,0,0.0216919,0.0112318,0.0416097,0.00773153,0.0161276,0.00863644,0.0142809,0.0156181,0.00527791,0.0281444,0.00478961,0.00573415,0.00746004,0.0316682,0.0074329,0.00849041,0.0095919,0.00339579,0.0123008,0.0109537,0.0102594,0.0043386,0,0,0,0,0,0,0
27,0.00302844,0.0072744,0,0,0,0,0,0,0.0101278,0.0189832,0.0185764,0.00749331,0,0,0.010936,0,0.0169794,0.00823191,0.0413139,0.0348782,0.0129637,0.0263038,0.0120096,0.0251469,0.0216383,0.033196,0.0207744,0.0179886,0.0230152,0.02372,0.0114653,0.0291012,0.0153207,0.0176523,0.00772093,0.00645641,0.00922062,0.0227689,0.00777581,0.00542473,0.006699,0,0,0.0368711,0,0.0216365,0.0112466,0.0415842,0.00777527,0.015958,0.00845056,0.0142073,0.0157376,0.00529544,0.0281208,0.00484453,0.00582831,0.00720707,0.0314623,0.00718082,0.00825789,0.00924261,0.00330352,0.012226,0.0108931,0.0100533,0.0043006,0,0,0,0,0,0,0
28,0.00312015,0.0070785,0,0,0,0,0,0,0.0101471,0.0189875,0.0185323,0.00731538,0,0,0.0109962,0,0.0169809,0.0082114,0.0412925,0.034874,0.0128904,0.0261879,0.0118595,0.0251497,0.0215667,0.0331056,0.0207291,0.0179774,0.022997,0.0237962,0.0114736,0.0290766,0.0154988,0.0175806,0.00772213,0.0063927,0.00895816,0.0227696,0.00769709,0.00551196,0.00648532,0,0,0.0369816,0,0.0215612,0.0112737,0.0415287,0.00781491,0.0157865,0.00825848,0.0140474,0.0158729,0.00529924,0.02805,0.0050513,0.00591193,0.00691669,0.0311706,0.00690294,0.0079757,0.0088777,0.00324336,0.0121713,0.0108494,0.00991507,0.00430553,0,0,0,0,0,0,0
