Timestep,,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B
19,0,0.00827339,0.00446978,0,0,0,0,0,0.00629219,0.018867,0.0164106,0.00675037,0,0,0.00186174,0,0.0158772,0.00242484,0.040403,0.0306015,0.0104633,0.0226525,0.00824809,0.00343945,0.0185445,0.0283547,0.018661,0.0199364,0.022275,0.0228761,0.0128243,0.0300689,0.0126108,0.00228995,0.00554685,0.00268516,0.00566429,0.0179178,0.00620288,0.00565305,0.00672669,0,0,0.0281334,0,0.0150007,0.00872397,0.0408158,0.00549533,0.0142775,0.00769669,0.00959071,0.0239253,0.00544062,0.0299468,0.00922618,0.00515968,0.00730552,0.0331111,0.00777984,0.00690233,0.00514785,0.00772997,0.00297141,0.00364957,0.00907718,0.00838731,0,0,0,0,0,0,0,0,0
20,0,0.00853657,0.00446484,0,0,0,0,0,0.0063317,0.0189169,0.0162313,0.00676123,0,0,0.00169338,0,0.015859,0.00251987,0.0404038,0.0302226,0.0102373,0.0223451,0.00799896,0.00349959,0.0183352,0.0279788,0.0185998,0.0198915,0.0223357,0.0228615,0.0127653,0.0299412,0.0127274,0.00218329,0.00554735,0.00268456,0.00568442,0.0180381,0.00599408,0.00585132,0.00709959,0,0,0.028452,0,0.0149901,0.00885241,0.0407267,0.00534448,0.0141644,0.00741437,0.00930707,0.0240181,0.00539831,0.0299339,0.00938961,0.00521649,0.00695697,0.0329222,0.00739345,0.00648466,0.00509139,0.0078221,0.00298059,0.00369588,0.00911245,0.00859846,0,0,0,0,0,0,0,0,0
21,0,0.00882895,0.0044768,0,0,0,0,0,0.00634597,0.0189347,0.0160578,0.00684251,0,0,0.00152603,0,0.0159113,0.00266057,0.0404643,0.0298415,0.0100412,0.0219841,0.00771502,0.0036048,0.0180721,0.027556,0.0185706,0.0199133,0.0222638,0.0228141,0.0127194,0.0298437,0.0128104,0.00210958,0.00557298,0.00264959,0.00561641,0.0181012,0.00581343,0.00605159,0.00745804,0,0,0.0287162,0,0.0149273,0.00897218,0.0406816,0.00524215,0.0140793,0.00712703,0.00897645,0.0241153,0.00542821,0.0298884,0.00944186,0.00525709,0.00668747,0.0327575,0.00711049,0.0061502,0.00500471,0.00779876,0.0029813,0.00370066,0.0091794,0.00881223,0,0,0,0,0,0,0,0,0
22,0,0.00909959,0.00452508,0,0,0,0,0,0.00644881,0.0189604,0.0159197,0.00702272,0,0,0.00143406,0,0.0159136,0.00275353,0.040481,0.0294827,0.00982369,0.021588,0.0074222,0.00369975,0.0177602,0.0271277,0.0183223,0.0200239,0.0220635,0.0227669,0.0127055,0.0297961,0.0129409,0.00200706,0.00560843,0.00266712,0.00553805,0.0182018,0.00563032,0.00626015,0.00779551,0,0,0.0289259,0,0.0148983,0.00909376,0.0406306,0.00514454,0.0140659,0.00684717,0.00865283,0.0242334,0.00540467,0.0298293,0.00933473,0.00525057,0.00645241,0.0326382,0.0068878,0.00586044,0.00492511,0.00773796,0.00301935,0.00372347,0.00930983,0.0090426,0,0,0,0,0,0,0,0,0
23,0,0.0093168,0.00458484,0,0,0,0,0,0.00651937,0.0190326,0.0158213,0.00726326,0,0,0.00137963,0,0.0158391,0.00280751,0.0404432,0.029166,0.00958475,0.0211377,0.00713887,0.00367716,0.0175039,0.0266527,0.0181164,0.0201494,0.0218733,0.0226539,0.012711,0.0297581,0.0131293,0.00190421,0.00561553,0.00271097,0.00541184,0.0182919,0.0054029,0.00645331,0.00812356,0,0,0.0291408,0,0.0148292,0.00912858,0.0405694,0.00501277,0.0141511,0.00662451,0.00830765,0.0243838,0.00534153,0.0298346,0.00909282,0.00530042,0.00622012,0.0327734,0.00663327,0.00554715,0.0048118,0.00758013,0.00297274,0.00370856,0.00946051,0.0092749,0,0,0,0,0,0,0,0,0
24,0,0.00958109,0.00455077,0,0,0,0,0,0.00656348,0.0191316,0.0157331,0.00747336,0,0,0.00137681,0,0.0157657,0.00291341,0.0403644,0.0288134,0.00934415,0.0207093,0.00692008,0.00384321,0.0172514,0.0261222,0.0179332,0.0202268,0.0218699,0.0225214,0.0127005,0.0297065,0.0132485,0.00190865,0.00560929,0.00278905,0.00527236,0.0184349,0.00513638,0.00661869,0.00849949,0,0,0.0292973,0,0.0147752,0.00914332,0.0405047,0.00487268,0.0140483,0.00649751,0.00800279,0.0245561,0.00536434,0.029922,0.0092624,0.00538423,0.00597005,0.0330138,0.00631735,0.00516337,0.00469814,0.00740044,0.00305736,0.00372194,0.00946604,0.00953284,0,0,0,0,0,0,0,0,0
25,0,0.00988155,0.00451336,0,0,0,0,0,0.00653836,0.0192134,0.0156097,0.00765103,0,0,0.00140175,0,0.015799,0.00310394,0.0403326,0.0285165,0.00910684,0.0203063,0.00665486,0.00406539,0.016992,0.0255892,0.0176383,0.0202129,0.0218032,0.0223982,0.0126722,0.0296242,0.013345,0.00192565,0.00562156,0.00281552,0.0051415,0.018617,0.00505907,0.0068749,0.00885505,0,0,0.029438,0,0.0147645,0.00922657,0.0404547,0.00488664,0.0137806,0.00621046,0.00776093,0.0246659,0.00521247,0.0298442,0.00942096,0.00524623,0.00584626,0.0324947,0.00615145,0.0049694,0.00466153,0.00730759,0.00323823,0.00380195,0.00947783,0.00980626,0,0,0,0,0,0,0,0,0
26,0,0.0100786,0.00456656,0,0,0,0,0,0.00651723,0.0193795,0.0154225,0.0078263,0,0,0.00139865,0,0.0157817,0.00323775,0.0403883,0.0282469,0.00888026,0.0198987,0.00631979,0.00425535,0.016783,0.0250683,0.0173184,0.0201448,0.0216843,0.022209,0.0125932,0.0294673,0.0135098,0.00195378,0.00567441,0.00281171,0.00512667,0.0187297,0.00493593,0.00715226,0.00910116,0,0,0.0295736,0,0.01473,0.00933368,0.040414,0.00487006,0.0136454,0.00596902,0.00748106,0.0247133,0.0050659,0.0297839,0.00980974,0.00507839,0.00565443,0.0321425,0.0057636,0.0046969,0.00473395,0.00721313,0.00329046,0.00382317,0.00957829,0.00998997,0,0,0,0,0,0,0,0,0
27,0,0.0102418,0.0046125,0,0,0,0,0,0.00658301,0.0195419,0.0153168,0.0078776,0,0,0.00146369,0,0.0158196,0.00341579,0.0405174,0.0282488,0.00870687,0.0197307,0.0060915,0.00444038,0.0167346,0.0247802,0.0172411,0.0200976,0.0215602,0.0221561,0.0124858,0.0293276,0.0138173,0.00207164,0.00578717,0.00278902,0.00516717,0.0187961,0.00469179,0.0072636,0.00928578,0,0,0.0297291,0,0.0146447,0.00943387,0.0403655,0.00479272,0.0137308,0.00586324,0.00733246,0.0247268,0.00500555,0.0297936,0.0100458,0.00500274,0.00539666,0.0322026,0.00501104,0.00436263,0.00478846,0.0070961,0.00330175,0.00378735,0.00960304,0.0101289,0,0,0,0,0,0,0,0,0
28,0,0.0104361,0.00461725,0,0,0,0,0,0.00670703,0.0196786,0.0152397,0.00788353,0,0,0.00155606,0,0.0158366,0.00360616,0.0405988,0.02823,0.00849942,0.0196701,0.00591721,0.00468496,0.0166473,0.0246176,0.0172918,0.0200492,0.0214541,0.0222297,0.0123987,0.029194,0.0141274,0.00234631,0.0058981,0.00278324,0.00534231,0.0189106,0.00447867,0.00734805,0.00953564,0,0,0.0298346,0,0.0145807,0.00952676,0.0403557,0.00483508,0.0136025,0.00580387,0.00728774,0.0247357,0.00501948,0.029841,0.0101062,0.00498224,0.00506651,0.0322939,0.00434622,0.00392131,0.00496876,0.00705006,0.00353501,0.00380451,0.00955392,0.0102671,0,0,0,0,0,0,0,0,0
