Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTIBA,IMUR_B
1527,0.0218549,0.0126169,0,0,0,0,0,0.0176458,0.0208096,0.00597261,0.0113331,0,0,0.00932518,0,0.024646,0.00746025,0.0409139,0.0168856,0.031033,0.0141683,0.0119564,0.0195571,0.0146863,0.0151308,0.0128238,0.0395053,0.0111315,0.0130317,0.00969653,0.0373087,0.0237885,0.0160285,0.0139031,0.00562843,0.0147381,0.0151303,0.0101596,0.0146255,0.0192091,0,0,0.0179522,0,0.0145441,0.00966953,0.0476955,0.0107327,0.0340649,0.00685577,0.0103982,0.00947842,0.0126825,0.0380431,0.0152787,0.0103246,0.00100229,0.00511898,0.00431622,0.0133404,0.0114353,0.0129398,0.0158715,0.0098418,0.0195988,0,0,0,0,0,0,0,0,0.0372587,0
1528,0.0210366,0.0122017,0,0,0,0,0,0.0178445,0.0206136,0.00598686,0.0109197,0,0,0.00930868,0,0.024964,0.00747025,0.0406489,0.0166984,0.0310118,0.0135204,0.0122183,0.0187388,0.0148668,0.014654,0.0128163,0.0397343,0.0110783,0.0130932,0.00965636,0.0372365,0.0241049,0.0156077,0.014063,0.00547492,0.0140168,0.0150203,0.00984976,0.0139709,0.0186286,0,0,0.0175277,0,0.0144114,0.0100058,0.0478593,0.0108049,0.0340607,0.00625749,0.0108686,0.00917152,0.0125651,0.038068,0.0150758,0.0104542,0.00125853,0.00462236,0.00369038,0.0125399,0.0113549,0.012504,0.0156696,0.00961127,0.0189585,0,0,0,0,0,0,0,0,0.0369222,0
1529,0.0202463,0.01174,0,0,0,0,0,0.0180329,0.020384,0.00611324,0.0105862,0,0,0.00920362,0,0.0251448,0.00755128,0.0404031,0.0164775,0.0309331,0.0128112,0.01242,0.0177255,0.0152432,0.0142467,0.0130001,0.0401479,0.0110301,0.0130913,0.0095943,0.0371729,0.0243788,0.0151504,0.0142127,0.0053716,0.0131817,0.0148786,0.00948398,0.0132442,0.0180385,0,0,0.0171493,0,0.0142486,0.0105932,0.0478253,0.0107729,0.0341093,0.00573177,0.011076,0.00882695,0.0124543,0.038001,0.0146496,0.0105332,0.00163354,0.00417119,0.00316764,0.0116723,0.0112698,0.0121548,0.0155166,0.00936101,0.0183221,0,0,0,0,0,0,0,0,0.0365524,0
1530,0.0194987,0.0111879,0,0,0,0,0,0.0182331,0.0201795,0.00619456,0.010266,0,0,0.00904682,0,0.0252539,0.00760005,0.0402186,0.0162463,0.030816,0.0120137,0.0125495,0.016641,0.0158472,0.0138556,0.0134115,0.0407021,0.0109453,0.012999,0.00949059,0.0371057,0.0245982,0.0145564,0.0143442,0.00523108,0.0124637,0.0147445,0.00930782,0.0124837,0.0174528,0,0,0.0168486,0,0.0141103,0.0107854,0.0477282,0.0109456,0.0341486,0.00526205,0.0112479,0.00845153,0.0123679,0.0379881,0.0144689,0.0105968,0.00213302,0.00377572,0.00258791,0.0108831,0.0111641,0.0119319,0.0153517,0.0091483,0.0177112,0,0,0,0,0,0,0,0,0.0361795,0
1531,0.0184691,0.010453,0,0,0,0,0,0.0188237,0.0199586,0.00602578,0.00974914,0,0,0.00881316,0,0.0253455,0.00753433,0.0402999,0.0159705,0.030829,0.0115342,0.01235,0.0154671,0.0164472,0.0137753,0,0.0411439,0.0107247,0.0128907,0.00922248,0.036912,0.0251963,0.0138232,0.0144725,0.00507732,0.0118811,0.0145268,0.00921713,0.0116456,0.0165045,0,0,0.0165625,0,0.0139037,0.0106159,0.0478627,0.0112032,0.034038,0.00510031,0.0113846,0.00821943,0.0125301,0.0381424,0.0145779,0.0106705,0.00280389,0.00330374,0.00189134,0.0102317,0.0110896,0.011802,0.0152676,0.00890422,0.0168256,0,0,0,0,0,0,0,0,0.0356839,0
1532,0.0176182,0.00989048,0,0,0,0,0,0.0190622,0.0197256,0.00606278,0.00934016,0,0,0.00848168,0,0.0254189,0.00731839,0.040391,0.0155809,0.0307085,0.0111713,0.0122358,0.0141147,0.0162276,0.0134056,0,0.041204,0.0106667,0.0127828,0.00915433,0.0367597,0.0254537,0.0129616,0.0146122,0.00489934,0.0112247,0.0143306,0.00905341,0.0108345,0.0157153,0,0,0.0163037,0,0.0137241,0.0104854,0.0480505,0.0113438,0.0339502,0.0050903,0.0114573,0.00782817,0.0127788,0.038178,0.0146265,0.0106519,0.00349663,0.00282551,0.00121925,0.00975411,0.0109906,0.011603,0.0151211,0.00867943,0.0161274,0,0,0,0,0,0,0,0,0.0352035,0
1533,0.016837,0.00943867,0,0,0,0,0,0.019251,0.0194671,0.00611077,0.00899758,0,0,0.00813543,0,0.0255731,0.00711142,0.0404232,0.0152094,0.0305648,0.0108909,0.0121348,0.0127886,0.0154635,0.0130363,0,0.0411289,0.0106024,0.0126963,0.00906815,0.0365766,0.0257322,0.0120601,0.014783,0.00472594,0.0104644,0.0141371,0.0086595,0.0099377,0.014933,0,0,0.0160342,0,0.0136028,0.010125,0.0482459,0.0111595,0.0338551,0.0050531,0.0113909,0.00751581,0.0127126,0.0380557,0.0144573,0.0111195,0.00404628,0.00249105,0.000871789,0.00937915,0.0109047,0.0114036,0.014948,0.00850452,0.0154715,0,0,0,0,0,0,0,0,0.0347895,0
1534,0.016097,0.00904376,0,0,0,0,0,0.0193153,0.0191722,0.00602581,0.00882037,0,0,0.00782592,0,0.0257536,0.00688213,0.0404272,0.0147083,0.0304066,0.0103907,0.0120892,0.0116827,0.014558,0.0125656,0,0.0409943,0.0102482,0.0124149,0.00879582,0.0363332,0.0257735,0.0111509,0.0149699,0.00455788,0.00998587,0.0139394,0.00834033,0.00893575,0.0141607,0,0,0.0157266,0,0.0134718,0.00970496,0.0484568,0.0111218,0.0338052,0.0050073,0.0111788,0.00721683,0.0123966,0.0378265,0.0142778,0,0.00467258,0.00220336,0.00100425,0.00945951,0.0107903,0.0112105,0.0147274,0.00832972,0.0148433,0,0,0,0,0,0,0,0,0.0343974,0
1535,0.0154588,0.00880076,0,0,0,0,0,0.0191946,0.0188594,0.00600419,0.00867968,0,0,0.00745859,0,0.0259396,0.00667393,0.0405561,0.0142756,0.0302223,0.00984244,0.0121211,0.0106747,0.0141986,0.0119096,0,0.0408737,0.00993084,0.012088,0.00858134,0.0361132,0.0256757,0.0102534,0.0151528,0.00441503,0.00948967,0.0137277,0.00786125,0.00805199,0.0134204,0,0,0.0153951,0,0.0133212,0.00921457,0.0485611,0.0107603,0.0336826,0.00477086,0.0112254,0.00696732,0.0119972,0.0376739,0.0140006,0.0139715,0.00497431,0.00207075,0.00142565,0.00957509,0.0107172,0.011059,0.014503,0.00824642,0.014275,0,0,0,0,0,0,0,0,0.0341571,0
1536,0.0147497,0.00870503,0,0,0,0,0,0.0191671,0.0185168,0.0061052,0.00859936,0,0,0.00725546,0,0.0261977,0.00664405,0.0406846,0.013949,0.0301095,0.00958895,0.0123986,0.0100341,0.0140902,0.0113157,0,0.0407815,0.00978952,0.0118157,0.00849681,0.0359237,0.0255246,0.00972995,0.0153438,0.00434123,0.00901564,0.0135002,0.0073866,0.00718759,0.012692,0,0,0.0150819,0,0.0131184,0.00879811,0.0486658,0.0105881,0.0336572,0.00463143,0.0112877,0.00682068,0.0118113,0.0375289,0.0138274,0,0.00534205,0.00197452,0.00203334,0.00979003,0.0107784,0.0109049,0.0142356,0.00818385,0.0136504,0,0,0,0,0,0,0,0,0.0337012,0
