Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,
1945,0.0234185,0.0134721,0,0,0,0,0,0.0199399,0.0230509,0.0103684,0.0152075,0,0,0.0234651,0,0.01962,0.0115467,0.041547,0.00878072,0.0308292,0.0147933,0.00509565,0.0178279,0.0040621,0.00256492,0.00332572,0.0272741,0.00755444,0.0096068,0.00469493,0.0370575,0.022159,0.0242014,0.0121555,0.00566707,0.0298665,0.0138911,0.0181092,0.0144154,0.0218309,0,0,0.0124143,0,0.016213,0.00609147,0.0436271,0.0167022,0.0331843,0.0163179,0.000820663,0.0173767,0,0.0311146,0.00426012,0.00333785,0.00206815,0.0399134,0.00796024,0.00704128,0.0288213,0.00662525,0.0070327,0.00641046,0.0104237,0.0188184,0,0,0,0,0,0,0,0,0,0
1946,0.0336579,0.0256202,0,0,0,0,0,0.0203654,0.0261618,0.00969972,0.00979609,0,0,0.0169976,0,0.0185923,0.00986727,0.0386085,0.00776584,0.0244881,0.0158463,0.0259601,0.0121194,0.00581342,0.00350047,0.00412808,0.0271689,0.00641404,0.00897267,0.00388349,0.0360872,0.0232778,0.0171799,0.0113712,0.00761769,0.0287511,0.0205771,0.0191785,0.0227708,0.034715,0,0,0.0185625,0,0.0241109,0.00644176,0.0486721,0.0178936,0,0.0166009,0.0343708,0.0188419,0.00604409,0.0356792,0.00553321,0.00319477,0.00564729,0.0404646,0.00589988,0.00467615,0.0267747,0.0141042,0.00458922,0.00363538,0.0228632,0.0299447,0,0,0,0,0,0,0,0,0,0
1947,0.023817,0.0136435,0,0,0,0,0,0.0199218,0.023141,0.01055,0.0149997,0,0,0.0231764,0,0.0195317,0.0113958,0.0416354,0.00830326,0.0308083,0.0147731,0.00540998,0.0173178,0.00312107,0.00244956,0.00332411,0.0272073,0.00751417,0.0094446,0.00453733,0.0369818,0.0222238,0.0238224,0.0121059,0.00557159,0.0302831,0.0140243,0.0183791,0.0143406,0.022236,0,0,0.0125585,0,0.0162381,0.00583334,0.043667,0.0170726,0.0329988,0.0159164,0.000987536,0.0172529,0,0.0316078,0.00475166,0.0037453,0.00198589,0.0399567,0.00782211,0.00677933,0.0292416,0.00672388,0.00734226,0.00634295,0.0106006,0.0191032,0,0,0,0,0,0,0,0,0,0
1948,0.0239921,0.0136925,0,0,0,0,0,0.019815,0.0231268,0.0104722,0.0149036,0,0,0.023217,0,0.0194886,0.0115069,0.0416533,0.00810442,0.030815,0.0148086,0.00556141,0.0176584,0.00262546,0.00246463,0.0033135,0.0271308,0.00747933,0.00940309,0.00449072,0.0369716,0.022119,0.0239174,0.0120894,0.00555636,0.0300106,0.0140802,0.018191,0.014289,0.0223759,0,0,0.0126726,0,0.0162529,0.00584114,0.0435669,0.0166976,0.0329897,0.0160265,0.000959718,0.0171676,0,0.0311566,0.00453926,0.00375785,0.00202447,0.0398563,0.00791207,0.00690298,0.0290484,0.00672851,0.00746489,0.0064142,0.0106518,0.0192295,0,0,0,0,0,0,0,0,0,0
1949,0.0242473,0.0138061,0,0,0,0,0,0.0197348,0.023151,0.010276,0.0147895,0,0,0.0232788,0,0.0194792,0.0115868,0.041663,0.00791589,0.030814,0.0148636,0.00576247,0.0180154,0.00257943,0.00247828,0.00332293,0.0269906,0.00746577,0.00943398,0.00443007,0.03695,0.0220146,0.0239995,0.0120875,0.00551689,0.0298001,0.0141552,0.0180887,0.0142347,0.0225648,0,0,0.0127429,0,0.0163119,0.0059697,0.0432892,0.0163585,0.03292,0.0161557,0.00106703,0.0170651,0,0.030719,0.00441499,0.00392877,0.00202018,0.0398073,0.00796872,0.00688672,0.0288322,0.00675135,0.00756669,0.00648407,0.0107666,0.0194331,0,0,0,0,0,0,0,0,0,0
1950,0.0244305,0.0138929,0,0,0,0,0,0.0196398,0.0232034,0.0101358,0.0146779,0,0,0.0232475,0,0.0195262,0.0115139,0.0416412,0.00773037,0.0308024,0.0148911,0.00584278,0.0182786,0.00264407,0.00246398,0.00334623,0.0268355,0.00745512,0.00935837,0.00438742,0.0369294,0.0218964,0.023999,0.0120886,0.0055071,0.0300855,0.0142388,0.0182436,0.0143021,0.0226855,0,0,0.0127624,0,0.0164541,0.00610638,0.0431831,0.0164416,0.0329002,0.0161453,0.00111886,0.0170144,0.00276747,0.0309363,0.00454246,0.00409067,0.0019239,0.0398018,0.00789832,0.00671898,0.0290863,0.00675319,0.00754183,0.0064944,0.0108501,0.0196043,0,0,0,0,0,0,0,0,0,0
1951,0.0248273,0.0141494,0,0,0,0,0,0.0197196,0.0233376,0.0101666,0.0143886,0,0,0.0229959,0,0.0195566,0.011402,0.0415638,0.00755389,0.0308584,0.0149686,0.00626433,0.018491,0.00274195,0.00239903,0.00342329,0.026788,0.00740303,0.00933521,0.00433434,0.0368609,0.0220399,0.0238705,0.0120679,0.00556177,0.0305103,0.0143603,0.0184838,0.0142332,0.022991,0,0,0.0129922,0,0.0165004,0.00638812,0.0431288,0.0166972,0.0328948,0.0161229,0.00140279,0.0169866,0.00315968,0.0315616,0.00484354,0.00437988,0.00186478,0.0399255,0.00775513,0.00643324,0.029426,0.00689821,0.00747132,0.0064687,0.0110623,0.0199527,0,0,0,0,0,0,0,0,0,0
1952,0.0344411,0.0256178,0,0,0,0,0,0.0196709,0.0262741,0.00941818,0.0101193,0,0,0.0171742,0,0.0188792,0.0100124,0.038644,0.00683524,0.0246243,0.0159283,0.0253097,0.0135699,0.00450074,0.00345776,0.00438178,0.0265212,0.00640481,0.00877369,0.00366554,0.0360317,0.0224576,0.0174201,0.0113658,0.00746201,0.0294391,0.0204293,0.019684,0.0219108,0.0350862,0,0,0.0183182,0,0.023296,0.00757132,0.0482595,0.018286,0,0.0167188,0.0331295,0.0186422,0.00631969,0.0360443,0.00601066,0.00430519,0.00617679,0.0406907,0.00598466,0.00470635,0.0274109,0.0143,0.00445947,0.00452888,0.0228922,0.0304264,0,0,0,0,0,0,0,0,0,0
1953,0.0249842,0.0139892,0,0,0,0,0,0.0193945,0.0234104,0.0101873,0.0150676,0,0,0.0232355,0,0.0197411,0.0116413,0.0416762,0.00734102,0.0306359,0.0150138,0.00513678,0.0187057,0.0028413,0.00239166,0.00349958,0.0267137,0.00730943,0.00925969,0.00413716,0.0367144,0.0216253,0.0239066,0.0121443,0.00564604,0.0306791,0.0140121,0.0186265,0.0152464,0.0228582,0,0,0.0122652,0,0.0136671,0.00842476,0.0431562,0.0168491,0.0325904,0.0162257,0.00122664,0.0170803,0.00233113,0.0317058,0.00490776,0.00455183,0.00196887,0.0400646,0.00770979,0.00623121,0.029655,0.00637242,0.0116739,0.0088911,0.0109698,0.0199099,0,0,0,0,0,0,0,0,0,0
1954,0.0249787,0.0141286,0,0,0,0,0,0.0192157,0.0234299,0.0100953,0.0150289,0,0,0.023069,0,0.0199726,0.0115521,0.0415777,0.0071526,0.0306742,0.0151109,0.00523821,0.0186188,0.00292602,0.00253534,0.00364526,0.0266782,0.00739725,0.0093103,0.00423324,0.0367996,0.0214904,0.0239031,0.0121143,0.00569537,0.0306909,0.0142627,0.0185973,0.0152335,0.0229525,0,0,0.0123783,0,0.0156408,0.00717068,0.0430999,0.0168173,0.032665,0.016215,0.00120559,0.016901,0.00240345,0.0316492,0.00500989,0.00456558,0.00201122,0.0400811,0.00767419,0.00632643,0.0297547,0.00647476,0.00951519,0.00727735,0.0111357,0.0198731,0,0,0,0,0,0,0,0,0,0
