Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LASI,RASI
24,0,0,0,0,0,0,0.0349065,0.0223895,0,0,0,0.0472641,0.021714,0.0222273,0,0,0.0345165,0,0.0138871,0.0220143,0.0456916,0.0116719,0.0423398,0.0499055,0.0103345,0.0203527,0.0222845,0.0337969,0.0161349,0.0352608,0.0212554,0.0283501,0.0206569,0.0283312,0.0553195,0.0310852,0.0140024,0.011748,0.0224563,0.0566932,0.0174117,0.0437355,0,0,0.0978564,0,0.0552552,0.0398286,0.0360872,0.0225289,0.0307784,0.0324014,0.00945698,0.0200389,0.0180299,0.0258238,0.018116,0.0244177,0.021842,0.0327855,0.0158244,0.0190949,0.0205223,0.0573849,0.0583657,0.0414782,0.0184621,0.0463955,0,0,0,0,0
25,0,0,0,0,0,0,0.0353382,0.0237079,0,0,0,0.047341,0.0216737,0.0222049,0,0,0.0345535,0,0.0139626,0.022047,0.0457333,0.0117333,0.0422463,0.0497715,0.0100314,0.0204346,0.0222277,0.0336629,0.0161098,0.0352547,0.0212969,0.0283947,0.0206607,0.0283208,0.0554133,0.0311889,0.0140262,0.0116884,0.0224712,0.0568078,0.0173337,0.0439246,0,0,0.0979779,0,0.054978,0.0399233,0.0361346,0.022437,0.0306797,0.0323882,0.00933845,0.0180941,0.0179836,0.0258834,0.0181527,0.0243882,0.0217481,0.0326617,0.0156708,0.0189999,0.0206189,0.0569982,0.0581848,0.0412518,0.0197898,0.0470461,0,0,0,0,0
26,0,0,0,0,0,0,0.03579,0.0249467,0,0,0,0.0473079,0.0216246,0.0221652,0,0,0.034594,0,0.0139951,0.02205,0.0457625,0.0117787,0.0421559,0.0495943,0.00966551,0.0205675,0.0221328,0.0335816,0.0160716,0.03523,0.0213147,0.0284087,0.0206691,0.0283259,0.0553981,0.0313036,0.014055,0.0116003,0.0224687,0.0568777,0.0172662,0.0442096,0,0,0.0982391,0,0.0546916,0.0399092,0.0361894,0.0223245,0.0306108,0.0323213,0.00915875,0.0163007,0.0179198,0.0258669,0.0181374,0.024302,0.0216332,0.032543,0.0155123,0.0188987,0.0207244,0.0567699,0.0579581,0.0411231,0.0210639,0.0476566,0,0,0,0,0
27,0,0,0,0,0,0,0.0360936,0.0259611,0,0,0,0.0473161,0.0215644,0.0221974,0,0,0.0345861,0,0.0140453,0.0220131,0.0457769,0.0118506,0.0420721,0.0494168,0.00933277,0.0207038,0.0220374,0.0334159,0.0160375,0.0352292,0.0213327,0.0284395,0.0206866,0.0283354,0.0553963,0.0314572,0.0140904,0.0116368,0.0225246,0.0569652,0.0172425,0.0445094,0,0,0.0987145,0,0.0544306,0.0403923,0.0362264,0.0222778,0.030566,0.0321871,0.00899526,0.0148146,0.0179325,0.0259326,0.018126,0.0242269,0.0215566,0.0324617,0.015348,0.018795,0.0208977,0.0566818,0.0576729,0.0412378,0.0221736,0.0481262,0,0,0,0,0
28,0,0,0,0,0,0,0.0362568,0.0268453,0,0,0,0.0472,0.0215294,0.0222066,0,0,0.0345512,0,0.0140976,0.0219545,0.0458125,0.0119179,0.0419603,0.0491684,0.00897317,0.0209184,0.0219228,0.033234,0.0159714,0.0352442,0.0213258,0.0284247,0.0206788,0.0283628,0.0553055,0.0316443,0.0141347,0.011793,0.0225355,0.057046,0.0171722,0.0447947,0,0,0.0990691,0,0.0541527,0.0411264,0.0362986,0.0221821,0.0305562,0.0320185,0.00884083,0.0135467,0.0178671,0.0259053,0.0180332,0.0241232,0.0214926,0.0323688,0.0152313,0.0187584,0.0210429,0.0566829,0.0574983,0.0412576,0.0231724,0.0484932,0,0,0,0,0
29,0,0,0,0,0,0,0.0363877,0.0277168,0,0,0,0.0470782,0.0214707,0.0221342,0,0,0.0344589,0,0.0141762,0.0218982,0.0458789,0.0120362,0.0418044,0.0488598,0.00848421,0.0212363,0.0218092,0.0329955,0.0159011,0.0352504,0.0213353,0.028401,0.0207061,0.0284112,0.0552261,0.0318539,0.0141588,0.0116608,0.022546,0.0571163,0.0171052,0.0451158,0,0,0.0994621,0,0.0538297,0.0418431,0.0363935,0.0220942,0.030555,0.0319137,0.00865608,0.0123453,0.0176803,0.0258033,0.0179341,0.0239892,0.0214608,0.0323083,0.0151696,0.0187805,0.0211863,0.0567588,0.0573669,0.041176,0.0242267,0.048795,0,0,0,0,0
30,0,0,0,0,0,0,0.0365377,0.028307,0,0,0,0.0470376,0.0213909,0.0219812,0,0,0.0344868,0,0.0143037,0.0219283,0.0459092,0.0121005,0.0416473,0.048678,0.00811066,0.0215191,0.0217613,0.032768,0.0158701,0.0352403,0.021316,0.0283589,0.0206991,0.0284452,0.0551369,0.0320324,0.0141803,0.0114825,0.0225538,0.0571659,0.0170571,0.0453956,0,0,0.0999903,0,0.0536226,0.0423794,0.0364842,0.02203,0.0305341,0.0317628,0.00855446,0.0115868,0.0175153,0.0258151,0.0178815,0.0238542,0.0214502,0.0322797,0.0151225,0.0187982,0.0213012,0.0568105,0.0570929,0.0413153,0.0249781,0.049018,0,0,0,0,0
31,0,0,0,0,0,0,0.0367192,0.0288585,0,0,0,0.0474278,0.0213076,0.0221236,0,0,0.0346231,0,0.0144193,0.0219916,0.0459475,0.0122817,0.0414719,0.0487368,0.00782019,0.0218052,0.0218484,0.0330087,0.0159354,0.0353357,0.0214593,0.0285567,0.0208472,0.0283881,0.0554297,0.0322732,0.0142086,0.0113293,0.0225128,0.0571707,0.0169923,0.0456766,0,0,0.100602,0,0.0534428,0.0426638,0.0366558,0.0219176,0.030474,0.0315356,0.00849474,0.0110114,0.0173998,0.0257607,0.0178164,0.0237283,0.0214475,0.032253,0.0150776,0.0188174,0.0213662,0.056971,0.0568035,0.0414465,0.0256502,0.0492269,0,0,0,0,0
32,0,0,0,0,0,0,0.0373029,0.0293269,0,0,0,0.0465998,0.0212213,0.0216699,0,0,0.0346486,0,0.0144805,0.0220179,0.0460731,0.0121637,0.0416395,0.0483139,0.00816576,0.0215815,0.0216743,0.0326326,0.0158808,0.0354441,0.0212561,0.028266,0.0206908,0.028395,0.0545239,0.0320227,0.0142373,0.0111714,0.0224436,0.0572279,0.0168689,0.0460131,0,0,0.101082,0,0.0532715,0.0429384,0.0368951,0.0217757,0.0303563,0.0314478,0.00858873,0.010353,0.0174798,0.0257537,0.0178821,0.0236727,0.0211913,0.0320123,0.0148387,0.0185977,0.0213384,0.0572707,0.0565259,0.0415419,0.0261008,0.0498952,0,0,0,0,0
33,0,0,0,0,0,0,0.0378153,0.0298376,0,0,0,0.0464606,0.0211519,0.0216101,0,0,0.0345964,0,0.0145717,0.0220467,0.0461517,0.0122218,0.0417875,0.0482493,0.00855542,0.0214646,0.021682,0.0324286,0.0159393,0.0356027,0.0212745,0.028242,0.0206969,0.0283561,0.0543429,0.031783,0.0142515,0.0111168,0.0223495,0.0573258,0.016756,0.0463328,0,0,0.101528,0,0.0531177,0.0435243,0.0370526,0.0216582,0.0302053,0.0313579,0.00869657,0.00984403,0.0175912,0.025661,0.0179131,0.023565,0.0209192,0.0317627,0.014621,0.0183697,0.021284,0.0576281,0.0562019,0.0417307,0.0265233,0.0505177,0,0,0,0,0
34,0,0,0,0,0,0,0.0383187,0.0303901,0,0,0,0.0461485,0.0210948,0.0214609,0,0,0.0345083,0,0.0146313,0.0220465,0.0462209,0.0122805,0.0419229,0.0480537,0.00898173,0.0213621,0.0216346,0.03224,0.0159458,0.0357219,0.0212842,0.0281821,0.0206769,0.0283428,0.0540925,0.0315355,0.0142706,0.0110675,0.0222891,0.0573607,0.0166727,0.0466494,0,0,0.102028,0,0.0529106,0.0442102,0.0371319,0.0216032,0.0300259,0.0312614,0.00890076,0.00934745,0.0176405,0.0256768,0.0179378,0.0234482,0.0206504,0.0315367,0.0143865,0.0181108,0.0212387,0.0578517,0.0558727,0.0418532,0.0269217,0.0511066,0,0,0,0,0
35,0,0,0,0,0,0,0.038789,0.0309441,0,0,0,0.045768,0.0210433,0.0212654,0,0,0.0344096,0,0.0146921,0.0220113,0.0463035,0.012354,0.0420497,0.0478304,0.00938864,0.0212384,0.0215904,0.0321171,0.0159431,0.0358458,0.0212785,0.028142,0.0206582,0.0283343,0.0537175,0.0312806,0.0142882,0.0108653,0.0222082,0.0573247,0.0165879,0.0469821,0,0,0.102799,0,0.052693,0.0448126,0.0372239,0.0215239,0.0298721,0.0311372,0.00910091,0.00884204,0.017597,0.0256589,0.0179447,0.0232992,0.0203696,0.0313119,0.0141384,0.0178143,0.0211682,0.0582094,0.0554083,0.0422081,0.0273251,0.0516817,0,0,0,0,0
