Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LASI,RASI
1675,0,0,0,0,0,0,0.0512155,0.0278745,0,0,0,0.0129403,0.0138845,0.00860066,0,0,0.034434,0,0.0338401,0.014369,0.082762,0.0171668,0.0454032,0.0258826,0.0424053,0.0293195,0.0110465,0.0128463,0.00721535,0.0405427,0.01476,0.0159433,0.0127282,0.0266998,0.0173442,0.0268983,0.0234759,0.00461049,0.0174444,0.0126729,0.0151388,0.0570022,0,0,0.0228471,0,0.0155534,0.016517,0.0603341,0.019686,0.0397768,0.0272905,0.0333409,0.036408,0.0116402,0.0321426,0.0136104,0.0128037,0.014886,0.00925689,0.0114543,0.0127001,0.0142711,0.0273616,0.00491183,0.0375197,0.0168144,0.0600582,0,0,0,0,0
1676,0,0,0,0,0,0,0.0507645,0.0275345,0,0,0,0.01264,0.0139722,0.00836914,0,0,0.0344598,0,0.0336934,0.0146148,0.0826192,0.0170249,0.0454972,0.0259071,0.0415795,0.029207,0.0112201,0.0128911,0.00737021,0.040523,0.0145543,0.0157569,0.0125897,0.0268495,0.0169611,0.02699,0.0233923,0.00540205,0.0172453,0.0127494,0.0149081,0.0564105,0,0,0.0226532,0,0.0152097,0.0159201,0.0601934,0.0193893,0.039825,0.0269109,0.032592,0.0358173,0.0115777,0.0321836,0.0133463,0.0124902,0.0146159,0.00925704,0.0113562,0.0125069,0.0141321,0.027349,0.00512321,0.0371386,0.0166896,0.0595883,0,0,0,0,0
1677,0,0,0,0,0,0,0.0502216,0.0271366,0,0,0,0.0123516,0.0140366,0.00811932,0,0,0.0344278,0,0.0335642,0.0149077,0.0824772,0.016912,0.0455475,0.0258945,0.0407329,0.0290105,0.011376,0.0130849,0.00758163,0.0404884,0.0143893,0.0155664,0.0125033,0.0269713,0.0165143,0.0270936,0.0232792,0.00611943,0.0167626,0.0128423,0.0143981,0.055729,0,0,0.0224862,0,0.0147362,0.0153267,0.0600153,0.0187945,0.0399133,0.0265555,0.0317873,0.0352123,0.0113827,0.0322183,0.0131489,0.0122819,0.014411,0.00932159,0.0113028,0.0123743,0.013713,0.0273529,0.00564059,0.036682,0.0164794,0.0589652,0,0,0,0,0
1678,0,0,0,0,0,0,0.0490247,0.0258884,0,0,0,0.0121178,0.0141428,0.00771834,0,0,0.0341967,0,0.0334316,0.0152347,0.0817883,0.0169554,0.0459206,0.0262704,0.0386639,0.0281227,0.0115241,0.0136273,0.00812222,0.0403303,0.014272,0.0154948,0.0123673,0.0270607,0.0164235,0.0271056,0.023167,0.00648296,0.0160665,0.0130145,0.0136571,0.0544588,0,0,0.0222824,0,0.0143167,0.0146715,0.0596714,0.017871,0.0405158,0.0265298,0.0296737,0.0339278,0.0115003,0.032293,0.013143,0.0122817,0.0140726,0.00944713,0.0111574,0.0122093,0.0131402,0.0269812,0.00622599,0.0361775,0.0154656,0.0576771,0,0,0,0.0310854,0
1679,0,0,0,0,0,0,0.0481316,0.0252108,0,0,0,0.0118279,0.0142867,0.00741311,0,0,0.0339537,0,0.0331872,0.0155699,0.0814918,0.016804,0.0458679,0.0263547,0.0373642,0.027683,0.0115394,0.0137383,0.00837221,0.0402523,0.0141188,0.0153212,0.0122483,0.0271226,0.0161373,0.0271926,0.0230043,0.00715058,0.0158808,0.0131663,0.0136005,0.0534059,0,0,0.0218985,0,0.0138442,0.0139787,0.0594974,0.0177442,0.0406489,0.0262754,0.028632,0.0329993,0.0114826,0.0321016,0.0130403,0.0121496,0.0136138,0.00943634,0.0108188,0.0118214,0.012915,0.0265469,0.00655129,0.035596,0.0151064,0.0567111,0,0,0,0.028828,0
1680,0,0,0,0,0,0,0.0472454,0.0246422,0,0,0,0.0114666,0.014441,0.00713209,0,0,0.0335745,0,0.0329619,0.0159506,0.0811756,0.0166432,0.0457016,0.0262865,0.0363945,0.0272533,0.0114795,0.0138075,0.00851741,0.0402552,0.0139659,0.0151123,0.0121262,0.0272044,0.0157355,0.0271397,0.0228409,0.00736474,0.0155656,0.0132622,0.0134391,0.0523635,0,0,0.0212904,0,0.013448,0.0132364,0.0593401,0.0174302,0.0406419,0.0259571,0.0279491,0.0321286,0.0114219,0.0318418,0.0129339,0.0120072,0.0132461,0.0094706,0.0104935,0.0114812,0.0125567,0.0261278,0.00709685,0.0349673,0.0149068,0.0557206,0,0,0,0.0274162,0
1681,0,0,0,0,0,0,0.0463716,0.0242228,0,0,0,0.011034,0.0145965,0.00685443,0,0,0.0331645,0,0.0327771,0.0165043,0.0808419,0.0164929,0.0454654,0.0261092,0.035593,0.0267828,0.0114203,0.0138246,0.00859351,0.0402915,0.0137924,0.0148759,0.0119827,0.0273089,0.0152474,0.0270274,0.0226974,0.00715267,0.0149883,0.0133044,0.0127563,0.0513387,0,0,0.0207045,0,0.0130884,0.012522,0.0591707,0.0167082,0.040566,0.0255353,0.0272944,0.0313765,0.0113019,0.0316893,0.0127848,0.0118258,0.0129844,0.00959635,0.0103511,0.011292,0.0119855,0.025747,0.00775935,0.0343815,0.0147745,0.0547259,0,0,0,0.0262074,0
1682,0,0,0,0,0,0,0.0454494,0.0238671,0,0,0,0.010543,0.0147383,0.00655746,0,0,0.0327191,0,0.0325887,0.0172153,0.0804324,0.016303,0.0452053,0.0258714,0.0347984,0.026211,0.0113899,0.013784,0.00863801,0.0402272,0.0135265,0.0145477,0.0117831,0.0273883,0.0146711,0.0269025,0.0225873,0.00692458,0.0145987,0.0132817,0.012294,0.0502717,0,0,0.0202121,0,0.0127077,0.0119274,0.0590081,0.0162018,0.0404026,0.0249887,0.0265153,0.0307544,0.0110603,0.0315135,0.0124764,0.0114756,0.0126249,0.00968006,0.0101666,0.0109982,0.0116407,0.02549,0.0084253,0.0338649,0.0146894,0.0536502,0,0,0,0.0249665,0
1683,0,0,0,0,0,0,0.0445262,0.0234906,0,0,0,0.0100437,0.0148554,0.00622942,0,0,0.0324237,0,0.0323694,0.017686,0.0799795,0.0160604,0.0449153,0.0256728,0.0339475,0.0256599,0.0112661,0.0137664,0.00869381,0.0400954,0.0131971,0.0141862,0.0115278,0.0274308,0.0140859,0.0268535,0.0224844,0.006283,0.0143761,0.0132028,0.0120804,0.0492227,0,0,0.0198222,0,0.0123109,0.0114863,0.0588212,0.0159046,0.0401881,0.024415,0.0257797,0.0302785,0.0107386,0.0312958,0.0120625,0.0109576,0.0120821,0.00970265,0.009905,0.0105444,0.0114655,0.0253892,0.00910385,0.0333952,0.0147149,0.0525694,0,0,0,0.0238314,0
1684,0,0,0,0,0,0,0.0435655,0.0230817,0,0,0,0.00953416,0.0149654,0.00589647,0,0,0.032102,0,0.0321539,0.0181783,0.0795402,0.0157951,0.0446359,0.0255489,0.0330259,0.0250683,0.0112048,0.0136831,0.0087346,0.0399512,0.0128405,0.0137951,0.0112715,0.0274667,0.0134848,0.0266817,0.0223823,0.00673315,0.013942,0.013175,0.0116166,0.0480867,0,0,0.0194677,0,0.012098,0.0110454,0.0586357,0.0153101,0.0400093,0.0238982,0.0250909,0.0297893,0.0104515,0.0310361,0.0117049,0.010464,0.0114629,0.00979461,0.00963514,0.0100933,0.0111059,0.0252215,0.00971706,0.0329934,0.0147509,0.0514744,0,0,0,0.0226808,0
1685,0,0,0,0,0,0,0.0425565,0.0227729,0,0,0,0.00899786,0.0150416,0.00556041,0,0,0.0318207,0,0.0319296,0.0186155,0.0791679,0.0155058,0.0444461,0.0252919,0.0319626,0.0244723,0.0111536,0.0135426,0.00868882,0.0398247,0.0124536,0.0133233,0.0110387,0.0275184,0.0128148,0.026359,0.0222435,0.0074304,0.0135883,0.0132152,0.0112328,0.0469096,0,0,0.019256,0,0.012006,0.0106563,0.0583513,0.0148125,0.0398234,0.0233608,0.0241254,0.0293052,0.0101415,0.0307846,0.0112834,0.00994086,0.0110143,0.00987951,0.00939285,0.00970093,0.0108342,0.0249682,0.0102273,0.0326901,0.0147673,0.0503876,0,0,0,0.0208224,0
