Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71
9,0,0,0,0,0.0172909,0.0175743,0,0,0,0.0345913,0.0167801,0.0144821,0.00745847,0,0,0.0203563,0,0.0223105,0.0115912,0.024485,0.0184679,0.0291178,0.0076295,0.0028345,0.025428,0.00405583,0.0114997,0.00632551,0.0168346,0.00531167,0.0143398,0.00521853,0.0293971,0.0517886,0.0118967,0.0154008,0.00487004,0.0095982,0.0113434,0.0204474,0.0107003,0.0151791,0,0,0.00818948,0,0.0113328,0.00440256,0.0393685,0.0234776,0.0452131,0.022941,0.0170436,0.0176753,0.0115721,0.0239193,0.0125237,0.0120556,0.024066,0.0722293,0.0182824,0.025796,0.0114817,0.0119939,0.0029044,0.00522449,0.0154398,0.016495,0,0,0,0
10,0,0,0,0,0.0183313,0.0172602,0,0,0,0.0345362,0.0166776,0.0139436,0.00738595,0,0,0.0199285,0,0.0223033,0.0112755,0.0247303,0.0187399,0.0287244,0.00778598,0.00272512,0.0262786,0.0041755,0.0113792,0.00615457,0.0169617,0.0052064,0.0143391,0.00491026,0.0291608,0.0525608,0.0118862,0.0154475,0.00473978,0.0102483,0.0112442,0.0203401,0.0106745,0.0162994,0,0,0.00775371,0,0.0112654,0.00437688,0.0391894,0.02266,0.0452245,0.0228932,0.0168212,0.0161849,0.0116384,0.0242025,0.0130024,0.0123736,0.0238143,0.0716405,0.0175159,0.0260496,0.0129661,0.0112113,0.00357177,0.00545469,0.0147313,0.0178564,0,0,0,0
11,0,0,0,0,0.0199424,0.0168408,0,0,0,0.034361,0.0164799,0.0133046,0.00732831,0,0,0.0195175,0,0.0223509,0.0107815,0.0249292,0.0184702,0.0282654,0.00787742,0.00266866,0.0276557,0.00436389,0.0113051,0.00602082,0.0171162,0.00515909,0.0142657,0.00451783,0.0288522,0.0530363,0.0119418,0.0155213,0.00445996,0.0197998,0.0111618,0.025015,0.0105029,0.0180679,0,0,0.00653387,0,0.0113513,0.00423976,0.0390379,0.0249028,0.0454977,0.0233747,0.0163703,0.0131446,0.0119898,0.0247216,0.0140886,0.0128298,0.0237331,0.0709929,0.0174026,0.0269599,0.0221715,0.00942857,0.00422886,0.00575725,0.0136854,0.0200011,0,0,0,0
12,0,0,0,0,0.0210127,0.0164442,0,0,0,0.0338816,0.016392,0.0127407,0.00706202,0,0,0.0195279,0,0.022182,0.0106065,0.0250458,0.0186468,0.0279469,0.00798859,0.00280006,0.0284627,0.00450607,0.0109555,0.00570466,0.0172041,0.00510604,0.0139473,0.00410977,0.0286517,0.0528917,0.0120918,0.0154685,0.00422447,0.0185113,0.0111548,0.0238298,0.0107093,0.0193481,0,0,0.00512271,0,0.0115337,0.00409217,0.0388559,0.0216685,0.0455313,0.0199091,0.0160425,0.0101343,0.0120982,0.0245765,0.0133622,0.0122139,0.0211518,0.07094,0.0168254,0.0247755,0.0231444,0.00746453,0.00479795,0.00617786,0.0129122,0.0215413,0,0,0,0
13,0,0,0,0,0.0198565,0.0158767,0,0,0,0.0325826,0.0168073,0.0120914,0.00653299,0,0,0.0190237,0,0.0214365,0.0108778,0.0250927,0.0187586,0.0277692,0.00809342,0.00274313,0.0274782,0.00460994,0.010069,0.00527034,0.017265,0.0049893,0.0133582,0.00365193,0.0283829,0.0519019,0.0120555,0.0152869,0.00463218,0.0142461,0.0113123,0.0203166,0.0113184,0.0182762,0,0,0.00699207,0,0.0113728,0.00437844,0.0386647,0.0204239,0.0454366,0.0144282,0.0163681,0.0110874,0.0118934,0.0242059,0.0116155,0.011071,0.0178256,0.0712644,0.0162072,0.0214864,0.0168458,0.00903254,0.0042082,0.00613139,0.0127176,0.0204391,0,0,0,0
14,0,0,0,0,0.0202231,0.0155649,0,0,0,0.0311265,0.0168508,0.0115994,0.00660303,0,0,0.0187023,0,0.0209282,0.0106704,0.0253859,0.019135,0.0274329,0.00850919,0.00297959,0.0276487,0.0047484,0.00909112,0.00473663,0.0174449,0.00497857,0.0127111,0.00316211,0.0280519,0.05081,0.0122377,0.0151265,0.00446595,0.0133563,0.0113582,0.0206963,0.0108566,0.0186257,0,0,0.00614445,0,0.0114174,0.00422892,0.038356,0.0209975,0.0457012,0.0119974,0.01669,0.00891808,0.0118846,0.0244048,0.0113027,0.0107525,0.0174685,0.0719767,0.0165327,0.0213035,0.0165955,0.00756801,0.00466216,0.0063588,0.0123155,0.0208606,0,0,0,0
15,0,0,0,0,0.0198247,0.0152665,0,0,0,0.0288252,0.016977,0.0110184,0.00673054,0,0,0.0182003,0,0.0202516,0.0104597,0.0257934,0.0194448,0.0270882,0.00896253,0.00320784,0.0273298,0.00484498,0.00808708,0.00416785,0.0175923,0.00508203,0.0119591,0.00269906,0.0276824,0.0486469,0.0123949,0.0149423,0.00437315,0.0130376,0.011397,0.0209938,0.0103435,0.0182739,0,0,0.00577486,0,0.011374,0.00410005,0.0379722,0.0232221,0.0459914,0.00907943,0.0173895,0.00734831,0.0114029,0.0241713,0.0103759,0.00984441,0.0181893,0.0730045,0.0169287,0.021934,0.0161464,0.00657774,0.00494879,0.00650832,0.0122296,0.0203762,0,0,0,0
16,0,0,0,0,0.0192653,0.0148099,0,0,0,0.0257373,0.0171873,0.0106926,0.00684306,0,0,0.017359,0,0.0194579,0.0101779,0.0262428,0.019657,0.0267527,0.00920708,0.00340779,0.026978,0.00485232,0.00706329,0.00359257,0.0176618,0.00523565,0.0110706,0.00230582,0.0273317,0.045495,0.0123289,0.0147628,0.00454584,0.0135533,0.0114808,0.0206735,0.0101218,0.0178653,0,0,0.00559902,0,0.0113669,0.00414268,0.0375119,0.0237187,0.0460118,0.00634773,0.0176212,0.00625144,0.010408,0.0233806,0.00888472,0.00855955,0.0179746,0.0735113,0.0169152,0.0214743,0.0152613,0.00586304,0.00518029,0.00675822,0.0121412,0.0195858,0,0,0,0
17,0,0,0,0,0.0172961,0.0135391,0,0,0,0.0217894,0.0177831,0.0106693,0.00656245,0,0,0.0154378,0,0.0182675,0.0100285,0.0264604,0.0188386,0.0264387,0.00909913,0.00360538,0.0257114,0.00467974,0.00605109,0.00314632,0.0175387,0.00515302,0.00988996,0.00192372,0.026992,0.0412703,0.011601,0.0145762,0.00564723,0.0110166,0.0117732,0.0184188,0.0108064,0.0160507,0,0,0.00563081,0,0.0116811,0.00475254,0.0371166,0.0210357,0.0456192,0.00270848,0.0174347,0.00538401,0.00891535,0.0221931,0.00637446,0.00661479,0.0159323,0.0731453,0.0157816,0.0188486,0.0129173,0.00521685,0.00573217,0.00749452,0.0115128,0.017263,0,0,0,0
18,0,0,0,0,0.0167903,0.0125389,0,0,0,0.0171098,0.0182367,0.010787,0.00612007,0,0,0.0154567,0,0.0172732,0.0104912,0.026489,0.0180067,0.026039,0.00876561,0.00383691,0.0257257,0.00455781,0.00521892,0.00306685,0.0173596,0.00501785,0.00846218,0.00174643,0.0265926,0.0362129,0.0116419,0.0143465,0.00605566,0.0073968,0.0119211,0.015952,0.0115486,0.0158843,0,0,0.00791779,0,0.0115758,0.00521697,0.0367653,0.0188706,0.0449318,0.00189304,0.0165746,0.00631775,0.00732601,0.0210133,0.00440674,0.00514958,0.0136079,0.0720833,0.0141658,0.0150392,0.00902158,0.00649802,0.00510321,0.0074211,0.0107903,0.0168893,0,0,0,0
