Timestep,,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,x77,LANK,C7
453,0,0.00690563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161511,0.0101757,0.00836823,0,0,0.0170941,0,0.0282677,0.00812962,0.0428933,0.0230184,0.0431051,0.0317796,0.00422047,0.0107051,0.0284312,0.0352934,0.027001,0,0.0136124,0.0149945,0.00287051,0.0117482,0.0270899,0,0.0144974,0.00618264,0.011383,0.0205868,0.00705722,0.00632533,0.00740075,0,0,0.00972763,0,0.0177831,0.0101794,0.0705036,0.0169219,0.0168576,0.00807017,0,0.0160759,0.00635341,0.051285,0.00757112,0.00664569,0.0155187,0.024753,0.010531,0.0166623,0.0147196,0.00756462,0.0147555,0.0083927,0.00580971,0.00805099,0,0,0,0,0.00840139,0.00665567
454,0,0.0071165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014552,0.010284,0.00681891,0,0,0.0166883,0,0.0282257,0.00803271,0.0427557,0.024366,0.0440295,0.0345601,0.0029368,0.00945692,0.0301061,0.0375999,0.0288882,0,0.0139945,0.0156183,0.00327522,0.0116466,0.0253587,0,0.0144234,0.00611472,0.0113745,0.0203581,0.00653932,0.00545789,0.0056826,0,0,0.0104522,0,0.0176259,0.0107607,0.0708255,0.0161746,0.0162591,0.00783025,0,0.0147373,0.0061587,0.0511656,0.00742072,0.00682443,0.0151682,0.0250527,0.0101924,0.0162995,0.0144491,0.00851107,0.0149656,0.00843022,0.00667225,0.0161074,0,0,0,0,0.0101152,0
455,0,0.00711057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128559,0.0101583,0.00698278,0,0,0.0169291,0,0.0283366,0.00807911,0.0422497,0.0258324,0.0441215,0.0374453,0.00299673,0.00946456,0.0318639,0.0402008,0.0315577,0,0.0146837,0.0163546,0.00374031,0.0113833,0.0234753,0,0.0142908,0.00607359,0.0113508,0.0202211,0.0059132,0.00583187,0.00577,0,0,0.011136,0,0.0175677,0.0109109,0.0709026,0.015377,0.016275,0.00771301,0,0.0148801,0.00622317,0.0513306,0.00725104,0.0071403,0.0148095,0.0249786,0.00990081,0.0163488,0.0142715,0.00881656,0.0147048,0.00830753,0.00668529,0.0139654,0,0,0,0,0.0119501,0.00597419
456,0,0.00676656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110453,0.0101777,0.00751284,0,0,0.017046,0,0.0283414,0.00816436,0.0420671,0.0273003,0.04427,0.0399665,0,0.009567,0.0329936,0.0426255,0.034307,0,0.0152789,0.0169439,0.00397463,0.0111648,0.0217982,0,0.0142331,0.00600605,0.0118202,0.0201824,0.00551539,0.00677788,0.00588832,0,0,0.0122528,0,0.0175384,0.0113324,0.0711678,0.0150649,0.0167453,0.00742753,0,0.0149768,0.00627929,0.051659,0.0069979,0.00756045,0.0150897,0.0250418,0.00971146,0.016573,0.0147553,0.00934427,0.0145952,0.00827537,0.00628946,0.0124091,0,0,0,0,0.013386,0.00559322
457,0,0.00652051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112179,0.0103467,0.00792132,0,0,0.0167354,0,0.0282863,0.00798259,0.0416747,0.0295729,0.044347,0.0446358,0,0.00974895,0,0.0473816,0.0380335,0,0.017266,0.0193202,0.00414564,0.0111825,0.0234555,0,0.0140765,0.0062054,0.012445,0.020102,0.00515417,0.00729965,0.00592188,0,0,0.0138979,0,0.0176427,0.0123551,0.0714185,0.0149854,0.0170544,0.00717183,0,0.0150435,0.00638746,0.0520115,0.00695643,0.00802875,0.0152761,0.0253692,0.00945166,0.0169041,0.0156748,0.0102721,0.0143729,0.00823785,0.00599212,0.0125816,0,0,0,0,0.0141576,0.00589822
458,0,0.00676147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915027,0.0103247,0.00772805,0,0,0.0171109,0,0.0283419,0.00813785,0.041884,0.0297011,0.0440746,0.0454099,0.00541174,0.00987729,0,0.0479068,0.0390553,0,0.0172968,0.018912,0.00384122,0.0117522,0.0209867,0,0.0139181,0.00639486,0.0128293,0.0198762,0.00473308,0.0068829,0.00604121,0,0,0.0147634,0,0.0177412,0.0126603,0.0713575,0.0145658,0.0169392,0.00689778,0,0.0146081,0.00619314,0.0523504,0.00685314,0.00844935,0.0147263,0.0256106,0.0090573,0.0170311,0.0160378,0.0108215,0.0143522,0.00811305,0.006321,0.012925,0,0,0,0,0.0147286,0.00617276
459,0,0.00680954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00806009,0.010377,0.00764027,0,0,0.0175408,0,0.0283496,0.00829508,0.0422759,0.0296725,0.0439426,0.0458934,0.00517575,0.00984511,0,0.0482296,0.0398412,0,0.0173903,0.0185042,0.00335447,0.0124506,0.0197985,0,0.0137741,0.00658438,0.013279,0.0196893,0.00434268,0.00681142,0.00619771,0,0,0.0152554,0,0.0177703,0.0126987,0.071243,0.0140803,0.0171015,0.00668301,0,0.0142551,0.00582544,0.0527647,0.0067516,0.00882769,0.0143604,0.0259176,0.00874193,0.0172591,0.0164533,0.0111641,0.0146296,0.00806663,0.00645671,0.0129525,0,0,0,0,0.0148609,0.00626895
460,0,0.00702287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736971,0.0103866,0.00747118,0,0,0.0180453,0,0.0284376,0.00847698,0.0427004,0.0287868,0.0437878,0.0453794,0.00506125,0.00991427,0,0.0474985,0.0401298,0,0.0171835,0.0176278,0.00269638,0.013282,0.018646,0,0.0136417,0.00678742,0.0134691,0.0194254,0.00365314,0.00678995,0.00633652,0,0,0.0155398,0,0.01777,0.0124341,0.0709421,0.0131831,0.0172351,0.00655631,0.0038094,0.0138179,0.00554149,0.0532932,0.00670517,0.00889571,0.0142239,0.0259979,0.00828628,0.0167008,0.0165349,0.0114329,0.0147341,0.00778925,0.00674676,0.0129529,0,0,0,0,0.0146723,0.00636411
461,0,0.0070714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774677,0.0105134,0.00763578,0,0,0.018324,0,0.0284246,0.0087346,0.0428836,0.0281748,0.0436446,0.044903,0.00526732,0.00994434,0,0.046911,0.0400334,0,0.0170422,0.0169764,0.00253162,0.0139849,0.0188843,0,0.0134953,0.00705295,0.0143883,0.0193153,0.00306928,0.00687781,0.0062133,0,0,0.016053,0,0.0178485,0.0126473,0.0707972,0.0126433,0.0174652,0.00648613,0.00365963,0.0134776,0.00559044,0.0537608,0.00673843,0.00905081,0.0140293,0.0260687,0.00786033,0.0163841,0.0174634,0.0120717,0.0144663,0.00755831,0.00681155,0.0128929,0,0,0,0,0.0143762,0.0064097
462,0,0.00708131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00867235,0.0106118,0.00778884,0,0,0.0185849,0,0.0284035,0.00883206,0.0431887,0.0278661,0.0435078,0.0441518,0.00577545,0.00991823,0,0.0461318,0.0393288,0,0.0168054,0.0163653,0.00178791,0.0146019,0.0197917,0,0.0133678,0.0073065,0.0156035,0.0191877,0.00258787,0.00692022,0.0062619,0,0,0.0166873,0,0.0178705,0.0130611,0.0706209,0.0123428,0.0176541,0.0064706,0.00363194,0.0131235,0.00551512,0.0542294,0.0068387,0.00920142,0.013597,0.0262855,0.00751268,0.0159763,0.0187838,0.0130193,0.0140989,0.00743532,0.00680741,0.0128501,0,0,0,0,0.0138007,0.00640454
