Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LILC,x77,
872,0,0.00897728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228325,0.00800342,0.0168924,0.0600808,0,0,0.0292819,0,0,0.0144107,0,0.020668,0.00866372,0,0.0155267,0.0112628,0.0126708,0.00491375,0.0380813,0.0139014,0.0115162,0.00562279,0.00997248,0.0258896,0.0288218,0.0174083,0.00592747,0.0338979,0.021885,0.023278,0.0267217,0.0186033,0,0,0.0321064,0,0.0134496,0.0180162,0.0699393,0.0150804,0.0319359,0.0139552,0.0392051,0.00346312,0.00952738,0.0591146,0.0125409,0.0149206,0.0109399,0.0324897,0.0146633,0.0118908,0.0359079,0.0206595,0.00707111,0.00956133,0.012176,0.0254474,0,0,0,0.0980653,0,0
873,0,0.00889337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244424,0.00812661,0.0170041,0.0599725,0,0,0.0287174,0,0,0.0143876,0,0.0213863,0.00894792,0,0.0150753,0.0115934,0.0128145,0.00514015,0.0383891,0.0144589,0.0119927,0.0057628,0.0096969,0.0284378,0.028541,0.0175941,0.00600144,0.0289769,0.0218293,0.0237414,0.0260324,0.0183796,0,0,0.032815,0,0.013519,0.0185496,0.0697272,0.0178454,0.0319418,0.0129955,0.0387256,0.00371513,0.0093287,0.0587153,0.0113012,0.0140324,0.0104012,0.0317873,0.0147832,0.0112006,0.0300705,0.0209452,0.00731545,0.0101258,0.0118924,0.0253002,0,0,0,0.0981939,0,0
874,0,0.00908017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263876,0.00827569,0.017204,0.059767,0,0,0.0280617,0,0,0.0144128,0,0.0221081,0.00926654,0,0.0144612,0.0116816,0.0130037,0.00538113,0.0385207,0.0151622,0.0125204,0.00588266,0.00951222,0.0313066,0.0282705,0.0178243,0.00603376,0.0234081,0.0217697,0.0243387,0.0254127,0.0180996,0,0,0.0334784,0,0.0135909,0.0190195,0.0696552,0.0201966,0.0312695,0.0119116,0.0384705,0.00384443,0.0090861,0.058228,0.0098009,0.012941,0.0105112,0.0309737,0.0153072,0.0112692,0.0233695,0.0211326,0.00754389,0.0107843,0.0117106,0.0250646,0,0,0,0.0981631,0,0
875,0,0.00916074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291023,0.0084866,0.0172156,0.0593668,0,0,0.0274015,0,0,0.0143409,0,0.0228259,0.00867901,0,0.0139132,0,0.0126762,0.00529864,0.037915,0.0155516,0.0131669,0.00584566,0.00929488,0.0353669,0.0277399,0.0181443,0.00595541,0.0174297,0.0217998,0.0249634,0.0246491,0.01778,0,0,0.0339467,0,0.0136363,0.0193738,0.0697045,0.0234857,0.0305264,0.0106294,0.0380253,0.00401678,0.00883215,0.0575168,0.00809254,0.0117696,0.0115391,0.0300392,0.0160056,0.0126391,0.0161693,0.0211958,0.00778567,0.0114778,0.0115753,0.0246926,0,0,0,0.0983194,0,0
876,0,0.00910043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309738,0.00864627,0.0172913,0.0588698,0,0,0.0268541,0,0,0.0142646,0,0.0232336,0.00867563,0,0.0134611,0,0.0135118,0.00589559,0.0379505,0.0159734,0.013486,0.00599518,0.00929941,0.0382016,0.0264138,0.0185883,0.00579457,0.0116004,0.0218335,0.0255569,0.0236464,0.0176523,0,0,0.034356,0,0.0137147,0.0197455,0.0697705,0.0273815,0.0299414,0.00924728,0.0375969,0.00421138,0.00877447,0.0566795,0.00640235,0.010753,0.0133519,0.0291783,0.0168818,0.0150949,0.00920403,0.0212275,0.0079317,0.0120402,0.0114335,0.0243322,0,0,0,0.0983319,0,0
877,0,0.00906261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329654,0.00907533,0.0174813,0.0582068,0,0,0.0266891,0,0,0.0140827,0,0.023733,0.00879612,0,0.0130457,0,0.0146294,0.00654429,0.0382293,0.0164172,0.0136438,0.00618743,0.00935222,0.0410517,0.0254191,0.0189165,0.00586633,0.010801,0.0218971,0.0273632,0.0227378,0.0175868,0,0,0.0346277,0,0.01377,0.0200906,0.0698036,0,0.0295545,0.0080488,0.037329,0.00442608,0.0084765,0.0560397,0.00501657,0.00933186,0.0164845,0.0287205,0.0188574,0.0192931,0.00485535,0.0212063,0.00800782,0.0123954,0.0113424,0.023992,0,0,0,0.0981607,0,0
878,0,0.00900764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340333,0.0094628,0.0179283,0.0575575,0,0,0.0256716,0,0,0.0138332,0,0.0238434,0.0101424,0,0.0126022,0.0121678,0.0168152,0.00720476,0.0387193,0.0166865,0.0136293,0.00638921,0.00961071,0.0425875,0.0273154,0.0189454,0.00579366,0.00831088,0.0218256,0.0269775,0.0215272,0.017589,0,0,0.0349176,0,0.0138239,0.0205606,0.0699906,0.032396,0.0287968,0.00682126,0.036896,0.00465174,0.00909473,0.0551565,0.00385833,0.00915084,0.0182359,0.0282212,0.0194531,0.0214694,0.00978429,0.0212202,0.00799938,0.0126877,0.0112222,0.0238615,0,0,0,0.0981582,0,0
879,0,0.00913175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361723,0.0108458,0.0175615,0.0571379,0,0,0.029496,0,0,0.0171499,0,0.0243931,0.010173,0,0.0126392,0,0.0173924,0.00747496,0.0389761,0.0164936,0.0136956,0.00609367,0.00942071,0.046007,0,0.020916,0.00755522,0.0130997,0.0220236,0.0278378,0.020668,0.0173401,0,0,0.0349726,0,0.0138276,0.0209712,0.069957,0.0350513,0.0283402,0.00590714,0.0361565,0.00504187,0.00949444,0.0546342,0.00346769,0.00870509,0.020761,0.0278571,0.0210603,0.0247631,0.016961,0.0210358,0.00827538,0.0131205,0.0112992,0.0236315,0,0,0,0.0986127,0,0
880,0,0.00896021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373569,0.0103008,0.0174245,0.0571435,0,0,0.0246852,0,0,0.013981,0,0.0244734,0.0114487,0,0.011886,0.0134615,0.0190587,0.00821289,0.0392441,0.0170324,0.0134796,0.00611004,0.00967214,0.0478765,0.0280228,0.0193146,0.00603678,0.019385,0.0219658,0.028954,0.0196392,0.0175824,0,0,0.0353683,0,0.0139165,0.0215636,0.0701336,0.0384725,0.0277919,0.00562119,0.0358479,0.0055651,0.0100646,0.0537922,0.00429898,0.00849082,0.0233865,0.0277014,0.022575,0.0282286,0.0247849,0.0213958,0.00836537,0.0134577,0.011161,0.0234868,0,0,0,0.0988946,0,0
881,0,0.00911124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392069,0.0106944,0.0167021,0.05725,0,0,0.024022,0,0,0.0134698,0,0.0246793,0.0105569,0,0.011794,0,0.0198392,0.00907394,0.0394514,0.0172836,0.013118,0.00592718,0.00982908,0.0507115,0.0270202,0.019564,0.00654719,0.0265116,0.022082,0.0301927,0.0188978,0.0177098,0,0,0.0357117,0,0.0139888,0.0221675,0.0703561,0.0424904,0.0271735,0.00606294,0.0354904,0.00609794,0.0107593,0.0529373,0.00588378,0.00874328,0.0257823,0.0276762,0.0235439,0.0315062,0.0333875,0.0216663,0.00860816,0.0138258,0.0110834,0.0231706,0,0,0,0.099478,0,0
