Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHI,,LEAR
901,0.0164151,0.00746399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351847,0.0139444,0.0167396,0.0271784,0,0.00680725,0,0.0264335,0.00573157,0.047775,0,0.0201485,0.0280573,0.0185792,0.0177025,0.0220844,0.0201091,0.0513804,0.0157018,0.0165731,0.0128942,0.0117992,0.00956258,0.0113456,0.0138141,0.00676386,0,0.0311831,0.0258948,0.0243154,0.0307997,0,0,0.0358525,0,0.0105435,0.0249608,0.0642957,0.042905,0,0.0166659,0.0210756,0.0237513,0.0122999,0.0617753,0.0196054,0.0140126,0.0155887,0.0218339,0.0189879,0.0255068,0.0290027,0.0318224,0.0258943,0.0198268,0.0173038,0.0314159,0,0,0,0.0131016,0,0
902,0.0160804,0.00760753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848969,0.013969,0.0166202,0.0265656,0,0.00614373,0,0.026545,0.0054939,0.0478142,0,0.0208161,0.0255614,0.017638,0.0174227,0.0189275,0.0182215,0.0519151,0.0174866,0.0185751,0.0141292,0.0117587,0.0161735,0.0111905,0.0138372,0.00674029,0,0.0317246,0.0253756,0.0249197,0.0301351,0,0,0.035187,0,0.0103952,0.0248365,0.0648877,0.0425355,0,0.0162121,0.0217558,0.0229042,0.0116913,0.061167,0.0189295,0.013698,0.0154365,0.0217354,0.0186304,0.025354,0.0290962,0.0306202,0.0264959,0.0198827,0.0169052,0.0306956,0,0,0,0.0110946,0,0
903,0.015788,0.00776131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138559,0.013973,0.0170231,0.0259419,0,0.0055542,0,0.0266015,0.00520407,0.0477973,0,0.0213281,0.0235962,0.0167983,0.0170509,0.0162681,0.0171011,0.0527166,0.0189318,0.0201518,0.0152547,0.0117731,0.0217174,0.0108492,0.0138345,0.0067193,0,0.0323523,0.0250875,0.0255461,0.0294073,0,0,0.0345725,0,0.0102688,0.0247096,0.0652893,0.0426039,0,0.0158073,0.0223652,0.0221036,0.0110838,0.0605452,0.0183708,0.0133798,0.0152679,0.0216683,0.0187554,0.0254168,0.0289171,0.0293748,0.0272287,0.0199643,0.0165396,0.0299529,0,0,0,0.0105955,0,0
904,0.0155968,0.00793666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180861,0.0139291,0.0175478,0.0256061,0,0.00491656,0,0.0266647,0.00494527,0.0477711,0,0.0215966,0.0220829,0.0161632,0.0166201,0.0147996,0.0165725,0.0531192,0.02006,0.0213915,0.0159282,0.0119083,0.0260124,0.0109044,0.0137991,0.00675667,0,0.0329344,0.024904,0.0263162,0.0287381,0,0,0.0339156,0,0.0101097,0.024461,0.0656351,0.0429419,0,0.0154788,0.0227236,0.0214161,0.0104454,0.0599975,0.017928,0.0131186,0.015111,0.0216498,0.0188735,0.0256007,0.0287158,0.028094,0.0279187,0.0201028,0.01625,0.0293299,0,0,0,0.0110267,0,0
905,0.0154176,0.0081183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208657,0.0138987,0.0179692,0.0256728,0,0.00449483,0,0.0267337,0.00470412,0.0475513,0,0.021927,0.0209022,0.0160618,0.0162456,0.0144829,0.0165079,0.0534355,0.0210182,0.022391,0.0164875,0.0119672,0.0289996,0.0108273,0.0137732,0.00683856,0,0.0334755,0.0246887,0.0269915,0.0281726,0,0,0.0332854,0,0.00989602,0.0242185,0.0660241,0.0433319,0,0.0152544,0.022811,0.0207534,0.00985057,0.0594817,0.0176016,0.0129597,0.0149371,0.0216671,0.018837,0.0257646,0.0283599,0.026885,0.0284333,0.0202607,0.0160669,0.0288499,0,0,0,0.0117518,0,0
906,0.0153059,0.00819992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222648,0.0137579,0.0181413,0.0258651,0,0.00407337,0,0.0268499,0.00438778,0.0471288,0,0.0216767,0.0199868,0.0160704,0.0157427,0.0147071,0.0165999,0.0536373,0.0216399,0.0230188,0.0168405,0.011852,0.0306167,0.0107165,0.0137204,0.0066453,0,0.033916,0.0245363,0.0276251,0.0276012,0,0,0.0325557,0,0.00977918,0.0238584,0.0662421,0.0436953,0,0.0146921,0.0234547,0.0202637,0.00915194,0.0589276,0.0169794,0.0126025,0.0150459,0.0217927,0.0188349,0.0260559,0.0277502,0.0258051,0.0288168,0.020368,0.0158605,0.0284097,0,0,0,0.0123321,0,0
907,0.0151364,0.00821563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022565,0.0135568,0.0180945,0.0263049,0,0.0037572,0,0.0269594,0.00404957,0.0465962,0,0.0216143,0.0195168,0.0162839,0.015177,0.015369,0.0168477,0.0538859,0.0220471,0.0233926,0.0171372,0.0118097,0.0310245,0.0104722,0.0136878,0.0064115,0,0.0343112,0.0247069,0.028159,0.0270899,0,0,0.0321454,0,0.00975723,0.0236423,0.0662889,0.0444012,0,0.0143834,0.0247494,0.0198552,0.00858305,0.0583903,0.0166154,0.0123198,0.0150902,0.0219787,0.0188084,0.0263709,0.0268324,0.0250942,0.0290681,0.0205691,0.0157227,0.0281693,0,0,0,0.012954,0,0
908,0.0149124,0.00811697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219489,0.0133194,0.0177475,0.0268849,0,0.00361623,0,0.027102,0.0037399,0.0462332,0,0.0216263,0.0195738,0.0166218,0.0146178,0.0164061,0.017004,0.05399,0.0222248,0.0235616,0.0172729,0.0118054,0.0307432,0.0111646,0.0136426,0.00628038,0,0.034636,0.025141,0.0287829,0.0266859,0,0,0.0319951,0,0.00988718,0.0235183,0.0662071,0.0453972,0,0.014272,0.025796,0.0196085,0.00805548,0.0578628,0.0164734,0.0122717,0.0150956,0.0222448,0.0193405,0.0269517,0.025778,0.0248029,0.0290885,0.0207412,0.0154266,0.0280929,0,0,0,0.0131103,0,0
909,0.0147656,0.00807759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211025,0.0130812,0.0169948,0.0276498,0,0.00382563,0,0.0272384,0.00348675,0.0459835,0,0.0213663,0.020334,0.0167717,0.0140474,0.0183949,0.0172573,0.0538759,0.0219777,0.0235292,0.0172533,0.0118837,0.0309033,0.0113885,0.013606,0.00611963,0,0.0348941,0.0258102,0.0295656,0.0263842,0,0,0.0320208,0,0.0100667,0.0234722,0.0660285,0.0465524,0,0.0143783,0.0266883,0.0194561,0.0076562,0.0573872,0.0165634,0.0125762,0.0151916,0.0225848,0.0199211,0.0276407,0.0244448,0.0248085,0.028925,0.0208839,0.015056,0.0281894,0,0,0,0.0133895,0,0
910,0.0148175,0.00795352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193513,0.0128236,0.0152998,0.028492,0,0.0046265,0,0.0273718,0.00333703,0.0456502,0,0.0207735,0.0219557,0.0170064,0.0134651,0.0211671,0.0179021,0.0538555,0.0213942,0.0232662,0.0165439,0.011404,0.0305118,0.0111274,0.0135627,0.00602323,0,0.0350453,0.0265994,0.0306609,0.0263557,0,0,0.0320382,0,0.0102826,0.0234079,0.0657745,0.0477178,0,0.0142283,0.0275621,0.0194196,0.00721339,0.0569724,0.016495,0.0128793,0.015622,0.0229292,0.0203317,0.0287006,0.0229303,0.0248728,0.0286723,0.020928,0.0147771,0.0285453,0,0,0,0.0143602,0,0
