Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LASI,
430,0.00677753,0.00544722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660887,0.0064933,0.0149198,0,0,0.0475121,0,0.0295786,0.024795,0.0709333,0.0373441,0.037061,0.0211928,0.00848425,0.00883491,0.0225743,0.0173784,0,0.0393012,0.0119354,0.0205185,0.00752537,0.0258411,0.0939931,0.0271025,0.0210832,0.0118385,0.0925179,0.0180767,0.0197643,0.00569918,0.00802517,0,0,0.0534552,0,0.0174797,0.0357947,0.0651017,0.0396991,0.0194588,0.00828677,0.010948,0.0220566,0.0187516,0.064111,0.016966,0.0201599,0.0216992,0.0343208,0.0169858,0.0296785,0.11041,0.0401711,0.0122591,0.0105649,0.00304288,0.0142087,0,0,0,0.0178926,0
431,0.0068374,0.00513789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640666,0.00659773,0.0146275,0,0,0.0478913,0,0.0295589,0.0251679,0.0709318,0.0365771,0.0371462,0.0198328,0.00905384,0.0086599,0.0220406,0.0169369,0,0.0387404,0.0115763,0.0197893,0.00707821,0.0256651,0.0917756,0.0264401,0.0211556,0.0118871,0.0970614,0.0181273,0.0191356,0.00593769,0.00816363,0,0,0.0540903,0,0.0174421,0.0363502,0.0646187,0.0407447,0.0199808,0.00814376,0.011501,0.0223444,0.0186232,0.0646916,0.0176862,0.0200672,0.0233537,0.0351977,0.0172213,0.0310723,0.115719,0.0409585,0.0123106,0.0106612,0.00299872,0.0141722,0,0,0,0.0179303,0
432,0.00691565,0.00475889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06169,0.00679693,0.0148116,0,0,0.0481976,0,0.0294617,0.0253788,0.0706491,0.0356896,0.0368146,0.0184162,0.00941028,0.00839346,0.0216363,0.0169418,0,0.0379502,0.0107588,0.018479,0.00650872,0.0253907,0.0888271,0.0259781,0.0211687,0.0119179,0.101565,0.0181919,0.0183443,0.0060912,0.00778584,0,0,0.054587,0,0.0173823,0.0366949,0.0642196,0.0419241,0.0204682,0.00810157,0.0119341,0.0222268,0.0185045,0.0651513,0.0180833,0.0200065,0.0248879,0.0357787,0.0172777,0.0324025,0.120588,0.041254,0.0125499,0.0108069,0.00297782,0.0141615,0,0,0,0.0179951,0
433,0.00227946,0.00264866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349432,0.00776029,0.0150087,0,0,0.0463411,0,0.0285808,0.0251983,0,0.0205316,0.0489719,0.00697928,0.0100244,0.00613612,0.0276859,0.0252329,0,0.032676,0.0104836,0.0107336,0.00784296,0.0223617,0.0523243,0.0217003,0.0226227,0.011422,0.108175,0.0210006,0.01748,0.0066103,0.0035276,0,0,0.0551793,0,0.0147768,0.0373244,0.0625752,0.0444285,0.0158471,0.00733973,0.00914217,0.0242602,0.0164292,0.0645637,0.0177514,0.0180712,0.0276317,0.0377862,0.0180621,0.0355853,0.127874,0.0417651,0.0151649,0.0113577,0.00493795,0.0070586,0,0,0,0.00298693,0
434,0.00734512,0.00409993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576403,0.00693208,0.0157384,0,0,0.0487013,0,0.0293497,0.0260452,0.070172,0.0333928,0.0357058,0.0164293,0.00915552,0.00771959,0.0207075,0.0174648,0,0.0368452,0.00897953,0.0155935,0.00577136,0.024507,0.0833225,0.0236712,0.0213911,0.0119724,0.109314,0.0184896,0.0157202,0.00503038,0.00731086,0,0,0.0557162,0,0.0170712,0.0378519,0.0636116,0.0446401,0.0206204,0.00816691,0.0124768,0.0221536,0.0186321,0.0658338,0.0185236,0.0196732,0.0272171,0.0365657,0.0168524,0.0350019,0.128261,0.0419092,0.0119487,0.0109891,0.00273243,0.0143511,0,0,0,0.0183353,0
435,0.00748754,0.0041099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556486,0.00738283,0.0161646,0,0,0.049258,0,0.0289202,0.0261147,0.0698924,0.0322124,0.0355405,0.0156862,0.00912024,0.00734913,0.0200344,0.016912,0,0.0367399,0.00824662,0.0144607,0.00577823,0.0240991,0.0807531,0.0236199,0.0214911,0.0119758,0.111676,0.0186116,0.0143462,0.0043672,0.007157,0,0,0.0559307,0,0.0169343,0.0379955,0.0633488,0.045672,0.0209079,0.00818864,0.012519,0.0215842,0.018941,0.0661415,0.0185567,0.0194554,0.0278576,0.0364611,0.0163003,0.0355429,0.129848,0.0413775,0.0119594,0.0110912,0.0025407,0.0143383,0,0,0,0.018206,0
436,0.00754848,0.00399396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540125,0.00784651,0.0166207,0,0,0.049901,0,0.0285818,0.0262898,0.0696871,0.0310159,0.0354606,0.0152225,0.00889127,0.00715048,0.0192799,0.0161802,0,0.0368039,0.00771058,0.0135815,0.00602304,0.0238525,0.0786288,0.0235633,0.0217096,0.0120434,0.112447,0.0186845,0.013117,0.00407067,0.00704767,0,0,0.0560252,0,0.0167628,0.0380718,0.0631445,0.0459172,0.0211169,0.00813532,0.0122641,0.0210536,0.0190298,0.0663922,0.0184152,0.0191437,0.0282077,0.0361752,0.0156882,0.0356351,0.129433,0.0408109,0.0126008,0.0111831,0.00243567,0.0141491,0,0,0,0.0179394,0
437,0.00220536,0.0022878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140542,0.0103187,0.00800225,0,0,0.048835,0,0.0265343,0.0256893,0,0.0150739,0.0501587,0.0315891,0.0101114,0.00479684,0.028925,0.0421334,0,0.0280812,0.0156093,0.0166207,0.00657879,0.0249242,0.0202999,0.0223718,0.0237651,0.0117509,0.112967,0.022184,0.0126997,0.00662212,0.00382543,0,0,0.0559525,0,0.0139726,0.0377576,0.0619963,0.0454762,0.0158066,0.00766924,0.00921363,0.0227915,0.0165635,0.0652653,0.0173139,0.01707,0.0297802,0.0372984,0.0161481,0.0370326,0.12873,0.0397141,0.0168838,0.0121613,0.0041765,0.00600504,0,0,0,0.00219205,0
438,0.00738107,0.00383709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506537,0.008739,0.0172925,0,0,0.0510024,0,0.0279143,0.0271073,0.0695358,0.0283105,0.0353217,0.0141219,0.00816777,0.00718072,0.0171659,0.0152879,0,0.0372514,0.00710904,0.0121153,0.00624007,0.0238306,0.0741628,0.0238327,0.0220343,0.012472,0.105082,0.0188736,0.0114144,0.00346504,0.00692408,0,0,0.0559699,0,0.0164557,0.0381678,0.0629327,0.0402318,0.0211809,0.00808663,0.0114166,0.0201165,0.0190007,0.0665426,0.0178609,0.0185154,0.0280206,0.0354182,0.0148996,0.0349137,0.11818,0.0399499,0.0125532,0.0113377,0.00210431,0.0139434,0,0,0,0.0171792,0
439,0.00248927,0.0021263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148951,0.0112159,0.00817084,0,0,0.0496132,0,0.0259455,0.0268085,0,0.0145741,0.0500759,0.0336061,0.00905029,0.00490203,0.0295537,0.0439521,0,0.0289126,0.015354,0.0162546,0.00539168,0.0237954,0.0183963,0.0226489,0.0240107,0.0122707,0.097207,0.0223964,0.0106792,0.00538773,0.00412799,0,0,0.0556763,0,0.0137593,0.0377688,0.0621248,0.0348296,0.0157305,0.00778373,0.00858944,0.022151,0.0161361,0.0649568,0.0164868,0.0163666,0.0292711,0.0365213,0.0156425,0.0358013,0.108761,0.0390708,0.0164122,0.0123812,0.00371611,0.00572536,0,0,0,0.00211792,0
440,0.00230236,0.00174178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153392,0.0116408,0.00854239,0,0,0.049724,0,0.0256323,0.0268998,0,0.0159983,0.0504581,0.0350712,0.00852717,0.00470038,0.0304154,0.0453957,0,0.0289961,0.0154295,0.0161383,0.00513288,0.0233406,0.017848,0.0231752,0.0242424,0.0124477,0.0839658,0.022947,0.00922891,0.00488214,0.00426007,0,0,0.0675861,0,0.0122049,0.0499646,0.0621621,0.0268689,0.0153648,0.00789414,0.00815807,0.0324991,0.0152593,0.0644752,0.0155951,0.0153364,0.0289495,0.0361211,0.0151855,0.0344137,0.0937281,0.0554632,0.0140051,0.01295,0.00393653,0.00497028,0,0,0,0.00253652,0
441,0.00215317,0.00192508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160008,0.0113582,0.0100932,0,0,0.0496036,0,0.025815,0.0273018,0,0.0180465,0.050098,0.0357435,0.00825862,0.00465436,0.0309681,0.0467034,0,0.0296447,0.0146127,0.0153527,0.00514063,0.0225204,0.01659,0.0230002,0.02443,0.0123393,0.0700711,0.0220117,0.00837364,0.00440047,0.00454558,0,0,0.0548363,0,0.0138405,0.0372406,0.0622334,0.0184432,0.0156219,0.00801204,0.00780023,0.0226349,0.0137703,0.0637615,0.0143391,0.0139431,0.0278249,0.0354724,0.0141881,0.0319246,0.0779605,0.0394004,0,0.0130521,0.00403723,0.00523661,0,0,0,0.00232857,0
442,0.00219943,0.00172025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163599,0.0112693,0.0113553,0,0,0.0493325,0,0.0257735,0.0273345,0,0.0194613,0.0500343,0.0357836,0.00792436,0.00455826,0.0308923,0.0466409,0,0.0299597,0.0140695,0.0146916,0.00550055,0.0220497,0.0162345,0.0233144,0.0246706,0.0122353,0.0576337,0.022228,0.00891172,0.00431278,0.00465818,0,0,0.0545979,0,0.0136401,0.0371914,0.0624307,0.0103127,0.0159035,0.00832072,0.00765508,0.0226575,0.0120889,0.0630586,0.013072,0.0126563,0.0254653,0.0343562,0.0125675,0.0280894,0.0632706,0.0395689,0,0.0134423,0.00426972,0.00504219,0,0,0,0.00240853,0
443,0.00241021,0.00161096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166785,0.0115253,0.0120235,0,0,0.0492928,0,0.0254107,0.026682,0,0.0192982,0.0501626,0.0347549,0.00784034,0.00410048,0.0301458,0.0454538,0,0.0298692,0.0137722,0.0141357,0.00550239,0.0219189,0.0169501,0.0250308,0.024879,0.0121348,0.0473549,0.0224086,0.0105154,0.00423048,0.00477059,0,0,0.0691344,0,0.012644,0.0505325,0.0630555,0.00353186,0.0160088,0.00906813,0.00753431,0.0330273,0.010803,0.0626144,0.0122891,0.0120103,0.0218335,0.0328322,0.0103982,0.0229644,0.0511018,0.0572801,0,0.0133556,0.00423453,0.00445222,0,0,0,0.00258407,0
444,0.00263363,0.00162595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169088,0.0114856,0.0124601,0,0,0.0491486,0,0.0254215,0.0267447,0,0.0194274,0.0499458,0.0340146,0.00778573,0.00380169,0.0294559,0.04456,0,0.0300836,0.0134955,0.0138414,0.00546931,0.0217673,0.0171175,0.0255914,0.0251931,0.0119698,0.0398348,0.0225367,0.0120213,0.00429759,0.00501588,0,0,0.0699831,0,0.0125885,0.0510388,0.0635755,0.00240268,0.0163622,0.0100833,0.00758532,0.0330117,0.0101895,0.0624002,0.0120066,0.0120905,0.0175934,0.0313121,0.00785433,0.0170934,0.0421675,0.0579026,0,0.0135063,0.00420762,0.00446354,0,0,0,0.00256566,0
