Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,LFHD,
575,0.0269619,0.0255434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129712,0.00807669,0.0241851,0.0209416,0,0.0242668,0.0322023,0.0147613,0.0394673,0.0261404,0.0360992,0.0254452,0.0169697,0.0254434,0.0233885,0.0305429,0.0262776,0.0591196,0.0193,0.0197858,0.0205674,0.0185337,0.0133335,0.0272939,0.017007,0.00425159,0.0394578,0.0150651,0.0573194,0.018695,0.0240521,0,0,0.00899136,0,0.0184648,0.00576354,0.06856,0.0760389,0.01979,0.012444,0.0134721,0.034146,0.00564859,0.050815,0.0118723,0.00349004,0.0216834,0.0314502,0.0318321,0.0331355,0.0507883,0.0126146,0.00836192,0.0107075,0.0233551,0.029702,0,0,0,0,0,0
576,0.0268821,0.0253736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127267,0.00806865,0.0241862,0.020909,0,0.024305,0.0322151,0.0148353,0.0394609,0.0260605,0.0361071,0.0254475,0.0169395,0.025128,0.0234436,0.0306158,0.0262804,0.0590987,0.0192628,0.0196917,0.0205392,0.0185242,0.0128818,0.0271933,0.0169419,0.00425707,0.0396395,0.0151442,0.0572746,0.0186749,0.0240073,0,0,0.0089746,0,0.0185361,0.00598449,0.0686394,0.0758227,0.0198145,0.0124674,0.0134699,0.0340612,0.00572375,0.050823,0.0118922,0.00353426,0.0216543,0.0314915,0.0317405,0.0330529,0.0507622,0.0120456,0.00845404,0.0106413,0.0232704,0.0295923,0,0,0,0,0,0
577,0.0268243,0.0252081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124686,0.00803821,0.0241509,0.0208486,0,0.024308,0.0322267,0.0148815,0.0394642,0.0259911,0.0361136,0.0254613,0.0169072,0.0248681,0.0234891,0.0307054,0.0262664,0.0590688,0.0192582,0.0195621,0.0205079,0.0184954,0.0123887,0.0271166,0.0169152,0.00425826,0.0398126,0.0151261,0.0572577,0.0186681,0.0239956,0,0,0.00882869,0,0.0185675,0.00613535,0.0686842,0.0756245,0.019859,0.0124723,0.0134558,0.0339036,0.00579467,0.0508215,0.0119151,0.0035796,0.02164,0.0315603,0.0316933,0.0329913,0.0507718,0.0113824,0.00860503,0.0106071,0.0231588,0.0295049,0,0,0,0,0,0
578,0.0267211,0.0250894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122341,0.00799769,0.0241315,0.0208387,0,0.0243048,0.0322329,0.014881,0.03945,0.0259183,0.0361242,0.0254862,0.0168581,0.0246478,0.023526,0.0308176,0.0262798,0.0590467,0.019298,0.0195093,0.0204977,0.0184621,0.0119022,0.0270285,0.0169016,0.00423863,0.0400363,0.0150841,0.0573226,0.0186597,0.0239492,0,0,0.0087099,0,0.0185655,0.00614463,0.0686975,0.0755056,0.0198874,0.0124549,0.0134291,0.0336964,0.005834,0.0508146,0.0119523,0.00359616,0.0216674,0.031607,0.0317859,0.0329756,0.0509018,0.010877,0.00852937,0.0103985,0.0230375,0.0294459,0,0,0,0,0,0
579,0.0265818,0.0249272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120466,0.00796776,0.0241359,0.0208403,0,0.02437,0.032241,0.0148755,0.0394095,0.0258605,0.0361528,0.0255171,0.016797,0.0244639,0.0235647,0.0309402,0.026303,0.0590417,0.019301,0.0194834,0.0204774,0.018454,0.0115363,0.02695,0.0168682,0.00424509,0.0404531,0.0150475,0.0575396,0.0186518,0.0239249,0,0,0.00859056,0,0.0185425,0.00602912,0.0687065,0.0755393,0.0198956,0.0124362,0.013404,0.0334021,0.00578613,0.0508116,0.0119355,0.00354157,0.0218027,0.0315634,0.0319846,0.0330432,0.0511535,0.0105288,0.00822091,0.0100896,0.0229095,0.0294811,0,0,0,0,0,0
580,0.0264632,0.0247454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118736,0.00795551,0.0241355,0.0208503,0,0.0244448,0.0322472,0.0148846,0.0393682,0.0258269,0.0361949,0.0255361,0.0167452,0.0242673,0.0236026,0.0310474,0.0263234,0.0590464,0.0192378,0.019449,0.0204507,0.0184597,0.0111747,0.0269007,0.0168394,0.00427086,0.040932,0.0150271,0.0578279,0.018649,0.0239261,0,0,0.00843682,0,0.0185312,0.00580527,0.0687046,0.0756599,0.0198986,0.0123685,0.0133767,0.0331365,0.00569794,0.0508251,0.0118721,0.00347031,0.0219777,0.0314483,0.032224,0.0331732,0.051431,0.0103239,0.00780796,0.00980462,0.0227845,0.0295737,0,0,0,0,0,0
581,0.0264063,0.0245741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116619,0.00793968,0.0241216,0.0208507,0,0.0245107,0.0322604,0.0148898,0.0393526,0.025809,0.036235,0.0255602,0.0167283,0.0240718,0.0236668,0.0311162,0.0263393,0.0590451,0.0191112,0.0193948,0.020424,0.0184286,0.010834,0.0268882,0.0168376,0.00429931,0.0410536,0.01501,0.0577651,0.0186629,0.0239544,0,0,0.00823149,0,0.0185193,0.00551742,0.0687286,0.0755,0.0199511,0.0123918,0.0133769,0.0329545,0.00573843,0.0507639,0.0119232,0.00352053,0.0218849,0.0315233,0.032136,0.0330932,0.0514334,0.0102567,0.00739657,0.00953861,0.0226194,0.0297101,0,0,0,0,0,0
582,0.0263911,0.0244177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011497,0.00792448,0.0241149,0.020861,0,0.0245392,0.0322848,0.014893,0.0393606,0.0257591,0.0362707,0.0255835,0.0167245,0.0239892,0.023704,0.0311711,0.0263493,0.0590495,0.0190476,0.0193532,0.0204061,0.0184039,0.0105288,0.0269041,0.0168621,0.00431587,0.0411376,0.0149879,0.057703,0.0186975,0.0239715,0,0,0.00802448,0,0.0185087,0.00513273,0.0687425,0.0753564,0.020005,0.0124142,0.0133762,0.0328531,0.00580792,0.0507171,0.011964,0.00358437,0.0218158,0.0315805,0.0320406,0.0330326,0.0514403,0.0102562,0.00705715,0.00927665,0.0224633,0.0298338,0,0,0,0,0,0
583,0.0264378,0.0242562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114331,0.00794042,0.0241027,0.020884,0,0.0245609,0.0323071,0.0148658,0.0393604,0.0257164,0.0363019,0.0256059,0.0167082,0.0240217,0.0237346,0.0312411,0.0263621,0.0590739,0.0190312,0.0193339,0.0203923,0.0183986,0.0102908,0.0269919,0.0168819,0.00432618,0.0413299,0.0149877,0.0577921,0.0187408,0.0240014,0,0,0.0078668,0,0.0184723,0.00448914,0.0687633,0.0753632,0.0200351,0.0123818,0.0133629,0.0327626,0.00581814,0.0507423,0.011916,0.00356875,0.0218812,0.0315218,0.0320954,0.033086,0.0515494,0.0101923,0.00670991,0.00908653,0.0222678,0.0299458,0,0,0,0,0,0
584,0.0264722,0.0240983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113275,0.00796502,0.0241224,0.0209448,0,0.0245739,0.0323399,0.0148453,0.0393186,0.0257512,0.0363334,0.0256108,0.0166916,0.0241218,0.0237531,0.031292,0.0263905,0.0590971,0.0190089,0.0193175,0.0203878,0.0183681,0.0100796,0.0271096,0.0169177,0.00437908,0.0415121,0.0150067,0.0579499,0.0187729,0.0240539,0,0,0.0078182,0,0.0184461,0.0037978,0.0687818,0.0754385,0.0200376,0.0123071,0.0133585,0.0326855,0.00577407,0.0507778,0.0118171,0.00350087,0.0220304,0.0314146,0.0322327,0.0332224,0.0516459,0.0100629,0.0065322,0.00877442,0.0220825,0.0300159,0,0,0,0,0,0
