Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LASI,LILC,LGTR,
415,0,0.00725331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218173,0.00685141,0.0173631,0,0,0.0271371,0,0.0347192,0.0167838,0.0272313,0.0137684,0,0.0110205,0.0144095,0.0086692,0.0152212,0.0304767,0.0107889,0.0081586,0.00692901,0.0131179,0.022206,0.0281092,0.0078858,0.0119241,0.0323621,0.0138901,0.0226803,0.0111764,0.00700198,0,0,0.00663311,0,0.0303556,0.010665,0.0725131,0.0160507,0.00980212,0.0229925,0.0220792,0.00988423,0,0.0465393,0.0221517,0.0185127,0.0257355,0.0289606,0.0214549,0.0255547,0.0299613,0.00877538,0.0232317,0.0113027,0.0122773,0.00428698,0,0,0,0.0158079,0.0551091,0.0660818,0
416,0,0.00772318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028059,0.0070933,0.0190724,0,0,0.0337555,0,0.0318247,0.0187316,0.0259925,0.0128302,0,0.00989396,0.0107107,0.00331279,0.0148322,0.0312847,0.00692726,0.00726266,0.0073369,0.0143762,0.0303691,0.0330012,0.0147743,0.00731905,0.0325983,0.0143283,0.0226788,0.00958417,0.00738525,0,0,0.0056483,0,0.0293406,0.0106542,0.0719119,0.016083,0.00883711,0.0231616,0.0212114,0.00930025,0,0.0472764,0.0223192,0.0188451,0.0260395,0.0282599,0.0215627,0.0258424,0.0301391,0.00705953,0.0223921,0.0107257,0.012478,0.00314735,0,0,0,0.0140719,0.0545216,0.0648677,0
417,0,0.00715635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021529,0.00698003,0.0172367,0,0,0.0277521,0,0.0336297,0.0181753,0.0268868,0.0136788,0,0.0123405,0.013726,0.00852577,0.015144,0.0306187,0.0109933,0.00834493,0.00688677,0.012872,0.0219479,0.0296508,0.0098693,0.0118019,0.032464,0.0139932,0.0226528,0.0107471,0.00697492,0,0,0.00645131,0,0.0300568,0.0105418,0.0723057,0.0160008,0.00952291,0.0230282,0.021869,0.00961289,0,0.0467578,0.0221985,0.0185817,0.0257319,0.0287294,0.0214003,0.0255762,0.0299363,0.00838859,0.0228834,0.0110563,0.0123466,0.00407953,0,0,0,0.0153528,0.0549061,0.0658666,0
418,0,0.00745525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213379,0.00664351,0.0172727,0,0,0.0278413,0,0.0349966,0.0169023,0.0271771,0.0138015,0,0.0107798,0.0135552,0.00868605,0.0152169,0.0304012,0.0109033,0.00822108,0.00698025,0.0131293,0.0216084,0.0282834,0.00750591,0.011806,0.032319,0.0138811,0.0226043,0.0116725,0.00735363,0,0,0.00688127,0,0.0303172,0.0105562,0.0725277,0.0159592,0.00990506,0.0229914,0.0226982,0.00998421,0,0.0465016,0.0221613,0.0184436,0.0256008,0.0289918,0.0212874,0.0253209,0.0297854,0.00898789,0.0230976,0.011194,0.0124818,0.00458948,0,0,0,0.0163509,0.0552213,0.0661745,0
419,0,0.00746447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213928,0.0066572,0.0173833,0,0,0.0276456,0,0.0350468,0.016751,0.0271745,0.0137804,0,0.0106726,0.0134019,0.00865604,0.0151954,0.0303907,0.0108761,0.00822563,0.00701142,0.0131625,0.0216284,0.0281085,0.00735696,0.0118523,0.0323958,0.0138745,0.0226354,0.0116684,0.0072895,0,0,0.00696573,0,0.03033,0.0105527,0.0725546,0.0160422,0.00990232,0.0229916,0.0226619,0.0100776,0,0.0464895,0.022105,0.0184625,0.0256088,0.0290548,0.0213008,0.0254851,0.0298556,0.00905202,0.0230242,0.0111956,0.012493,0.00455618,0,0,0,0.0163614,0.0552205,0.0661842,0
420,0,0.00815509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213856,0.00664765,0.0173659,0,0,0.038021,0,0.0332726,0.0190153,0.0266415,0.0134817,0,0.0068218,0.0129195,0.00831718,0.014969,0.0309656,0.0109491,0.00839832,0.00673323,0.0127701,0.0217,0.0373976,0.0124291,0.00336543,0.0324943,0.0142896,0.0226599,0.0105571,0.00844461,0,0,0.00586706,0,0.0293539,0.0104721,0.0720939,0.016183,0.00936656,0.0230231,0.0221108,0.00910563,0,0.0470259,0.0221397,0.0185884,0.0257728,0.0285132,0.0214209,0.0256942,0.0299618,0.00733686,0.022238,0.0106311,0.0128052,0.00287909,0,0,0,0.0150096,0.0545069,0.065546,0
421,0,0.0074699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215318,0.00666164,0.017727,0,0,0.0276419,0,0.0350953,0.0166089,0.0273247,0.013725,0,0.0105546,0.0133596,0.00866949,0.0150975,0.030416,0.0108691,0.00822174,0.00704676,0.0132401,0.0217494,0.0280038,0.00715148,0.0118464,0.0325234,0.0138742,0.0227925,0.0115667,0.00703501,0,0,0.00715283,0,0.0303092,0.0104438,0.0726211,0.0163083,0.00990679,0.0229195,0.022508,0.0100358,0,0.0464538,0.0221189,0.0184165,0.0255956,0.0291153,0.0213821,0.025437,0.0299764,0.00927734,0.0229353,0.0111436,0.0124723,0.00444919,0,0,0,0.0162818,0.055239,0.0662076,0
422,0,0.00749857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215559,0.00666798,0.0176188,0,0,0.027828,0,0.0351246,0.0166382,0.0274524,0.0136826,0,0.0104015,0.0135184,0.00865866,0.0149454,0.030451,0.0108292,0.00815349,0.00700035,0.0133355,0.0217428,0.0279964,0.00708861,0.0118441,0.0325155,0.0139446,0.0228663,0.0115111,0.0068176,0,0,0.00721504,0,0.0302404,0.0104005,0.0726694,0.0163943,0.00989334,0.0228554,0.0225352,0.0100317,0,0.0464382,0.0220926,0.0182996,0.0255091,0.0291563,0.0213019,0.0252522,0.0299777,0.00940143,0.022857,0.0110482,0.0125202,0.0044392,0,0,0,0.0162705,0.0552321,0.0661861,0
423,0,0.00748812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216175,0.00666157,0.0177063,0,0,0.0279602,0,0.0351735,0.0166599,0.0276137,0.0136114,0,0.010265,0.013842,0.00863307,0.0147124,0.0305186,0.0107326,0.00805448,0.00690003,0.0134531,0.0217684,0.0279121,0.00704655,0.0118454,0.032546,0.0140996,0.02299,0.011412,0.00649957,0,0,0.00731997,0,0.0300785,0.0104189,0.0727552,0.0165322,0.00986897,0.0227714,0.0224758,0.0100294,0,0.0464008,0.0220188,0.0181341,0.0253381,0.0291592,0.0212817,0.0250848,0.0300229,0.00955217,0.0227752,0.0109569,0.0125728,0.00440817,0,0,0,0.0162014,0.0552094,0.0661553,0
424,0,0.00749177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217695,0.00664291,0.0179288,0,0,0.0281114,0,0.0352247,0.0166796,0.027861,0.0135234,0,0.0101547,0.0139062,0.00862365,0.014609,0.030561,0.0106168,0.00790771,0.00680318,0.0136052,0.0219184,0.0279381,0.00701137,0.0118343,0.0325766,0.0140721,0.0230802,0.0113,0.00650052,0,0,0.00743654,0,0.0299214,0.0105524,0.0728573,0.0166316,0.00984346,0.022683,0.022383,0.00997867,0,0.0463508,0.0219844,0.0179646,0.0250954,0.0291813,0.0212396,0.0249049,0.0300877,0.00972381,0.0228534,0.0110485,0.012594,0.00435798,0,0,0,0.0161276,0.0552232,0.066148,0
