Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LFHD,
815,0,0.0052802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274617,0.00710984,0,0,0,0,0.0277326,0.0303291,0.0156096,0.0688227,0.0524025,0.0454631,0.0153871,0.00685396,0.0127676,0.00271302,0.0121459,0.00866104,0.0373204,0.0351248,0.0308852,0,0,0.0172293,0.0308567,0.0161089,0.00605064,0.0624064,0.0190798,0.0232219,0.00719125,0.00723805,0,0,0.028424,0,0.0179014,0.0152356,0.0674909,0.0455112,0.015215,0.0080916,0.00854895,0.0160349,0.0133641,0.0543525,0.00963873,0.016091,0.0162855,0.0302838,0,0.0236583,0.0711436,0.0178408,0.0125581,0.0128617,0.0039622,0.0155156,0,0,0,0,0
816,0,0.00539975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278223,0.00714871,0,0,0,0,0.0274084,0.0303262,0.015432,0.0690887,0.0526763,0.0451816,0.0158358,0.00688668,0.0125103,0.00250942,0.01219,0.00909008,0.0374224,0.0351148,0.0308904,0,0,0.0184654,0.030725,0.0160282,0.00594352,0.0643527,0.0191755,0.0240883,0.00729825,0.00743848,0,0,0.0277968,0,0.0178239,0.0151895,0.0674284,0.0466888,0.0152295,0.00816927,0.00868225,0.0160333,0.0134655,0.05428,0.00970149,0.0163357,0.0170064,0.0306244,0,0,0.0730608,0.0175164,0.0139964,0.0127281,0.00374641,0.0155253,0,0,0,0,0
817,0.00900048,0.00549751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283123,0.00706418,0,0.00855451,0,0,0.0270808,0.0302149,0.0151581,0.0693503,0.0531026,0.0448533,0.0161175,0.00689652,0.0124353,0.00209592,0.0117551,0.00943194,0.0374847,0.0349521,0.0306415,0,0,0.0199615,0.0304659,0.0159545,0.00585626,0.0663463,0.0191086,0.0240805,0.0073378,0.00782107,0,0,0.0271578,0,0.0177385,0.0150619,0.0671639,0.0474171,0.0151669,0.00823676,0.00842816,0.0158574,0.0136115,0.0544573,0.00994192,0.0166077,0.0171788,0.0306026,0,0.0248064,0.0752117,0.0171122,0.0147746,0.0124421,0.00354937,0.0156802,0,0,0,0,0
818,0.00905838,0.00558644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344187,0.00697724,0,0.00837436,0,0,0.0269048,0.0302616,0.0149868,0.0699248,0.0472004,0.0445378,0.0153877,0.00693231,0.0123704,0.00463634,0.0070661,0,0.0372816,0.0323736,0.0287352,0,0,0.0333532,0.0302592,0.0159093,0.00585841,0.0682482,0.0189083,0.0243072,0.00722584,0.00812486,0,0,0.0263552,0,0.0176626,0.0148419,0.0670062,0.0483465,0.0152327,0.00810516,0.00823709,0.0154936,0.0135759,0.0545447,0.00992614,0.0166965,0.0178748,0.0307536,0,0,0.0772261,0.016585,0.0142375,0.0120636,0.00330352,0.0157618,0,0,0,0,0
819,0.00860567,0.0058945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288666,0.00691023,0,0,0,0,0.0267025,0.0303785,0.014843,0.0692754,0.053015,0.0447722,0.0156702,0.00697881,0.0121518,0.00202333,0.0110539,0.00972098,0.0374541,0.0332908,0.029012,0,0,0.021809,0.0301285,0.0158967,0.00586143,0.0695249,0.0189994,0.0247088,0.00757795,0.00781273,0,0,0.0251071,0,0.0175592,0.0143426,0.0673367,0.0494273,0.0150081,0.00840207,0.00860674,0.015412,0.0140385,0.0544422,0.0102992,0.0173499,0.0184707,0.0308838,0,0,0.0785032,0.0158318,0.0134369,0.0116299,0.00343508,0.0154015,0,0,0,0,0
820,0.00850302,0.0056107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028192,0.00688418,0,0.00887928,0,0,0.0263836,0.030302,0.0145966,0.0691996,0.0523097,0.044307,0.016159,0.00696814,0.0118357,0.00215612,0.011038,0.0103803,0.0373645,0.0325991,0.028146,0,0,0.0213555,0.0300098,0.0159298,0.00575088,0.0713437,0.0190027,0.0241997,0.00764808,0.00805259,0,0,0.024411,0,0.0174744,0.014053,0.067091,0.049319,0.0148657,0.00843645,0.00833181,0.0151796,0.014366,0.0549876,0.0107261,0.0177058,0.0182305,0.0306981,0,0.0258707,0.0804532,0.015435,0.0133445,0.0111213,0.00314918,0.0153772,0,0,0,0,0
821,0.00826363,0.00511046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273401,0.00685556,0,0.00883316,0,0,0.0260068,0.0302202,0.0143361,0.0690584,0.0509658,0.0439102,0.0163726,0.00696451,0.0115026,0.00270532,0.0113809,0.0108571,0.0372568,0.0314849,0.0270275,0,0,0.0203223,0.0297823,0.0159211,0.00564386,0.0728254,0.0189711,0.023707,0.00762839,0.00808054,0,0,0.0235608,0,0.0173951,0.013607,0.0670124,0.0493097,0.0146212,0.00826782,0.00817541,0.0150436,0.0145588,0.0555107,0.0108502,0.0177671,0.0169568,0.0306541,0,0.0260252,0.0822467,0.0149907,0.0131853,0.0106247,0.00316708,0.0151606,0,0,0,0,0
822,0.00831692,0.00503292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026447,0.00679223,0,0.00902296,0,0,0.0256872,0.0301924,0.0145355,0.0688138,0.0489618,0.0444809,0.0165937,0.00693046,0.0113259,0.00306734,0.0122905,0.0113399,0.0373997,0.0301044,0.0258986,0,0,0.0188164,0.029566,0.0159109,0.0055152,0.074178,0.0188373,0.0238229,0.0077466,0.00840903,0,0,0.0229844,0,0.0173405,0.0134306,0.06703,0.0503969,0.0145295,0.0079426,0.00836436,0.0149156,0.0144441,0.0557989,0.0106763,0.0177192,0.0156538,0.0307608,0,0.0269236,0.0847436,0.0147435,0.012657,0.0105729,0.00313294,0.0152613,0,0,0,0,0
823,0,0.00503442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256124,0.0066744,0,0,0,0,0.0254054,0.0301528,0.0150164,0.0682107,0.0470347,0.0450182,0.0165054,0.00720149,0.0112085,0.00377029,0.0134277,0.0113503,0.0375306,0.0284412,0.0247494,0,0,0.0165268,0.0293946,0.0160845,0.00522237,0.0754859,0.0188149,0.0241876,0.00826129,0.00834804,0,0,0.0220017,0,0.0171231,0.0129301,0.0675517,0.0513788,0.014616,0.00757943,0.00913876,0.0147449,0.0145718,0.0557604,0.0105227,0.0177595,0,0.0312761,0,0,0.0872249,0.0141485,0.0124628,0.0103746,0.0029526,0.0150365,0,0,0,0,0
824,0.00815161,0.00483858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030009,0.00639912,0,0,0,0,0.0254472,0.0301873,0.014481,0.0681341,0.0390526,0.0447761,0.0133381,0.0074946,0.0110741,0.00483227,0.00843547,0,0.0372598,0.0230368,0.0204675,0,0,0.0273382,0.0293213,0.0164391,0.00503437,0.0773276,0.0187177,0.0238042,0.00977513,0.00871416,0,0,0.0211355,0,0.0172682,0.0123871,0.0674883,0.0514461,0.01449,0.00754316,0.00944462,0.0143797,0.0152533,0.05648,0.011312,0.018149,0.0190463,0.0311552,0,0.0280907,0.0878152,0.0137703,0.0123021,0.00978092,0.00259649,0.0151452,0,0,0,0,0
