Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,RTOE,x73,x74,REAR
1942,0.0219364,0.0144426,0,0,0,0,0,0,0.0587387,0.0233868,0.0186077,0.00135275,0,0,0.0448067,0,0.0450682,0.0153387,0.051048,0.0232061,0.00377145,0.0416089,0.0156396,0.0362162,0.031196,0.0657763,0.0352393,0.0675826,0.0369113,0.0201888,0.0144285,0.037236,0.045539,0.0427176,0.0371746,0.00583174,0.00364305,0.0225303,0.00636894,0.00436877,0.0219589,0,0.0642046,0,0.0330102,0.0318019,0.0308249,0.00987022,0.0232099,0.00395718,0.0144006,0.0205249,0.00207979,0.014447,0.00299348,0.00275821,0.0067572,0.0201829,0.00444183,0.00906451,0.0228821,0.0107629,0.00807966,0.0137007,0.0206667,0,0,0,0,0,0,0.00474509,0,0,0
1943,0.0211785,0.0137371,0,0,0,0,0,0,0.0587312,0.0233555,0.0185766,0.00140749,0,0,0.04323,0,0.045043,0.0145075,0.050888,0.0232477,0.00387865,0.041641,0.0152335,0.035466,0.0312704,0.0658564,0.0353396,0.0675087,0.0369151,0.020186,0.014396,0.0372385,0.0456618,0.0415138,0.0373587,0.00570384,0.00367238,0.0226215,0.00626455,0.00419775,0.0213142,0,0.0625882,0,0.0329063,0.0311411,0.0308607,0.00971375,0.0232288,0.00411845,0.0141089,0.0212395,0.00203151,0.0144165,0.00271997,0.0027342,0.00679665,0.0202729,0.00447979,0.00902191,0.0227571,0.0106801,0.00810301,0.0134741,0.0200317,0,0,0,0,0,0,0.00492423,0,0,0
1944,0.0204839,0.0130628,0,0,0,0,0,0,0.0587508,0.0233493,0.0185865,0.0014773,0,0,0.0416467,0,0.0450002,0.0136782,0.0507306,0.0233212,0.00399263,0.0416309,0.0148179,0.0347885,0.0313177,0.0659116,0.0353958,0.0674467,0.0369236,0.0201951,0.0143475,0.0372676,0.045854,0.0404144,0.0375775,0.00556496,0.00374876,0.0227048,0.00620394,0.00408089,0.0206904,0,0.061046,0,0.0327453,0.0303068,0.0309036,0.0095307,0.0231957,0.00411015,0.0138191,0.0220133,0.00197616,0.0143012,0.00263414,0.00277724,0.00686009,0.0203475,0.0045514,0.00898223,0.0224622,0.0105371,0.00824373,0.0132665,0.01949,0,0,0,0,0,0,0.0050799,0,0,0
1945,0.0197495,0.0123638,0,0,0,0,0,0,0.0587991,0.0233356,0.0186054,0.00154718,0,0,0.0401318,0,0.0449083,0.0128767,0.0506359,0.0234223,0.00410721,0.0416333,0.0144327,0.0341287,0.0313344,0.0659129,0.03534,0.0674286,0.0369342,0.0202212,0.0142719,0.0373089,0.0460658,0.0392756,0.0377889,0.00542989,0.003866,0.0228015,0.00618792,0.00397921,0.0201915,0,0.0595192,0,0.0325683,0.0294457,0.030978,0.00925525,0.0231297,0.0040779,0.0134742,0.0227163,0.00191104,0.0141335,0.00275707,0.00284747,0.00692415,0.0203989,0.00459746,0.00898482,0.0220174,0.0103298,0.00819381,0.0130557,0.0189849,0,0,0,0,0,0,0.00521374,0,0,0
1946,0.0189502,0.011679,0,0,0,0,0,0,0.058868,0.0233001,0.0186537,0.00162759,0,0,0.0386978,0,0.0448243,0.0121546,0.0506262,0.0235518,0.00417439,0.0416611,0.0140776,0.033501,0.0313326,0.0658844,0.0352626,0.0674677,0.0369275,0.0202613,0.0142205,0.0373407,0.046282,0.0380564,0.0379702,0.00535757,0.00400433,0.022888,0.00621246,0.00385784,0.0198083,0,0.0578089,0,0.0323847,0.0286934,0.0309576,0.0090425,0.0231308,0.00424732,0.013117,0.0233008,0.00183975,0.0140029,0.00285593,0.00290171,0.00695746,0.0204618,0.00460765,0.00902568,0.0215771,0.0101324,0.00808495,0.0128403,0.0182764,0,0,0,0,0,0,0.00540002,0,0,0
1947,0.0180988,0.0110418,0,0,0,0,0,0,0.0588816,0.0232784,0.0186619,0.00173467,0,0,0.0373412,0,0.0447653,0.0115485,0.0506941,0.0236333,0.0042336,0.0417065,0.0137625,0.0328079,0.0312681,0.06584,0.0352259,0.0675154,0.0368987,0.0202788,0.0142213,0.0373382,0.0463706,0.0368415,0.0381423,0.00531534,0.00412775,0.0229685,0.00622814,0.00375929,0.0195007,0,0.0558724,0,0.0321912,0.0279941,0.0309055,0.00898494,0.0231077,0.00453325,0.012774,0.0238391,0.00179362,0.0139421,0.00289468,0.00289511,0.00700269,0.0205077,0.00453967,0.0091001,0.0211737,0.0100443,0.00806824,0.012667,0.01753,0,0,0,0,0,0,0.00560515,0,0,0
1948,0.0172871,0.0104742,0,0,0,0,0,0,0.0588873,0.0232565,0.0186668,0.00185767,0,0,0.0360383,0,0.0447279,0.0110153,0.0507691,0.0236668,0.00430763,0.0417615,0.0134465,0.0320897,0.0312061,0.06579,0.0351885,0.0675519,0.0369137,0.0202912,0.0142473,0.0373341,0.0464041,0.0356718,0.0383282,0.00529152,0.00419706,0.0230713,0.00615024,0.00369904,0.0190798,0,0.0536163,0,0.0320407,0.0272904,0.0309194,0.00893336,0.0230415,0.0046256,0.0124843,0.0242776,0.00179628,0.0139296,0.00288491,0.00287204,0.00704225,0.0205308,0.00435228,0.00914926,0.0207263,0.0100084,0.00806849,0.0125013,0.0169043,0,0,0,0,0,0,0.00574867,0,0,0
1949,0.0165361,0.00998195,0,0,0,0,0,0,0.0589469,0.0232742,0.0186935,0.00198767,0,0,0.0348279,0,0.0446711,0.0105607,0.0508289,0.0237347,0.00439759,0.0418,0.0131577,0.0314048,0.0311389,0.0657284,0.0351023,0.0675953,0.0369412,0.0203067,0.0142424,0.0373568,0.0464537,0.0345867,0.0385386,0.00525278,0.0042293,0.0231857,0.00594528,0.00365549,0.0186868,0,0.0515389,0,0.0319282,0.0265626,0.0310263,0.00871298,0.0229725,0.00459198,0.0122133,0.0244399,0.00178995,0.0139518,0.00278739,0.0028448,0.00703752,0.0205572,0.00427363,0.00907365,0.0202071,0.0100468,0.00816597,0.0123052,0.0163778,0,0,0,0,0,0,0.00585538,0,0,0
1950,0.0158931,0.00950554,0,0,0,0,0,0,0.0590016,0.0233116,0.0187131,0.00210564,0,0,0.0336843,0,0.0446084,0.0101295,0.0508432,0.0238165,0.00448588,0.0418192,0.0127918,0.0307722,0.031089,0.0656792,0.0350227,0.0676437,0.0369774,0.0203335,0.0142535,0.0373781,0.0465914,0.0334436,0.0387462,0.00523964,0.00428065,0.0233927,0.00578357,0.00360411,0.0184703,0,0.0501514,0,0.0318616,0.0257799,0.0311459,0.00848145,0.0229973,0.00469592,0.011844,0.0243173,0.00174238,0.0139929,0.00262864,0.00282157,0.00704535,0.0205921,0.00435009,0.00895452,0.0198302,0.0101509,0.00836514,0.011983,0.0159643,0,0,0,0,0,0,0.00600959,0,0,0
1951,0.0154141,0.008866,0,0,0,0,0,0,0.0589841,0.0233663,0.0186862,0.00232019,0,0,0.0325336,0,0.044571,0.00972359,0.0508892,0.0238486,0.00459896,0.0418532,0.0120589,0.0302498,0.0310272,0.0656282,0.034987,0.067717,0.0370031,0.020355,0.0143288,0.0373798,0.0467416,0.032345,0.0389785,0.00527154,0.00439815,0.0237814,0.00559047,0.00346837,0.0184286,0,0.0487048,0,0.0318129,0.0250041,0.0312229,0.0082965,0.0229961,0.00465543,0.0111469,0.0232888,0.00169122,0.0140053,0.00243859,0.00274972,0.00701529,0.0206365,0.00448602,0.00881808,0.0197234,0.0102621,0.00855191,0.0112346,0.0157802,0,0,0,0,0,0,0.00621357,0,0,0
