Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,,LTHIP,LTIBI
256,0.0121596,0.0178281,0,0,0,0,0,0,0.0332198,0.0237698,0.00880726,0.00614269,0,0,0.0706641,0,0.0464622,0.0364656,0.041061,0.0148394,0.009064,0.0125124,0.0100908,0.0314319,0.0112235,0,0.0950733,0.0166314,0.0107294,0.0255101,0.0208605,0.0571773,0.0359885,0.0186222,0.00391568,0.0253778,0.0153442,0.00379402,0.0291939,0,0,0.0258359,0,0.0342749,0.0128554,0.037774,0.0260911,0.0186862,0.00397689,0.0131491,0.043331,0.00467634,0.0111853,0.00358266,0.005891,0.00976775,0.0182012,0.00762905,0.0148122,0.00902345,0.0286614,0.0194853,0.0117338,0.0244075,0.0170863,0,0,0,0,0,0,0,0,0.0243896,0.00796892
257,0.0123141,0.0180935,0,0,0,0,0,0,0.0120201,0.0239862,0.0275601,0.00520967,0,0,0.0816517,0,0.0466841,0.0429115,0.0402566,0.0348131,0.00588875,0.0153863,0.0098055,0.0366505,0.0118512,0,0.0978194,0.0213022,0.00648729,0,0.0291072,0.0667473,0.0362051,0.0212491,0.00437211,0.0254087,0.015107,0.00442629,0.0298414,0,0,0.0255183,0,0.0343429,0.0127408,0.0379433,0.0256551,0.0188433,0.00472427,0.0115389,0.0446585,0.00415058,0.0121152,0.00362564,0.00568152,0.00926521,0.0190544,0.00728532,0.0142174,0.00845004,0.0288134,0.019786,0.0119878,0.024371,0.0178943,0,0,0,0,0,0,0,0,0.023623,0
258,0.0112756,0.0186243,0,0,0,0,0,0,0.0332614,0.0240764,0.00889573,0.00581194,0,0,0.0818031,0,0.0463432,0.0428927,0.0410158,0.0149165,0.00902276,0.0125543,0.00940898,0.037536,0.0112917,0,0.0950966,0.0168635,0.0109931,0.0254758,0.0208411,0.0669023,0.0362856,0.0213215,0.00381816,0.0252362,0.0152833,0.00430375,0.028175,0,0,0.0264929,0,0.0346468,0.0131604,0.0377924,0.025919,0.0187888,0.00393895,0.0124121,0.0429321,0.0046586,0.0110327,0.00359853,0.00589486,0.00982101,0.0181367,0.00766331,0.0147207,0.00881554,0.0290503,0.0192254,0.0117003,0.0251891,0.0161979,0,0,0,0,0,0,0,0,0.0244875,0.00809425
259,0.0112514,0.0178681,0,0,0,0,0,0,0.0331598,0.0239787,0.00898011,0.00599064,0,0,0.075121,0,0.0463338,0.0385785,0.0409863,0.0148399,0.00898801,0.0125073,0.00990406,0.033261,0.0112278,0,0.0951459,0.0168603,0.0110526,0.0254831,0.0209516,0.0608492,0.0357644,0.0193755,0.00388124,0.02522,0.0152825,0.00447559,0.0276164,0,0,0.026735,0,0.0347532,0.0132182,0.0377126,0.0259369,0.0185974,0.00393762,0.0129475,0.041712,0.00455617,0.0111514,0.00364132,0.00587739,0.00976276,0.018227,0.00764207,0.0147128,0.00885948,0.0285774,0.0192965,0.0118548,0.0242776,0.0159242,0,0,0,0,0,0,0,0,0.0245092,0.00809485
260,0.0110019,0.0186178,0,0,0,0,0,0,0.0332162,0.0243943,0.00895357,0.00588053,0,0,0.0842624,0,0.0462279,0.0436273,0.0409034,0.0147398,0.00898865,0.0126715,0.00929713,0.0364823,0.0112654,0,0.0951474,0.0168236,0.0112602,0.0256515,0.0208842,0.0682634,0.0361288,0.0216148,0.00383444,0.0251,0.0151403,0.00445439,0.0269434,0,0,0.0270221,0,0.0349769,0.0133162,0.0377463,0.0257445,0.0187522,0.00388192,0.0123444,0.0415841,0.00455768,0.0110377,0.00368594,0.00582504,0.00968735,0.018245,0.00757675,0.0146257,0.00890293,0.0287497,0.0190542,0.0117294,0.0249565,0.0156559,0,0,0,0,0,0,0,0,0.0244691,0.00820026
261,0.011027,0.0177807,0,0,0,0,0,0,0.0334427,0.0244395,0.00856912,0.00583738,0,0,0.0867013,0,0.0465416,0.0448116,0.0409619,0.0140508,0.00935215,0.0124298,0.00690321,0.0392686,0.0116067,0,0.0952325,0.0168901,0.0111598,0.0261621,0.0190602,0.0705783,0.0359392,0.0218455,0.0262958,0.0249973,0.0342456,0.00566165,0.0265718,0,0,0.0281198,0,0.035044,0.0139179,0.0353512,0.0386021,0.0201391,0.0163844,0.0101518,0.0408082,0.0086245,0.0121174,0.00290085,0.0130615,0.0197964,0.0301479,0.0224613,0.0251094,0.0220345,0.0290854,0.0189937,0.0116038,0.0239563,0.015377,0,0,0,0,0,0,0,0,0.023994,0.00827299
262,0.0106678,0.0181228,0,0,0,0,0,0,0.0339177,0.0245526,0.00860526,0.00620694,0,0,0.0874204,0,0.0464507,0.0452965,0.0409129,0.0142701,0.00892149,0.0128443,0.00927525,0.0398826,0.011335,0,0.0952321,0.0168016,0.0119209,0.0261827,0.0208841,0.0709489,0.0357938,0.0222124,0.00447186,0.0250213,0.0149352,0.00447403,0.026315,0,0,0.0278453,0,0.0351405,0.0138318,0.0376742,0.0255102,0.0188147,0.00380263,0.0122971,0.0409983,0.00446168,0.0110467,0.00363367,0.00580582,0.00945343,0.0184217,0.00734204,0.0145839,0.00887338,0.0288792,0.0190936,0.0117967,0.0241328,0.0150375,0,0,0,0,0,0,0,0,0.0244641,0.00836725
263,0.0108346,0.0177478,0,0,0,0,0,0,0.033504,0.0242669,0.00862909,0.00588224,0,0,0.0880342,0,0.0465237,0.0455953,0.040954,0.0139852,0.00929859,0.0125278,0.00694627,0.0413082,0.0116818,0,0.0955231,0.0169065,0.0116287,0.0262694,0.0189612,0.0718671,0.0358114,0.02224,0.0263908,0.0249268,0.0342161,0.00559248,0.025636,0,0,0.0284106,0,0.0352997,0.0141533,0.0353278,0.0385113,0.0202089,0.0163831,0.0101997,0.0401356,0.00865154,0.0121266,0.00272444,0.0129684,0.019909,0.030256,0.0226785,0.0249948,0.0222082,0.0290241,0.0190018,0.0117325,0.0236028,0.0148289,0,0,0,0,0,0,0,0,0.0240812,0.00828705
264,0.0103808,0.0182082,0,0,0,0,0,0,0.0337462,0.0242249,0.00874238,0.0060468,0,0,0.0881021,0,0.0464905,0.0459671,0.0409026,0.0143394,0.00889405,0.0128358,0.00932927,0.0400337,0.011362,0,0.0952563,0.016857,0.0121138,0.0261156,0.0206461,0.0720844,0.0357176,0.0224624,0.00470008,0.0249565,0.0149075,0.00405229,0.0254017,0,0,0.0279731,0,0.0353666,0.014024,0.0376631,0.0254846,0.0188643,0.00382604,0.0123388,0.0404501,0.00436465,0.0110127,0.00370038,0.00581496,0.00928524,0.018479,0.00717972,0.014573,0.00897947,0.0288206,0.0190614,0.0119121,0.0239294,0.0144499,0,0,0,0,0,0,0,0,0.0245193,0.00835761
265,0.0104398,0.0179545,0,0,0,0,0,0,0.0337074,0.0243686,0.00873178,0.0059171,0,0,0.0879503,0,0.0463384,0.0463192,0.040857,0.01436,0.00889882,0.0128217,0.00937244,0.039018,0.01132,0,0.0951771,0.0168799,0.0117617,0.0261131,0.0205068,0.0724279,0.03582,0.0226027,0.0045049,0.0251688,0.0150072,0.00390211,0.0250897,0,0,0.0286319,0,0.0356569,0.0142702,0.0377002,0.025608,0.018861,0.00391573,0.0123308,0.0401275,0.00436021,0.0110201,0.00377119,0.00583951,0.00927998,0.0184713,0.00732533,0.0146383,0.00908656,0.0288212,0.0144401,0.0107468,0.0235202,0.0143214,0,0,0,0,0,0,0,0,0.0244631,0.0083766
