Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75,REAR
654,0.0132077,0.0133311,0,0,0,0,0,0,0.032707,0.022928,0.00706624,0.00351687,0,0,0.0257839,0,0.0396766,0.00674145,0.0450704,0.0125829,0.00995169,0.0093121,0.00166185,0.0165993,0.00618486,0.0268769,0.00879015,0.0141391,0.0107015,0.00570588,0.0250649,0.0200331,0.0163162,0.0368491,0.00632887,0.00419143,0.0274861,0.00521997,0.00309394,0.0201964,0,0.0134359,0,0.0267889,0.0087617,0.0329591,0.00960235,0.0236092,0.00255566,0.00355851,0.0179505,0.00238017,0.0112923,0.00314155,0.00246594,0.00432341,0.0192301,0.0021134,0.0063087,0.0065366,0.0149146,0.0152199,0.00719633,0.0132831,0.016383,0,0,0,0,0,0,0,0,0,0
655,0.0131268,0.0131724,0,0,0,0,0,0,0.0325937,0.022966,0.00709899,0.00352499,0,0,0.0257302,0,0.0395833,0.00666509,0.0451173,0.0125303,0.00992506,0.0092883,0.00172959,0.0167131,0.00614504,0.0269444,0.00876877,0.0142312,0.0106508,0.00568471,0.0250506,0.0198342,0.0164422,0.0367098,0.00654627,0.00450421,0.027397,0.00543734,0.00313961,0.0201921,0,0.0135104,0,0.0269673,0.00866773,0.0329602,0.0100284,0.0236386,0.00242545,0.00358839,0.017511,0.00233539,0.0112424,0.00316731,0.00257236,0.00427042,0.0191768,0.00224075,0.00641922,0.00681433,0.01467,0.0157053,0.00745891,0.0131801,0.0163101,0,0,0,0,0,0,0,0,0,0
656,0.0130791,0.0126973,0,0,0,0,0,0,0.0326451,0.0230165,0.00717098,0.00353304,0,0,0.0254651,0,0.0394342,0.00667661,0.0451433,0.0124432,0.00989655,0.00926321,0.00175774,0.0165107,0.00600824,0.0269998,0.00873486,0.0143168,0.00989825,0.00569932,0.0250492,0.0196963,0.0164546,0.0365429,0.0067878,0.00459868,0.0272405,0.00555543,0.00323208,0.0206356,0,0.0137614,0,0.027212,0.00867421,0.0329208,0.0103064,0.0235919,0.00235409,0.0037513,0.0184421,0.00241153,0.0111434,0.00314138,0.00258301,0.00429549,0.0190493,0.00229045,0.00652116,0.00684266,0.0149507,0.015899,0.0077279,0.0123884,0.0162757,0,0,0,0,0,0,0,0,0,0
657,0.0130397,0.0125679,0,0,0,0,0,0,0.0328624,0.0230996,0.00724035,0.00346348,0,0,0.0253428,0,0.0392907,0.00675826,0.0451332,0.0124713,0.00987486,0.009223,0.0017787,0.0165846,0.00600691,0.0269118,0.00881965,0.0143572,0.0085425,0.00573237,0.0250457,0.0197985,0.0165112,0.0363611,0.00703492,0.00452485,0.0271611,0.0057456,0.00318475,0.0207957,0,0.0139285,0,0.0274332,0.00879759,0.0329273,0.0106123,0.0234987,0.00238008,0.00380535,0.0179865,0.00237422,0.0111698,0.00302433,0.00247294,0.00443048,0.0187462,0.00240428,0.00669121,0.00660646,0.0146483,0.0164275,0.00827202,0.0123673,0.0162351,0,0,0,0,0,0,0,0,0,0
658,0.0129963,0.0123756,0,0,0,0,0,0,0.0327764,0.0231622,0.00721582,0.00342062,0,0,0.0252098,0,0.039117,0.00679463,0.0451178,0.0125637,0.00982318,0.00937769,0.00177735,0.0166227,0.0060347,0.0268977,0.00880151,0.0143543,0.0087628,0.00569323,0.0250322,0.0198287,0.0165324,0.0361056,0.00728619,0.00438875,0.0270342,0.0059827,0.003281,0.02095,0,0.0141463,0,0.0276297,0.00893933,0.0329409,0.01103,0.0235115,0.00243248,0.00379321,0.0175018,0.00228622,0.0114181,0.00293628,0.00234405,0.00459438,0.0184902,0.00265193,0.00688033,0.00628696,0.0143267,0.0170029,0.00883286,0.0123617,0.0159979,0,0,0,0,0,0,0,0,0,0
659,0.0130548,0.012207,0,0,0,0,0,0,0.0325316,0.0231828,0.00715726,0.00341222,0,0,0.0251379,0,0.0390436,0.00679361,0.0451037,0.0128743,0.00977355,0.00963398,0.00173868,0.0166773,0.00595738,0.0268834,0.00879031,0.0143114,0.00942096,0.00566546,0.0250081,0.0196397,0.0165709,0.0359943,0.00744135,0.00440473,0.026915,0.00595291,0.00350844,0.021162,0,0.0144189,0,0.027881,0.00916626,0.0329359,0.0112778,0.0235889,0.00238026,0.00373886,0.0171734,0.00225248,0.0116905,0.0029599,0.00231546,0.00452281,0.0184239,0.00278576,0.00685398,0.0063295,0.0140928,0.0174332,0.00920459,0.0122822,0.0158126,0,0,0,0,0,0,0,0,0,0
660,0.0130423,0.012033,0,0,0,0,0,0,0.0324146,0.0232337,0.00710208,0.00336927,0,0,0.0250676,0,0.0390035,0.0068447,0.0450688,0.0129532,0.00974647,0.0096595,0.0016976,0.0167437,0.00577511,0.0268298,0.00878346,0.014335,0.00977308,0.00566485,0.0250047,0.0193883,0.0166537,0.0359383,0.00758487,0.00440256,0.0268137,0.00607037,0.003227,0.0212199,0,0.0147235,0,0.0281088,0.00943164,0.0329311,0.0114646,0.0235772,0.0024206,0.00369131,0.0167237,0.00217649,0.0117378,0.00290917,0.00224289,0.00460237,0.018182,0.00293153,0.00690837,0.00601277,0.0138206,0.0179482,0.00951847,0.0121541,0.0158988,0,0,0,0,0,0,0,0,0,0
661,0.0129224,0.0118263,0,0,0,0,0,0,0.0322952,0.0232866,0.0070698,0.00331977,0,0,0.0249891,0,0.0389934,0.00689113,0.0450448,0.0128862,0.00973982,0.00958138,0.00162717,0.01682,0.00570998,0.0267935,0.00876418,0.0143454,0.00977791,0.00562017,0.0249607,0.0190328,0.016799,0.0358702,0.00781224,0.004457,0.0267512,0.00610447,0.00324484,0.0211315,0,0.0150206,0,0.028268,0.00973044,0.0329757,0.0113715,0.0235761,0.00240843,0.00361038,0.0160781,0.00211325,0.0116731,0.00281112,0.00220326,0.00460121,0.0179949,0.00299347,0.00684896,0.00572742,0.0134894,0.0185193,0.00980934,0.0120171,0.0158396,0,0,0,0,0,0,0,0,0,0
662,0.0129411,0.0117061,0,0,0,0,0,0,0.032135,0.0233332,0.00715455,0.00325062,0,0,0.0249983,0,0.0388779,0.0069523,0.0450197,0.012996,0.00974063,0.00949573,0.00154709,0.0169637,0.00572767,0.0268171,0.00876142,0.0143046,0.00969145,0.00561259,0.024835,0.0187405,0.0170169,0.0357673,0.0080646,0.00442862,0.0266157,0.00607273,0.00323088,0.0211426,0,0.0153118,0,0.0283622,0.0100024,0.0329925,0.0114148,0.023562,0.00236683,0.00351907,0.0155762,0.00208031,0.0116217,0.00272555,0.0022111,0.00456103,0.0179539,0.00298893,0.00678204,0.00562516,0.0133394,0.0190155,0.0100517,0.0119662,0.0157422,0,0,0,0,0,0,0,0,0,0
663,0.0129991,0.0116281,0,0,0,0,0,0,0.0319975,0.0233506,0.00719652,0.0032011,0,0,0.0250045,0,0.0387211,0.00698848,0.0450366,0.0130963,0.00974862,0.00927874,0.00151822,0.0171399,0.00578172,0.0268494,0.00873218,0.0140631,0.00957544,0.00559705,0.0247572,0.0185945,0.0172896,0.0356031,0.00833693,0.00434427,0.0265856,0.00603649,0.00297759,0.0211916,0,0.0155718,0,0.0285588,0.0101467,0.0330058,0.0114477,0.0235189,0.00235271,0.00347753,0.0150994,0.00213236,0.0115847,0.00269727,0.00223137,0.00454317,0.0179575,0.00299419,0.00673385,0.00559045,0.0132946,0.0194348,0.0103065,0.0119966,0.0156259,0,0,0,0,0,0,0,0,0,0
