Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,
199,0.022873,0.0101958,0,0,0,0,0,0,0.0261355,0.0264321,0.0122824,0.0066759,0,0,0.0288122,0,0.0517252,0.0155827,0.0417808,0.0186614,0.00614998,0.0208379,0.00952123,0.0136965,0.0113646,0.105953,0.0186209,0.0249564,0.0176612,0.0107351,0.0125052,0.0272308,0.013025,0.0213648,0.0471204,0.0138252,0.024678,0.0296243,0.0340229,0.00621868,0.0269356,0,0,0.0295232,0,0.025628,0.0186841,0.0329133,0.0416083,0.0206499,0.0156066,0.011451,0.0285043,0.00769442,0.0133425,0.00543731,0.0133295,0.0197038,0.0287659,0.0215745,0.0262409,0.01802,0.033581,0.0132898,0.0187282,0.0125181,0.026623,0,0,0,0,0,0,0
200,0.0228696,0.0105497,0,0,0,0,0,0,0.0265203,0.0264332,0.0121744,0.0067495,0,0,0.0286832,0,0.0516515,0.0154332,0.0415834,0.0182269,0.00616807,0.020699,0.00981701,0.0137319,0.0115156,0.106039,0.0186129,0.0251461,0.0177194,0.0108003,0.0124632,0.0272027,0.0138864,0.0213712,0.0470377,0.0137521,0.0248428,0.029557,0.034059,0.00613024,0.0268262,0,0,0.0291083,0,0.0256065,0.0185039,0.0330452,0.0415895,0.0207558,0.0156071,0.0118294,0.0283619,0.00756202,0.0132624,0.00539235,0.0133392,0.0196971,0.0289026,0.0216253,0.0262314,0.0182721,0.0334098,0.0131336,0.0187025,0.0130615,0.0266579,0,0,0,0,0,0,0
201,0.0227701,0.0111223,0,0,0,0,0,0,0,0.0263991,0.0107071,0.00666404,0,0,0.0285451,0,0.0515954,0.0152276,0.0413101,0.0158044,0.00588493,0.020706,0.0100897,0.0138944,0.0119124,0.106252,0.018726,0.0249843,0.0182945,0.0118254,0,0.0268675,0.0144859,0.0208076,0.0469322,0.0136495,0.02503,0.0295297,0.0341377,0.00601562,0.0264712,0,0,0.0288104,0,0.0256013,0.0184715,0.0331698,0.0416871,0.02074,0.0155376,0.0121335,0.0280314,0.00726906,0.0132878,0.00532649,0.0131605,0.0197178,0.0290599,0.0216929,0.0261965,0.0184293,0.0331262,0.0129484,0.0184572,0.0137542,0.0267506,0,0,0,0,0,0,0
202,0.022314,0.0111009,0,0,0,0,0,0,0.0272418,0.0263327,0.0123852,0.00678759,0,0,0.0286345,0,0.0514298,0.0151742,0.0413444,0.0194344,0.00604736,0.0215776,0.0102464,0.01375,0.0119288,0.106622,0.0193061,0.0247052,0.0180396,0.0116862,0,0.027248,0.0137753,0.0203747,0.0467821,0.0134847,0.0249833,0.0294778,0.0341281,0.00597092,0.0261957,0,0,0.0283739,0,0.0255425,0.0184455,0.0332,0.0417474,0.0206954,0.0154839,0.0123498,0.0280349,0.00715532,0.0132267,0.00533535,0.0131836,0.0196733,0.0290987,0.021669,0.026102,0.0182742,0.0330113,0.0127654,0.018222,0.0139727,0.0264371,0,0,0,0,0,0,0
203,0.0230505,0.0138197,0,0,0,0,0,0,0.0279345,0.0261145,0.0120114,0.00727852,0,0,0.0292519,0,0.0513063,0.014999,0.0414759,0.0190685,0.00605328,0.0207684,0.0123454,0.0155337,0.0113849,0.105946,0.0186059,0.0255276,0.0175542,0.0112503,0.0127689,0.0271541,0.015194,0.0194471,0.0466687,0.0130738,0.00437003,0.029423,0.0109169,0.00532647,0.0261491,0,0,0.0282962,0,0.0253527,0.0183041,0.0348942,0.0170705,0.0195271,0.00591049,0.0143572,0.0272361,0.00538592,0.0140469,0.00277902,0.00572835,0.00904782,0.0196001,0.00656691,0.0119468,0.00722377,0.0324267,0.012717,0.0180205,0.0168393,0.0275529,0,0,0,0,0,0,0
204,0.0213431,0.0091049,0,0,0,0,0,0,0,0.0260807,0.0101313,0.00720519,0,0,0.029844,0,0.050849,0.0154776,0.0413278,0.0155681,0.00592739,0.0197231,0.0122855,0.013018,0.0114865,0.105612,0.0179169,0.0256594,0.0177443,0.0116665,0.0124165,0.0267662,0.0164734,0.0225322,0.0463437,0.0125132,0.00425666,0.0294137,0.0107799,0.00521417,0.0256386,0,0,0.027403,0,0.0252582,0.0178409,0.0349898,0.0169355,0.0193859,0.00599968,0.01428,0.0288236,0.00546017,0.0141049,0.00284089,0.00595205,0.00912187,0.0196647,0.00653564,0.0120284,0.00734459,0.0330436,0.0120501,0.0180747,0.0121632,0.0246257,0,0,0,0,0,0,0
205,0.022282,0.0134101,0,0,0,0,0,0,0.0284589,0.0260954,0.0118236,0.00720444,0,0,0.0288467,0,0.0509565,0.0145699,0.041283,0.0184158,0.00619622,0.0207295,0.0109403,0.0147681,0.0119689,0.106331,0.0186902,0.0248996,0.0178529,0,0.0109596,0.027186,0.0157676,0.0183749,0.0462564,0.0128073,0.0250686,0.0293558,0.0345643,0.00603354,0.0257332,0,0,0.0271754,0,0.0254262,0.0176849,0.0333531,0.0422206,0.0207126,0.0155117,0.0130547,0.0268868,0.00734516,0.0130714,0.00536572,0.0131109,0.0196274,0.0292497,0.0218063,0.026146,0.0184453,0.0316206,0.0122396,0.0179398,0.0164525,0.0272293,0,0,0,0,0,0,0
206,0.0216694,0.0123119,0,0,0,0,0,0,0,0.0259855,0.0103328,0.0072857,0,0,0.0290375,0,0.0506673,0.0144376,0.0412426,0.0155722,0.00619232,0.0192684,0.0111151,0.0137326,0.0116943,0.105639,0.0176128,0.025174,0.017871,0.011629,0.0126016,0.0268909,0.0166172,0.0188308,0.0459757,0.012353,0.0252878,0.0295519,0.0346173,0.00599879,0.0256699,0,0,0.0266381,0,0.0256339,0.0172169,0.0334464,0.0422626,0.020625,0.0154524,0.013184,0.0274629,0.00741552,0.0130118,0.00528026,0.0131332,0.0194813,0.0292922,0.0217808,0.0260759,0.0186876,0.0314115,0.0121747,0.0175911,0.0155588,0.0265159,0,0,0,0,0,0,0
207,0.0212149,0.0118885,0,0,0,0,0,0,0.0261265,0.0258763,0.0122404,0.00745855,0,0,0.0288672,0,0.0504687,0.0141428,0.0414091,0.019386,0.00637967,0.0203361,0.0113538,0.0132815,0.0114356,0.105826,0.0181647,0.0249931,0.0178194,0.0115758,0.0133291,0.0273012,0.0154401,0.0188383,0.0457239,0.0119401,0.0256046,0.0297743,0.0345813,0.00601156,0.025455,0,0,0.0259671,0,0.0259271,0.0167403,0.0334471,0.0422436,0.0205862,0.015339,0.0134213,0.027386,0.00727368,0.0128959,0.00520185,0.0129753,0.0193159,0.029304,0.021761,0.0259388,0.0187613,0.0306895,0.0120972,0.017316,0.0151586,0.0258659,0,0,0,0,0,0,0
208,0.0213031,0.0122998,0,0,0,0,0,0,0.0259293,0.0256747,0.0133015,0.00745946,0,0,0.0293353,0,0.0501645,0.0139989,0.041671,0.0206022,0.00592981,0.0218215,0.0134684,0.0136123,0.0113104,0.106179,0.0189644,0.0250578,0,0.0129747,0.0143044,0.0271333,0.0184284,0.0193018,0.0454263,0.0113076,0.00474558,0.0296097,0.0102265,0.00526572,0.0253984,0,0,0.0250615,0,0.025509,0.0159756,0.0350575,0.0162042,0.019313,0.00626292,0.0153141,0.0273919,0.00584483,0.0138604,0.00282275,0.00620601,0.00926186,0.0196982,0.00642826,0.0120453,0.00768617,0.0301094,0.0111016,0.0166844,0.0156568,0.0255497,0,0,0,0,0,0,0
209,0.0209023,0.0117631,0,0,0,0,0,0,0.0271025,0.0256624,0.0127752,0.00757046,0,0,0.0286303,0,0.0500775,0.0136477,0.0414604,0.0198195,0.00635495,0.0204402,0.0119451,0.0132565,0.0110719,0.105708,0.0181039,0.0249628,0.0179358,0.0121134,0.013583,0.0273468,0.0160753,0.0185896,0.0453089,0.0113687,0.0256315,0.0292048,0.0344328,0.00608513,0.0255358,0,0,0.0239086,0,0.0251131,0.0152892,0.0335518,0.0418737,0.020489,0.0151237,0.0141322,0.02732,0.00695628,0.0128408,0.00508112,0.0122769,0.0192368,0.0293247,0.021609,0.025494,0.0193094,0.029473,0.0102174,0.0164028,0.0151826,0.0252332,0,0,0,0,0,0,0
210,0.021896,0.0134262,0,0,0,0,0,0,0,0.025463,0.0111291,0.00768959,0,0,0.0294839,0,0.0498527,0.0136505,0.0414974,0.0160809,0.005973,0.0197876,0.0140949,0.0149072,0.0108012,0.105249,0.0175378,0.0255257,0.0180645,0.0130334,0.0143468,0.0269159,0.0197624,0.0184399,0.0450958,0.0109693,0.0046976,0.0293525,0.0102575,0.00541428,0.0262449,0,0,0.0232202,0,0.0252067,0.0145266,0.0353914,0.0163999,0.0190628,0.00647398,0.0161791,0.0281703,0.00629595,0.0137656,0.0030106,0.00678662,0.00913261,0.0195512,0.00651166,0.0122628,0.00836552,0.0296275,0.00961893,0.0155969,0.0174022,0.0261932,0,0,0,0,0,0,0
211,0.0218629,0.0127879,0,0,0,0,0,0,0.0270957,0.025387,0.0132114,0.0077596,0,0,0.0295633,0,0.0496936,0.0136919,0.0416119,0.0202036,0.00604181,0.0211837,0.0143439,0.0146467,0.0105281,0.105523,0.0182845,0.0252371,0.0182173,0.0129609,0.0138406,0.0273943,0.0178386,0.0181825,0.0448483,0.0106408,0.00479978,0.0294007,0.0102665,0.00541628,0.0263421,0,0,0.0223122,0,0.0253448,0.0139864,0.0354676,0.0164484,0.0190012,0.00653518,0.0164727,0.029102,0.00643049,0.0137004,0.00311529,0.00684592,0.00916431,0.019521,0.00654115,0.0122988,0.00848057,0.0298124,0.00918015,0.0150483,0.0173433,0.0256686,0,0,0,0,0,0,0
212,0.0220798,0.0129044,0,0,0,0,0,0,0.0264487,0.0253073,0.0132146,0.00773813,0,0,0.0296725,0,0.0495426,0.0136808,0.0415407,0.0203445,0.00594304,0.0212115,0.0146367,0.0148908,0.0103928,0.105436,0.0182106,0.0252903,0.0184143,0.0129869,0.0140318,0.0274536,0.0179384,0.017783,0.0446425,0.0103183,0.00506485,0.0293052,0.0101931,0.00540774,0.0263182,0,0,0.0215746,0,0.0253418,0.0137281,0.0355197,0.0164469,0.0189667,0.00652106,0.0167116,0.0295237,0.00602927,0.0136718,0.00315494,0.0067461,0.00917917,0.0195518,0.00649393,0.0122956,0.00859027,0.0297577,0.00862439,0.0146608,0.0178099,0.025576,0,0,0,0,0,0,0
213,0.0222528,0.0130925,0,0,0,0,0,0,0.0261316,0.0252089,0.0133129,0.00776487,0,0,0.029809,0,0.0493481,0.0136379,0.0414546,0.0205977,0.00586097,0.0212744,0.0149353,0.0150234,0.0102597,0.105371,0.0181394,0.025411,0.0185703,0.0129774,0.014227,0.0275247,0.0181981,0.0176539,0.0444632,0.00992858,0.00536584,0.0291777,0.0100889,0.00541667,0.0266053,0,0,0.020835,0,0.0252439,0.0135613,0.0355326,0.0164188,0.0189671,0.0064825,0.0169774,0.0298746,0.00500904,0.0136401,0.00317103,0.00670171,0.00920706,0.0195855,0.00636944,0.012271,0.00871912,0.0296255,0.00771363,0.0143372,0.018208,0.0255111,0,0,0,0,0,0,0
