Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x74,,LTIB,x73
1141,0.0592099,0.052516,0,0,0,0,0,0,0.106788,0.0207845,0.00174627,0,0,0.0505467,0,0.0450074,0.0269431,0.0436636,0.0114783,0.00705795,0.00238618,0.00295297,0.0814489,0.00426411,0.0299375,0.00297831,0,0.00621847,0.0223933,0.0157467,0.0382752,0.0425366,0.00724324,0.00491907,0.0256277,0.0124258,0.00302846,0.0333547,0,0,0.0133724,0,0.0269466,0.00661727,0.0358501,0.0203329,0.0220434,0.00462216,0.00508832,0.0434595,0.00278287,0.0111433,0.00349622,0.00317071,0.00781059,0.0179223,0.00683957,0.0122137,0.00638895,0.027758,0.00358888,0.00415241,0.0616132,0.0573213,0,0,0,0,0,0,0,0,0.0505258,0
1142,0.0583181,0.0517029,0,0,0,0,0,0,0.10668,0.0208029,0.00171023,0,0,0.0503618,0,0.0450723,0.0268399,0.0436985,0.0116162,0.00712892,0.00223654,0.00290154,0.0804586,0.00417297,0.0300046,0.00307221,0,0.00629885,0.0224169,0.0156903,0.0379163,0.0426406,0.00720197,0.00489335,0.0255641,0.0124254,0.00302255,0.0330051,0,0,0.0131413,0,0.0270089,0.00653722,0.0357922,0.0203282,0.0220064,0.00462867,0.00507274,0.0433463,0.00267434,0.0111638,0.00350007,0.00312202,0.00783033,0.0179076,0.00685258,0.0122379,0.00577096,0.0277049,0.00366816,0.00440082,0.0608953,0.0566536,0,0,0,0,0,0,0,0,0.0510202,0
1143,0.0572438,0.0507415,0,0,0,0,0,0,0.106613,0.0212588,0.00170739,0,0,0.0503927,0,0.0443825,0.0269608,0.0436555,0.0116352,0.00722548,0.00213724,0.00270404,0.079236,0.00418602,0.0299315,0.0031531,0,0.00638247,0.0225002,0.0157526,0.0376905,0.0421951,0.00774074,0.00485385,0.0255065,0.0123266,0.00306647,0.0326479,0,0,0.0129455,0,0.0271097,0.00653173,0.0357432,0.0201497,0.0219772,0.00458218,0.00490474,0.0432205,0.00261776,0.0112486,0.00343134,0.00304842,0.00779628,0.0178552,0.00682057,0.0121459,0.0047394,0.0275508,0.00322357,0.00466725,0.060011,0.0557618,0,0,0,0,0,0,0,0,0.0512754,0
1144,0.0575222,0.0519867,0,0,0,0,0,0,0.106691,0.0217899,0.00207404,0,0,0.0520914,0,0.0439051,0.0277545,0.0435341,0.0115194,0.00709297,0.00207329,0.00312175,0.0796094,0.00421747,0.0297666,0.00300662,0,0.00652225,0.0226554,0.0160185,0.037422,0.0416675,0.00840775,0.0046412,0.0254104,0.0122981,0.00311491,0.0325243,0,0,0.0134522,0,0.0272236,0.00671076,0.0357232,0.0200706,0.0218259,0.0045673,0.00541361,0.044217,0.00275658,0.0114498,0.00332941,0.00310254,0.00787228,0.0177503,0.00686106,0.0122071,0.00435977,0.0280703,0.00334944,0.0048681,0.0614784,0.0562364,0,0,0,0,0,0,0,0,0.0514616,0
1145,0.0562092,0.0509763,0,0,0,0,0,0,0.106753,0.0220372,0.00215023,0,0,0.0519644,0,0.0436248,0.0276671,0.043455,0.0116546,0.00709101,0.00206539,0.00298865,0.0779975,0.00428415,0.0296589,0.00281949,0,0.00658705,0.0226999,0.0161354,0.0369818,0.041535,0.00848978,0.00418857,0.0253752,0.0121889,0.00280986,0.0322057,0,0,0.0133221,0,0.0273473,0.00655454,0.035746,0.0197854,0.0218395,0.00459557,0.00531609,0.044463,0.00278716,0.011642,0.00320497,0.00307324,0.00782795,0.017661,0.00687784,0.0121008,0.00397152,0.0280245,0.00383067,0.0051303,0.0606325,0.0552746,0,0,0,0,0,0,0,0,0.0515155,0
1146,0.0551742,0.0504486,0,0,0,0,0,0,0.106809,0.0218889,0.00217422,0,0,0.052152,0,0.0437318,0.0275733,0.0433819,0.0118988,0.0069938,0.0019677,0.00318573,0.0768012,0.00432106,0.029641,0.00290694,0,0.00666567,0.0226846,0.0160592,0.0364939,0.0415818,0.00840867,0.00381082,0.0253326,0.0120706,0.00239153,0.0318401,0,0,0.0132951,0,0.027445,0.00635017,0.0357562,0.01953,0.0218005,0.0046747,0.00552432,0.0448945,0.00279408,0.0118201,0.00305764,0.00305863,0.00777927,0.0175746,0.00688864,0.0119983,0.00365847,0.0281822,0.00487035,0.0054039,0.0602873,0.0545994,0,0,0,0,0,0,0,0,0.0515107,0
1147,0.0540803,0.0496829,0,0,0,0,0,0,0.106549,0.0217534,0.00216176,0,0,0.05189,0,0.0437616,0.02735,0.0433575,0.0121196,0.00693077,0.00209936,0.00336392,0.0756115,0.00429075,0.029776,0.00291459,0,0.00658857,0.0226269,0.0165465,0.0360501,0.0417662,0.00867771,0.00415833,0.0253213,0.0119686,0.00286896,0.0308449,0,0,0.0129367,0,0.0275036,0.00609635,0.0357742,0.0194246,0.0216698,0.00468975,0.00566656,0.0441029,0.00270706,0.0119495,0.00297651,0.00303956,0.00766756,0.0175601,0.00681085,0.0119725,0.00375839,0.0277376,0.00556,0.00575119,0.0594055,0.0534861,0,0,0,0,0,0,0,0,0.0514776,0
1148,0.053028,0.0490691,0,0,0,0,0,0,0.106428,0.0219942,0.00220636,0,0,0.0519166,0,0.0434653,0.0274369,0.0433898,0.0123184,0.00685256,0.0022851,0.00357707,0.0744165,0.00432934,0.0298173,0.00316023,0,0.00653064,0.0225868,0.0171714,0.0354958,0.0416284,0.00904261,0.0043425,0.0252688,0.011966,0.00328468,0.0300779,0,0,0.0126858,0,0.0275567,0.00595945,0.0357788,0.0194015,0.0215002,0.0047085,0.00589066,0.0438179,0.00266539,0.0119725,0.0030184,0.00305243,0.00756788,0.0175559,0.00675531,0.0119825,0.00375324,0.027596,0.00619603,0.00605531,0.0587851,0.0525016,0,0,0,0,0,0,0,0,0.0512546,0
1149,0.0518709,0.0483836,0,0,0,0,0,0,0.106395,0.022207,0.00223703,0,0,0.05193,0,0.0434565,0.0274569,0.0434614,0.0124826,0.00679123,0.00239582,0.00374283,0.0730693,0.00437067,0.0298069,0.00357385,0,0.00647423,0.0225535,0.0177428,0.0349046,0.0415864,0.00923764,0.00441174,0.0252199,0.0119617,0.00331011,0.0294423,0,0,0.0125815,0,0.0276637,0.00596625,0.035789,0.0193615,0.0213595,0.00474236,0.00603481,0.0437554,0.00259792,0.011889,0.0030912,0.00306797,0.00746427,0.0175614,0.00670496,0.0119478,0.00373847,0.0275739,0.00652221,0.00632587,0.0581339,0.0515705,0,0,0,0,0,0,0,0,0.0509281,0
1150,0.0506737,0.0476186,0,0,0,0,0,0,0.106206,0.0220768,0.0022709,0,0,0.0517563,0,0.0437048,0.027257,0.0434725,0.0127582,0.00672814,0.00246283,0.00385178,0.0716388,0.00438211,0.029827,0.00366908,0,0.00642635,0.0224509,0.017773,0.0342966,0.0417623,0.00916429,0.00448664,0.025207,0.0119383,0.002728,0.0287251,0,0,0.0124817,0,0.0277962,0.00598232,0.0358175,0.0193521,0.0212971,0.00476916,0.00615164,0.0435568,0.00260949,0.0118682,0.00314684,0.00311199,0.00744649,0.0175454,0.00669683,0.0119517,0.00382543,0.0275004,0.00665846,0.00660364,0.0573888,0.0505386,0,0,0,0,0,0,0,0,0.051255,0
1151,0.0495451,0.0468367,0,0,0,0,0,0,0.10588,0.0220083,0.00229452,0,0,0.0516785,0,0.043692,0.0270781,0.043486,0.0131456,0.00668108,0.00250133,0.00394335,0.0702795,0.00435352,0.0299267,0.00345175,0,0.00645943,0.0223109,0.0170803,0.0338069,0.0418518,0.00915808,0.00450775,0.0252371,0.0118862,0.00186017,0.0280663,0,0,0.0122802,0,0.0279622,0.00589139,0.0357836,0.0192975,0.0212648,0.00478073,0.00626499,0.0433193,0.00261489,0.0119131,0.00315595,0.00309628,0.0074144,0.017536,0.00669027,0.0119281,0.00379651,0.0274299,0.00712201,0.00686764,0.0566023,0.0495578,0,0,0,0,0,0,0,0,0.0513985,0
1152,0.0484408,0.0460016,0,0,0,0,0,0,0.105705,0.0221526,0.002267,0,0,0.0516996,0,0.0434429,0.0270218,0.0435137,0.013129,0.00669705,0.00252362,0.00406304,0.0689038,0.00435782,0.0299211,0.00319883,0,0.00651593,0.0223909,0.0171761,0.0334577,0.0417881,0.00930974,0.00445491,0.0252166,0.0118482,0.00201568,0.0274952,0,0,0.0121103,0,0.0280822,0.00581698,0.0357063,0.0192648,0.0213094,0.00477993,0.00639686,0.043069,0.00254266,0.0120785,0.00312175,0.00302766,0.00737107,0.0175435,0.00667627,0.0118894,0.00375191,0.0273308,0.00761917,0.00716585,0.0557644,0.0486266,0,0,0,0,0,0,0,0,0.0512387,0
1153,0.0473797,0.04586,0,0,0,0,0,0,0.105656,0.0222823,0.00227874,0,0,0.0523317,0,0.0433228,0.0271055,0.043445,0.0132422,0.0065481,0.00258283,0.0044207,0.0675902,0.00433504,0.0299791,0.00291858,0,0.00658964,0.0224445,0.0174364,0.0329767,0.0414889,0.00912143,0.00441145,0.025038,0.0117449,0.00245798,0.0276426,0,0,0.0125068,0,0.028198,0.00585642,0.0357034,0.0192019,0.0213039,0.00475239,0.00676258,0.0446523,0.00248778,0.012329,0.00298822,0.0029825,0.00733625,0.0175617,0.00665333,0.0118675,0.0037441,0.0281939,0.0080548,0.00735051,0.0560354,0.0481753,0,0,0,0,0,0,0,0,0.0506087,0
1154,0.0461952,0.0450415,0,0,0,0,0,0,0.105635,0.0222332,0.00227906,0,0,0.052229,0,0.0434686,0.0268067,0.0433915,0.0133652,0.00650631,0.00254049,0.00452538,0.0660206,0.0042586,0.0300625,0.0027995,0,0.0066601,0.0224474,0.0172976,0.0325919,0.0415954,0.00905544,0.00446593,0.0249873,0.0116644,0.00239501,0.0269804,0,0,0.0122969,0,0.0282947,0.00577008,0.0357494,0.0191716,0.0212691,0.00475704,0.00687845,0.0443417,0.00246871,0.0124116,0.00290857,0.00296548,0.00735226,0.0175515,0.00666643,0.0118589,0.00380171,0.028057,0.00839752,0.00769605,0.0551946,0.0471472,0,0,0,0,0,0,0,0,0.0503223,0
1155,0.0450349,0.0441993,0,0,0,0,0,0,0.105675,0.0221903,0.00228214,0,0,0.0521758,0,0.0435641,0.0266645,0.0433713,0.013422,0.00647923,0.00250125,0.00462005,0.0644763,0.00417192,0.0301263,0.00275716,0,0.00672572,0.022455,0.0169956,0.0322818,0.041682,0.00909522,0.00454407,0.0250056,0.0116779,0.00242156,0.0264289,0,0,0.0121206,0,0.028471,0.00569975,0.0357856,0.0192469,0.0212223,0.004841,0.0069805,0.0440617,0.0024499,0.0123906,0.00293887,0.00295646,0.00740267,0.0175518,0.00670897,0.0118547,0.00382881,0.0279511,0.00862951,0.00801549,0.0543556,0.0461731,0,0,0,0,0,0,0,0,0.0503176,0
