Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58
9,0.0125013,0.076026,0.0271187,0,0.0159906,0.06605,0.0412739,0,0.0442942,0.0598141,0.0454414,0.0286222,0.0147324,0.0331755,0.0528071,0.0487536,0.0738692,0.0670121,0.0332486,0.0651523,0.068206,0.0395542,0.0442764,0.0494079,0.0194739,0.011734,0.020558,0.0141614,0,0.0280765,0.0693932,0.036213,0.0324965,0,0.0348287,0.0749183,0.00763034,0.0348602,0.0287181,0.0349044,0.0616159,0.0246365,0.0266767,0.0462635,0.0459292,0.0290874,0.0265669,0.0153041,0.0394001,0.0242432,0.0295237,0.0123725,0.0254126,0.078871,0.0459711,0,0,0,0
10,0.0122508,0.0760638,0.0259391,0,0.0161872,0.0670829,0.0411041,0,0.0442752,0.0595684,0.0421913,0.0292714,0.0145071,0.0329167,0.0526266,0.0485384,0.073693,0.0670379,0.0336496,0.0648679,0.0681538,0.0399849,0.043722,0.0412248,0.0195341,0.0118974,0.0203862,0.0148173,0,0.0281997,0.0693908,0.0361689,0.0323319,0,0.0347552,0.0750185,0.00779114,0.0349058,0.0288877,0.0350667,0.0612099,0.025105,0.0262767,0.0460648,0.0461024,0.0290153,0.0265138,0.0152756,0.0394946,0.0234754,0.0296489,0.012364,0.0252325,0.0789034,0.0457552,0,0,0,0
11,0.0119908,0.0760287,0.026157,0,0.0165864,0.0681293,0.0409321,0,0.044185,0.0592891,0.0390374,0.0300078,0.0146379,0.0325994,0.0524969,0.0483361,0.0730454,0.0670368,0.0341469,0.0642647,0.0680933,0.0402757,0.042972,0.0330798,0.0196065,0.0118298,0.0204043,0.0155137,0,0.0283218,0.0691997,0.0361201,0.0320899,0,0.0346239,0.0752334,0.00796393,0.034941,0.029077,0.0352034,0.0607982,0.0255521,0.0258824,0.0458773,0.0462721,0.0291127,0.0263834,0.0152588,0.0396334,0.0227498,0.0297708,0.0123498,0.0250631,0.0788732,0.0455275,0,0,0,0
12,0.0117003,0.0759215,0.0278018,0,0.0172355,0.0695788,0.0407628,0,0.0440165,0.0589039,0.0361352,0.0309095,0.0150812,0.0322567,0.0523372,0.0479384,0.0721334,0.0670439,0.0346916,0.0636443,0.0677834,0.04051,0.0419822,0.0252222,0.0196819,0.0114888,0.0206524,0.0162616,0,0.0284185,0.0689637,0.0360607,0.031825,0,0.0344911,0.0755659,0.00813395,0.0349167,0.0292924,0.0354153,0.0602903,0.0259055,0.0254913,0.0456787,0.046413,0.0292855,0.0262348,0.0152426,0.0396768,0.021979,0.0298949,0.0123134,0.0248684,0.0790003,0.0452889,0,0,0,0
13,0.0113856,0.0758473,0.0302462,0,0.0181049,0.071477,0.040618,0,0.0438695,0.0583337,0.033542,0.0318986,0.0160268,0.0319089,0.0521486,0.0473957,0.0708065,0.0669831,0.0352033,0.0630051,0.0672201,0.040639,0.0409576,0.0180655,0.0197456,0.0114105,0.0206415,0.0169844,0,0.0285522,0.0686282,0.0359774,0.0314623,0,0.0343331,0.0760258,0.00820378,0.0350043,0.0296326,0.0357453,0.0596457,0.0262913,0.0250628,0.0454432,0.0465339,0.0294599,0.0261204,0.0152158,0.0396944,0.021197,0.0300653,0.0122374,0.0246819,0.0793851,0.0450603,0,0,0,0
14,0.0111203,0.0758172,0.03274,0,0.0189276,0.073263,0.0404927,0,0.0438839,0.0576813,0.0313514,0.0327757,0.0172599,0.0316066,0.0519894,0.046795,0.0693477,0.0669011,0.035481,0.0624857,0.066672,0.0405791,0.0400948,0.012422,0.0198082,0.0116865,0.0204017,0.0176455,0,0.0287541,0.06826,0.0358727,0.0310063,0,0.0341633,0.076492,0.00816506,0.0351479,0.0300011,0.035989,0.0590298,0.0267363,0.0246551,0.0451659,0.0465994,0.029557,0.0259804,0.0152603,0.0397382,0.0204719,0.0302484,0.0120946,0.0245164,0.0796245,0.0448652,0,0,0,0
15,0.0109716,0.0757825,0.0349334,0,0.0195744,0.0745274,0.0404485,0,0.0438006,0.0570855,0.0297195,0.0334419,0.0185792,0.031325,0.0519899,0.0463831,0.0680415,0.0669397,0.0356291,0.0620741,0.066334,0.0406276,0.0392873,0.00856289,0.0198634,0.0116432,0.0203696,0.0182207,0,0.0287497,0.0680263,0.0357732,0.030601,0,0.0340238,0.0769804,0.00806672,0.0351458,0.0302901,0.0361754,0.05848,0.0270774,0.0243746,0.0448735,0.0465751,0.0296022,0.025898,0.015274,0.0397183,0.019821,0.030394,0.0120162,0.0243914,0.0794892,0.0447951,0,0,0,0
16,0.0109317,0.0757477,0.0364521,0,0.02012,0.0752614,0.0403883,0,0.043563,0.056642,0.0288307,0.0339499,0.0199519,0.0310558,0.0520395,0.0461026,0.0671436,0.0669719,0.0357156,0.0617393,0.0661871,0.040765,0.0386288,0.00646811,0.019955,0.0112554,0.0205924,0.0187391,0,0.028632,0.0678703,0.0357003,0.0302964,0,0.0338909,0.0775835,0.00783952,0.0352482,0.0304957,0.0364364,0.0579577,0.0272467,0.0240814,0.044564,0.0465185,0.0296351,0.0258794,0.0152242,0.0396568,0.0192904,0.0304885,0.0119026,0.0242892,0.0792963,0.0448572,0,0,0,0
17,0.0109659,0.0759052,0.0374333,0,0.0205241,0.0756431,0.0403856,0,0.0437688,0.0563437,0.0285673,0.034247,0.0210421,0.0307597,0.052133,0.0458289,0.0666003,0.0670235,0.0358007,0.0615678,0.0660654,0.0407262,0.0382224,0.00561712,0.0200378,0.0117179,0.0203554,0.0191762,0,0.0284097,0.0677396,0.0356177,0.0299962,0,0.0337548,0.0782661,0.00751522,0.0354029,0.0306238,0.036724,0.0575086,0.0273217,0.0238206,0.0443798,0.0464503,0.0295583,0.025898,0.0151445,0.039536,0.0188887,0.0306337,0.0117989,0.0242078,0.0792126,0.0450481,0,0,0,0
18,0.0110492,0.0762082,0.0389181,0,0.0199669,0.0758936,0.040322,0,0.0438326,0.0561859,0.0296942,0.0344592,0.0215924,0.0304976,0.0521891,0.0457188,0.0664086,0.0669511,0.0359737,0.0614082,0.06605,0.0402434,0.0374914,0.00685775,0.0201325,0.0119777,0.0202208,0.0194832,0,0.028131,0.0676901,0.0355585,0.0296379,0,0.0336292,0.0786245,0.00713136,0.0354518,0.0307333,0.0370159,0.0570624,0.0272899,0.0236864,0.0442235,0.0463274,0.0293516,0.0258485,0.0149942,0.0393447,0.0186653,0.0307619,0.0117382,0.0241274,0.0790819,0.0453294,0,0,0,0
19,0.0112193,0.0763579,0.0382341,0,0.0206351,0.0758571,0.040207,0,0.0437631,0.0561066,0.0287567,0.0344662,0.0217558,0.0303184,0.0523043,0.0458384,0.0664523,0.0668253,0.0361315,0.0616408,0.0659464,0.0405955,0.0380933,0.00535792,0.0202464,0.0117685,0.0204361,0.0197161,0,0.027852,0.0676732,0.0355183,0.0293409,0,0.0335617,0.0787654,0.00671665,0.0354666,0.0307671,0.037339,0.0566995,0.0272299,0.0236857,0.0440842,0.0462044,0.029112,0.0258299,0.0148006,0.0390811,0.0185837,0.0308506,0.0116902,0.0240635,0.0788956,0.0456927,0,0,0,0
20,0.0114156,0.0763801,0.0373315,0,0.0204887,0.0755033,0.0400662,0,0.0435086,0.0562073,0.0288686,0.0343089,0.021495,0.0304096,0.0524417,0.0460824,0.0665096,0.0666978,0.0361817,0.0615926,0.0659707,0.0405523,0.038184,0.0056057,0.0204014,0.0111913,0.0208812,0.0179761,0,0.0280266,0.0679699,0.0354544,0.0290821,0,0.0334534,0.0789691,0.00775943,0.0352463,0.0290811,0.0374704,0.0563735,0.0271159,0.0236839,0.0442966,0.0458601,0.0290356,0.0259431,0.0152196,0.0386112,0.0207528,0.0309208,0.0116462,0.023993,0.0786648,0.046055,0,0,0,0
21,0.011641,0.0764397,0.0358127,0,0.0201191,0.0748212,0.0400142,0,0.0433404,0.0561101,0.0290027,0.0341039,0.0206458,0.0302804,0.052609,0.0462708,0.0669592,0.0664871,0.035764,0.0615288,0.0659382,0.0404302,0.0383711,0.00664516,0.0204583,0.0110194,0.0210634,0.0193984,0,0.0267764,0.0677757,0.0354553,0.0289495,0,0.0334028,0.0786396,0.00624704,0.0354359,0.0303198,0.0378659,0.0562681,0.0265125,0.0236981,0.043874,0.0458416,0.0285082,0.0257701,0.0143965,0.0382157,0.0192887,0.0309415,0.0116054,0.0240524,0.0785208,0.0463858,0,0,0,0
22,0.0121452,0.0764641,0.0290338,0,0.0212193,0.071589,0.0403156,0,0.0433394,0.0561041,0.0308407,0.0342362,0.0226811,0.0301247,0.05333,0.0479932,0.067328,0.0665416,0.0353207,0.0602057,0.0651471,0.0400713,0.0368039,0.0138323,0.0205406,0.0110679,0.021387,0.0458056,0,0.0207277,0.065076,0.0352559,0.0288916,0,0.0334386,0.0759957,0.0138917,0.0386542,0.0454586,0.0385319,0.0559491,0.0187902,0.0360645,0.0448354,0.0435238,0.0233584,0.0356973,0.0118895,0.0338905,0.0163898,0.0308663,0.0115881,0.0241347,0.0782779,0.0470765,0,0,0,0
23,0.0119542,0.0766605,0.0330698,0,0.0191099,0.0723083,0.0400871,0,0.0429378,0.0558157,0.0295269,0.0333836,0.0174381,0.0302434,0.0529212,0.0465625,0.0687163,0.0662907,0.0339204,0.0619852,0.0661416,0.0404706,0.0398608,0.0113686,0.0203511,0.0109483,0.0210888,0.025027,0,0.0230995,0.0661559,0.0355015,0.0288537,0,0.0334519,0.0777688,0.00620086,0.0360807,0.0361766,0.038364,0.0561841,0.0245285,0.0251872,0.0427248,0.0450554,0.0270207,0.0262638,0.0118508,0.0370185,0.0139322,0.0309584,0.0115628,0.0242406,0.0784066,0.0467889,0,0,0,0
24,0.011932,0.0766737,0.0323501,0,0.0189908,0.071874,0.0400115,0,0.0429004,0.0562209,0.0297157,0.0328024,0.0162749,0.0307883,0.0528395,0.0465727,0.0691651,0.0664716,0.0336989,0.0622636,0.0660791,0.0403955,0.0408548,0.0132875,0.0203576,0.01094,0.0212071,0.0188894,0,0.0249236,0.0676277,0.0355358,0.0289186,0,0.0334746,0.0778419,0.00536806,0.0351311,0.0300379,0.0380625,0.0561622,0.0247897,0.0242894,0.0434672,0.0443697,0.0271553,0.0256229,0.0138063,0.0366287,0.0212752,0.0308952,0.0114976,0.0243489,0.0785765,0.0466962,0,0,0,0
25,0.0119236,0.0767616,0.0314511,0,0.0188509,0.0710524,0.0400103,0,0.0428115,0.0562316,0.0295121,0.0331973,0.0154089,0.0309355,0.0527388,0.0465294,0.0695882,0.0665419,0.0333483,0.0626508,0.0661229,0.0402868,0.0417007,0.0155727,0.0203485,0.0109113,0.021283,0.0186415,0,0.0243098,0.0676818,0.0355857,0.0290337,0,0.0334848,0.0779595,0.00560781,0.0350423,0.0297655,0.0381413,0.0562315,0.0242092,0.0244137,0.0433727,0.0438504,0.0266657,0.0255068,0.0137072,0.0360555,0.0224997,0.0309065,0.011443,0.0244495,0.0786836,0.0466291,0,0,0,0
26,0.0118381,0.0768512,0.0303643,0,0.0185009,0.0703383,0.0399645,0,0.0426494,0.0560406,0.0287968,0.0345765,0.0151189,0.031051,0.0525124,0.0462572,0.0696651,0.0663707,0.0330039,0.0629436,0.0663664,0.0399505,0.0419929,0.0170805,0.0203426,0.0108391,0.0212841,0.0187454,0,0.0235699,0.0675574,0.0356005,0.0289345,0,0.0334805,0.0785368,0.00593229,0.0352335,0.0296855,0.0381896,0.0562386,0.0236591,0.0244557,0.0431962,0.0433001,0.0261657,0.0254497,0.0136071,0.0354941,0.0235161,0.0310579,0.0113913,0.0245527,0.0786316,0.0465399,0,0,0,0
27,0.0113521,0.0769732,0.01705,0,0.0274257,0.0752559,0.0394011,0,0.0425377,0.0530865,0.044511,0.0378079,0.0407647,0.0293238,0.0515527,0.0524492,0.0700163,0.0714973,0.0390944,0.0518697,0.0595556,0.0337248,0.0276372,0.0446527,0.0203942,0.0108685,0.0211048,0.0215243,0,0.0226282,0.06576,0.0357463,0.028447,0,0.0333619,0.0813014,0.00660066,0.0372519,0.0300565,0.0415818,0.0560904,0.0259086,0.023589,0.0433668,0.0448417,0.0254174,0.0256256,0.013598,0.0349741,0.0217696,0.0314678,0.0113393,0.0245608,0.0787382,0.0459487,0,0,0,0
28,0.0118789,0.0770508,0.026053,0,0.0172807,0.0710845,0.0398007,0,0.0427472,0.0551347,0.0265142,0.034869,0.0166563,0.0315421,0.0520327,0.0448545,0.0688598,0.0658263,0.0318781,0.061936,0.0659412,0.0381019,0.0400723,0.0189686,0.0203663,0.0109847,0.0215001,0.0192197,0,0.0222175,0.0665127,0.0354884,0.0283982,0,0.0333485,0.07912,0.00711941,0.0354475,0.0300266,0.0379076,0.0561896,0.0232071,0.0244636,0.0428781,0.0423448,0.0250663,0.0250928,0.0133861,0.0340434,0.0258637,0.0314676,0.0112893,0.024655,0.0788692,0.0465489,0,0,0,0
29,0.011959,0.0771823,0.0248161,0,0.0172721,0.0713565,0.0397175,0,0.0427638,0.0547467,0.0254555,0.0350028,0.0179479,0.0318837,0.0518591,0.0438252,0.0681715,0.0656116,0.0310283,0.0609101,0.065087,0.0370445,0.0387274,0.0191047,0.020409,0.0111035,0.0215121,0.0196539,0,0.021492,0.0656356,0.035379,0.028011,0,0.0332761,0.0793069,0.00799961,0.0356356,0.030422,0.0374954,0.0561077,0.0233049,0.0244688,0.0426965,0.0417799,0.0246037,0.0249321,0.0132642,0.0332781,0.0274143,0.0317204,0.0112435,0.0246904,0.0790496,0.0466639,0,0,0,0
30,0.0120707,0.0772753,0.0245905,0,0.0174964,0.0713078,0.0397104,0,0.0427886,0.0543681,0.0249552,0.0352452,0.0184727,0.0322314,0.0518088,0.042925,0.0676406,0.0653877,0.0301757,0.0603147,0.0645543,0.0364298,0.038153,0.0190331,0.0204114,0.0112277,0.0214806,0.0200139,0,0.0207554,0.0646001,0.0352712,0.027632,0,0.033275,0.0795167,0.00903712,0.0359082,0.0308736,0.0370287,0.0559996,0.0230797,0.0245332,0.0425443,0.0411621,0.0241774,0.024748,0.013093,0.0325154,0.0294998,0.0319588,0.0112242,0.0248109,0.0791152,0.0468909,0,0,0,0
31,0.0122444,0.077371,0.0249272,0,0.0175264,0.0714149,0.0397284,0,0.0427754,0.0542964,0.0250006,0.0351879,0.0181495,0.0326167,0.0518766,0.0420528,0.0670842,0.0649607,0.0295702,0.0603493,0.0645221,0.0361432,0.0384432,0.018998,0.0204139,0.0112236,0.0216106,0.0192205,0,0.0212513,0.0643752,0.0350995,0.0273126,0,0.0332594,0.0794728,0.00947403,0.0356803,0.0288756,0.036456,0.055868,0.0228161,0.0248111,0.0432127,0.040733,0.0242681,0.0245688,0.0137971,0.0320355,0.0337237,0.0321674,0.0112913,0.0248151,0.0791881,0.0471968,0,0,0,0
32,0.0127675,0.0774718,0.0251685,0,0.0171191,0.0701514,0.0400255,0,0.0427442,0.0545564,0.026055,0.035057,0.0179165,0.0326439,0.0523114,0.0413655,0.0667387,0.0640839,0.028138,0.0609285,0.064926,0.0360269,0.0392842,0.0208159,0.02035,0.0111652,0.0219104,0.0234301,0,0.0176542,0.0610072,0.0348526,0.0269318,0,0.0332514,0.0796591,0.0137046,0.0373449,0.0352134,0.0364762,0.0557437,0.0213826,0.0253983,0.0417333,0.0394072,0.0224838,0.0240358,0.011259,0.029932,0.0327011,0.0324097,0.0110971,0.0249488,0.0790133,0.0479972,0,0,0,0
33,0.0141416,0.077415,0.0256787,0,0.016996,0.0670254,0.0409826,0,0.0431301,0.0561775,0.0273986,0.0349355,0.0188315,0.0334593,0.0538648,0.0409023,0.0659429,0.0629566,0.026485,0.0616875,0.0654674,0.0361902,0.0401646,0.022257,0.0203938,0.0112676,0.0227939,0.037645,0,0.0121908,0.0564024,0.0342914,0.0268456,0,0.0334276,0.0781018,0.0235839,0.0399346,0.0437671,0.036384,0.0555986,0.012787,0.0379566,0.0450239,0.0348051,0.017279,0.0335353,0.0132495,0.024142,0.0244465,0.0323428,0.011186,0.0250696,0.0784054,0.0499062,0,0,0,0
34,0.0146196,0.0774503,0.026351,0,0.016725,0.0663293,0.0415873,0,0.0431191,0.0568819,0.0281984,0.0347479,0.0197877,0.0334724,0.0546239,0.0405765,0.0652875,0.0623204,0.0257593,0.0617047,0.0652379,0.0359455,0.040499,0.0223727,0.0202413,0.0112706,0.0230729,0.0370028,0,0.0114907,0.0546054,0.0340381,0.0264569,0,0.0336531,0.0781741,0.0243081,0.0400778,0.0434117,0.0363649,0.055463,0.0121943,0.0383613,0.0457567,0.034175,0.0170846,0.0321923,0.0132474,0.0229423,0.0286308,0.0325455,0.0111054,0.0253353,0.0781711,0.0506803,0,0,0,0
35,0.0150533,0.0773442,0.0269927,0,0.0165332,0.0657269,0.0423037,0,0.0432036,0.0573151,0.0284697,0.0346213,0.0205332,0.033417,0.0556058,0.0402487,0.0646451,0.0616869,0.0253013,0.0614929,0.0649008,0.035748,0.0406651,0.0218798,0.0201304,0.0113577,0.0234956,0.0364477,0,0.0114831,0.0533798,0.0338333,0.0264731,0,0.0339209,0.077675,0.0249091,0.0399156,0.0420554,0.0363272,0.0554522,0.0115494,0.0400179,0.0476264,0.033808,0.0166458,0.0316032,0.0139432,0.0215053,0.0330027,0.0324697,0.0110625,0.0256955,0.077957,0.051362,0,0,0,0
36,0.0154221,0.077142,0.0273456,0,0.016405,0.064944,0.0432602,0,0.0433202,0.0575274,0.0282558,0.0347404,0.020666,0.0333784,0.0567122,0.0399516,0.0641008,0.061182,0.024822,0.0612171,0.0646565,0.0354529,0.0407971,0.0214601,0.0200608,0.011419,0.0240116,0.0347949,0,0.0114662,0.0521052,0.033705,0.0268059,0,0.0342191,0.0776097,0.0257445,0.0396624,0.0410656,0.0362319,0.0556441,0.0117612,0.0408464,0.0490247,0.0338449,0.0162114,0.0305258,0.0142843,0.0202351,0.0377422,0.0322096,0.0110699,0.0262069,0.0775474,0.0519481,0,0,0,0
37,0.0156954,0.0769713,0.0275639,0,0.0163261,0.0641339,0.0444611,0,0.0434535,0.0573922,0.027454,0.0351735,0.0205977,0.0334205,0.0579022,0.0394764,0.0636502,0.0609207,0.0243737,0.061031,0.0645901,0.0353346,0.0406529,0.020827,0.0200817,0.0114791,0.0245886,0.032682,0,0.0116779,0.051053,0.0336378,0.0273606,0,0.0345636,0.0775948,0.0261264,0.0390759,0.0398212,0.0360448,0.0560381,0.011381,0.0418202,0.0506516,0.034228,0.0153289,0.0303084,0.0149448,0.0189238,0.0420948,0.03186,0.0111615,0.0267802,0.0770945,0.0523833,0,0,0,0
38,0.0158694,0.0768456,0.0276833,0,0.0162892,0.0634007,0.0456784,0,0.0436793,0.0567236,0.0262901,0.036037,0.0207492,0.0335444,0.0592009,0.0390342,0.0633044,0.0609103,0.0238228,0.0610069,0.0646584,0.0354013,0.0404024,0.020088,0.0203239,0.0115769,0.0252677,0.0303912,0,0.0119967,0.0499674,0.0336054,0.0280445,0,0.0349493,0.0776827,0.026368,0.0384061,0.0387495,0.0359401,0.0566046,0.0118704,0.0426733,0.0521558,0.0348714,0.0144475,0.0306373,0.0155224,0.0178104,0.0463227,0.0314027,0.0113175,0.0273441,0.0766738,0.0526191,0,0,0,0
39,0.0159368,0.0767141,0.0277085,0,0.0162637,0.0630799,0.0467966,0,0.0439629,0.0562799,0.025142,0.0371944,0.0210701,0.0337293,0.0604621,0.0385499,0.0630311,0.0608207,0.0231512,0.0611541,0.0649388,0.0354798,0.0401953,0.0195002,0.0207774,0.0117122,0.0259142,0.0283597,0,0.0127832,0.0489393,0.0336343,0.0288003,0,0.0353997,0.0776876,0.0261739,0.0375986,0.0375662,0.0358696,0.0571785,0.0133336,0.043901,0.0540354,0.0359308,0.0137201,0.0315723,0.0163117,0.0170144,0.0505222,0.0309294,0.0115327,0.0279019,0.0762971,0.0526733,0,0,0,0
40,0.0159814,0.0765632,0.0277329,0,0.0162791,0.0632357,0.0479005,0,0.0441338,0.0560269,0.0243493,0.0378988,0.0213994,0.0341274,0.0617505,0.0379793,0.0628521,0.0606475,0.0226404,0.0613295,0.0652072,0.0356836,0.0401589,0.0192447,0.0213123,0.011834,0.0263312,0.0260267,0,0.0137833,0.0479765,0.0336587,0.0294278,0,0.0356394,0.077697,0.0264054,0.0369833,0.0365289,0.0356958,0.0576114,0.0151123,0.0450395,0.0558697,0.0371508,0.0130795,0.0323058,0.0169364,0.0165094,0.0551909,0.0305993,0.0115176,0.0283925,0.0761521,0.0527065,0,0,0,0
