Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59,LWRA
109,0.0172519,0.0557126,0.0323074,0,0.006202,0.0426761,0.023809,0,0.0441621,0.0596758,0.0364749,0.0167792,0.0233534,0.0498232,0.0332062,0.0361761,0.0645011,0.0667991,0.0301202,0.0528366,0.055689,0.0255672,0.0365889,0.0277327,0.0306254,0.0139321,0.0108192,0,0.0239375,0.049855,0.0428742,0.0175308,0,0.0296789,0.0689593,0.0104824,0.0210403,0.031682,0.0455806,0.0377754,0.0149136,0.0409358,0.0473504,0.0381597,0.0230763,0.026853,0.00929944,0.0330654,0.0282894,0.0364219,0.0102472,0.020895,0.0489351,0.0518486,0,0,0,0,0,0.0141958
110,0.0171356,0.0558583,0.0317567,0,0.00663984,0.0419538,0.0236375,0,0.0441053,0.0596825,0.0373625,0.0173876,0.023818,0.0498587,0.0334838,0.0365155,0.0648983,0.0670767,0.0302326,0.0536352,0.0562935,0.0263225,0.037411,0.0304317,0.0307575,0.0139989,0.0139167,0,0.0230293,0.0499844,0.042752,0.0168212,0,0.029867,0.0690353,0.00974786,0.0208785,0.0333018,0.0451079,0.0373969,0.0143378,0.0418251,0.0475583,0.0381711,0.0227958,0.0275593,0.00892292,0.0328619,0.0242527,0.0366566,0.00990255,0.0212,0.0489991,0.0520411,0,0,0,0,0,0.0140486
111,0.0169219,0.0560729,0.0311799,0,0.00700914,0.0412841,0.0234261,0,0.0442011,0.0598588,0.0382686,0.0181301,0.0240957,0.0497771,0.0336771,0.0370971,0.0654474,0.0673613,0.0303568,0.0542871,0.0567969,0.0269366,0.0381399,0.0330672,0.0310202,0.0138042,0.0149995,0,0.0228896,0.0502756,0.0426967,0.0169318,0,0.0297314,0.0690243,0.00960695,0.0212735,0.0331219,0.0447091,0.0372422,0.0146059,0.0414192,0.0474763,0.0383934,0.0230282,0.0274431,0.00892749,0.0330718,0.0228206,0.0367592,0.00994109,0.0207253,0.0492169,0.0519158,0,0,0,0,0,0.0142457
112,0.0167375,0.0561734,0.0308141,0,0.00735577,0.0405354,0.0233094,0,0.0442105,0.0600572,0.039133,0.0186921,0.0241178,0.0497767,0.0337256,0.037723,0.0658389,0.0676825,0.03048,0.0549035,0.0572405,0.0275007,0.0388677,0.0356976,0.0310853,0.0138412,0.015938,0,0.0229149,0.0506555,0.0426738,0.0169401,0,0.0298109,0.0689077,0.00946402,0.0215349,0.0328827,0.0444078,0.0370186,0.0148114,0.0407798,0.0473489,0.0385789,0.0231142,0.0273325,0.00901695,0.0333418,0.0216131,0.0367947,0.00992995,0.0207102,0.0495092,0.0517393,0,0,0,0,0,0.0141799
113,0.0165322,0.0561908,0.0306473,0,0.00774643,0.039853,0.0232189,0,0.0445526,0.0601366,0.0400021,0.0187197,0.0240228,0.0500345,0.0337478,0.0380437,0.0659853,0.0679195,0.030633,0.0555479,0.0577274,0.0281373,0.039643,0.038364,0.0311909,0.0137971,0.0169481,0,0.0229651,0.0513753,0.0426648,0.0168276,0,0.030077,0.068599,0.00934282,0.0217724,0.0327055,0.0444097,0.036863,0.0149048,0.0400823,0.0471893,0.0387557,0.0231964,0.0273485,0.00911018,0.0336919,0.0202758,0.0367944,0.0100623,0.0209383,0.0497029,0.0515959,0,0,0,0,0,0.0142143
114,0.0162793,0.0562053,0.0307226,0,0.00811214,0.0393421,0.0232595,0,0.0447198,0.0602206,0.0411752,0.0189741,0.0239942,0.0503969,0.0338743,0.0385943,0.0662425,0.0680731,0.0306904,0.0562757,0.0583758,0.0288889,0.0405078,0.0413646,0.0312748,0.0135863,0.0180003,0,0.0228713,0.0520568,0.0426803,0.017128,0,0.0302006,0.0682029,0.00926394,0.0219635,0.0325573,0.044449,0.0368322,0.0150796,0.0394082,0.0470268,0.0389954,0.0233079,0.0273887,0.009236,0.0340275,0.0188772,0.0366877,0.0101137,0.0210247,0.0500305,0.0513658,0,0,0,0,0,0.0144064
115,0.0160976,0.0562187,0.0311228,0,0.00857488,0.0391291,0.0233134,0,0.0447675,0.060357,0.0427571,0.019643,0.0237131,0.0508459,0.0340148,0.0389946,0.0663536,0.0680723,0.03075,0.0572925,0.0593162,0.0298006,0.041476,0.0452384,0.0313626,0.013523,0.0189585,0,0.0227826,0.0527733,0.0426936,0.0174483,0,0.030286,0.0678706,0.0092891,0.0221254,0.0323281,0.0443282,0.0367009,0.015358,0.03871,0.046908,0.0392566,0.0234169,0.0273452,0.00936904,0.0342174,0.0176151,0.0365548,0.01007,0.0211329,0.0503807,0.0510435,0,0,0,0,0,0.014416
116,0.0160114,0.0561625,0.0317741,0,0.00911189,0.0389303,0.0233994,0,0.0447566,0.0603856,0.0445029,0.0207455,0.0235914,0.051355,0.0340243,0.039604,0.0668379,0.0682102,0.0308511,0.0584091,0.0603404,0.0307861,0.0425512,0.0494681,0.0314647,0.013522,0.0199988,0,0.0228783,0.0536021,0.0427024,0.0175487,0,0.0302432,0.0679077,0.00934825,0.0223477,0.0320014,0.0441,0.0365888,0.0157149,0.0381436,0.0468693,0.0395268,0.0235177,0.0272185,0.00954017,0.0342994,0.0163554,0.0363754,0.00994834,0.0213136,0.0506354,0.0507247,0,0,0,0,0,0.0143891
117,0.0159237,0.0561356,0.03264,0,0.00967481,0.0388546,0.0234621,0,0.0446184,0.0603313,0.046463,0.0221757,0.0235645,0.0519335,0.034064,0.04042,0.0673665,0.0684098,0.0309524,0.0596035,0.0614208,0.0319556,0.0436055,0.0538641,0.0315286,0.0137077,0.0211164,0,0.0228277,0.0545145,0.0427125,0.0178163,0,0.0301439,0.0684623,0.00944117,0.0226527,0.0316445,0.0437998,0.0365034,0.0159768,0.0377838,0.0468855,0.0398071,0.0235985,0.0271151,0.00969512,0.0344359,0.0151251,0.036164,0.0097898,0.0213985,0.0508785,0.0503732,0,0,0,0,0,0.0142032
118,0.0158627,0.0561464,0.0336138,0,0.0102254,0.038766,0.0234242,0,0.0442995,0.0602534,0.0485221,0.0230833,0.0235668,0.0526144,0.0341582,0.0412497,0.0680264,0.0685314,0.0310595,0.0607781,0.0625104,0.0331264,0.044566,0.058306,0.0315756,0.0140264,0.0220403,0,0.0227978,0.0556531,0.042755,0.0181052,0,0.0301473,0.0687422,0.0096066,0.0228907,0.0313708,0.0436211,0.0364203,0.0159936,0.0373192,0.0468563,0.0401802,0.0237387,0.0270964,0.00985207,0.0346412,0.0141588,0.0359688,0.0098883,0.0214078,0.0511486,0.0500847,0,0,0,0,0,0.0139563
119,0.0158574,0.0561506,0.034707,0,0.0107182,0.0387584,0.023472,0,0.0440723,0.0604015,0.0504891,0.0234171,0.0234402,0.0533199,0.0341227,0.0419217,0.0688448,0.0685787,0.0311955,0.061716,0.0635044,0.0339826,0.0453477,0.0624602,0.0316522,0.0140411,0.022873,0,0.0228612,0.056855,0.0427696,0.0182768,0,0.0300699,0.0687778,0.00986869,0.023197,0.0312334,0.0435241,0.0363236,0.0159465,0.0368896,0.0468121,0.0404864,0.0238803,0.0269866,0.00991413,0.0348923,0.0132731,0.0358226,0.00994365,0.021376,0.0512508,0.0498293,0,0,0,0,0,0.0139463
120,0.0158684,0.0561597,0.0356987,0,0.0112707,0.039,0.0235741,0,0.0440018,0.0604718,0.0521481,0.0240226,0.0230121,0.0539182,0.0339824,0.0425594,0.0695622,0.0686009,0.0314643,0.0624913,0.0643525,0.0347907,0.0458286,0.0661831,0.0317313,0.0138956,0.0235764,0,0.0229515,0.0578659,0.0427699,0.0184371,0,0.0299223,0.0686602,0.0102,0.0234747,0.0310657,0.0433207,0.0361796,0.0161514,0.0363978,0.0467457,0.0408021,0.0240527,0.0267999,0.0100031,0.0351741,0.0125098,0.035715,0.00995001,0.0212442,0.0512123,0.0495708,0,0,0,0,0,0.0140384
121,0.0158714,0.0561892,0.0363996,0,0.0117998,0.0392805,0.0236164,0,0.0439244,0.0605577,0.053238,0.0248563,0.0223579,0.0543332,0.033928,0.0432392,0.0701916,0.0686547,0.0318637,0.0630836,0.0651702,0.0354643,0.0460785,0.0692245,0.0318243,0.0137506,0.0242826,0,0.022984,0.0587957,0.0427355,0.018528,0,0.0297919,0.0685945,0.0105181,0.0235342,0.0308737,0.0430415,0.0360346,0.016714,0.0360149,0.0467191,0.0410825,0.0242553,0.0264944,0.0100526,0.0353042,0.0118854,0.0356407,0.0099249,0.0210803,0.0511939,0.0493017,0,0,0,0,0,0.0141135
122,0.0159336,0.0562271,0.0367533,0,0.0121502,0.0396413,0.0235876,0,0.0438302,0.0609887,0.0535167,0.025634,0.0217029,0.0545363,0.0339351,0.044086,0.0708205,0.0687984,0.0323974,0.0636793,0.0658661,0.0360507,0.0462469,0.0711522,0.0319627,0.0137029,0.0247559,0,0.0231307,0.0599489,0.0426724,0.018716,0,0.0297449,0.0686184,0.0108373,0.0234845,0.0305333,0.0427937,0.0359831,0.0171815,0.0354986,0.0467408,0.0413677,0.0245151,0.0261344,0.0100538,0.0354648,0.0114531,0.0355331,0.0102812,0.0206385,0.0511979,0.0490625,0,0,0,0,0,0.0141655
123,0.0161747,0.0561748,0.0318854,0,0.0178714,0.0394422,0.0231258,0,0.0438861,0.0609181,0.0558744,0.0266888,0.0234697,0.0556829,0.0342668,0.0458533,0.073857,0.070747,0.0334886,0.0632064,0.0639371,0.0357191,0.0480037,0.0618218,0.03244,0.0139974,0.0241026,0,0.0230222,0.0612342,0.0420043,0.0194628,0,0.0290563,0.0687701,0.0109356,0.0224618,0.0311398,0.0419534,0.0353878,0.017212,0.0344682,0.04634,0.041542,0.0252589,0.025135,0.00964368,0.0361175,0.0119319,0.0353709,0.0106107,0.0205321,0.050873,0.0493117,0,0,0,0,0,0.0137327
124,0.0159247,0.0564627,0.0366498,0,0.0121957,0.039946,0.0234193,0,0.043626,0.0614962,0.0528903,0.0260132,0.0211602,0.0548795,0.0337992,0.0456721,0.0726556,0.0690454,0.0331352,0.0644387,0.066883,0.0370868,0.0466577,0.0714186,0.032128,0.0137211,0.0263183,0,0.0231055,0.0614594,0.0426527,0.0188833,0,0.0296068,0.0687862,0.0111061,0.0233924,0.030335,0.0425458,0.0357044,0.017411,0.0346135,0.0464877,0.0417882,0.0250242,0.0255817,0.010003,0.0360131,0.0101193,0.0355192,0.010135,0.0202401,0.0508951,0.0487462,0,0,0,0,0,0.0139776
125,0.0159361,0.0566359,0.0360327,0,0.0122209,0.0405039,0.0237203,0,0.0433787,0.0616184,0.0518117,0.0267167,0.0206294,0.0548404,0.0337478,0.0463699,0.0735787,0.0691944,0.0337079,0.0646876,0.0672563,0.0374646,0.0466163,0.0700648,0.0322425,0.0133244,0.0267616,0,0.0232242,0.0621987,0.0426061,0.0187623,0,0.0296988,0.0689458,0.0113603,0.0233169,0.0301536,0.042267,0.0355315,0.0176014,0.0340746,0.0462044,0.042021,0.0252379,0.0252333,0.0100327,0.0361387,0.00972348,0.0355394,0.0101839,0.0201517,0.0509124,0.0486165,0,0,0,0,0,0.014191
126,0.0159767,0.0567717,0.0350692,0,0.0123309,0.041039,0.0236752,0,0.0433459,0.0617574,0.0505062,0.0274973,0.0199831,0.054751,0.0335454,0.0469761,0.074258,0.0692509,0.0341894,0.0647281,0.0675531,0.0377291,0.0464058,0.067791,0.0325693,0.0132325,0.0275038,0,0.0232929,0.0626789,0.042677,0.0187854,0,0.0297149,0.0691212,0.0115293,0.0232338,0.0302345,0.042134,0.0353804,0.0177176,0.033627,0.0459767,0.0421793,0.0255359,0.0249096,0.010003,0.0362306,0.00918376,0.0355873,0.0101774,0.0199691,0.0511045,0.0484484,0,0,0,0,0,0.014166
127,0.0160089,0.0568909,0.0337462,0,0.0125522,0.0414242,0.0233908,0,0.0434815,0.0620085,0.0491379,0.0278471,0.0192487,0.0547297,0.0333281,0.0474746,0.0749231,0.0691489,0.0345548,0.0647127,0.0676563,0.0377663,0.0460463,0.0646367,0.0328448,0.0131373,0.0284397,0,0.0233085,0.0628733,0.0428269,0.0187827,0,0.0296382,0.0693498,0.0115987,0.0232707,0.0304431,0.0421104,0.0351809,0.0178529,0.0332438,0.0457421,0.0422976,0.0258223,0.0247475,0.00996165,0.0364647,0.00867109,0.0356644,0.0100094,0.0197936,0.0512607,0.0482678,0,0,0,0,0,0.0143137
128,0.0160688,0.0569874,0.032122,0,0.0128357,0.0418742,0.0233072,0,0.0435897,0.0622856,0.0475598,0.02799,0.0183731,0.0546421,0.0330907,0.04786,0.0754103,0.0689452,0.0349376,0.064415,0.0675255,0.037727,0.0454657,0.0605221,0.0331658,0.0128112,0.0292293,0,0.0233083,0.06308,0.0429368,0.0187812,0,0.0296355,0.069639,0.0117658,0.0231514,0.0305203,0.0420402,0.0350279,0.0180483,0.0327675,0.045507,0.042424,0.0260354,0.0245846,0.00994349,0.0367072,0.00842777,0.0357192,0.00995705,0.0196133,0.0514158,0.0481472,0,0,0,0,0,0.0145638
