Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58
20,0.0170033,0.0583249,0.0353294,0,0.013219,0.0389603,0.0237292,0,0.0447551,0.0640459,0.0450362,0.025121,0.0216527,0.0549112,0.0333182,0.0424952,0.0674217,0.0658184,0.0304884,0.0626561,0.0639951,0.0354044,0.0469648,0.041821,0.0305351,0.0138557,0.0146339,0.0206817,0,0.0231844,0.0576462,0.0431527,0.0235491,0,0.0317469,0.0698175,0.0101556,0.0210629,0.0315194,0.0461316,0.0410355,0.0171848,0.0345176,0.0472195,0.0416009,0.0245934,0.0258298,0.0111314,0.0347871,0.0170573,0.0306772,0.0103857,0.0244666,0.0545146,0.0505275,0,0,0,0
21,0.017094,0.0583783,0.0350793,0,0.0135537,0.039075,0.0235586,0,0.0446008,0.0643927,0.0457454,0.0260201,0.0215093,0.0552588,0.0336906,0.0430318,0.0683812,0.065989,0.0309337,0.0633709,0.0647477,0.0360195,0.0474921,0.0437304,0.0311909,0.0139251,0.0145204,0.0211446,0,0.0234376,0.0587228,0.0423659,0.0240958,0,0.0318919,0.0699953,0.0100999,0.0205884,0.0313775,0.045517,0.0407862,0.0170991,0.0343761,0.0470668,0.0417411,0.0247759,0.0258024,0.0112618,0.0350248,0.0164219,0.0299757,0.0103208,0.0244618,0.0544686,0.0505661,0,0,0,0
22,0.0169049,0.0586241,0.0346462,0,0.0138032,0.0392736,0.0237241,0,0.0445806,0.0645512,0.0464452,0.0265463,0.0214488,0.0554131,0.0331962,0.043471,0.0691955,0.0660961,0.0312725,0.0643034,0.065684,0.0368582,0.0480185,0.0458602,0.0308562,0.0139377,0.0144284,0.0215279,0,0.0234064,0.0595185,0.042706,0.0235381,0,0.0315983,0.0699894,0.0104022,0.020856,0.0311272,0.0456415,0.0405577,0.0172501,0.0343608,0.0471404,0.042048,0.0247917,0.0256934,0.0112547,0.0350669,0.0159493,0.0306421,0.0102495,0.0238294,0.0543464,0.0502449,0,0,0,0
23,0.0168165,0.0588298,0.0342078,0,0.0140375,0.0394808,0.0237216,0,0.0442684,0.0647283,0.0469412,0.0270918,0.0212911,0.055612,0.0326547,0.0440048,0.0699721,0.0661184,0.031733,0.0652586,0.0666114,0.03766,0.0485112,0.0476425,0.0309252,0.013838,0.0142572,0.0219451,0,0.0232728,0.0602045,0.0427948,0.0230736,0,0.031394,0.0699359,0.0106792,0.0211031,0.0308652,0.0457697,0.0401629,0.0173852,0.0343152,0.0472061,0.0422865,0.0247899,0.0255749,0.0112483,0.0350903,0.0155244,0.0311431,0.0101575,0.0234139,0.0541438,0.0499936,0,0,0,0
24,0.0168301,0.0588778,0.0338038,0,0.0142641,0.0397516,0.0236945,0,0.0440654,0.0650227,0.0470954,0.027754,0.020975,0.0557376,0.0324775,0.0444874,0.0707849,0.0661304,0.0322599,0.0659114,0.0674051,0.0383294,0.0488435,0.0488433,0.0311175,0.0138032,0.0140882,0.0223803,0,0.0231893,0.0609112,0.042724,0.0228683,0,0.031332,0.069904,0.010798,0.0210584,0.0306603,0.0455423,0.0397459,0.017407,0.0341642,0.0471677,0.0423831,0.0248718,0.0254722,0.0112532,0.0352044,0.0150474,0.0313573,0.0101012,0.0231705,0.0540773,0.0498552,0,0,0,0
25,0.0168623,0.0589227,0.0333319,0,0.014505,0.0387726,0.0236743,0,0.0440596,0.0662572,0.0469429,0.0288993,0.0206657,0.0561263,0.0327823,0.0453682,0.0715807,0.0661694,0.0330054,0.0661997,0.067927,0.0387531,0.0489646,0.0486465,0.0312764,0.0137534,0.0142267,0.0268,0,0.0242244,0.0624163,0.0425059,0.0226045,0,0.0312258,0.0685809,0.0115527,0.0215607,0.029192,0.0448282,0.0390203,0.0156166,0.036329,0.0479724,0.0414505,0.0233121,0.0283255,0.012369,0.0336815,0.0102059,0.0315897,0.0101112,0.0228291,0.0541176,0.049812,0,0,0,0
26,0.0168978,0.0590546,0.032622,0,0.0148571,0.0407146,0.023633,0,0.043892,0.0652982,0.0467243,0.0288836,0.0200601,0.0555647,0.0323433,0.0459836,0.0722834,0.0661016,0.0331543,0.0663116,0.0684343,0.0392469,0.0487796,0.0493523,0.0314967,0.013761,0.0141817,0.0234374,0,0.0230454,0.061852,0.042604,0.0225453,0,0.0312021,0.0697104,0.0110363,0.0210534,0.0304961,0.0451498,0.0390304,0.0175965,0.0335257,0.0470029,0.0426981,0.0250678,0.0252812,0.0111857,0.0355318,0.0138691,0.0315813,0.0101348,0.0226695,0.0543994,0.0494879,0,0,0,0
27,0.0169579,0.0590945,0.0317719,0,0.015383,0.041435,0.0235888,0,0.0438111,0.0652714,0.0460135,0.029165,0.0193501,0.0553875,0.0322465,0.0466934,0.0728514,0.0659468,0.0335415,0.0661959,0.0684323,0.0394122,0.0480782,0.0484095,0.0316798,0.0137998,0.0139592,0.0241717,0,0.0232051,0.0620654,0.0425825,0.0224727,0,0.031163,0.0695953,0.0111411,0.021003,0.0306334,0.0450763,0.0388066,0.0178402,0.0331037,0.0468397,0.0429373,0.0251255,0.0252768,0.0113265,0.0356507,0.0130962,0.0315878,0.0101559,0.0224741,0.0546823,0.0493057,0,0,0,0
28,0.0169065,0.059148,0.0308365,0,0.0159894,0.0420738,0.0235706,0,0.0437502,0.0653502,0.0448759,0.0291467,0.0185766,0.0553369,0.0321988,0.0470846,0.0731813,0.0658609,0.0338272,0.0659412,0.068364,0.0393766,0.046904,0.046251,0.0318482,0.0138319,0.013793,0.0248276,0,0.0233166,0.0621413,0.0425128,0.02248,0,0.0311837,0.0695163,0.0111212,0.0208459,0.0307167,0.0450687,0.0386016,0.0179882,0.0326141,0.0465837,0.043142,0.0252427,0.0253354,0.0114334,0.0357908,0.0124041,0.0316596,0.0101808,0.0223081,0.054756,0.0492071,0,0,0,0
29,0.0169139,0.059179,0.0299841,0,0.0165628,0.0413432,0.0235846,0,0.0437345,0.0663682,0.0434403,0.029549,0.0177692,0.0554841,0.0322038,0.0472343,0.0733973,0.0656545,0.0343977,0.0655485,0.0682736,0.0391321,0.0458004,0.0423345,0.0319644,0.013898,0.0136925,0.0292949,0,0.0244611,0.0629724,0.042392,0.0222778,0,0.0311112,0.0685588,0.0118739,0.0215236,0.029501,0.0445796,0.0380719,0.0164439,0.0345299,0.0471134,0.0421688,0.0236547,0.0282356,0.0123004,0.0341442,0.00819503,0.0319253,0.0102187,0.0220258,0.0545847,0.0491375,0,0,0,0
30,0.0170172,0.0591717,0.0292971,0,0.0171741,0.0433016,0.0236081,0,0.0436172,0.0653637,0.0419059,0.0294284,0.0167101,0.0549592,0.0316869,0.0470156,0.0735628,0.0654491,0.0343669,0.0651047,0.0683406,0.0389756,0.0447981,0.0387324,0.0321869,0.0139487,0.0135193,0.0261876,0,0.0232675,0.0618352,0.04249,0.0222798,0,0.0311362,0.0707073,0.0109123,0.020811,0.0308978,0.045011,0.038005,0.0184839,0.0318245,0.04613,0.0432868,0.0254757,0.025494,0.0110235,0.0360866,0.0110112,0.0319997,0.0102489,0.0219344,0.0546272,0.0489425,0,0,0,0
31,0.0172839,0.0591199,0.0293541,0,0.0179267,0.0440684,0.0235722,0,0.0434309,0.0652893,0.0401977,0.0294025,0.0159343,0.054615,0.0314806,0.0473861,0.0734251,0.0652391,0.0346537,0.064757,0.0684342,0.0389461,0.0438655,0.0338068,0.0324257,0.0139411,0.0134524,0.0266864,0,0.0231913,0.0616215,0.0424818,0.0221921,0,0.0310576,0.0712418,0.0108421,0.020912,0.0310857,0.044899,0.0376654,0.0187053,0.0315838,0.0459158,0.0433365,0.025529,0.0255418,0.0112534,0.0362149,0.0105289,0.0321579,0.010248,0.0217421,0.0548341,0.0486991,0,0,0,0
32,0.0174951,0.0589684,0.0304171,0,0.0187382,0.0450581,0.0235087,0,0.0432662,0.0652087,0.0384182,0.0294177,0.0154275,0.0541474,0.0316341,0.0476338,0.0730002,0.06503,0.0351099,0.0645359,0.0685187,0.0391029,0.04294,0.0284073,0.0327226,0.0138786,0.0135489,0.0271419,0,0.0232174,0.0613579,0.0421928,0.0223446,0,0.0310588,0.0716301,0.0105778,0.0206914,0.0314188,0.0443139,0.0373206,0.0188707,0.0314194,0.0454742,0.043268,0.0257066,0.025698,0.0114747,0.0363975,0.0100904,0.0319413,0.0102236,0.0217312,0.0551106,0.0484765,0,0,0,0
