Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,RILC
85,0.0245653,0.0697676,0.0352932,0,0.0245994,0.0704434,0.0235391,0,0.0391272,0.0547513,0.0226909,0.0324453,0.0232904,0.0504502,0.0411542,0.0269295,0.0511353,0.0586177,0.0288403,0.0544428,0.0603862,0.0344656,0.0295591,0.0110298,0.0412534,0.013571,0.0108154,0.0217075,0,0.0232117,0.0347589,0.0204477,0.0253264,0,0.0336835,0.0842236,0.035495,0.0296003,0.0589257,0.0393773,0.0271782,0.047608,0.0580659,0.0433977,0.0218357,0.0191418,0.00649626,0.0262462,0.0673477,0.028613,0.0102608,0.0242038,0.0592981,0.0575192,0,0,0,0,0.0203311
86,0.0244382,0.0697688,0.0351791,0,0.0246827,0.0708669,0.0235273,0,0.0390687,0.0551572,0.0229328,0.0319965,0.02374,0.0499504,0.0410849,0.0266601,0.0504808,0.0584844,0.0288557,0.0543331,0.0602013,0.0344132,0.029404,0.0111426,0.0411902,0.0135132,0.0107947,0.0211156,0,0.0232019,0.0349964,0.0205047,0.0251923,0,0.0335695,0.0841685,0.0349248,0.0295616,0.0590119,0.0391981,0.0273981,0.0478267,0.0578289,0.0434804,0.0223143,0.0191292,0.0060718,0.0267519,0.0663221,0.0287116,0.0101401,0.0241141,0.0593377,0.0573621,0,0,0,0,0.0203749
87,0.024308,0.0697613,0.0350695,0,0.0247463,0.0712238,0.0235286,0,0.0390331,0.0556023,0.0231545,0.0315683,0.0242306,0.0495531,0.0410492,0.0264389,0.0498826,0.0583488,0.0288418,0.0540378,0.0600542,0.0344328,0.0292776,0.0111716,0.0410852,0.0134653,0.0107678,0.0202884,0,0.0232222,0.0353557,0.0205536,0.0250644,0,0.0334844,0.0840166,0.0342543,0.0295104,0.0591124,0.0390054,0.027534,0.0479795,0.0575471,0.043628,0.0227485,0.0193839,0.00567909,0.0272113,0.064862,0.0288236,0.0100752,0.0240147,0.0593873,0.0571918,0,0,0,0,0.0203167
88,0.0241343,0.06976,0.0361028,0,0.024221,0.0715438,0.023558,0,0.0390569,0.0560369,0.0241084,0.0312251,0.0246125,0.0492181,0.0410686,0.0261642,0.0495535,0.0581725,0.0287689,0.0537532,0.0600546,0.034209,0.028647,0.0112549,0.0410547,0.0134405,0.0107523,0.0192625,0,0.0232468,0.0356548,0.0206245,0.02492,0,0.0334688,0.0840094,0.0334478,0.0294825,0.0590825,0.0387786,0.0276927,0.0481176,0.0572131,0.0438931,0.0231099,0.0197154,0.00553034,0.0277096,0.0628929,0.0289822,0.0100677,0.0238931,0.0594451,0.0569898,0,0,0,0,0.0202487
89,0.0239875,0.0697514,0.0386202,0,0.023081,0.0715808,0.0236744,0,0.039061,0.0564726,0.0262713,0.0309917,0.0247939,0.0490347,0.0411019,0.0258424,0.0493719,0.0579612,0.0286899,0.0533754,0.0602545,0.0337393,0.0273437,0.0123704,0.0409976,0.0134252,0.0106887,0.0180167,0,0.0232528,0.0357154,0.0207109,0.0247636,0,0.0334209,0.08406,0.0324748,0.0295999,0.0589755,0.0385155,0.0278945,0.048193,0.0567692,0.0441796,0.0233355,0.0200844,0.00552728,0.0281229,0.0602532,0.0291523,0.0101247,0.0237457,0.0594845,0.0568353,0,0,0,0,0.020139
90,0.0238611,0.0697396,0.0410925,0,0.0224591,0.07154,0.0237385,0,0.0391037,0.056771,0.0286731,0.0307455,0.0249123,0.048888,0.0410094,0.0255044,0.0491902,0.0577405,0.0286255,0.0530435,0.0605051,0.0334357,0.0261534,0.0142544,0.0409868,0.0134829,0.0106418,0.0166333,0,0.0232788,0.035924,0.0208188,0.0245953,0,0.0333464,0.0840791,0.031244,0.02969,0.05888,0.0382789,0.0280156,0.0481314,0.0562452,0.0445267,0.0235537,0.0208556,0.00556203,0.0286448,0.0568191,0.0293178,0.0102187,0.0236115,0.0595006,0.0567041,0,0,0,0,0.0199742
91,0.0232736,0.0700229,0.0349053,0,0.0226109,0.0718186,0.0239279,0,0.039225,0.0571901,0.0247326,0.0305403,0.0226985,0.0480557,0.0405555,0.0233929,0.0474622,0.057131,0.0289548,0.0557369,0.0616453,0.035688,0.0308149,0.00950204,0.0407534,0.0136137,0.0102691,0.0153005,0,0.0248384,0.0357465,0.0212732,0.024152,0,0.03407,0.0835768,0.0315979,0.0288533,0.059131,0.037796,0.0284488,0.0504109,0.057559,0.0451516,0.021884,0.0253189,0.00858022,0.0273423,0.0462498,0.0292593,0.00985852,0.0233667,0.0598796,0.0558554,0,0,0,0,0.0205554
92,0.0232401,0.0700494,0.0355031,0,0.0224835,0.071569,0.0237864,0,0.0394566,0.0575047,0.0250373,0.0303923,0.0224248,0.047939,0.0405964,0.0229523,0.0470179,0.0568867,0.0290133,0.056214,0.0620137,0.0359836,0.031157,0.00973291,0.0409062,0.0135668,0.0101625,0.0161664,0,0.0246697,0.0359919,0.0212542,0.023996,0,0.0338659,0.0835739,0.0296486,0.0290828,0.0587443,0.0374751,0.0283708,0.0498376,0.0566938,0.0455744,0.0229293,0.0252831,0.00811199,0.0287473,0.0418792,0.0294365,0.00958272,0.0232849,0.0598834,0.0557358,0,0,0,0,0.0201926
93,0.0232757,0.0700205,0.0360038,0,0.0223306,0.0711871,0.0237373,0,0.0396327,0.0579271,0.0250779,0.0303345,0.0223659,0.047892,0.0405946,0.0225603,0.0466247,0.056632,0.0290634,0.0566152,0.0624274,0.036338,0.0315985,0.00984158,0.0410884,0.0135312,0.0101586,0.0179851,0,0.0246973,0.0364189,0.0212021,0.0238833,0,0.033641,0.0834487,0.0275213,0.0297834,0.0583383,0.0371923,0.0281634,0.0487719,0.055806,0.0461262,0.0243954,0.0248873,0.00755133,0.0304923,0.0369058,0.0296165,0.00962796,0.0231975,0.0599482,0.0556604,0,0,0,0,0.0197667
94,0.0231595,0.0700831,0.0365417,0,0.0223386,0.0708277,0.0236795,0,0.0397628,0.0581978,0.0251941,0.030289,0.0223442,0.0476192,0.0404558,0.0223157,0.0462914,0.0563487,0.0289199,0.056829,0.0627495,0.0366031,0.0318692,0.01011,0.0412074,0.0135171,0.0100049,0.0209201,0,0.024638,0.0368702,0.0212916,0.0236682,0,0.0335586,0.0832387,0.0254607,0.0305967,0.0578904,0.036906,0.0283502,0.0476089,0.0550835,0.0469677,0.0260402,0.0243287,0.00728553,0.032384,0.031745,0.0298396,0.009713,0.0230321,0.0601294,0.0554045,0,0,0,0,0.0196831
