Timestep,C7,CLAV,L5FT,L5HD,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,LANK
160,0.0145716,0.0595706,0.0277234,0,0.0412217,0.0220389,0,0.0452523,0.0613282,0.0528944,0.0321387,0.0186215,0.0571145,0.0311575,0.0521044,0.0796792,0.071724,0.0371596,0.0622271,0.0633585,0.0356713,0.0472355,0.0588118,0.0324427,0.0142643,0.0128089,0.0293176,0,0.0227644,0.0623209,0.0423781,0.0210977,0,0.0299457,0.0717509,0.00966424,0.0216501,0.0312253,0.0406759,0.0393421,0.0215836,0.032057,0.0493291,0.0461822,0.0278363,0.0231024,0.0108292,0.0382249,0.00862292,0.0352285,0.0108924,0.0208629,0.0532716,0.0469208,0,0,0,0,0.0214738
161,0.0143039,0.0597873,0.0317288,0,0.0416299,0.0230845,0,0.0448117,0.061932,0.0491394,0.0312825,0.0166956,0.0559155,0.0306255,0.0511579,0.0773318,0.0697343,0.0369255,0.0633873,0.0660605,0.0368476,0.0454786,0.0648172,0.032254,0.015463,0.0118113,0.032897,0,0.0233514,0.0622396,0.0431549,0.0205557,0,0.0305746,0.0714779,0.00938044,0.0229639,0.0301865,0.041876,0.0395812,0.0210984,0.0328407,0.0495459,0.0459647,0.0271298,0.0247494,0.0112526,0.0376788,0.00908357,0.035371,0.0105523,0.020564,0.0533797,0.0463645,0,0,0,0,0.0165731
162,0.0143563,0.0598086,0.0291915,0,0.0421618,0.023092,0,0.044867,0.0620802,0.0469632,0.0313335,0.015718,0.0555925,0.0302994,0.051469,0.0777921,0.0695538,0.0372694,0.0630836,0.0660258,0.0369504,0.0445752,0.0597594,0.0324717,0.015641,0.0116699,0.0332659,0,0.023535,0.0623523,0.0432108,0.0205385,0,0.030561,0.0717076,0.00927072,0.0231389,0.030197,0.0420576,0.0394785,0.0212766,0.0323407,0.0493629,0.0461071,0.027317,0.0247148,0.011331,0.0379025,0.00914407,0.0354611,0.0105828,0.0204294,0.0534807,0.0461021,0,0,0,0,0.0169601
163,0.0144392,0.0598381,0.0266558,0,0.0427067,0.0230851,0,0.0448673,0.0622088,0.0446905,0.0313429,0.0147512,0.0552172,0.0299014,0.0517208,0.078029,0.0692006,0.0375458,0.0627068,0.0659466,0.0369554,0.0435897,0.0535461,0.0326936,0.0157809,0.0115313,0.033683,0,0.023708,0.0622264,0.0432918,0.0205262,0,0.0305209,0.0719873,0.00908771,0.0232261,0.0302325,0.0421729,0.0393092,0.0215281,0.0318113,0.0491426,0.0462546,0.027502,0.024751,0.0114367,0.0380783,0.00929586,0.0355571,0.0106124,0.0202859,0.0536027,0.0459854,0,0,0,0,0.0173642
164,0.0145144,0.0599157,0.0245014,0,0.0433496,0.0230536,0,0.044862,0.06222,0.0423351,0.0312924,0.0138304,0.0547721,0.0296198,0.0518407,0.0778617,0.068846,0.0377541,0.0623983,0.0659326,0.0370093,0.0425397,0.0463919,0.0329315,0.0159109,0.0114216,0.0340912,0,0.0238918,0.0619324,0.0433505,0.0204823,0,0.0305041,0.0723215,0.00884892,0.0232587,0.0302998,0.0422956,0.0390664,0.0218143,0.0312521,0.0488932,0.0464073,0.0276954,0.0248338,0.0115359,0.0382299,0.00949934,0.0356903,0.0106373,0.0201177,0.0537828,0.0459499,0,0,0,0,0.0178561
165,0.0146596,0.0599858,0.0234637,0,0.0440365,0.0230058,0,0.0448674,0.0621696,0.0400087,0.0311675,0.0131679,0.0542605,0.0292413,0.0517732,0.0772163,0.0684931,0.0378909,0.0622605,0.0660817,0.0372029,0.0415699,0.038674,0.0332498,0.0160472,0.0113002,0.0344919,0,0.0240797,0.0614828,0.0434098,0.0203887,0,0.0304826,0.0726692,0.00856382,0.0232509,0.0304592,0.04241,0.0387904,0.0221621,0.0306337,0.048615,0.0464752,0.0279139,0.024939,0.0115769,0.0383805,0.00970246,0.0358386,0.0106474,0.0199442,0.0539679,0.0457656,0,0,0,0,0.0184013
166,0.0149636,0.0600094,0.023471,0,0.0452618,0.0224213,0,0.0451927,0.0617355,0.0380322,0.0312464,0.0130234,0.0537743,0.0286983,0.0515222,0.0762033,0.0682346,0.0381694,0.0621458,0.066273,0.037871,0.0407192,0.0311324,0.0336789,0.0153146,0.0121762,0.0352406,0,0.0241733,0.0607767,0.0435209,0.0202032,0,0.0304487,0.0731133,0.00814056,0.0231826,0.030836,0.0424644,0.0385624,0.0226897,0.0300356,0.0482821,0.0466068,0.0280693,0.0251549,0.01164,0.0385859,0.0100615,0.0360231,0.0107184,0.019745,0.0540919,0.0453818,0,0,0,0,0.0194131
167,0.0151934,0.06018,0.0258274,0,0.046048,0.022481,0,0.0452162,0.0615171,0.0362495,0.030877,0.0137899,0.0533599,0.0283125,0.050993,0.0750305,0.067763,0.0380621,0.0620543,0.0663551,0.0386096,0.0405172,0.0235798,0.0339187,0.0156926,0.0119011,0.0354827,0,0.0245091,0.0599841,0.043606,0.0200515,0,0.0303634,0.0734304,0.00779262,0.0233646,0.03114,0.0424864,0.0383231,0.0228156,0.0295341,0.0478849,0.0465172,0.0282842,0.0252888,0.0116994,0.0387335,0.01006,0.0362551,0.0106688,0.0195928,0.0542792,0.0449713,0,0,0,0,0.0201358
168,0.015486,0.0603849,0.0274766,0,0.0474272,0.0225165,0,0.0452741,0.0607681,0.0350573,0.0308387,0.0155528,0.0530009,0.0277179,0.0503964,0.0730138,0.0674137,0.0381301,0.0616483,0.0662299,0.0390384,0.0397302,0.0178894,0.0342421,0.0158445,0.0117454,0.0362296,0,0.0248297,0.0589708,0.0437046,0.0198315,0,0.0303213,0.0739366,0.00731136,0.0234029,0.0316681,0.0424993,0.0379629,0.0230262,0.0290231,0.0474363,0.046524,0.0286364,0.0254199,0.0117147,0.0388934,0.010355,0.0365337,0.0106935,0.0194262,0.054482,0.0447237,0,0,0,0,0.021583
169,0.0157967,0.0606209,0.0281012,0,0.0488565,0.0224389,0,0.0453586,0.0599529,0.0345658,0.0308413,0.0181766,0.0525871,0.0271663,0.0495196,0.0704369,0.0671217,0.0380121,0.0609112,0.065723,0.0391698,0.0384554,0.0141527,0.0345853,0.0158264,0.0117701,0.0371513,0,0.0250781,0.0580543,0.0438304,0.0195472,0,0.0302486,0.074448,0.00684352,0.0234999,0.0322173,0.0425182,0.0376206,0.0233225,0.0286123,0.0470217,0.0465248,0.0290353,0.0254419,0.0116775,0.0390564,0.0108115,0.0368162,0.0106542,0.0193199,0.0546534,0.0445336,0,0,0,0,0.0232139
