Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x55,x56,x57,x58,x59
261,0.0160227,0.0573546,0.0337577,0,0.0147142,0.0518829,0.0240056,0,0.0445327,0.0597799,0.0352301,0.0172682,0.0174889,0.0488273,0.0319439,0.0316023,0.0577261,0.062868,0.0300353,0.0512536,0.056249,0.0243417,0.0331868,0.0202915,0.0297814,0.014147,0.0141324,0.00626303,0,0.023157,0.0458459,0.0428928,0.0190094,0,0.0307205,0.0713118,0.00703082,0.0197957,0.0346345,0.0473369,0.0383804,0.016384,0.0419522,0.0505875,0.0385293,0.0226519,0.0291844,0.0106219,0.0305941,0.0388446,0.0355821,0.00995502,0.023094,0.0499302,0.0502797,0,0,0,0,0
262,0.0160476,0.0571964,0.0300688,0,0.0148375,0.0507255,0.023992,0,0.0444889,0.0594692,0.0366382,0.0172739,0.0177949,0.0496842,0.0320067,0.0325724,0.0584638,0.063432,0.0301237,0.050952,0.0559272,0.0241382,0.0331733,0.026855,0.0298589,0.0140988,0.014294,0.00603766,0,0.0232568,0.0459821,0.043067,0.0192964,0,0.0308029,0.0712116,0.00751904,0.0198296,0.0344894,0.0471953,0.0389398,0.0160033,0.0419195,0.0503689,0.0383463,0.0226115,0.0292786,0.010638,0.0307078,0.0393125,0.03534,0.00999575,0.0232344,0.0497554,0.0505467,0,0,0,0,0
263,0.0159439,0.057059,0.0273338,0,0.0151168,0.049459,0.0239905,0,0.0444373,0.0593828,0.0389901,0.0173486,0.0178407,0.0499834,0.0320546,0.0330154,0.0592035,0.0638931,0.030083,0.0510191,0.0559842,0.0245443,0.0332989,0.0341156,0.0300144,0.0140522,0.0144093,0.00584276,0,0.0233547,0.0462838,0.0432837,0.0195177,0,0.0307782,0.0711201,0.00806662,0.0197979,0.0342828,0.0468613,0.0392721,0.0157795,0.0417977,0.0501696,0.0383249,0.0225227,0.0293814,0.0106822,0.0309038,0.039494,0.0352723,0.0100521,0.0231731,0.0495711,0.0508697,0,0,0,0,0
264,0.0158713,0.0570535,0.0268035,0,0.016056,0.0481131,0.0245486,0,0.0442313,0.0594751,0.0415871,0.0175107,0.0179077,0.0497176,0.0321353,0.0335684,0.0598829,0.0643463,0.0300851,0.0515368,0.0563026,0.0253656,0.0340106,0.0410435,0.0301583,0.0137772,0.0141757,0.00570157,0,0.023481,0.0467163,0.0434682,0.0196908,0,0.030687,0.07103,0.00854811,0.0197892,0.0340299,0.0464735,0.0394871,0.0156581,0.0416713,0.0500176,0.0383982,0.0224405,0.0293119,0.0107638,0.031055,0.0394907,0.035282,0.0101534,0.0229225,0.0494998,0.0510827,0,0,0,0,0
265,0.0165751,0.0571521,0.0274023,0,0.0165084,0.0468549,0.024387,0,0.0442913,0.0594972,0.0434757,0.0178902,0.0180966,0.0496562,0.0321867,0.0341802,0.0604926,0.0649104,0.0302612,0.052253,0.0566888,0.0260809,0.0350718,0.0460191,0.0303383,0.0138487,0.0141728,0.00562554,0,0.0236417,0.0472729,0.043582,0.0193969,0,0.03062,0.0710079,0.00886124,0.0200376,0.033818,0.0461636,0.0393457,0.0155864,0.0415348,0.0498678,0.0385622,0.022444,0.0290577,0.010809,0.0311924,0.0392065,0.035432,0.0101646,0.0227023,0.0494938,0.05118,0,0,0,0,0
266,0.0169653,0.0573139,0.0286143,0,0.0131921,0.0455921,0.0242877,0,0.0443691,0.0592916,0.0417723,0.0183467,0.0188145,0.0496638,0.0321835,0.0349509,0.0616054,0.065648,0.0305012,0.0531536,0.0572123,0.0268469,0.0361133,0.0520576,0.0305152,0.0138709,0.0142054,0.00565115,0,0.0238154,0.0480321,0.0436132,0.0191037,0,0.0306176,0.0709225,0.00904234,0.0204899,0.0336024,0.0459235,0.0390682,0.0155354,0.0413723,0.0497729,0.0388009,0.0226046,0.0287548,0.0107898,0.0313094,0.0385776,0.0356613,0.0101853,0.0224573,0.0494295,0.0514307,0,0,0,0,0
267,0.0167797,0.0574344,0.0289446,0,0.0127028,0.0446165,0.0241706,0,0.0444949,0.0591865,0.0429819,0.0187486,0.0194159,0.0496979,0.032214,0.0353675,0.0620088,0.0660594,0.0306766,0.0539958,0.0577673,0.0274641,0.03729,0.0542414,0.0307311,0.0140072,0.0142218,0.00585671,0,0.0239333,0.0485553,0.0435617,0.0189078,0,0.0306302,0.0710214,0.00920154,0.021078,0.0334491,0.0457264,0.0386907,0.0155657,0.0411597,0.0496913,0.0390197,0.0227442,0.0285071,0.0107521,0.0314737,0.037726,0.0359143,0.0102476,0.0221311,0.0493595,0.0515878,0,0,0,0,0
268,0.0165782,0.0575126,0.0295969,0,0.0126439,0.0437388,0.024037,0,0.0446413,0.0589607,0.0440218,0.0190915,0.0200196,0.0495813,0.0324023,0.0359061,0.0624603,0.0664023,0.0307618,0.0548553,0.058343,0.0282002,0.0384538,0.0560544,0.0309183,0.0142501,0.0142231,0.00618106,0,0.0239211,0.049023,0.0434716,0.0187983,0,0.0305469,0.0709493,0.00925144,0.0216167,0.0332698,0.0457053,0.0382839,0.015521,0.0410142,0.0496249,0.0391208,0.0227638,0.0284648,0.0108058,0.0317384,0.0365835,0.0361089,0.0103136,0.0217759,0.0493384,0.051551,0,0,0,0,0
269,0.0162728,0.0574533,0.0303589,0,0.0128792,0.042969,0.0239157,0,0.0448077,0.0587572,0.0447927,0.019457,0.0204263,0.0493503,0.0326531,0.0364243,0.0628997,0.0667201,0.0308362,0.0555828,0.0587934,0.0288736,0.0394677,0.0574636,0.0310874,0.0142959,0.0143383,0.00645596,0,0.0239042,0.049589,0.0433998,0.0185931,0,0.0305242,0.0709241,0.0093467,0.0211399,0.0331089,0.0457623,0.0379926,0.0155881,0.0406129,0.0494882,0.0392203,0.0227651,0.0285559,0.0108734,0.0319098,0.0355093,0.0362228,0.0102149,0.0217781,0.049278,0.0512652,0,0,0,0,0
270,0.0160364,0.0573244,0.0309005,0,0.0130966,0.0423142,0.0238857,0,0.0449391,0.058827,0.0452877,0.0198801,0.0207046,0.0493729,0.0328504,0.0371674,0.063353,0.0670052,0.0309083,0.0560855,0.0591248,0.029384,0.0403046,0.0584503,0.0312071,0.0143812,0.0144139,0.00682186,0,0.0238519,0.0501393,0.0433705,0.0186181,0,0.0305431,0.0708769,0.00949369,0.0203155,0.0328478,0.0456872,0.03791,0.0155712,0.0400273,0.0492972,0.0393962,0.0227885,0.0287158,0.0109939,0.0321395,0.0344041,0.0362435,0.0101372,0.0217815,0.0492263,0.0507069,0,0,0,0,0
271,0.0158299,0.0572332,0.0311874,0,0.0131982,0.0418015,0.0239356,0,0.045004,0.0590625,0.0456671,0.0203388,0.0208133,0.0497201,0.0329541,0.0380672,0.0638367,0.0672423,0.0309288,0.0563963,0.0592991,0.0297428,0.0409683,0.0591439,0.0312969,0.0143458,0.0144899,0.00738535,0,0.023837,0.0505639,0.0433457,0.0186708,0,0.0306737,0.0708342,0.00948882,0.0200897,0.0325097,0.0454756,0.0378222,0.0155307,0.0393829,0.0491197,0.039632,0.0228816,0.0289062,0.0112249,0.032477,0.0330021,0.0362432,0.0101924,0.0218118,0.0491934,0.0503013,0,0,0,0,0
272,0.0156042,0.0572299,0.0313939,0,0.013334,0.0412903,0.0240278,0,0.0450384,0.0593724,0.0460994,0.0207828,0.0207099,0.0499765,0.0330681,0.0381997,0.0643432,0.0673873,0.0308838,0.0566484,0.059399,0.0300186,0.0414725,0.0597952,0.0313442,0.0143193,0.0145205,0.00809844,0,0.0238613,0.0510278,0.0433551,0.0187714,0,0.030729,0.0706676,0.0095734,0.0205443,0.0322201,0.0453349,0.0377143,0.0156761,0.03881,0.0490702,0.0399105,0.0229598,0.0290376,0.0114644,0.0326784,0.0315028,0.0361893,0.0101955,0.0218635,0.0492487,0.0501587,0,0,0,0,0
