Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x73,RTHIA
19,0,0,0,0,0.0297844,0.0621804,0,0,0,0.0381225,0,0.0277599,0.0477594,0,0,0.0194301,0,0,0.0423819,0.0551079,0.036957,0.0303674,0.0236534,0.061057,0.0373489,0.0597565,0.0725729,0.0542518,0.0291343,0.0560334,0.0591899,0.0350366,0.0353025,0.00800557,0.0349245,0.0135901,0.0182087,0.0336766,0,0.02477,0.0609443,0.0473764,0,0,0.0205543,0,0,0.0237736,0.0722806,0.0192325,0.0302717,0.0331825,0.0503662,0.0313265,0.0291259,0.0513204,0.0376201,0.024186,0.0224044,0.00763094,0.0340125,0.00914085,0.0383248,0.00696736,0.0181181,0.0573693,0.0456859,0,0,0,0,0
20,0,0,0,0,0.0297725,0.0623783,0,0,0,0.0377408,0,0.0273126,0.0481616,0,0,0.0195018,0,0,0.0423764,0.0553352,0.0394015,0.0301778,0.0257064,0.0606168,0.0372831,0.0585701,0.0711847,0.0540059,0.02811,0.0551984,0.0590535,0.0340826,0.0331923,0.0110651,0.0350375,0.01381,0.0179083,0.0396214,0,0.025409,0.0607689,0.047327,0,0,0.0203904,0,0,0.0237558,0.0719566,0.0190727,0.030185,0.032327,0.0500184,0.0310806,0.0290779,0.0526784,0.0367877,0.0224754,0,0.011086,0.032658,0.0127696,0.0385476,0.00697511,0.0179462,0.0573521,0.0458293,0,0,0,0,0
21,0,0,0,0,0.0298227,0.0626455,0,0,0,0.036194,0,0.0272953,0.0490821,0,0,0.0191091,0,0,0.0430871,0.0552594,0.0397027,0.030276,0.0239633,0.0598728,0.0375388,0.0564137,0.0706189,0.0543948,0.0273515,0.0566259,0.0599225,0.0351955,0.0352182,0.0116631,0.0350079,0.0132694,0.0177386,0.0361011,0,0.0228336,0.0605665,0.0468701,0,0,0.0205232,0,0,0.0237366,0.0731137,0.0204775,0.0298472,0.0328165,0.0489644,0.0311298,0.0288353,0.0519901,0.0368761,0.0244279,0,0,0.034723,0.0092715,0.0384237,0.00681498,0.018085,0.0576977,0.0459582,0,0,0,0,0
22,0,0,0,0,0.0298429,0.062818,0,0,0,0.0368765,0,0.0271392,0.0495097,0,0,0.0189842,0,0,0.0431078,0.0553035,0.0414015,0.0302574,0.0241008,0.0597331,0.0375505,0.0557949,0.0703973,0.0541781,0.0277549,0.0567979,0.0599787,0.0352052,0.0353489,0.0121934,0.0351203,0.0132405,0.0177147,0.0363612,0,0.0228337,0.0605898,0.0467665,0,0,0.0203778,0,0,0.0236717,0.0733104,0.0209021,0.0299239,0.0328386,0.0486832,0.0308889,0.0287452,0.0520165,0.0366998,0.024281,0,0,0.0343283,0.00949016,0.0385676,0.00679403,0.0178738,0.0577735,0.0460402,0,0,0,0,0
23,0,0,0,0,0.029891,0.06292,0,0,0,0.036835,0,0.0273555,0.0496813,0,0,0.0189441,0,0,0.0430422,0.0553242,0.0416304,0.030497,0.0252199,0.0598983,0.037619,0.0561758,0.0703012,0.0536547,0.0285259,0.0565207,0.0596612,0.0351018,0.0351779,0.0122842,0.0352717,0.0133579,0.0177668,0.0366533,0,0.0225114,0.0606055,0.0466765,0,0,0.0201493,0,0,0.0236031,0.0733358,0.0216215,0.0299057,0.0327196,0.0485873,0.030555,0.0287149,0.0521045,0.0365423,0.0239398,0,0,0.0338408,0.00995096,0.0387599,0.00699107,0.017547,0.0578092,0.0461747,0,0,0,0,0
24,0,0,0,0,0.0298423,0.0629715,0,0,0,0.0367552,0,0.0280634,0.0490563,0,0,0.0194913,0,0,0.0424414,0.0553396,0.0411326,0.030817,0.0272787,0.0603314,0.037593,0.0575805,0.070515,0.0529704,0.0290645,0.0553689,0.0587924,0.0342633,0.0338836,0.0113241,0.0354066,0.0142328,0.017532,0.0363244,0,0.0242704,0.0610902,0.0469603,0,0,0.0201825,0,0,0.0232927,0.0731847,0.0209851,0.0306978,0.0329144,0.0491399,0.0301742,0.0285651,0.0517752,0.0364795,0.0228692,0.0226585,0.00699108,0.0327071,0.0109663,0.0391133,0.00727121,0.0166176,0.0577014,0.0461344,0,0,0,0,0
25,0,0,0,0,0.0299091,0.0630014,0,0,0,0.0349574,0,0.0286558,0.0486794,0,0,0.0194073,0,0,0.0425114,0.0551254,0.0386875,0.0313003,0.026809,0.0603563,0.0377567,0.0583713,0.0709631,0.0527722,0.0288233,0.0556202,0.0587956,0.0347994,0.035047,0.00984973,0.0354174,0.0141252,0.0177161,0.0362966,0,0.023978,0.061412,0.0468761,0,0,0.0199886,0,0,0.0232975,0.0730904,0.0218241,0.0305092,0.0327814,0.0490971,0.0298728,0.0284545,0.051803,0.0364202,0.0227472,0.0226659,0.00769809,0.0320689,0.0113842,0.0392345,0.00721777,0.0165897,0.0577356,0.0461894,0,0,0,0,0
26,0,0,0,0,0.0298891,0.0630081,0,0,0,0.0348212,0,0.0286342,0.0478452,0,0,0.0193187,0,0,0.0426115,0.0545953,0.0364321,0.0321366,0.0257075,0.0605339,0.0382942,0.0593711,0.0718048,0.0525617,0.0283946,0.0560582,0.0589494,0.0352525,0.0361767,0.00895663,0.0352638,0.0140311,0.0180086,0.0386712,0,0.0229391,0.0609016,0.046708,0,0,0.0198945,0,0,0.0233217,0.0732478,0.0220188,0.0297596,0.0315191,0.0490606,0.0297231,0.0281505,0.053173,0.0352562,0,0,0.00984899,0.0314816,0.0129512,0.0392303,0.00714473,0.016643,0.0577263,0.0464519,0,0,0,0,0
27,0,0,0,0,0.03001,0.0630902,0,0,0,0.0352165,0,0.028339,0.047015,0,0,0.0191788,0,0,0.0424805,0.0539917,0.0341391,0.0325759,0.0241146,0.0604301,0.0384667,0.0603202,0.0729964,0.0526672,0.0282153,0.05663,0.0591742,0.0355139,0.0373879,0.00839957,0.0352606,0.0139448,0.0181145,0.0335325,0,0.0221357,0.0611414,0.0467014,0,0,0.0197211,0,0,0.0232777,0.0738988,0.0228387,0.0300008,0.0327444,0.0490712,0.0293659,0.0281091,0.0518093,0.0357972,0,0.0214388,0.0085621,0.0323375,0.011567,0.0393678,0.00699157,0.0166299,0.0578308,0.0463613,0,0,0,0,0
28,0,0,0,0,0.0301757,0.0632009,0,0,0,0.0340906,0,0.027418,0.0466444,0,0,0.0190802,0,0,0.0423295,0.0534521,0.0323421,0.0330706,0.022833,0.0603881,0.0387422,0.0604116,0.0737164,0.0528075,0.0275997,0.057052,0.0596125,0.0353361,0.0378431,0.00860134,0.0353197,0.0137175,0.0183617,0.0335044,0,0.0217361,0.0611704,0.0466494,0,0,0.0195778,0,0,0.0232295,0.0737122,0.0233914,0.0299574,0.0322547,0.0489599,0.0288278,0.0282561,0.0523143,0.0354067,0,0.0216164,0.00888541,0.0314749,0.0121103,0.0395291,0.00689469,0.0165209,0.0579752,0.0463771,0,0,0,0,0
29,0,0,0,0,0.0302328,0.0634008,0,0,0,0.0321921,0,0.0259254,0.0465381,0,0,0.0189954,0,0,0.0422435,0.0532582,0.0309037,0.0332822,0.021424,0.0605813,0.0392507,0.0595492,0.0739822,0.0527967,0.0264531,0.0570335,0.0599662,0.0346541,0.0372475,0.008855,0.0354221,0.013626,0.0185358,0.0336936,0,0.0212129,0.0609503,0.0465774,0,0,0.0194412,0,0,0.023222,0.0735144,0.0239262,0.0298765,0.0317491,0.0488143,0.0285369,0.0281172,0.0529246,0.0348986,0,0.0216767,0.00930684,0.0306138,0.0127732,0.039719,0.00689088,0.0163866,0.0582497,0.0464394,0,0,0,0,0
30,0,0,0,0,0.0301247,0.0636314,0,0,0,0.0304097,0,0.025038,0.0465751,0,0,0.0189397,0,0,0.0421426,0.0534508,0.0296949,0.0331826,0.0205064,0.0611198,0.0398329,0.0581957,0.0740593,0.0527558,0.0252429,0.0564518,0.0598995,0.0336941,0.0359332,0.00930511,0.0354916,0.0136929,0.0185589,0.0336495,0,0.0205504,0.0605081,0.0465034,0,0,0.0193195,0,0,0.023251,0.0734218,0.0244072,0.0297372,0.0311694,0.0486753,0.0285399,0.0277106,0.053724,0.0342085,0,0.0219284,0.0098431,0.0298106,0.0135585,0.0398628,0.00693588,0.0163184,0.0585223,0.0465335,0,0,0,0,0
31,0,0,0,0,0.0299964,0.063749,0,0,0,0.0297385,0,0.0250922,0.0466072,0,0,0.0189724,0,0,0.0421605,0.0538109,0.0286293,0.0329109,0.0203358,0.0620195,0.0401167,0.0570377,0.074374,0.052955,0.0244485,0.0558681,0.0596453,0.0329488,0.0349943,0.00955133,0.0354622,0.0137843,0.0185954,0.0335909,0,0.0200972,0.0599783,0.0463784,0,0,0.0192589,0,0,0.0233244,0.0733267,0.0248546,0.0295078,0.0308372,0.0485893,0.0286107,0.0275654,0.0544007,0.0334896,0,0.023298,0.0101703,0.0289795,0.0146694,0.0398721,0.00694916,0.0163806,0.0587035,0.0467509,0,0,0,0,0
