Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHII,,RTIBI,RTIBP
113,0,0,0,0,0.0405456,0.0661571,0,0,0,0.0461712,0,0.0236005,0.0465355,0,0,0.0180031,0,0,0.04054,0.0553423,0.0383576,0.0418695,0.0287434,0.0771603,0.0377245,0.0579982,0.0704153,0.0516603,0.0296553,0.0583355,0.0620022,0.0372059,0.0361619,0.0119837,0.0474993,0.0168626,0.0135271,0.040939,0,0.0295691,0.0488171,0.0331537,0,0,0.020891,0,0,0.0244334,0.0804507,0.0110065,0.00837625,0.0272719,0.0513669,0.0274283,0.0273341,0.0528439,0.036947,0.0276117,0,0.0124492,0.0381543,0.00716468,0.0168806,0.0562202,0.0541435,0,0,0,0.0588082,0,0.0175951,0.0344124
114,0,0,0,0,0.0406541,0.0662892,0,0,0,0.044843,0,0.026082,0.0460513,0,0,0.0178444,0,0,0.0407542,0.0549096,0.0354028,0.0422371,0.0284393,0.0766166,0.0380504,0.0588888,0.0707019,0.0515874,0.0291162,0.0591029,0.0620057,0.0382829,0.0384406,0.00785315,0.047609,0.0168892,0.0137432,0.042679,0,0.0286319,0.0490013,0.0330046,0,0,0.020596,0,0,0.024307,0.0801041,0.0116754,0.00845608,0.0272868,0.0513605,0.0268352,0.0270934,0.05323,0.0367704,0.0270603,0,0.0141061,0.0385569,0.00721019,0.0164699,0.0563136,0.0542556,0,0,0,0.0588062,0,0.0174967,0.0341077
115,0,0,0,0,0.0407751,0.0665025,0,0,0,0.0443696,0,0.0261457,0.0457028,0,0,0.0177269,0,0,0.0409128,0.0542659,0.0336654,0.042608,0.0277742,0.0759348,0.038464,0.0589045,0.0710745,0.0516038,0.0284092,0.0594821,0.0622977,0.0382275,0.0388039,0.00771332,0.0478158,0.0169143,0.0139641,0.0437382,0,0.0276045,0.0488662,0.0328499,0,0,0.0202072,0,0,0.0241761,0.0798941,0.0123645,0.00869587,0.0272197,0.0513811,0.0261635,0.0269465,0.0534163,0.0365832,0.0266104,0,0.0151834,0.0389844,0.00722529,0.0160048,0.0564551,0.0544735,0,0,0,0.0586033,0,0.0175043,0.0339534
116,0,0,0,0,0.0408994,0.0667648,0,0,0,0.0432239,0,0.0250503,0.0455229,0,0,0.0176227,0,0,0.0410163,0.0536543,0.0316558,0.0429921,0.0267042,0.0752653,0.0389574,0.0583673,0.0711608,0.0515636,0.0273296,0.0595011,0.0625157,0.0376214,0.0382694,0.00842298,0.0480589,0.0169258,0.0141939,0.0445568,0,0.0265301,0.0485728,0.032669,0,0,0.0198588,0,0,0.0240204,0.0796718,0.0131231,0.00909226,0.0271318,0.0513889,0.0254981,0.0268266,0.0535646,0.036274,0.0261929,0,0.0160957,0.0395477,0.00726874,0.0155426,0.0566492,0.054646,0,0,0,0.0584485,0,0.0174804,0.0336605
117,0,0,0,0,0.0409636,0.0669349,0,0,0,0.041577,0,0.0235567,0.0454592,0,0,0.0174843,0,0,0.0410662,0.0531892,0.0297611,0.0432629,0.0254545,0.0748995,0.0394823,0.0574409,0.0710257,0.0515206,0.025964,0.0591401,0.0624369,0.0367229,0.0370197,0.00864023,0.0482469,0.0169263,0.014419,0.0451255,0,0.025435,0.0481558,0.03247,0,0,0.0196169,0,0,0.0239035,0.0794538,0.0140889,0.00958878,0.0270486,0.0513975,0.0249841,0.0266805,0.053741,0.0355702,0.0257293,0,0.016874,0.039955,0.0072938,0.0151862,0.056792,0.054819,0,0,0,0.058332,0,0.0173815,0.0331887
118,0,0,0,0,0.0410064,0.0669859,0,0,0,0.0397777,0,0.0232894,0.0455186,0,0,0.0172875,0,0,0.0410844,0.0527893,0.0281643,0.0433989,0.0246935,0.0751072,0.0400127,0.0562718,0.0711205,0.0517935,0.0247931,0.0587006,0.062079,0.0359674,0.0357312,0.00838066,0.0483348,0.0168915,0.0146669,0.0454479,0,0.024291,0.047664,0.0322577,0,0,0.0194907,0,0,0.0238718,0.0792147,0.0152513,0.0100333,0.0270869,0.0514702,0.0246721,0.0265609,0.0540109,0.0346165,0.025195,0,0.0175611,0.0401336,0.00728987,0.014968,0.0568894,0.0550397,0,0,0,0.0581585,0,0.0173887,0.0326469
119,0,0,0,0,0.0410568,0.066972,0,0,0,0.0376221,0,0.0241486,0.0457644,0,0,0.0170002,0,0,0.0410744,0.0524482,0.0269287,0.0434513,0.0245682,0.0760036,0.0405784,0.0551186,0.0713606,0.0524192,0.0241007,0.0583442,0.061932,0.0357252,0.0351973,0.00814219,0.048332,0.0167509,0.0149934,0.0455082,0,0.0231309,0.047136,0.0320415,0,0,0.0195218,0,0,0.0239152,0.0788481,0.016516,0.0103315,0.0272497,0.0513908,0.0245913,0.0265198,0.0543978,0.0340031,0.0247215,0,0.0182014,0.0402095,0.00729204,0.0148852,0.0570166,0.0552759,0,0,0,0.0579078,0,0.0175809,0.0320892
120,0,0,0,0,0.0411208,0.0668996,0,0,0,0.035985,0,0.0245048,0.0461138,0,0,0.0166523,0,0,0.0410645,0.0522289,0.0261446,0.0434833,0.0245263,0.0774735,0.0411845,0.0541476,0.0716052,0.0528634,0.0233846,0.0584024,0.0622085,0.0357976,0.0354682,0.00849071,0.048221,0.0165734,0.0153425,0.0453475,0,0.0218507,0.0466326,0.0318393,0,0,0.0195992,0,0,0.0239612,0.0783655,0.0180769,0.0105547,0.0271821,0.0513797,0.0247409,0.0264957,0.0548836,0.0333558,0.0242685,0,0.0188683,0.0402058,0.00727773,0.0149864,0.0571404,0.0555508,0,0,0,0.0577242,0,0.0175381,0.0312313
121,0,0,0,0,0.0411484,0.0667628,0,0,0,0.0354317,0,0.0240646,0.0462917,0,0,0.0163051,0,0,0.0411039,0.0521659,0.0257501,0.043484,0.0241556,0.0791742,0.0418279,0.0535292,0.0715228,0.052566,0.0221083,0.0586772,0.0625023,0.03565,0.0359958,0.00933457,0.0479988,0.0163406,0.0157575,0.044919,0,0.0205833,0.04625,0.0316269,0,0,0.0197015,0,0,0.0240298,0.077847,0.0199812,0.0106649,0.0269588,0.0517125,0.0250783,0.026484,0.0555181,0.032587,0.0237298,0,0.0198341,0.0401186,0.00727951,0.0152199,0.0571815,0.0558864,0,0,0,0.0577706,0,0.0172645,0.0300464
122,0,0,0,0,0.0412495,0.0665556,0,0,0,0.0352181,0,0.0233764,0.0462044,0,0,0.0159547,0,0,0.0412329,0.0521801,0.0254775,0.0434445,0.0235229,0.080721,0.0425255,0.0531665,0.0711585,0.051751,0.0205324,0.0587307,0.062369,0.034937,0.0361854,0.0102042,0.0476656,0.0160731,0.0162256,0.0443489,0,0.0192582,0.0459731,0.0314497,0,0,0.0198736,0,0,0.0241438,0.077285,0.0222804,0.0107197,0.0266333,0.0524809,0.0255289,0.0270395,0.0564042,0.0319136,0.0229927,0,0.0215916,0.039847,0.00722398,0.0155642,0.0571283,0.0562987,0,0,0,0.0581374,0,0.0171488,0.0288887
