Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBI
15,0,0,0,0,0,0.0291878,0.0616425,0,0,0,0.0325084,0,0.0286429,0.0463136,0,0,0.0212804,0,0,0.0424406,0.0549526,0.0419911,0.0313221,0.0273017,0.0624388,0.0409381,0.0616242,0.0726392,0.0518976,0.0274011,0.0575309,0.0609854,0.0369099,0.0357847,0.0173561,0.0320321,0.0132167,0.019681,0.0153949,0,0.0311768,0.0547584,0.044597,0,0,0.0187467,0,0,0.0239464,0.0787704,0.0151965,0.0306956,0.0341071,0.0505948,0.02714,0.0276469,0.0535996,0.0570124,0.033477,0.0304296,0.026205,0.0592758,0.0206865,0.0401412,0.00694268,0.0176181,0.0549444,0.0482698,0,0,0,0
16,0,0,0,0,0,0.0292074,0.0617355,0,0,0,0.0350218,0,0.0270791,0.0465215,0,0,0.0211774,0,0,0.0423584,0.0548736,0.0436886,0.0313247,0.0277949,0.0623194,0.0409667,0.060757,0.0718509,0.0516465,0.0265676,0.0568404,0.0608868,0.0356703,0.0338088,0.0184321,0.0321297,0.0132939,0.0194857,0.0156101,0,0.0310672,0.0546066,0.04453,0,0,0.0185689,0,0,0.0237964,0.0788586,0.0152649,0.0317652,0.0341209,0.050375,0.0268074,0.0273839,0.0531879,0.0567157,0.0332349,0.0304704,0.0261536,0.0592169,0.0208671,0.0404174,0.00694797,0.0173615,0.0550257,0.0483025,0,0,0,0
17,0,0,0,0,0,0.0291253,0.0619369,0,0,0,0.0340422,0,0.0279367,0.0466804,0,0,0.0221112,0,0,0.0418787,0.0545577,0.04206,0.0315876,0.0278279,0.0621603,0.0413087,0.059974,0.0712917,0.0516113,0.0263125,0.0568,0.0604709,0.0356938,0.0342866,0.0159431,0.031927,0.0142246,0.0182678,0.0162895,0,0.0306492,0.0545378,0.0444465,0,0,0.019404,0,0,0.0230398,0.0787998,0.015609,0.0320583,0.0341936,0.0499982,0.0268053,0.0270903,0.0528045,0.0564702,0.033056,0.0304503,0.0264621,0.0591973,0.0207562,0.0405816,0.00726089,0.0162613,0.0552947,0.048175,0,0,0,0
18,0,0,0,0,0,0.0292411,0.0617894,0,0,0,0.032187,0,0.0290002,0.0466174,0,0,0.0207772,0,0,0.0424687,0.0542012,0.0394216,0.0320741,0.0276541,0.0621477,0.0406796,0.0595074,0.0710397,0.0516959,0.0262973,0.0568477,0.0601571,0.0361193,0.0353073,0.0126604,0.0325112,0.0131994,0.0195724,0.0164734,0,0.0301759,0.0546272,0.0444942,0,0,0.0183925,0,0,0.0234512,0.0786826,0.0156749,0.0320714,0.0339618,0.0497365,0.0261692,0.0270082,0.0525502,0.0562743,0.032724,0.0302493,0.0268554,0.0592678,0.0212735,0.0409051,0.00698129,0.0166823,0.0553159,0.0481505,0,0,0,0
19,0,0,0,0,0,0.0291859,0.0618567,0,0,0,0.0319594,0,0.0289523,0.0464715,0,0,0.0214285,0,0,0.0422201,0.0539437,0.0375269,0.0325403,0.0273459,0.0619892,0.0411094,0.0595953,0.0713114,0.0516622,0.0263185,0.0570127,0.0602535,0.0363426,0.0359172,0.0111241,0.0323086,0.0139457,0.0187389,0.0163588,0,0.0297284,0.0547749,0.0443529,0,0,0.0187888,0,0,0.0230427,0.0786353,0.0155474,0.0322083,0.0334694,0.0494132,0.0261448,0.0269248,0.0524354,0.0560232,0.0322171,0.0300145,0.0269097,0.0594753,0.0222136,0.041009,0.00708951,0.0160733,0.0555411,0.0480933,0,0,0,0
20,0,0,0,0,0,0.0291812,0.0618457,0,0,0,0.0325364,0,0.028733,0.0462444,0,0,0.0212364,0,0,0.0423047,0.0535483,0.0351304,0.0329564,0.0264901,0.0618967,0.0413169,0.0601773,0.0724702,0.0517295,0.0261768,0.0575575,0.0605861,0.0366992,0.0371697,0.0105284,0.0323592,0.0138134,0.0189904,0.016309,0,0.0292882,0.054979,0.0441346,0,0,0.0186072,0,0,0.023076,0.0785244,0.015381,0.0324987,0.032856,0.0491172,0.025967,0.0268371,0.0526643,0.0558169,0.0317959,0.0298595,0.0269489,0.0597621,0.0233445,0.0411605,0.0070623,0.0160116,0.0554153,0.0481446,0,0,0,0
21,0,0,0,0,0,0.0291687,0.0618935,0,0,0,0.0324669,0,0.0275854,0.0458692,0,0,0.0210701,0,0,0.0423725,0.0530712,0.0327606,0.0334742,0.0255281,0.0617816,0.0415,0.0606923,0.0740293,0.051867,0.0256105,0.0583886,0.0613507,0.0370179,0.0382814,0.0114954,0.0324573,0.0136498,0.0193016,0.0161804,0,0.0287379,0.0555643,0.0439753,0,0,0.0184811,0,0,0.0230872,0.0782493,0.0150171,0.0319161,0.0321419,0.0488449,0.0257903,0.0267128,0.0527998,0.0556222,0.0311639,0.0298913,0.0269081,0.0600937,0.0247732,0.0412895,0.00704645,0.0159206,0.0553675,0.0482031,0,0,0,0
22,0,0,0,0,0,0.0291519,0.0619558,0,0,0,0.0314112,0,0.0257806,0.045564,0,0,0.0209833,0,0,0.0424491,0.0527467,0.0310881,0.033943,0.0244548,0.061809,0.041678,0.0605765,0.0750609,0.0517782,0.0245443,0.0591507,0.0623349,0.0370348,0.0385401,0.0127839,0.0325749,0.0134926,0.0196385,0.0159261,0,0.0280056,0.0562237,0.0438558,0,0,0.0183824,0,0,0.0230702,0.0779475,0.0144417,0.0310392,0.0313975,0.0486343,0.0255219,0.0266537,0.0528707,0.0553701,0.0302846,0.0300809,0.0264959,0.0604486,0.0265254,0.0414265,0.00705573,0.0157608,0.0554275,0.048334,0,0,0,0
23,0,0,0,0,0,0.0290867,0.0619326,0,0,0,0.0301732,0,0.024524,0.0448381,0,0,0.0210451,0,0,0.0425993,0.0526238,0.0301506,0.0343632,0.023259,0.0625412,0.0422498,0.0599928,0.0754633,0.0513048,0.0232416,0.0593868,0.0629303,0.0366899,0.0380571,0.0134388,0.0325299,0.0134495,0.0199324,0.0122961,0,0.0275539,0.0557605,0.043585,0,0,0.0183028,0,0,0.0231022,0.0791901,0.0154668,0.0311351,0.032279,0.0483827,0.025319,0.0265232,0.0515906,0.0536599,0.0291417,0,0.0242154,0.0592541,0.0317732,0.0414184,0.00710729,0.0156974,0.0553799,0.0488808,0,0,0,0
24,0,0,0,0,0,0.0290653,0.0620551,0,0,0,0.0300073,0,0.0245853,0.0455426,0,0,0.0209863,0,0,0.0425576,0.0524568,0.0290282,0.0339802,0.022739,0.0628248,0.0421801,0.0590158,0.0754298,0.0511217,0.0225135,0.0587764,0.062508,0.0357958,0.0372391,0.0129376,0.0325792,0.0134437,0.0198639,0.01844,0,0.0296893,0.0555779,0.0435398,0,0,0.0181735,0,0,0.0231031,0.078512,0.00474849,0.0308386,0.0301544,0.0486884,0.0252221,0.0263701,0.0528464,0.0546471,0.0281304,0.0292762,0.0295099,0.0613421,0.0290486,0.0415838,0.00717228,0.0155539,0.0554801,0.0489122,0,0,0,0
