Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,
143,0,0,0,0,0.0298857,0.0598886,0,0,0,0.0352822,0,0.0172088,0.0368258,0,0,0.0221374,0,0,0.0435356,0.054932,0.0493159,0.0318327,0.0224441,0.0669634,0.0448466,0.0631634,0.081402,0.055165,0.0212138,0.0653251,0.065978,0.0378678,0.0486865,0.0695386,0.0339713,0.0143516,0.0200332,0.00860056,0,0,0.0600492,0.0452584,0,0,0.0210498,0,0,0.0240373,0.069444,0.0152485,0.0264766,0.0241589,0.0498688,0.0323821,0.0312217,0.060939,0,0.0303346,0.0264299,0.0226756,0,0,0.0283117,0.037656,0.00788807,0.0187575,0.0562683,0.0456431,0,0,0,0
144,0,0,0,0,0.0299605,0.0598489,0,0,0,0.0343906,0,0.0173331,0.0370095,0,0,0.0220274,0,0,0.0433853,0.0545651,0.0475337,0.0328613,0.0219127,0.0668815,0.0449522,0.0635564,0.0817953,0.0550786,0.0220449,0.065742,0.0668028,0.0387931,0.0483987,0.0678358,0.0340095,0.0141879,0.0201013,0.00622894,0,0,0.0595463,0.0451193,0,0,0.0209279,0,0,0.0239136,0.0709073,0.0135646,0.0260117,0.0258934,0.0495702,0.0321045,0.0303266,0.0593688,0,0.0300726,0,0.0210319,0,0,0.0302113,0.0378003,0.00794811,0.0185519,0.0561318,0.0458301,0,0,0,0
145,0,0,0,0,0.030167,0.0599255,0,0,0,0.0325493,0,0.0177166,0.038079,0,0,0.0219529,0,0,0.043096,0.0546101,0.0449199,0.0332971,0.0211761,0.0661935,0.0445839,0.0639029,0.0821181,0.0552039,0.0233229,0.0657151,0.0672821,0.0394813,0.0476277,0.0641594,0.0341518,0.0145221,0.0194602,0.00993573,0,0,0.0609297,0.0451718,0,0,0.0206592,0,0,0.023624,0.0700144,0.0157493,0.0269696,0.0238558,0.0493874,0.0315672,0.0305123,0.060545,0,0.0304779,0.0274011,0.0248257,0,0,0.0271237,0.0382871,0.0078462,0.0180454,0.0562137,0.0453519,0,0,0,0
146,0,0,0,0,0.0303345,0.0599079,0,0,0,0.0309062,0,0.0180472,0.0386493,0,0,0.0217876,0,0,0.0432242,0.054538,0.0426941,0.0336222,0.0206906,0.065939,0.0443829,0.064349,0.0823958,0.0550962,0.0242094,0.0655493,0.0675687,0.0399134,0.0467857,0.0601343,0.0342656,0.0143549,0.0195544,0.0104945,0,0,0.0610318,0.045151,0,0,0.0204525,0,0,0.0235356,0.0702661,0.0158628,0.027294,0.0239425,0.0492872,0.0311749,0.030283,0.0603719,0,0.030538,0.0273432,0.0259718,0,0,0.0265531,0.0385952,0.00771673,0.0177708,0.0561783,0.0453001,0,0,0,0
147,0,0,0,0,0.0304913,0.0598572,0,0,0,0.0290375,0,0.0187051,0.0394764,0,0,0.0216776,0,0,0.0431415,0.0543153,0.0405078,0.0343656,0.0203482,0.0658654,0.0443973,0.064815,0.0826529,0.0549788,0.025171,0.065165,0.0676964,0.0402893,0.0456653,0.0551246,0.0343334,0.0139835,0.0198129,0.01256,0,0,0.0606837,0.0450633,0,0,0.0203236,0,0,0.0235414,0.0709424,0.0148704,0.0269798,0.0237314,0.0491235,0.030849,0.0303592,0.0599012,0,0.0299268,0.0268974,0.0183896,0,0,0.0239092,0.0387985,0.00775815,0.017551,0.0561215,0.0454095,0,0,0,0
148,0,0,0,0,0.0305426,0.0598183,0,0,0,0.0275931,0,0.0195096,0.0401463,0,0,0.0217432,0,0,0.0430891,0.0541194,0.0387338,0.0353216,0.02037,0.0660954,0.0448207,0.0652214,0.0826853,0.05467,0.0261489,0.064691,0.0676983,0.0405793,0.0445108,0.0493508,0.0342844,0.0138056,0.0200722,0.0180975,0,0,0.0594872,0.0448892,0,0,0.0202949,0,0,0.0235831,0.0721183,0.0126638,0.0258962,0.0236088,0.0489354,0.0306666,0.0307488,0.0591959,0,0.0284209,0.0273114,0.0297603,0,0,0.0176141,0.0388716,0.00784219,0.0174584,0.0560399,0.045769,0,0,0,0
149,0,0,0,0,0.0305596,0.0598571,0,0,0,0.0269287,0,0.0204996,0.0411398,0,0,0.0217264,0,0,0.0429771,0.054061,0.0374115,0.0358869,0.0207313,0.0660814,0.0450076,0.0657098,0.0823693,0.0542581,0.0272778,0.0639774,0.0673478,0.0406744,0.0433318,0.0428657,0.0342771,0.0138198,0.0200291,0.0213812,0,0,0.0585977,0.0449028,0,0,0.0201997,0,0,0.023525,0.0730683,0.0116722,0.0255833,0.024019,0.0490472,0.030507,0.0307245,0.0585749,0,0.028084,0.0275327,0.0418562,0,0,0.0141493,0.039026,0.00784813,0.0173441,0.056036,0.045876,0,0,0,0
150,0,0,0,0,0.0307089,0.0600132,0,0,0,0.0273416,0,0.0217003,0.0429348,0,0,0.0214249,0,0,0.0426863,0.0541979,0.0368956,0.035521,0.0215698,0.0653087,0.0442584,0.0660316,0.0814504,0.0538848,0.0286413,0.0628744,0.0664502,0.0404513,0.0421559,0.0359283,0.0344694,0.0138772,0.0195602,0.0262083,0,0,0.0588911,0.0452256,0,0,0.0200161,0,0,0.0233273,0.0724708,0.0154597,0.0263711,0.0228483,0.0494974,0.0303247,0.0301795,0.0594103,0,0.0291802,0.0244567,0.0433115,0,0.0320506,0.0104025,0.0393343,0.00767325,0.0171632,0.056171,0.0455221,0,0,0,0
151,0,0,0,0,0.0308307,0.0601393,0,0,0,0.0285013,0,0.0230671,0.0443191,0,0,0.0212638,0,0,0.0425302,0.0542455,0.0372274,0.0354071,0.023239,0.0648153,0.0437102,0.0658724,0.0797641,0.0533643,0.029854,0.0616704,0.0653547,0.0399906,0.040939,0.0303134,0.0345986,0.0138985,0.0193171,0.0273607,0,0,0.0580906,0.0453826,0,0,0.0199531,0,0,0.0233043,0.0732679,0.0150461,0.0265838,0.0235066,0.0497689,0.0303516,0.0298689,0.0589168,0,0.0295799,0.0248589,0.0413111,0,0.0322471,0.00933757,0.0394205,0.0076175,0.0171195,0.0562253,0.045599,0,0,0,0
152,0,0,0,0,0.0309325,0.0602772,0,0,0,0.0292218,0,0.0247962,0.0455865,0,0,0.0210926,0,0,0.0423971,0.0543165,0.0385949,0.0351261,0.0260882,0.0643479,0.0430392,0.0650049,0.0774733,0.0528061,0.0308931,0.0602636,0.064031,0.0392681,0.0393796,0.026883,0.0347296,0.0139315,0.0190518,0.028785,0,0,0.0570169,0.0455516,0,0,0.0198691,0,0,0.0232846,0.0741437,0.014607,0.0267433,0.0241202,0.0500777,0.0304728,0.0296584,0.0584091,0,0.0298566,0.0254861,0.040759,0,0.0324568,0.00816043,0.039501,0.0076969,0.0170749,0.0562639,0.0456331,0,0,0,0
