Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
154,0,0,0,0,0,0.0349087,0.0594301,0,0,0,0.0371611,0,0.0251898,0.0527101,0,0,0.0190244,0,0,0.0424358,0.0558025,0.0428871,0.0347639,0.0259164,0.0592924,0.0369238,0.0571623,0.0696649,0.0519789,0.0324001,0.0590415,0.0624442,0.0377265,0.0374638,0.0194837,0.0363011,0.0136927,0.0167314,0.0330003,0,0.0240501,0.0576144,0.0406164,0,0,0.0205841,0,0,0.0233679,0.0761371,0.017095,0.0207687,0.0434555,0.0458473,0.0267143,0.0235275,0.044629,0.0931335,0.0262028,0,0.00735076,0.0351694,0.00850763,0.0377357,0.00722751,0.0165569,0.0518475,0.0504742,0,0,0
155,0,0,0,0,0,0.0349163,0.0597445,0,0,0,0.0395106,0,0.0235228,0.0535253,0,0,0.0186766,0,0,0.0430347,0.0554584,0.0442842,0.0343878,0.0229077,0.0584268,0.0370604,0.0540089,0.0686001,0.0528691,0.0301021,0.0605764,0.0640292,0.038298,0.0386714,0.0209674,0.0362478,0.0130952,0.0163657,0.033532,0,0.0240466,0.0575149,0.0402929,0,0,0.0204416,0,0,0.0233686,0.0765982,0.0168978,0.0212148,0.0438212,0.0445809,0.0265734,0.0233658,0.04414,0.0926864,0.0264067,0,0.00738306,0.0351369,0.00855776,0.0377223,0.00688694,0.016512,0.0524464,0.0503972,0,0,0
156,0,0,0,0,0,0.0348308,0.0599577,0,0,0,0.0418031,0,0.0228238,0.054044,0,0,0.0184277,0,0,0.0434463,0.0551368,0.0452146,0.0342767,0.0221121,0.057883,0.0372587,0.0517947,0.0680508,0.0538796,0.0288571,0.0618424,0.0653164,0.0388364,0.039568,0.0224317,0.0362552,0.0127251,0.0161179,0.0350175,0,0.0244441,0.0572727,0.0399793,0,0,0.0201656,0,0,0.0232853,0.0770411,0.0167935,0.0216532,0.043435,0.0435978,0.0263057,0.0229846,0.0442238,0.0923231,0.0260747,0,0,0.0346589,0.00863974,0.0377959,0.00665441,0.0163617,0.052817,0.05047,0,0,0
157,0,0,0,0,0,0.0348076,0.0601156,0,0,0,0.0432486,0,0.022384,0.0542789,0,0,0.0183038,0,0,0.0436389,0.0549449,0.0459684,0.0342296,0.0221543,0.0574725,0.0371898,0.0504852,0.0676924,0.0544988,0.0286139,0.0625141,0.065977,0.0391507,0.0399764,0.0232441,0.03633,0.0126405,0.0159405,0.0345199,0,0.0246056,0.0573244,0.0398097,0,0,0.0199629,0,0,0.0231943,0.0772839,0.017445,0.0220667,0.0442681,0.0430105,0.0259168,0.0226308,0.0435461,0.0920212,0.0262768,0,0.00742244,0.0347583,0.00898153,0.0379883,0.00662122,0.0160844,0.0529782,0.0505645,0,0,0
158,0,0,0,0,0,0.0347946,0.0601775,0,0,0,0.0438244,0,0.0221257,0.0541955,0,0,0.0182941,0,0,0.0437018,0.0548465,0.0460402,0.0343244,0.0224071,0.0572725,0.0370868,0.0500527,0.0673463,0.0543792,0.0288882,0.0625401,0.0659866,0.0392188,0.039953,0.022983,0.036422,0.0127771,0.0158889,0.03488,0,0.0243743,0.0572958,0.0396745,0,0,0.0198524,0,0,0.023184,0.077444,0.0179938,0.0223176,0.0444999,0.0427964,0.0255501,0.0224059,0.0436937,0.0918863,0.0259622,0,0.00724607,0.034371,0.00932736,0.0382387,0.0067201,0.0157849,0.0529461,0.0508395,0,0,0
159,0,0,0,0,0,0.0350107,0.0604776,0,0,0,0.0437107,0,0.0219826,0.0536375,0,0,0.0181242,0,0,0.0437506,0.0549629,0.0452483,0.0343382,0.0230002,0.05708,0.0368733,0.050867,0.0670877,0.0537411,0.0295156,0.0617304,0.0652261,0.0387713,0.039238,0.0219317,0.0366969,0.0129397,0.0156192,0.0304533,0,0.02349,0.0581544,0.0395007,0,0,0.0196926,0,0,0.0232014,0.0778458,0.0186704,0.022923,0.044223,0.042776,0.0249673,0.02276,0.0433236,0.0920835,0.0264592,0.0243969,0.0062942,0.0345797,0.00878119,0.03861,0.00689468,0.0153628,0.0531089,0.0505933,0,0,0
160,0,0,0,0,0,0.0351175,0.0604423,0,0,0,0.0424086,0,0.0226649,0.0527331,0,0,0.0182979,0,0,0.0434073,0.0550447,0.042933,0.0345909,0.0242515,0.0572159,0.0370069,0.0520901,0.0668032,0.0526956,0.02972,0.0607512,0.0642201,0.0384502,0.0386367,0.0196772,0.0368375,0.0133468,0.0159166,0.0302736,0,0.0230266,0.0583694,0.0394883,0,0,0.0195098,0,0,0.0230082,0.0779243,0.0194949,0.022965,0.0435739,0.043204,0.0246477,0.0227055,0.0435724,0.0922192,0.025972,0.0241472,0.00619656,0.0341585,0.00954982,0.0389657,0.00720001,0.014949,0.0528378,0.0507839,0,0,0
161,0,0,0,0,0,0.0350605,0.0604221,0,0,0,0.0402995,0,0.0240438,0.0517823,0,0,0.0184434,0,0,0.0426923,0.0550657,0.0401237,0.035149,0.026306,0.0575303,0.0371834,0.0539507,0.066831,0.0517391,0.0298278,0.0595085,0.0628891,0.0380118,0.0379101,0.0168246,0.0369329,0.0137457,0.0161235,0.0300768,0,0.0222711,0.0584692,0.0394525,0,0,0.0195258,0,0,0.0229143,0.0781119,0.0203931,0.02313,0.0430113,0.0437217,0.0242059,0.0225793,0.0438167,0.0921851,0.0255901,0.0252359,0.00603944,0.0339133,0.0105473,0.0393328,0.00754212,0.0144999,0.0524987,0.0508383,0,0,0
162,0,0,0,0,0,0.0351878,0.060391,0,0,0,0.0404466,0,0.0251463,0.0508562,0,0,0.0188178,0,0,0.0417433,0.0550318,0.0403664,0.0358646,0.0300537,0.0580361,0.0371298,0.0564184,0.0672836,0.0509667,0.0303445,0.0573736,0.0611803,0.0363088,0.0353403,0.0150113,0.037119,0.0144787,0.0165813,0.0331164,0,0.0227788,0.0585923,0.0395973,0,0,0.0195434,0,0,0.0229652,0.0777287,0.0206248,0.023243,0.0417833,0.0445865,0.0236546,0.0225205,0.0452121,0.0927282,0.0236229,0.027274,0.00704797,0.0318181,0.0113023,0.0399893,0.00801342,0.0139247,0.0520112,0.0509837,0,0,0
163,0,0,0,0,0,0.0352278,0.0606366,0,0,0,0.0371218,0,0.0278344,0.0509033,0,0,0.0187475,0,0,0.0418382,0.0543764,0.0370186,0.0368296,0.0297191,0.0578959,0.0374586,0.0567781,0.0676683,0.0509306,0.0298288,0.0580215,0.0609909,0.0372521,0.037543,0.0114647,0.0371206,0.0144671,0.0167516,0.0336007,0,0.0217894,0.0585765,0.0395054,0,0,0.0192186,0,0,0.0229967,0.0779179,0.0219624,0.0233548,0.0410881,0.0446005,0.0233839,0.0225366,0.0457243,0.0927895,0,0.0213444,0.00750362,0.0310166,0.0122319,0.0401988,0.00808246,0.0137957,0.0520417,0.0511912,0,0,0
164,0,0,0,0,0,0.0353003,0.0610091,0,0,0,0.0361297,0,0.0270111,0.0524209,0,0,0.018674,0,0,0.0418492,0.0538387,0.0351069,0.037028,0.0284643,0.0574161,0.0373748,0.0561171,0.0676541,0.0510266,0.0291832,0.0579892,0.060998,0.0366096,0.0373394,0.0104202,0.0372939,0.014508,0.0166992,0.0415098,0,0.0216924,0.0597972,0.0394755,0,0,0.019145,0,0,0.0230548,0.0755068,0.0251638,0.0219605,0.0363066,0.0446123,0.0230522,0.0242548,0.0499079,0.0960443,0,0.0570269,0.0125045,0.0263794,0.0152631,0.0405492,0.00817989,0.0135598,0.0521969,0.0508205,0,0,0
165,0,0,0,0,0,0.0354396,0.0612066,0,0,0,0.0348633,0,0.0254273,0.053208,0,0,0.0185881,0,0,0.0418795,0.0533765,0.0332311,0.0372798,0.0265922,0.0573433,0.0374172,0.0549376,0.0674458,0.0509881,0.0279553,0.0576621,0.0609531,0.0357196,0.0362826,0.00974199,0.0374319,0.0144893,0.0167969,0.0445901,0,0.0216706,0.0601903,0.0392502,0,0,0.0192221,0,0,0.0230182,0.0744951,0.0272418,0.0212652,0.0342702,0.0442781,0.0229585,0.025048,0.0516713,0.0974908,0,0.0753119,0.0149986,0.0240119,0.0175803,0.0407251,0.00820079,0.0134039,0.0523047,0.05049,0,0,0
166,0,0,0,0,0,0.0353684,0.061308,0,0,0,0.033977,0,0.0246823,0.0532631,0,0,0.0185557,0,0,0.0419125,0.0531208,0.0314861,0.0374143,0.0250061,0.05779,0.0377089,0.0535243,0.0674324,0.0509269,0.0266191,0.0571591,0.0607531,0.0349284,0.0350096,0.00913929,0.0374674,0.0144024,0.0170035,0.044197,0,0.021414,0.0598189,0.0390903,0,0,0.0191073,0,0,0.0228232,0.0745057,0.0285572,0.0215442,0.0342452,0.0438232,0.0228663,0.0248959,0.0518389,0.0975001,0,0.0745818,0.0154235,0.0230478,0.0177207,0.0408694,0.00821747,0.0132482,0.0523095,0.0506126,0,0,0
167,0,0,0,0,0,0.035286,0.061183,0,0,0,0.0338075,0,0.0248369,0.0531244,0,0,0.018528,0,0,0.0419642,0.052923,0.029868,0.0373579,0.0241254,0.0585993,0.0380839,0.0523178,0.0678792,0.0512086,0.0256967,0.0569002,0.0606305,0.0344496,0.0344614,0.00839161,0.0374398,0.0143266,0.0172472,0.043742,0,0.0209604,0.0593499,0.03893,0,0,0.0189839,0,0,0.0227033,0.0745331,0.0299093,0.0219451,0.034599,0.0433516,0.0228465,0.0245741,0.052044,0.09732,0,0.071619,0.0156126,0.0220257,0.018001,0.040923,0.00820679,0.0131723,0.052286,0.0508581,0,0,0
