Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LTHIP,RTHIA
22,0,0,0,0,0.0281133,0.0593308,0,0,0,0.0292055,0,0.0173901,0.0385363,0,0,0.0210057,0,0,0.0428552,0.057519,0.0390488,0.0337114,0.0211548,0.0651004,0.0430321,0.0673977,0.0870048,0.054024,0.0635008,0.0649738,0.038362,0.0452949,0.0422544,0.0344837,0.0138864,0.0189564,0.0111842,0,0.0281567,0.0606567,0.0451677,0,0,0.02057,0,0,0.0243069,0.0707478,0.00910936,0.0271191,0.0266939,0.0476626,0.0302132,0.0284788,0.0584817,0.0300479,0.0276928,0.0255971,0.0139035,0,0.0262132,0.037588,0.00721687,0.0189305,0.0536422,0.0471128,0,0,0,0.0266508,0.0583736
23,0,0,0,0,0.028192,0.0592722,0,0,0,0.0302196,0,0.0176703,0.0396809,0,0,0.0209922,0,0,0.0429239,0.0572493,0.0369947,0.0342245,0.019906,0.065072,0.0429214,0.0674277,0.0864565,0.0537027,0.063688,0.0655934,0.0393493,0.0448611,0.0355043,0.0345128,0.0141711,0.0187246,0.010211,0,0.0279749,0.0594412,0.0451289,0,0,0.0204578,0,0,0.0242938,0.07235,0.00975455,0.0268083,0.0281864,0.0475738,0.0299592,0.028802,0.0571111,0.0301479,0,0.0247761,0.0145989,0,0.0271042,0.0376913,0.00714694,0.0188682,0.0535312,0.0471995,0,0,0,0.0277997,0.0570606
24,0,0,0,0,0.028274,0.0593433,0,0,0,0.032116,0,0.0185109,0.0412206,0,0,0.0224707,0,0,0.0421698,0.0571221,0.0355281,0.0341622,0.0188764,0.06468,0.0428499,0.0672751,0.0852274,0.0532644,0.0636831,0.0658797,0.0398718,0.0443979,0.0284355,0.0342353,0.0163588,0.0162544,0.01012,0,0.0292578,0.0584767,0.0451718,0,0,0.0203284,0,0,0.0242283,0.0731412,0.0097925,0.0272498,0.0284689,0.0475689,0.029717,0.0290804,0.0568355,0.0304798,0,0.0240513,0.0137943,0,0.0260504,0.0379065,0.00733383,0.0185252,0.053509,0.0470365,0,0,0,0.029063,0.0566036
25,0,0,0,0,0.0283985,0.059184,0,0,0,0.0345561,0,0.0200346,0.0431708,0,0,0.0209117,0,0,0.0425782,0.0567335,0.0349794,0.0342782,0.0187359,0.0642935,0.041589,0.0667461,0.0833182,0.0527229,0.0633214,0.0657542,0.0401836,0.0435463,0.0221701,0.0348464,0.0145981,0.0179272,0.0109335,0,0.0293592,0.0572876,0.0454943,0,0,0.0201482,0,0,0.0241067,0.0741203,0.00936509,0.0279407,0.0287445,0.0478083,0.029276,0.0293072,0.0566052,0.0308276,0,0.0239898,0.0139668,0,0.0250951,0.0381145,0.00716414,0.0184127,0.0533457,0.0469041,0,0,0,0.0301503,0.0560087
26,0,0,0,0,0.0285926,0.0590457,0,0,0,0.036764,0,0.0221225,0.0450707,0,0,0.0207367,0,0,0.0422003,0.0563489,0.0357268,0.0343286,0.0202665,0.0638113,0.0405244,0.0653693,0.0806215,0.0520933,0.0625052,0.0652069,0.0400752,0.0420951,0.0178786,0.0351155,0.0144312,0.0177245,0.0119355,0,0.0295746,0.056288,0.0458087,0,0,0.0199355,0,0,0.0239464,0.0750003,0.00911336,0.0276464,0.0292127,0.0479327,0.0288838,0.0293234,0.0564031,0.031027,0,0.0243046,0.0138028,0,0.0238062,0.038351,0.00709222,0.0182083,0.0533016,0.0467674,0,0,0,0.0310509,0.055467
27,0,0,0,0,0.0287589,0.0592398,0,0,0,0.0369918,0,0.0247279,0.0468028,0,0,0.0206406,0,0,0.0419559,0.0558143,0.0382575,0.0342616,0.023834,0.0632835,0.0402757,0.0638853,0.077065,0.0516286,0.0610203,0.064088,0.0394525,0.0400484,0.0171895,0.0353188,0.0145498,0.0173543,0.0129771,0,0.0297681,0.0553521,0.0459242,0,0,0.0196884,0,0,0.023787,0.0759481,0.00900455,0.0274381,0.0297934,0.0480389,0.0286867,0.0293595,0.0562691,0.0312511,0,0.0251282,0.0137653,0,0.0224672,0.0386151,0.00703113,0.0180322,0.0534158,0.0465378,0,0,0,0.0312792,0.0549889
28,0,0,0,0,0.028804,0.0593281,0,0,0,0.0365588,0,0.0258889,0.0478574,0,0,0.0206678,0,0,0.0418985,0.0557081,0.0419168,0.0338549,0.0273974,0.0629,0.0397311,0.0625221,0.0736383,0.0511791,0.0590185,0.0627103,0.0381533,0.0373814,0.0193314,0.0355199,0.0150744,0.0166066,0.01439,0,0.0299036,0.054461,0.0461203,0,0,0.0194857,0,0,0.0236993,0.0766697,0.00908264,0.0273637,0.0304207,0.0481998,0.0286421,0.0293388,0.0560696,0.0313093,0,0.0254024,0.013491,0,0.0208045,0.0387711,0.00700534,0.0179538,0.0533633,0.0464505,0,0,0,0.0307823,0.0545559
29,0,0,0,0,0.0287361,0.0597238,0,0,0,0.039005,0,0.023671,0.0489471,0,0,0.0202857,0,0,0.0427315,0.0556728,0.0436953,0.0331428,0.0229371,0.0617757,0.0396653,0.0590026,0.0724149,0.0521066,0.0609193,0.0644743,0.0391074,0.0393549,0.0204112,0.0354346,0.0145352,0.0159347,0.0156526,0,0.030095,0.0540648,0.045915,0,0,0.0193754,0,0,0.0239718,0.076685,0.00872087,0.0271719,0.0309516,0.0472125,0.0289169,0.0290761,0.0557137,0.030925,0,0.025317,0.0129299,0,0.0194587,0.0386623,0.00657247,0.0180753,0.0541598,0.0461127,0,0,0,0.0279787,0.0541205
30,0,0,0,0,0.0286806,0.0601344,0,0,0,0.0420601,0,0.021778,0.0500037,0,0,0.0200023,0,0,0.0432285,0.0556481,0.0454003,0.0329498,0.0217317,0.0608692,0.0398937,0.0564354,0.0721122,0.0535839,0.0624506,0.0659576,0.0396775,0.0404454,0.0224663,0.0354059,0.0140914,0.0155277,0.0168418,0,0.0298057,0.0539698,0.0456236,0,0,0.0193035,0,0,0.0240986,0.076846,0.00935223,0.026846,0.031961,0.046343,0.0290725,0.0285501,0.0555547,0.0309501,0,0.0244959,0.0127991,0,0.018081,0.0386663,0.00623016,0.0181023,0.0551221,0.0458719,0,0,0,0.0263001,0.0537572
31,0,0,0,0,0.0287348,0.0605336,0,0,0,0.0447116,0,0.0207613,0.0509929,0,0,0.0195772,0,0,0.0435158,0.0557317,0.046852,0.0326823,0.0217762,0.0597149,0.039354,0.0552672,0.0722596,0.0549984,0.0633142,0.0669323,0.0397378,0.0407712,0.0242979,0.0356229,0.0136379,0.0146644,0.0203574,0,0.0298245,0.05544,0.0454772,0,0,0.0191994,0,0,0.0242104,0.0757825,0.00699669,0.0275082,0.0309305,0.045548,0.028811,0.0278173,0.0570584,0.0307047,0,0.0253454,0.0127584,0.0404267,0.0152305,0.0387238,0.00584131,0.018007,0.0559302,0.0452492,0,0,0,0.0258261,0.0547706
