Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x73,x74,LTHII,x71,x72,LTHIP
472,0.0106334,0.00503706,0,0,0,0,0,0,0.00748796,0.0192676,0.00451394,0.00644855,0,0,0.128366,0,0.0254475,0.0739161,0.0311365,0.00569899,0.0161246,0.0061604,0.0141034,0.0308198,0.00479967,0.00415371,0.00298096,0.00355455,0.00240589,0.0242799,0.0103152,0.080775,0.016177,0.0151469,0.00674843,0.00583694,0.00849362,0.0091012,0.00765368,0,0,0.0644864,0,0.0230445,0.0302907,0.060679,0.0108559,0.026562,0.00713677,0.014862,0.00725397,0.00241759,0.0288932,0.000810277,0.00164421,0.00809786,0.0231225,0.00799347,0.00855092,0.00517067,0.0503809,0.00964719,0.0103908,0.0049405,0.0137495,0,0,0,0,0,0,0.0052518,0,0,0.0229009
473,0.0107068,0.00514051,0,0,0,0,0,0,0.00764536,0.0194344,0.00448104,0.00638583,0,0,0.126463,0,0.0256455,0.0729758,0.031111,0.00559849,0.0161151,0.00618787,0.0140696,0.0312744,0.00489386,0.00427632,0.00294823,0.00352939,0.00238019,0.0242675,0.0102394,0.0796379,0.0166428,0.0152703,0.00692629,0.00594013,0.00865737,0.00906284,0.00776059,0,0,0.0638113,0,0.0229786,0.0298804,0.0606839,0.0109016,0.0265556,0.00714442,0.0148046,0.00739334,0.00240523,0.0288969,0.000759928,0.00159383,0.00811146,0.0230968,0.00786082,0.00861705,0.00535133,0.0500219,0.00914207,0.0101742,0.00520164,0.0138729,0,0,0,0,0,0,0.00529649,0,0,0.0228989
474,0.0108177,0.00528683,0,0,0,0,0,0,0.00757684,0.0195024,0.00443362,0.00635885,0,0,0.124367,0,0.0259729,0.0718807,0.0310586,0.00547548,0.0160439,0.00616492,0.0140023,0.0316636,0.00494156,0.0043918,0.00289609,0.00348762,0.00235163,0.0242552,0.0101702,0.0782558,0.0171749,0.0154932,0.00698009,0.0060663,0.00852174,0.00904486,0.00785838,0,0,0.0627657,0,0.0228456,0.0294817,0.0607553,0.0107168,0.026516,0.00718954,0.0147173,0.00743483,0.00241488,0.0289114,0.000694664,0.00157013,0.00813801,0.0231082,0.0075664,0.00863294,0.00547423,0.0492475,0.0086275,0.00995633,0.0055112,0.0139867,0,0,0,0,0,0,0.00534148,0,0,0.0229552
475,0.0108562,0.00543405,0,0,0,0,0,0,0.00764275,0.0194933,0.00439043,0.00639971,0,0,0.122127,0,0.0266484,0.0707555,0.030979,0.00536552,0.0159719,0.00605512,0.0139019,0.0321158,0.00499179,0.00450902,0.00281421,0.00341555,0.00232683,0.0242514,0.0101244,0.0765397,0.0177945,0.0157564,0.00660304,0.00624586,0.00824844,0.00904896,0.00795033,0,0,0.0615415,0,0.0225823,0.029081,0.0608842,0.0104359,0.0264032,0.00726578,0.0145934,0.00741716,0.00242547,0.0288703,0.000769689,0.00165037,0.00819378,0.0232704,0.00733848,0.00858778,0.00528972,0.0483267,0.00803205,0.00955874,0.0058788,0.0140967,0,0,0,0,0,0,0.00530662,0,0,0.0231352
476,0.0108253,0.00540183,0,0,0,0,0,0,0.00766376,0.0192861,0.00431614,0.00642916,0,0,0.119694,0,0.0277752,0.0696355,0.0309486,0.00527602,0.0160773,0.0059607,0.0137444,0.0328907,0.00504384,0.00460416,0.00272265,0.00333791,0.00230713,0.024254,0.0100364,0.0744839,0.0184576,0.0163269,0.0062574,0.00641249,0.00802447,0.00902606,0.00804943,0,0,0.0604691,0,0.0222368,0.0288607,0.060964,0.0106233,0.0263164,0.00736421,0.0144425,0.00764212,0.00241495,0.0288344,0.000983157,0.00173542,0.00826776,0.0233836,0.00722966,0.00861046,0.00504912,0.0474097,0.00741495,0.00894362,0.00618086,0.0142688,0,0,0,0,0,0,0.0052491,0,0,0.0232295
477,0.010882,0.00501219,0,0,0,0,0,0,0.00757056,0.0189186,0.00423092,0.00628936,0,0,0.117582,0,0.0293038,0.0685998,0.0309845,0.00513496,0.0160385,0.00598474,0.0133545,0.0343337,0.00511132,0.00465386,0.00264511,0.00324137,0.00225325,0.0241987,0.00984741,0.0722344,0.0185077,0.0175429,0.00621661,0.00601905,0.00799454,0.00874281,0.00847792,0,0,0.0579554,0,0.0220029,0.0279361,0.0609664,0.0107733,0.0262369,0.00732317,0.0141113,0.00784129,0.00243045,0.0288027,0.00117833,0.00172368,0.00824755,0.0233928,0.00720401,0.00867768,0.00500155,0.0453559,0.00980837,0.00954922,0.00612819,0.0148249,0,0,0,0,0,0,0.00519438,0,0,0.0231244
478,0.0109613,0.00473369,0,0,0,0,0,0,0.007574,0.0187773,0.00420895,0.00616319,0,0,0.116109,0,0.030332,0.0678623,0.0309914,0.00495936,0.0159825,0.00625523,0.0132253,0.0362913,0.00517833,0.00472576,0.00265562,0.00323298,0.00222692,0.0241154,0.00971164,0.0699795,0.0189095,0.0181915,0.00641459,0.00614866,0.00804086,0.00859062,0.00892742,0,0,0.0577022,0,0.021837,0.0279833,0.0609577,0.010836,0.0261982,0.00732132,0.0139617,0.00811561,0.00246547,0.0287945,0.00119982,0.00169284,0.00825363,0.0233817,0.00723799,0.00879808,0.00515826,0.044793,0.00952572,0.00945768,0.00629401,0.015536,0,0,0,0,0,0,0.0052155,0,0,0.0229651
479,0.011251,0.00453606,0,0,0,0,0,0,0.00744471,0.0188407,0.00420516,0.0060558,0,0,0.11517,0,0.0309687,0.0671244,0.0309652,0.00476116,0.0158401,0.00640286,0.0130418,0.0383878,0.00519621,0.00473253,0.00265515,0.00320979,0.00219552,0.024027,0.00952576,0.0678987,0.0190972,0.0186428,0.00647756,0.00622752,0.00799401,0.00840863,0.00957365,0,0,0.057674,0,0.0217162,0.0278716,0.0609633,0.0108574,0.0261056,0.00738052,0.0137787,0.00815059,0.00250628,0.0287544,0.00114438,0.0017019,0.00826739,0.0233686,0.00723714,0.00886078,0.00529761,0.0444163,0.0094708,0.00943053,0.00649513,0.0164161,0,0,0,0,0,0,0.00521026,0,0,0.0229116
480,0.011654,0.00448372,0,0,0,0,0,0,0.00714229,0.0189444,0.00420774,0.00592542,0,0,0.114382,0,0.0314488,0.0664406,0.03091,0.00459015,0.0156354,0.00641764,0.0127242,0.04044,0.00520366,0.004727,0.00261853,0.00316442,0.00214506,0.0239407,0.00932657,0.0662103,0.0191463,0.019,0.00642147,0.00626446,0.00790484,0.0081824,0.0103021,0,0,0.0574027,0,0.0216487,0.0277082,0.0609943,0.0108324,0.0259553,0.00746694,0.0135006,0.00813955,0.00251699,0.0286801,0.00106017,0.00174413,0.00828356,0.0233444,0.00720631,0.00889137,0.00538147,0.0440695,0.00939108,0.0094133,0.00672465,0.0172523,0,0,0,0,0,0,0.00517207,0,0,0.0229135
481,0.0121414,0.00482428,0,0,0,0,0,0,0.00707951,0.0189909,0.00422262,0.00585213,0,0,0.113532,0,0.0318307,0.0659727,0.0308713,0.00452054,0.015665,0.00635708,0.0125027,0.0423289,0.00528609,0.00471947,0.00256325,0.00312891,0.00211006,0.0238908,0.00921536,0.0650053,0.019439,0.019096,0.00639872,0.00660976,0.0081515,0.0080876,0.0109945,0,0,0.0579699,0,0.0215086,0.0282053,0.0610539,0.0108125,0.0258013,0.00763255,0.0132951,0.00844278,0.00254174,0.0286165,0.000938176,0.00180787,0.00831642,0.0233198,0.00718913,0.00894822,0.00550931,0.0444636,0.00746412,0.00868157,0.00717957,0.0179462,0,0,0,0,0,0,0.00512331,0,0,0.0229221
